Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,215.81,220.33,213.77,216.53,256618,,0.0,0.0
09-08-2021,219.56,229.5,215.13,223.44,549561,,0.0,0.0
10-08-2021,222.27,222.9,216.76,217.8,188959,,0.0,0.0
11-08-2021,218.56,218.56,208.71,213.05,256729,,0.0,0.0
12-08-2021,214.5,218.61,214.5,215.94,80969,,0.0,0.0
13-08-2021,217.3,217.3,211.15,212.33,129334,,0.0,0.0
16-08-2021,212.33,213.1,208.9,210.12,139038,,0.0,0.0
17-08-2021,212.01,212.01,207.0,207.86,110345,,0.0,0.0
18-08-2021,208.9,210.97,204.29,207.18,471198,,0.0,0.0
20-08-2021,206.37,206.37,200.58,202.16,124152,,0.0,0.0
23-08-2021,205.69,214.14,198.91,201.17,238764,,0.0,0.0
24-08-2021,203.29,205.42,199.0,201.67,133826,,0.0,0.0
25-08-2021,204.02,208.44,202.8,206.05,633361,,0.0,0.0
26-08-2021,206.0,209.08,205.55,207.86,411173,,0.0,0.0
27-08-2021,209.62,213.19,205.24,207.95,99887,,0.0,0.0
30-08-2021,207.95,211.2,206.0,206.46,109926,,0.0,0.0
31-08-2021,207.77,213.23,205.78,210.39,303317,,0.0,0.0
01-09-2021,211.88,220.01,210.07,218.25,620404,,0.0,0.0
02-09-2021,218.65,223.8,215.04,217.66,235334,,0.0,0.0
03-09-2021,217.3,220.46,215.63,216.58,170770,,0.0,0.0
06-09-2021,216.85,220.19,214.23,215.63,154202,,0.0,0.0
07-09-2021,215.85,217.84,210.97,211.52,185527,,0.0,0.0
08-09-2021,210.52,215.9,210.52,214.81,85097,,0.0,0.0
09-09-2021,215.04,216.35,213.28,215.18,85980,,0.0,0.0
13-09-2021,215.94,216.76,212.78,215.81,97043,,0.0,0.0
14-09-2021,217.39,228.41,216.12,219.11,352066,,0.0,0.0
15-09-2021,221.05,223.35,217.21,220.33,263089,,0.0,0.0
16-09-2021,220.46,225.79,216.62,217.03,292324,,0.0,0.0
17-09-2021,218.11,222.31,213.23,215.22,370334,,0.0,0.0
20-09-2021,213.96,224.89,210.79,222.18,318887,,0.0,0.0
21-09-2021,224.07,227.69,219.15,225.97,354412,,0.0,0.0
22-09-2021,227.87,234.15,225.57,231.94,592221,,0.0,0.0
23-09-2021,232.61,233.83,226.97,227.6,452146,,0.0,0.0
24-09-2021,228.86,228.86,222.95,225.93,634859,,0.0,0.0
27-09-2021,227.24,229.5,221.82,223.17,232706,,0.0,0.0
28-09-2021,224.44,224.62,219.6,220.37,151901,,0.0,0.0
29-09-2021,219.92,224.07,216.76,218.83,107589,,0.0,0.0
30-09-2021,219.83,220.78,215.08,216.53,872317,,0.0,0.0
01-10-2021,216.53,218.25,215.27,216.35,74864,,0.0,0.0
04-10-2021,216.89,218.38,207.81,209.8,464720,,0.0,0.0
05-10-2021,211.47,215.9,210.61,215.04,814643,,0.0,0.0
06-10-2021,216.85,217.52,214.23,215.13,262145,,0.0,0.0
07-10-2021,218.56,218.56,214.59,216.98,147574,,0.0,0.0
08-10-2021,216.98,218.65,213.59,215.13,639945,,0.0,0.0
11-10-2021,219.06,221.14,216.26,219.15,314583,,0.0,0.0
12-10-2021,219.11,222.54,214.45,215.81,226102,,0.0,0.0
13-10-2021,215.08,217.21,210.57,211.15,603445,,0.0,0.0
14-10-2021,213.05,214.9,208.71,209.57,1577032,,0.0,0.0
18-10-2021,212.15,212.15,206.91,207.54,1048006,,0.0,0.0
19-10-2021,207.81,209.44,199.05,199.77,458036,,0.0,0.0
20-10-2021,202.62,202.62,196.2,201.31,149244,,0.0,0.0
21-10-2021,203.29,203.29,194.26,196.34,333345,,0.0,0.0
22-10-2021,196.47,199.14,195.25,197.1,513142,,0.0,0.0
25-10-2021,197.6,200.54,191.32,198.69,199468,,0.0,0.0
26-10-2021,200.13,202.71,194.39,196.02,243042,,0.0,0.0
27-10-2021,196.52,198.32,194.26,196.02,147942,,0.0,0.0
28-10-2021,196.61,196.97,192.63,195.25,105372,,0.0,0.0
29-10-2021,195.25,196.7,191.59,194.08,424584,,0.0,0.0
01-11-2021,194.98,198.28,193.35,194.12,101508,,0.0,0.0
02-11-2021,195.03,195.84,192.59,192.95,439403,,0.0,0.0
03-11-2021,193.94,194.67,189.83,191.64,146404,,0.0,0.0
04-11-2021,192.5,195.16,192.27,194.44,30405,,0.0,0.0
08-11-2021,195.25,201.44,194.44,200.49,331546,,0.0,0.0
09-11-2021,201.4,207.81,201.4,204.38,712915,,0.0,0.0
10-11-2021,204.38,204.38,199.32,200.4,92318,,0.0,0.0
11-11-2021,194.8,201.49,194.8,195.12,382989,,0.0,0.0
12-11-2021,198.05,198.05,190.37,191.28,343987,,0.0,0.0
15-11-2021,192.0,193.45,190.19,190.55,164426,,0.0,0.0
16-11-2021,194.26,197.47,190.64,191.32,404892,,0.0,0.0
17-11-2021,191.69,194.2,191.64,191.82,180012,,2.15,0.0
18-11-2021,192.74,193.38,189.45,190.36,227351,,0.0,0.0
22-11-2021,190.41,191.92,184.84,186.71,123991,,0.0,0.0
23-11-2021,184.84,189.63,183.38,186.03,258665,,0.0,0.0
24-11-2021,187.49,188.72,185.16,185.62,159591,,0.0,0.0
25-11-2021,185.75,187.12,185.62,186.39,54334,,0.0,0.0
26-11-2021,186.21,186.48,179.5,180.87,212660,,0.0,0.0
29-11-2021,180.87,182.56,175.3,180.6,184007,,0.0,0.0
30-11-2021,182.06,185.43,178.0,180.69,640132,,0.0,0.0
01-12-2021,182.51,192.14,181.69,185.62,819938,,0.0,0.0
02-12-2021,186.21,186.21,183.11,184.98,136042,,0.0,0.0
03-12-2021,183.29,186.12,183.2,184.29,75635,,0.0,0.0
06-12-2021,185.12,185.3,178.36,179.04,164181,,0.0,0.0
07-12-2021,179.0,181.19,176.12,178.63,271431,,0.0,0.0
08-12-2021,181.01,184.38,179.64,181.97,173460,,0.0,0.0
09-12-2021,184.34,189.31,181.87,188.58,307284,,0.0,0.0
10-12-2021,188.95,188.95,185.85,186.26,469748,,0.0,0.0
13-12-2021,187.94,188.99,185.71,186.21,257706,,0.0,0.0
14-12-2021,185.39,185.62,181.65,182.42,97948,,0.0,0.0
15-12-2021,182.56,185.57,181.19,183.06,176054,,0.0,0.0
16-12-2021,183.15,184.84,181.74,184.61,160742,,0.0,0.0
17-12-2021,184.84,189.82,182.74,186.53,404443,,0.0,0.0
20-12-2021,188.04,188.04,175.26,182.19,174011,,0.0,0.0
21-12-2021,183.93,187.12,182.79,186.35,159420,,0.0,0.0
22-12-2021,185.3,187.12,183.15,185.12,154876,,0.0,0.0
23-12-2021,185.43,187.26,183.79,185.07,111848,,0.0,0.0
24-12-2021,185.48,186.94,179.27,180.28,175236,,0.0,0.0
27-12-2021,181.19,181.19,178.0,178.63,80103,,0.0,0.0
28-12-2021,179.14,186.58,179.14,185.75,160851,,0.0,0.0
29-12-2021,186.67,188.36,183.61,186.35,107784,,0.0,0.0
30-12-2021,186.35,187.35,182.79,183.75,56075,,0.0,0.0
31-12-2021,184.75,190.77,183.52,189.18,277144,,0.0,0.0
03-01-2022,192.51,195.34,187.63,192.37,339100,,0.0,0.0
04-01-2022,193.88,193.88,187.58,188.45,127930,,0.0,0.0
05-01-2022,189.41,190.96,185.8,186.67,123785,,0.0,0.0
06-01-2022,186.21,187.17,184.07,184.7,70116,,0.0,0.0
07-01-2022,184.7,189.77,180.69,181.56,281964,,0.0,0.0
10-01-2022,183.02,183.47,181.19,182.01,186176,,0.0,0.0
11-01-2022,182.42,183.61,179.96,180.28,342623,,0.0,0.0
12-01-2022,180.28,181.83,179.64,179.91,174909,,0.0,0.0
13-01-2022,179.78,180.6,178.73,178.86,257722,,0.0,0.0
14-01-2022,180.64,180.64,178.91,179.82,118379,,0.0,0.0
17-01-2022,179.82,181.83,178.91,179.73,191428,,0.0,0.0
18-01-2022,180.73,185.71,178.91,180.0,307687,,0.0,0.0
19-01-2022,180.0,180.96,176.26,177.77,241093,,0.0,0.0
20-01-2022,178.18,181.6,178.18,179.46,166250,,0.0,0.0
21-01-2022,180.28,180.28,175.8,176.31,146356,,0.0,0.0
24-01-2022,176.31,176.99,167.18,171.1,313351,,0.0,0.0
25-01-2022,168.96,175.07,167.5,172.66,92137,,0.0,0.0
27-01-2022,172.52,174.34,169.23,169.78,175819,,0.0,0.0
28-01-2022,171.51,175.67,170.83,172.93,197280,,0.0,0.0
31-01-2022,173.89,175.67,171.83,173.39,167974,,0.0,0.0
01-02-2022,174.8,175.71,173.34,174.71,54851,,0.0,0.0
02-02-2022,174.71,181.56,174.71,179.46,179026,,0.0,0.0
03-02-2022,180.46,180.46,175.85,176.31,68583,,0.0,0.0
04-02-2022,176.31,176.31,172.61,173.11,702424,,0.0,0.0
07-02-2022,173.16,175.17,170.1,170.56,125540,,0.0,0.0
08-02-2022,170.88,173.25,169.1,170.78,84925,,0.0,0.0
09-02-2022,171.51,174.34,169.78,170.56,78227,,0.0,0.0
10-02-2022,168.09,169.51,163.44,164.03,436514,,0.0,0.0
11-02-2022,163.85,165.22,158.28,159.15,246604,,0.0,0.0
14-02-2022,159.15,159.15,152.12,153.44,250594,,0.0,0.0
15-02-2022,156.09,158.42,153.49,156.96,157006,,0.0,0.0
16-02-2022,157.91,159.56,146.09,152.71,590978,,0.0,0.0
17-02-2022,155.18,155.18,151.84,152.25,227386,,0.0,0.0
18-02-2022,152.25,153.81,148.79,152.35,153215,,0.0,0.0
21-02-2022,152.89,154.26,146.96,149.11,313017,,0.0,0.0
22-02-2022,145.68,149.15,144.22,148.06,327788,,0.0,0.0
23-02-2022,151.52,151.98,148.79,149.7,177849,,0.0,0.0
24-02-2022,146.96,148.79,142.49,144.08,347017,,0.0,0.0
25-02-2022,147.87,149.56,143.99,144.5,135977,,0.0,0.0
28-02-2022,143.31,145.96,141.48,144.45,88646,,0.0,0.0
02-03-2022,145.13,147.19,143.77,144.5,141640,,0.0,0.0
03-03-2022,144.77,146.78,143.72,144.59,124450,,0.0,0.0
04-03-2022,146.05,146.05,142.3,142.76,128180,,0.0,0.0
07-03-2022,143.22,143.22,136.01,136.92,160127,,0.0,0.0
08-03-2022,141.48,143.08,136.05,139.79,254129,,0.0,0.0
09-03-2022,144.18,144.18,140.48,143.31,154848,,0.0,0.0
10-03-2022,145.5,166.54,145.09,160.79,3740563,,0.0,0.0
11-03-2022,157.91,159.74,151.02,153.53,942386,,0.0,0.0
14-03-2022,154.22,158.83,150.61,152.85,349543,,0.0,0.0
15-03-2022,153.76,155.13,149.61,150.52,133267,,0.0,0.0
16-03-2022,152.07,157.0,150.52,151.8,258927,,0.0,0.0
17-03-2022,154.26,154.54,143.77,146.32,700073,,0.0,0.0
21-03-2022,147.1,147.1,140.39,141.89,914593,,0.0,0.0
22-03-2022,144.13,144.13,139.66,141.35,352680,,0.0,0.0
23-03-2022,141.35,143.67,140.57,141.57,249253,,0.0,0.0
24-03-2022,141.94,145.96,140.39,145.18,370289,,0.0,0.0
25-03-2022,146.78,154.26,143.81,152.39,565396,,0.0,0.0
28-03-2022,151.52,158.37,147.19,157.59,409060,,0.0,0.0
29-03-2022,158.37,168.0,154.99,165.58,1186970,,0.0,0.0
30-03-2022,165.22,171.97,164.39,170.88,959051,,0.0,0.0
31-03-2022,170.69,178.45,167.09,176.72,2215222,,0.0,0.0
01-04-2022,176.81,178.54,172.24,173.61,256127,,0.0,0.0
04-04-2022,175.71,176.4,169.87,172.56,156840,,0.0,0.0
05-04-2022,174.8,175.62,170.69,171.15,198330,,0.0,0.0
06-04-2022,170.24,172.34,169.1,170.65,141404,,0.0,0.0
07-04-2022,172.75,180.73,165.63,166.63,570855,,0.0,0.0
08-04-2022,168.27,169.69,167.09,167.82,203292,,0.0,0.0
11-04-2022,169.64,172.97,168.5,168.78,300158,,0.0,0.0
12-04-2022,169.6,169.6,165.67,166.86,129506,,0.0,0.0
13-04-2022,167.09,168.41,166.59,167.41,85682,,0.0,0.0
18-04-2022,167.41,167.91,157.46,158.96,383480,,0.0,0.0
19-04-2022,160.65,162.07,158.0,159.37,244911,,0.0,0.0
20-04-2022,160.1,161.11,157.78,158.6,190467,,0.0,0.0
21-04-2022,157.91,160.15,157.55,159.28,150790,,0.0,0.0
22-04-2022,158.46,158.46,153.08,154.31,1465198,,0.0,0.0
25-04-2022,153.35,156.13,150.06,153.35,320795,,0.0,0.0
26-04-2022,153.9,158.55,152.03,156.64,381887,,0.0,0.0
27-04-2022,157.0,160.88,153.17,159.1,576759,,0.0,0.0
28-04-2022,159.1,163.39,154.95,155.36,468029,,0.0,0.0
29-04-2022,156.36,156.64,153.53,153.99,166219,,0.0,0.0
02-05-2022,153.35,163.39,150.06,154.67,266245,,0.0,0.0
04-05-2022,156.45,157.96,150.25,152.53,173718,,0.0,0.0
05-05-2022,154.03,154.4,151.16,151.84,88025,,0.0,0.0
06-05-2022,149.7,150.57,146.82,149.01,119703,,0.0,0.0
09-05-2022,147.78,147.78,143.63,145.23,156837,,0.0,0.0
10-05-2022,145.86,148.79,144.31,146.14,470049,,0.0,0.0
11-05-2022,142.9,144.18,140.75,142.72,298116,,0.0,0.0
12-05-2022,142.4,142.67,140.11,140.57,788117,,0.0,0.0
13-05-2022,141.48,144.95,141.48,142.12,134146,,0.0,0.0
16-05-2022,143.31,143.86,137.47,138.88,120030,,0.0,0.0
17-05-2022,138.88,142.26,136.69,140.11,170516,,0.0,0.0
18-05-2022,140.89,144.22,138.75,143.31,307462,,0.0,0.0
19-05-2022,140.48,144.68,139.89,143.31,167429,,0.0,0.0
20-05-2022,144.77,149.24,144.72,146.5,114503,,0.0,0.0
23-05-2022,148.69,151.43,145.77,150.25,150204,,0.0,0.0
24-05-2022,152.07,152.85,142.62,145.64,353354,,0.0,0.0
25-05-2022,147.01,148.69,144.86,147.6,118307,,0.0,0.0
26-05-2022,149.15,149.15,142.35,145.5,78926,,0.0,0.0
27-05-2022,147.46,152.44,146.5,149.42,213277,,0.0,0.0
30-05-2022,151.07,151.52,147.87,150.66,154091,,0.0,0.0
31-05-2022,151.52,151.75,147.01,149.93,182919,,0.0,0.0
01-06-2022,149.93,151.34,148.01,149.97,40449,,0.0,0.0
02-06-2022,147.74,152.16,147.1,151.48,143806,,0.0,0.0
03-06-2022,152.44,157.87,151.52,154.95,635888,,0.0,0.0
06-06-2022,156.23,157.46,149.24,150.06,110756,,0.0,0.0
07-06-2022,150.06,162.84,148.56,157.82,314639,,0.0,0.0
08-06-2022,158.55,159.78,154.58,157.78,278824,,0.0,0.0
09-06-2022,156.13,156.73,149.97,151.02,193379,,0.0,0.0
10-06-2022,150.15,153.44,148.79,149.42,85721,,0.0,0.0
13-06-2022,148.69,148.69,141.48,143.17,257039,,0.0,0.0
14-06-2022,142.49,147.19,140.71,144.72,151075,,0.0,0.0
15-06-2022,144.82,145.41,139.93,140.57,443911,,0.0,0.0
16-06-2022,141.57,142.12,138.52,139.84,160001,,0.0,0.0
17-06-2022,138.24,140.94,136.97,138.84,93728,,0.0,0.0
20-06-2022,138.84,139.38,134.32,137.1,157718,,0.0,0.0
21-06-2022,137.38,139.66,137.38,138.65,125896,,0.0,0.0
22-06-2022,138.15,138.15,135.09,136.92,488280,,0.0,0.0
23-06-2022,137.01,137.83,135.41,137.42,116325,,0.0,0.0
