Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,159.16,161.05,158.61,160.4,341664,,0.0,0.0
09-08-2021,161.14,161.14,156.63,157.23,327763,,0.0,0.0
10-08-2021,157.46,157.55,152.76,153.45,494305,,0.0,0.0
11-08-2021,153.49,155.15,148.06,154.14,587185,,0.0,0.0
12-08-2021,156.44,156.44,151.56,152.53,428452,,0.0,0.0
13-08-2021,152.2,156.17,152.2,153.77,629601,,0.0,0.0
16-08-2021,153.86,159.07,153.73,157.64,826621,,0.0,0.0
17-08-2021,158.24,160.68,155.71,156.44,694403,,0.0,0.0
18-08-2021,156.63,157.36,153.13,153.82,315855,,0.0,0.0
20-08-2021,150.36,153.77,148.01,152.34,366658,,0.0,0.0
23-08-2021,157.09,157.09,151.84,153.91,1024960,,0.0,0.0
24-08-2021,154.28,155.48,153.36,154.46,1023337,,0.0,0.0
25-08-2021,155.71,157.73,153.4,154.55,947247,,0.0,0.0
26-08-2021,155.66,156.77,154.6,155.84,575174,,0.0,0.0
27-08-2021,156.63,157.32,154.37,155.48,591550,,0.0,0.0
30-08-2021,157.5,157.5,155.29,155.8,630688,,0.0,0.0
31-08-2021,156.58,156.63,154.09,154.74,887073,,0.0,0.0
01-09-2021,155.71,156.3,153.86,154.88,573348,,0.0,0.0
02-09-2021,154.78,155.66,154.32,154.88,547583,,0.0,0.0
03-09-2021,155.66,159.16,155.15,157.69,886537,,0.0,0.0
06-09-2021,160.13,160.31,157.78,158.84,444430,,0.0,0.0
07-09-2021,159.44,159.53,155.75,157.04,519265,,0.0,0.0
08-09-2021,157.27,158.01,154.78,155.84,499984,,0.0,0.0
09-09-2021,155.84,159.07,154.88,157.73,737643,,0.0,0.0
13-09-2021,161.1,169.02,159.81,167.64,3239342,,0.0,0.0
14-09-2021,170.42,175.22,169.8,174.23,1628931,,4.0,0.0
15-09-2021,175.22,183.28,174.47,181.63,2199726,,0.0,0.0
16-09-2021,186.05,189.02,181.96,185.44,2189480,,0.0,0.0
17-09-2021,186.15,186.53,174.56,178.42,7485261,,0.0,0.0
20-09-2021,177.01,181.34,174.56,176.21,715804,,0.0,0.0
21-09-2021,176.07,179.93,170.13,177.81,860099,,0.0,0.0
22-09-2021,178.71,184.64,176.49,183.42,987136,,0.0,0.0
23-09-2021,186.53,187.0,181.25,181.72,720916,,0.0,0.0
24-09-2021,183.37,183.37,179.04,180.68,365700,,0.0,0.0
27-09-2021,182.52,184.64,179.04,182.71,1159601,,0.0,0.0
28-09-2021,182.33,197.64,182.33,196.7,3708662,,0.0,0.0
29-09-2021,196.42,197.36,192.65,195.8,1907167,,0.0,0.0
30-09-2021,195.76,197.31,192.46,196.7,932331,,0.0,0.0
01-10-2021,195.76,207.25,194.39,203.48,3765508,,0.0,0.0
04-10-2021,209.13,216.06,209.13,212.1,4397408,,0.0,0.0
05-10-2021,212.9,213.7,209.13,211.63,1209776,,0.0,0.0
06-10-2021,213.7,229.34,212.34,213.89,3039422,,0.0,0.0
07-10-2021,217.71,222.23,215.26,220.86,1016184,,0.0,0.0
08-10-2021,221.38,221.43,214.79,215.92,884324,,0.0,0.0
11-10-2021,218.27,221.33,216.72,218.79,626325,,0.0,0.0
12-10-2021,218.79,220.2,215.87,217.09,500106,,0.0,0.0
13-10-2021,218.08,221.38,217.24,217.94,543994,,0.0,0.0
14-10-2021,221.38,221.38,214.03,215.07,517164,,0.0,0.0
18-10-2021,216.67,218.55,215.16,216.06,544973,,0.0,0.0
19-10-2021,216.62,217.52,205.37,208.99,715849,,0.0,0.0
20-10-2021,207.63,216.06,198.77,205.13,935515,,0.0,0.0
21-10-2021,207.25,221.38,207.25,216.15,1891197,,0.0,0.0
22-10-2021,218.55,219.31,207.72,211.4,534385,,0.0,0.0
25-10-2021,230.24,230.33,211.96,212.86,1702136,,0.0,0.0
26-10-2021,213.94,215.07,211.02,213.23,647092,,0.0,0.0
27-10-2021,217.99,217.99,211.77,213.37,428405,,0.0,0.0
28-10-2021,213.19,213.23,205.37,206.4,366964,,0.0,0.0
29-10-2021,204.42,213.14,201.6,207.34,431085,,0.0,0.0
01-11-2021,217.14,217.14,209.04,209.94,942453,,0.0,0.0
