Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,1555.27,1563.39,1530.5,1537.17,44514,,0.0,0.0
09-08-2021,1545.05,1588.06,1540.0,1554.01,103197,,0.0,0.0
10-08-2021,1556.96,1588.39,1527.26,1547.28,97410,,0.0,0.0
11-08-2021,1570.86,1571.1,1482.5,1511.66,165033,,0.0,0.0
12-08-2021,1512.95,1550.34,1511.62,1544.43,79602,,0.0,0.0
13-08-2021,1472.28,1502.36,1444.45,1461.94,755763,,0.0,0.0
16-08-2021,1456.03,1465.28,1439.52,1444.83,200175,,0.0,0.0
17-08-2021,1444.45,1454.04,1396.79,1402.39,154368,,0.0,0.0
18-08-2021,1409.7,1450.97,1393.49,1424.11,134532,,0.0,0.0
20-08-2021,1424.59,1443.11,1408.39,1414.12,139698,,0.33,0.0
23-08-2021,1421.2,1430.05,1363.69,1371.35,113010,,0.0,0.0
24-08-2021,1382.62,1401.75,1380.26,1391.01,56646,,0.0,0.0
25-08-2021,1403.21,1451.3,1393.48,1431.64,160791,,0.0,0.0
26-08-2021,1434.85,1464.64,1432.92,1444.85,102996,,0.0,0.0
27-08-2021,1444.12,1454.33,1426.99,1431.16,37539,,0.0,0.0
30-08-2021,1438.54,1470.9,1391.82,1417.82,314898,,0.0,0.0
31-08-2021,1430.14,1436.42,1398.44,1401.39,73821,,0.0,0.0
01-09-2021,1406.7,1425.58,1406.7,1414.45,63960,,0.0,0.0
02-09-2021,1414.99,1446.44,1414.99,1436.89,72354,,0.0,0.0
03-09-2021,1440.48,1459.64,1436.19,1446.49,71067,,0.0,0.0
06-09-2021,1454.71,1471.26,1447.1,1465.49,98289,,0.0,0.0
07-09-2021,1467.29,1523.24,1452.03,1499.58,248508,,0.0,0.0
08-09-2021,1510.32,1522.57,1496.0,1511.36,82194,,0.0,0.0
09-09-2021,1515.95,1515.95,1472.92,1491.1,56007,,0.0,0.0
13-09-2021,1472.92,1482.9,1447.7,1463.62,74136,,0.0,0.0
14-09-2021,1463.73,1482.93,1457.03,1464.48,47451,,0.0,0.0
15-09-2021,1467.26,1479.12,1458.02,1463.7,55044,,0.0,0.0
16-09-2021,1456.53,1517.5,1456.53,1492.15,109521,,0.0,0.0
17-09-2021,1505.69,1509.76,1462.67,1467.29,109008,,0.0,0.0
20-09-2021,1456.37,1480.55,1439.82,1447.33,91455,,0.0,0.0
21-09-2021,1444.78,1462.97,1419.21,1453.22,56880,,0.0,0.0
22-09-2021,1446.52,1513.91,1446.52,1489.83,129879,,0.0,0.0
23-09-2021,1496.17,1506.05,1482.85,1489.8,80901,,0.0,0.0
24-09-2021,1492.78,1502.04,1477.3,1489.83,55056,,0.0,0.0
27-09-2021,1497.74,1500.8,1458.1,1471.69,64050,,0.0,0.0
28-09-2021,1471.26,1497.08,1442.25,1457.26,56523,,0.0,0.0
29-09-2021,1456.7,1487.81,1444.78,1456.0,37368,,0.0,0.0
30-09-2021,1459.68,1485.49,1453.92,1462.56,105651,,0.0,0.0
01-10-2021,1459.02,1471.43,1449.78,1457.13,32793,,0.0,0.0
04-10-2021,1468.98,1506.96,1459.2,1496.4,106833,,0.0,0.0
05-10-2021,1499.4,1616.9,1497.76,1588.38,706887,,0.0,0.0
06-10-2021,1601.34,1613.59,1532.83,1541.3,210420,,0.0,0.0
07-10-2021,1550.7,1582.14,1542.46,1551.4,121191,,0.0,0.0
08-10-2021,1555.66,1569.12,1525.58,1541.15,71592,,0.0,0.0
11-10-2021,1540.8,1595.22,1522.57,1567.12,114315,,0.0,0.0
12-10-2021,1578.5,1583.35,1539.45,1551.11,80634,,0.0,0.0
13-10-2021,1558.64,1581.48,1548.9,1553.38,89304,,0.0,0.0
14-10-2021,1565.26,1585.45,1544.79,1551.59,89478,,0.0,0.0
18-10-2021,1567.05,1577.34,1537.46,1541.43,86745,,0.0,0.0
19-10-2021,1541.45,1740.03,1541.45,1641.21,1362450,,0.0,0.0
