Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
03-02-2022,861.0,865.08,818.37,825.92,16398,,0.0,0.0
04-02-2022,827.13,848.54,817.45,837.45,37106,,0.0,0.0
07-02-2022,855.16,855.16,808.64,818.23,15824,,0.0,0.0
08-02-2022,831.8,835.7,801.1,807.48,13059,,0.0,0.0
09-02-2022,812.54,829.18,798.43,810.59,16019,,0.0,0.0
10-02-2022,810.54,841.44,756.63,776.04,29207,,0.0,0.0
11-02-2022,775.51,775.56,718.58,744.95,52028,,0.0,0.0
14-02-2022,719.12,748.85,698.68,704.28,24110,,0.0,0.0
15-02-2022,754.15,754.15,697.95,719.9,28406,,0.0,0.0
16-02-2022,729.58,739.5,705.49,716.1,10309,,0.0,0.0
17-02-2022,716.1,724.08,687.15,694.94,14852,,0.0,0.0
18-02-2022,687.01,705.49,666.57,671.53,24488,,0.0,0.0
21-02-2022,648.08,661.71,637.72,644.72,14496,,0.0,0.0
22-02-2022,632.51,636.21,589.74,596.95,47446,,0.0,0.0
23-02-2022,598.6,677.23,598.6,662.05,95788,,0.0,0.0
24-02-2022,608.19,763.64,608.19,695.67,234329,,0.0,0.0
25-02-2022,719.9,795.99,710.9,788.45,158749,,0.0,0.0
28-02-2022,783.34,801.83,773.61,776.53,44545,,0.0,0.0
02-03-2022,778.28,778.48,736.59,740.09,28813,,0.0,0.0
03-03-2022,753.13,793.07,731.77,750.65,27324,,0.0,0.0
04-03-2022,737.75,777.5,737.75,752.06,17275,,0.0,0.0
07-03-2022,749.28,752.98,697.08,730.45,18330,,0.0,0.0
08-03-2022,741.4,749.04,729.82,736.83,10915,,0.0,0.0
09-03-2022,747.87,778.28,711.33,717.46,31449,,0.0,0.0
10-03-2022,745.39,746.17,713.47,723.45,14827,,0.0,0.0
11-03-2022,732.74,739.02,716.2,722.67,12995,,0.0,0.0
14-03-2022,719.7,727.34,685.06,700.0,25112,,0.0,0.0
15-03-2022,703.45,720.14,697.61,703.84,14532,,0.0,0.0
16-03-2022,714.93,718.15,692.84,701.31,10041,,0.0,0.0
17-03-2022,710.17,718.78,695.76,702.04,16043,,0.0,0.0
21-03-2022,714.64,735.9,710.36,721.6,34132,,0.0,0.0
22-03-2022,728.31,732.55,696.25,706.08,17997,,0.0,0.0
23-03-2022,715.03,724.71,703.06,716.34,23327,,0.0,0.0
24-03-2022,719.51,778.19,708.32,728.9,84550,,0.0,0.0
25-03-2022,739.36,761.93,714.25,723.45,40885,,0.0,0.0
28-03-2022,723.01,723.01,688.42,696.49,33826,,0.0,0.0
29-03-2022,698.59,707.64,680.39,685.55,35642,,0.0,0.0
30-03-2022,691.87,711.33,663.65,673.09,38266,,0.0,0.0
31-03-2022,673.38,697.22,664.87,679.51,42147,,0.0,0.0
01-04-2022,690.9,715.03,678.88,703.94,15330,,0.0,0.0
04-04-2022,717.17,731.28,707.3,729.63,18105,,0.0,0.0
05-04-2022,739.55,765.83,725.88,732.45,30234,,0.0,0.0
06-04-2022,732.45,733.42,715.23,718.97,13238,,0.0,0.0
07-04-2022,724.86,727.73,713.81,722.09,8076,,0.0,0.0
08-04-2022,724.96,739.75,720.09,726.17,8935,,0.0,0.0
11-04-2022,726.17,749.09,726.17,740.04,20908,,0.0,0.0
12-04-2022,740.04,744.27,715.23,720.29,11212,,0.0,0.0
13-04-2022,721.55,759.75,720.09,751.47,21674,,0.0,0.0
18-04-2022,751.47,754.15,683.79,723.21,17593,,0.0,0.0
19-04-2022,733.96,733.96,697.37,705.74,13004,,0.0,0.0
20-04-2022,700.73,718.83,700.63,705.01,6193,,0.0,0.0
21-04-2022,715.57,737.66,711.48,726.56,20323,,0.0,0.0
22-04-2022,722.04,753.91,715.23,733.13,16188,,0.0,0.0
25-04-2022,749.28,749.28,717.37,724.13,37683,,0.0,0.0
26-04-2022,747.63,747.63,710.65,712.16,18247,,0.0,0.0
27-04-2022,719.12,719.12,698.63,702.62,14164,,0.0,0.0
28-04-2022,710.31,710.31,691.87,702.09,17050,,0.0,0.0
29-04-2022,708.37,711.87,692.84,694.74,8966,,0.0,0.0
02-05-2022,694.74,699.8,674.06,679.32,10271,,0.0,0.0
04-05-2022,700.63,706.08,643.22,648.03,22972,,0.0,0.0
05-05-2022,657.67,666.57,651.0,653.48,11809,,0.0,0.0
06-05-2022,638.59,666.57,627.7,650.86,24265,,0.0,0.0
09-05-2022,647.98,648.08,626.24,634.46,13035,,0.0,0.0
10-05-2022,636.6,644.14,603.32,613.68,13831,,0.0,0.0
11-05-2022,613.05,614.7,582.88,593.93,25144,,0.0,0.0
12-05-2022,593.93,603.22,567.56,584.39,23065,,0.0,0.0
13-05-2022,602.83,615.97,584.83,595.73,8945,,0.0,0.0
