Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
21-12-2023,946.96,987.2,852.68,937.29,27195021,,0.0,0.0
22-12-2023,942.32,957.18,904.03,908.07,4189118,,0.0,0.0
26-12-2023,908.52,935.0,874.12,926.22,3494031,,0.0,0.0
27-12-2023,923.38,941.68,889.97,893.61,1537537,,0.0,0.0
28-12-2023,902.44,904.43,883.49,886.78,831020,,0.0,0.0
29-12-2023,887.48,901.69,874.57,880.1,974188,,0.0,0.0
01-01-2024,882.39,892.37,873.62,875.91,395867,,0.0,0.0
02-01-2024,877.51,891.97,869.18,873.07,510793,,0.0,0.0
03-01-2024,870.58,883.49,862.6,872.42,500473,,0.0,0.0
04-01-2024,874.52,910.27,874.52,899.75,1123117,,0.0,0.0
05-01-2024,904.13,905.93,880.5,886.03,440642,,0.0,0.0
08-01-2024,886.03,890.72,870.78,873.97,359093,,0.0,0.0
09-01-2024,883.49,884.44,866.59,869.08,356124,,0.0,0.0
10-01-2024,868.53,872.32,856.07,868.53,369532,,0.0,0.0
11-01-2024,872.22,876.11,855.67,858.11,406238,,0.0,0.0
12-01-2024,862.5,878.95,861.15,875.41,336686,,0.0,0.0
15-01-2024,875.41,875.41,875.41,875.41,0,,0.0,0.0
16-01-2024,884.19,886.98,869.53,876.21,310551,,0.0,0.0
17-01-2024,865.54,874.92,857.66,862.25,274152,,0.0,0.0
18-01-2024,857.57,865.14,837.17,851.38,450423,,0.0,0.0
19-01-2024,854.92,875.22,854.87,868.19,250541,,0.0,0.0
23-01-2024,857.66,858.01,810.25,815.34,438682,,0.0,0.0
24-01-2024,812.64,818.78,799.28,808.11,314467,,0.0,0.0
25-01-2024,809.1,869.53,805.91,851.18,855160,,0.0,0.0
29-01-2024,860.96,882.49,856.72,868.83,436363,,0.0,0.0
30-01-2024,876.51,910.42,861.65,892.82,1084941,,0.0,0.0
31-01-2024,897.45,935.24,894.41,913.01,1347502,,0.0,0.0
01-02-2024,917.2,941.13,888.58,892.22,796129,,0.0,0.0
02-02-2024,902.44,911.41,889.47,904.33,555239,,0.0,0.0
05-02-2024,905.43,914.85,899.6,907.37,441668,,0.0,0.0
06-02-2024,929.36,1021.1,898.85,995.77,4081909,,0.0,0.0
07-02-2024,1047.03,1083.87,1002.3,1014.62,2630741,,0.0,0.0
08-02-2024,1019.06,1086.42,990.19,1044.88,2516110,,0.0,0.0
09-02-2024,1047.03,1056.8,1002.15,1012.77,859309,,0.0,0.0
12-02-2024,1019.61,1030.47,949.85,960.12,994440,,0.0,0.0
13-02-2024,964.96,985.2,934.0,950.65,874718,,0.0,0.0
14-02-2024,937.04,1071.96,935.24,1044.24,2090173,,0.0,0.0
15-02-2024,1073.95,1196.4,1061.93,1157.71,5169026,,0.0,0.0
16-02-2024,1171.62,1221.53,1134.53,1172.82,1960479,,0.0,0.0
19-02-2024,1171.67,1187.93,1108.85,1121.32,626497,,0.0,0.0
20-02-2024,1135.78,1175.66,1130.09,1153.57,422340,,0.0,0.0
21-02-2024,1157.71,1171.67,1097.53,1110.7,538294,,0.0,0.0
22-02-2024,1116.48,1171.67,1092.1,1152.33,543513,,0.0,0.0
23-02-2024,1160.41,1290.34,1134.78,1273.04,1627214,,0.0,0.0
26-02-2024,1286.35,1319.25,1219.54,1254.04,916114,,0.0,0.0
27-02-2024,1251.65,1281.21,1226.62,1236.39,296252,,0.0,0.0
28-02-2024,1241.18,1310.28,1197.8,1214.25,923117,,0.0,0.0
29-02-2024,1215.25,1228.31,1159.71,1187.23,450873,,0.0,0.0
01-03-2024,1215.55,1271.39,1213.6,1232.35,545857,,0.0,0.0
04-03-2024,1276.03,1276.03,1222.53,1240.98,325037,,0.0,0.0
05-03-2024,1240.98,1245.06,1176.66,1194.16,352032,,0.0,0.0
06-03-2024,1198.6,1198.6,1106.86,1122.46,825584,,0.0,0.0
07-03-2024,1125.5,1171.67,1116.83,1156.62,373167,,0.0,0.0
11-03-2024,1121.81,1195.61,1117.83,1159.56,435104,,0.0,0.0
12-03-2024,1163.7,1184.59,1118.82,1140.61,485944,,0.0,0.0
13-03-2024,1133.78,1160.55,1072.36,1093.64,732143,,0.0,0.0
14-03-2024,1076.94,1166.39,1057.15,1159.46,669791,,0.0,0.0
15-03-2024,1146.74,1180.65,1126.3,1153.52,372875,,0.0,0.0
18-03-2024,1158.71,1171.72,1133.38,1157.86,231691,,0.0,0.0
19-03-2024,1153.72,1194.51,1115.38,1124.71,423710,,0.0,0.0
20-03-2024,1136.82,1143.65,1076.94,1095.99,656158,,0.0,0.0
21-03-2024,1114.83,1153.23,1114.83,1141.06,400275,,0.0,0.0
22-03-2024,1136.77,1156.52,1128.8,1149.04,276946,,0.0,0.0
26-03-2024,1144.5,1244.32,1105.36,1212.46,1162734,,0.0,0.0
27-03-2024,1224.52,1251.45,1212.56,1221.38,457505,,0.0,0.0
28-03-2024,1230.95,1256.18,1211.56,1219.19,421846,,0.0,0.0
01-04-2024,1230.51,1286.35,1199.59,1211.86,674278,,0.0,0.0
02-04-2024,1216.55,1219.54,1183.64,1198.35,372806,,0.0,0.0
03-04-2024,1194.61,1280.81,1181.65,1270.59,1077016,,0.0,0.0
04-04-2024,1279.37,1355.65,1265.06,1332.17,2068268,,0.0,0.0
05-04-2024,1333.91,1429.94,1318.61,1418.12,2326218,,0.0,0.0
08-04-2024,1416.98,1419.97,1373.7,1378.93,605029,,0.0,0.0
09-04-2024,1383.72,1403.02,1343.29,1350.76,501930,,0.0,0.0
10-04-2024,1355.15,1390.5,1341.19,1349.62,441755,,0.0,0.0
12-04-2024,1338.4,1380.98,1338.2,1352.61,365359,,0.0,0.0
15-04-2024,1320.05,1369.66,1292.38,1319.95,566106,,0.0,0.0
16-04-2024,1297.32,1338.75,1297.32,1319.6,439790,,0.0,0.0
18-04-2024,1328.23,1355.95,1297.42,1304.0,428196,,0.0,0.0
19-04-2024,1278.37,1354.16,1270.64,1331.97,720322,,0.0,0.0
22-04-2024,1357.15,1369.11,1331.97,1350.81,502210,,0.0,0.0
23-04-2024,1361.14,1440.91,1353.11,1410.35,1224073,,0.0,0.0
24-04-2024,1423.66,1440.81,1366.12,1376.69,473070,,0.0,0.0
25-04-2024,1378.09,1407.01,1362.13,1371.21,366178,,0.0,0.0
26-04-2024,1375.99,1387.01,1361.98,1366.27,284864,,0.0,0.0
29-04-2024,1373.8,1380.08,1341.19,1345.38,257253,,0.0,0.0
30-04-2024,1352.71,1381.08,1340.19,1348.37,353796,,0.0,0.0
02-05-2024,1352.96,1365.87,1342.29,1354.26,201585,,0.0,0.0
03-05-2024,1364.53,1468.83,1361.14,1386.71,1369833,,0.0,0.0
06-05-2024,1399.03,1412.99,1337.0,1345.88,380350,,0.0,0.0
07-05-2024,1349.17,1360.64,1311.28,1346.28,409668,,0.0,0.0
08-05-2024,1340.24,1370.11,1315.81,1361.38,316853,,0.0,0.0
09-05-2024,1361.14,1376.09,1301.21,1308.29,374285,,0.0,0.0
10-05-2024,1308.29,1316.21,1275.48,1296.87,313269,,0.0,0.0
13-05-2024,1301.26,1334.21,1257.93,1281.56,783756,,0.0,0.0
14-05-2024,1294.72,1296.32,1247.66,1276.92,386383,,0.0,0.0
15-05-2024,1284.35,1332.22,1284.3,1311.78,458745,,0.0,0.0
16-05-2024,1316.16,1340.99,1297.37,1309.13,278587,,0.0,0.0
17-05-2024,1315.61,1349.57,1296.37,1336.31,408957,,0.0,0.0
21-05-2024,1352.16,1352.16,1326.33,1329.18,212359,,0.0,0.0
22-05-2024,1329.18,1348.12,1319.75,1325.04,196285,,0.0,0.0
23-05-2024,1334.01,1356.1,1316.26,1321.0,187693,,0.0,0.0
24-05-2024,1325.24,1330.22,1249.6,1260.67,672592,,0.0,0.0
27-05-2024,1267.8,1281.06,1248.8,1253.44,210714,,0.0,0.0
28-05-2024,1246.46,1253.44,1223.53,1226.52,346844,,0.0,0.0
