Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,23.85,24.5,23.15,23.55,372596,,0.0,0.0
09-08-2021,23.0,23.9,22.9,23.2,439880,,0.0,0.0
10-08-2021,23.7,23.7,22.05,22.25,465467,,0.0,0.0
11-08-2021,22.0,22.95,21.15,22.45,346077,,0.0,0.0
12-08-2021,23.0,23.45,22.2,23.0,292068,,0.0,0.0
13-08-2021,23.95,23.95,21.85,21.9,450302,,0.0,0.0
16-08-2021,22.95,22.95,21.65,22.9,347176,,0.0,0.0
17-08-2021,23.0,23.0,21.8,21.8,100882,,0.0,0.0
18-08-2021,21.4,22.8,20.75,20.75,220676,,0.0,0.0
20-08-2021,19.75,21.75,19.75,19.8,626580,,0.0,0.0
23-08-2021,19.8,20.0,18.85,18.85,90902,,0.0,0.0
24-08-2021,18.5,18.75,17.95,17.95,380201,,0.0,0.0
25-08-2021,17.1,18.8,17.1,18.8,567765,,0.0,0.0
26-08-2021,19.7,19.7,19.7,19.7,61241,,0.0,0.0
27-08-2021,20.65,20.65,20.65,20.65,107176,,0.0,0.0
30-08-2021,21.65,21.65,21.1,21.65,215241,,0.0,0.0
31-08-2021,22.7,22.7,20.6,20.95,386840,,0.0,0.0
01-09-2021,19.95,21.95,19.95,21.6,329644,,0.0,0.0
02-09-2021,21.95,22.6,20.6,22.45,212438,,0.0,0.0
03-09-2021,22.25,23.05,21.7,22.95,341305,,0.0,0.0
06-09-2021,24.0,24.0,21.95,22.75,137248,,0.0,0.0
07-09-2021,22.75,22.95,21.7,22.5,71390,,0.0,0.0
08-09-2021,22.95,22.95,21.4,21.7,167600,,0.0,0.0
09-09-2021,21.3,21.85,20.9,21.55,25419,,0.0,0.0
13-09-2021,20.6,22.4,20.6,20.9,123186,,0.0,0.0
14-09-2021,21.65,21.65,20.55,21.05,83108,,0.0,0.0
15-09-2021,21.45,21.45,20.4,20.55,260757,,0.0,0.0
16-09-2021,20.9,20.95,20.15,20.45,65037,,0.0,0.0
17-09-2021,20.25,20.95,19.45,19.5,258248,,0.0,0.0
20-09-2021,19.5,20.45,19.5,19.75,66852,,0.0,0.0
21-09-2021,20.4,20.45,18.8,20.15,244297,,0.0,0.0
