Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,365.75,386.17,351.38,386.12,141626,,0.0,0.0
09-08-2021,386.84,404.45,386.84,391.97,26890,,0.0,0.0
10-08-2021,400.58,400.58,376.15,379.44,72505,,0.0,0.0
11-08-2021,360.91,385.1,360.91,373.49,34908,,0.0,0.0
12-08-2021,373.49,386.07,363.91,382.25,34070,,0.0,0.0
13-08-2021,382.25,385.1,365.75,368.65,23561,,0.0,0.0
16-08-2021,371.46,384.86,363.57,381.67,22992,,0.0,0.0
17-08-2021,381.14,381.14,368.65,378.62,19714,,0.0,0.0
18-08-2021,367.69,382.1,361.88,362.95,12965,,0.0,0.0
20-08-2021,371.07,371.07,344.8,356.95,12571,,0.0,0.0
23-08-2021,339.63,365.7,339.63,349.3,14065,,0.0,0.0
24-08-2021,332.85,365.75,332.85,363.96,10901,,0.0,0.0
25-08-2021,365.65,369.91,353.75,364.93,11762,,0.0,0.0
26-08-2021,358.93,375.46,358.93,369.71,29650,,3.0,0.0
27-08-2021,381.85,381.85,352.1,365.03,20969,,0.0,0.0
30-08-2021,379.32,379.32,356.05,362.39,6637,,0.0,0.0
31-08-2021,368.49,378.24,365.86,368.05,10965,,0.0,0.0
01-09-2021,374.39,374.39,358.05,361.95,8121,,0.0,0.0
02-09-2021,356.0,365.71,356.0,357.95,4866,,0.0,0.0
03-09-2021,356.98,364.78,356.98,357.47,9771,,0.0,0.0
06-09-2021,357.47,369.66,355.52,358.88,61809,,0.0,0.0
07-09-2021,363.81,369.46,356.0,360.83,64684,,0.0,0.0
08-09-2021,363.81,365.61,359.17,360.83,34488,,0.0,0.0
09-09-2021,351.13,375.51,351.13,360.88,48386,,0.0,0.0
13-09-2021,356.0,369.46,356.0,358.1,30517,,0.0,0.0
14-09-2021,359.91,367.66,351.13,357.86,28308,,0.0,0.0
15-09-2021,364.73,364.73,354.1,356.44,56863,,0.0,0.0
16-09-2021,360.88,369.66,356.0,358.15,46897,,0.0,0.0
17-09-2021,366.73,366.73,354.2,357.32,29611,,0.0,0.0
20-09-2021,366.88,366.88,344.69,350.44,34381,,0.0,0.0
21-09-2021,359.91,359.91,341.76,350.69,29328,,0.0,0.0
22-09-2021,350.25,353.81,338.64,342.4,64792,,0.0,0.0
23-09-2021,353.37,359.52,343.08,351.27,385732,,0.0,0.0
24-09-2021,355.03,358.83,344.93,347.32,89107,,0.0,0.0
27-09-2021,358.93,358.93,331.72,340.98,174412,,0.0,0.0
28-09-2021,341.33,356.0,341.33,351.81,129303,,0.0,0.0
29-09-2021,352.1,369.37,352.1,366.68,342889,,0.0,0.0
30-09-2021,373.37,384.97,361.86,384.58,200110,,0.0,0.0
01-10-2021,384.44,403.8,375.51,400.77,200656,,0.0,0.0
04-10-2021,407.41,416.92,401.26,407.7,211037,,0.0,0.0
05-10-2021,410.14,411.7,393.17,395.8,197882,,0.0,0.0
06-10-2021,396.19,405.16,383.31,386.63,74159,,0.0,0.0
07-10-2021,386.63,405.16,382.34,401.99,74696,,0.0,0.0
08-10-2021,415.74,415.74,390.14,395.7,15691,,0.0,0.0
11-10-2021,403.65,404.19,379.41,382.05,29846,,0.0,0.0
12-10-2021,389.9,389.9,363.03,379.9,36770,,0.0,0.0
13-10-2021,387.17,395.02,377.75,393.12,24599,,0.0,0.0
14-10-2021,394.04,404.67,388.19,393.21,19756,,0.0,0.0
18-10-2021,399.85,399.85,373.56,387.9,38649,,0.0,0.0
19-10-2021,383.31,397.94,376.49,381.31,28641,,0.0,0.0
20-10-2021,389.07,389.07,365.76,376.24,15690,,0.0,0.0
21-10-2021,375.51,387.61,365.76,376.83,31345,,0.0,0.0
22-10-2021,372.59,395.65,372.59,383.17,68048,,0.0,0.0
25-10-2021,385.26,385.26,364.05,374.1,33170,,0.0,0.0
26-10-2021,378.44,385.17,365.76,380.53,14485,,0.0,0.0
27-10-2021,382.34,391.12,371.61,386.05,18691,,0.0,0.0
28-10-2021,396.97,396.97,376.49,388.87,42619,,0.0,0.0
29-10-2021,388.87,393.02,376.49,384.92,16979,,0.0,0.0
01-11-2021,365.76,375.51,365.71,365.71,56170,,0.0,0.0
02-11-2021,353.08,369.66,353.08,360.98,17447,,0.0,0.0
03-11-2021,358.93,365.76,356.0,359.22,110827,,0.0,0.0
04-11-2021,368.68,377.17,356.3,374.73,23307,,0.0,0.0
08-11-2021,370.63,378.44,370.63,374.15,6758,,0.0,0.0
09-11-2021,370.63,380.34,365.76,367.61,5611,,0.0,0.0
10-11-2021,367.51,385.22,364.78,375.32,7248,,0.0,0.0
11-11-2021,380.39,380.39,365.76,377.07,8605,,0.0,0.0
12-11-2021,378.44,378.44,364.49,369.51,12253,,0.0,0.0
15-11-2021,370.63,370.63,361.95,367.76,5897,,0.0,0.0
16-11-2021,360.88,375.51,360.88,366.64,7738,,0.0,0.0
17-11-2021,369.56,372.59,356.98,366.54,10243,,0.0,0.0
18-11-2021,366.54,372.49,356.0,359.91,7947,,0.0,0.0
22-11-2021,351.13,362.83,341.91,348.69,21525,,0.0,0.0
23-11-2021,348.69,365.76,332.6,337.62,48103,,0.0,0.0
24-11-2021,344.4,352.15,341.42,349.32,14651,,0.0,0.0
25-11-2021,355.86,363.81,350.01,360.59,11776,,0.0,0.0
26-11-2021,360.88,360.93,343.32,345.62,14091,,0.0,0.0
29-11-2021,345.62,351.13,336.5,350.15,11922,,0.0,0.0
30-11-2021,356.0,356.0,339.52,341.96,11402,,0.0,0.0
01-12-2021,349.13,356.0,341.18,354.05,9261,,0.0,0.0
02-12-2021,362.83,362.83,349.13,356.2,7479,,0.0,0.0
