Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
26-04-2023,596.94,603.76,585.84,597.18,112049,,0.0,0.0
27-04-2023,602.83,606.73,528.33,569.96,380622,,0.0,0.0
28-04-2023,565.39,587.3,540.02,577.17,216752,,0.0,0.0
02-05-2023,574.49,583.21,564.46,573.37,64792,,0.0,0.0
03-05-2023,571.81,581.99,569.72,575.12,50711,,0.0,0.0
04-05-2023,581.41,581.41,564.85,571.37,46339,,0.0,0.0
05-05-2023,571.37,574.59,551.22,569.23,40353,,0.0,0.0
08-05-2023,562.9,574.54,562.9,571.37,25259,,0.0,0.0
09-05-2023,572.11,572.11,559.98,563.83,35107,,0.0,0.0
10-05-2023,566.26,567.04,555.11,563.05,22544,,0.0,0.0
11-05-2023,568.6,587.25,557.79,565.04,72513,,0.0,0.0
12-05-2023,568.75,578.68,558.52,574.15,31063,,0.0,0.0
15-05-2023,570.84,573.91,563.24,567.28,46042,,0.0,0.0
16-05-2023,574.0,574.0,562.03,565.73,47585,,0.0,0.0
17-05-2023,565.73,572.06,562.95,566.89,18190,,0.0,0.0
18-05-2023,567.87,573.42,557.84,564.8,22692,,0.0,0.0
19-05-2023,567.33,569.62,557.06,566.55,43983,,0.0,0.0
22-05-2023,566.7,569.72,560.22,565.14,20815,,0.0,0.0
23-05-2023,570.79,578.97,563.39,573.96,29923,,0.0,0.0
24-05-2023,579.41,579.41,568.06,577.8,27396,,0.0,0.0
25-05-2023,572.64,576.83,565.82,572.84,20595,,0.0,0.0
26-05-2023,571.47,578.53,559.3,567.09,31159,,0.0,0.0
29-05-2023,567.09,574.59,558.96,568.75,30480,,0.0,0.0
30-05-2023,566.12,571.67,555.31,559.35,27727,,0.0,0.0
31-05-2023,561.83,561.83,546.54,549.66,49136,,0.0,0.0
01-06-2023,552.19,558.47,545.47,549.46,20603,,0.0,0.0
02-06-2023,548.44,578.05,547.03,574.64,87696,,0.0,0.0
05-06-2023,587.25,608.09,579.65,598.89,173247,,0.0,0.0
06-06-2023,599.37,618.41,599.37,615.98,155116,,0.0,0.0
07-06-2023,632.05,632.05,617.44,622.36,88230,,0.0,0.0
08-06-2023,628.59,628.59,604.73,609.79,94010,,0.0,0.0
09-06-2023,608.92,623.62,604.54,620.8,58858,,0.0,0.0
12-06-2023,628.15,636.92,614.76,627.96,112059,,0.0,0.0
13-06-2023,630.98,643.64,624.35,640.28,147586,,0.0,0.0
14-06-2023,639.84,652.5,638.86,647.87,186509,,0.0,0.0
15-06-2023,652.5,654.06,645.68,650.94,37884,,0.0,0.0
16-06-2023,652.5,656.39,638.86,647.19,49993,,0.0,0.0
19-06-2023,651.53,652.74,633.51,639.3,41310,,0.0,0.0
20-06-2023,633.51,642.76,629.66,635.41,18124,,0.0,0.0
21-06-2023,635.94,640.81,614.57,617.29,27797,,0.0,0.0
22-06-2023,623.28,632.05,615.49,618.9,31439,,0.0,0.0
23-06-2023,619.73,630.1,611.35,622.65,23274,,0.0,0.0
26-06-2023,630.78,632.05,613.59,629.61,12840,,0.0,0.0
27-06-2023,632.92,638.57,622.55,625.28,22625,,0.0,0.0
28-06-2023,631.61,653.42,627.08,642.18,77464,,0.0,0.0
30-06-2023,650.55,650.55,626.01,635.46,24625,,0.0,0.0
03-07-2023,635.46,653.67,634.53,651.28,45826,,0.0,0.0
04-07-2023,642.47,663.31,641.01,658.39,87298,,0.0,0.0
05-07-2023,658.39,667.4,643.78,649.14,69277,,0.0,0.0
06-07-2023,654.59,672.8,643.98,650.16,61104,,0.0,0.0
07-07-2023,650.06,662.24,648.65,655.52,29514,,0.0,0.0
10-07-2023,658.34,666.13,645.24,656.39,29768,,0.0,0.0
11-07-2023,662.24,673.97,653.96,670.08,43403,,0.0,0.0
12-07-2023,674.87,675.65,665.38,670.57,22359,,3.0,0.0
13-07-2023,671.1,684.55,656.48,662.94,40779,,0.0,0.0
14-07-2023,662.89,673.94,650.81,655.85,28520,,0.0,0.0
17-07-2023,661.52,679.81,658.34,669.25,94401,,0.0,0.0
18-07-2023,673.75,674.92,648.56,652.57,50448,,0.0,0.0
19-07-2023,660.25,664.11,642.64,644.74,39366,,0.0,0.0
20-07-2023,654.43,656.14,616.43,634.33,220268,,0.0,0.0
21-07-2023,626.99,640.59,589.77,628.12,76893,,0.0,0.0
24-07-2023,628.95,639.71,608.7,625.96,38505,,0.0,0.0
25-07-2023,634.72,639.51,624.3,634.72,28234,,0.0,0.0
26-07-2023,639.61,650.42,631.69,640.39,169168,,0.0,0.0
27-07-2023,646.6,649.49,634.96,638.73,17480,,0.0,0.0
28-07-2023,638.73,643.62,627.97,638.63,59952,,0.0,0.0
31-07-2023,639.71,642.64,631.69,633.93,39566,,0.0,0.0
01-08-2023,635.79,637.75,612.07,617.31,64288,,0.0,0.0
02-08-2023,618.48,621.12,586.89,592.51,78749,,0.0,0.0
03-08-2023,599.5,621.81,592.31,604.79,52322,,0.0,0.0
04-08-2023,607.97,612.22,591.43,601.41,51955,,0.0,0.0
07-08-2023,599.11,616.23,591.78,599.75,47255,,0.0,0.0
08-08-2023,600.19,607.82,592.07,597.25,30192,,0.0,0.0
09-08-2023,603.22,614.86,592.8,603.66,38034,,0.0,0.0
10-08-2023,604.88,620.93,594.91,597.5,65369,,0.0,0.0
11-08-2023,602.49,650.47,602.49,628.16,272177,,0.0,0.0
14-08-2023,635.55,649.93,622.69,631.83,107832,,0.0,0.0
16-08-2023,634.13,655.06,628.56,635.79,75453,,0.0,0.0
17-08-2023,644.84,651.69,608.65,622.88,82271,,0.0,0.0
18-08-2023,625.91,640.64,619.85,624.35,78477,,0.0,0.0
21-08-2023,626.01,650.42,626.01,637.7,74054,,0.0,0.0
22-08-2023,637.85,653.35,630.95,633.93,60102,,0.0,0.0
23-08-2023,644.4,649.29,632.86,635.7,213747,,0.0,0.0
24-08-2023,638.78,648.8,630.95,635.35,74924,,0.0,0.0
25-08-2023,635.35,644.11,622.1,623.22,53539,,0.0,0.0
28-08-2023,623.66,636.92,616.77,620.88,83206,,0.0,0.0
29-08-2023,621.17,630.9,616.33,620.29,78599,,0.0,0.0
30-08-2023,621.22,629.53,613.3,625.82,39861,,0.0,0.0
31-08-2023,625.82,636.77,578.08,629.73,623780,,0.0,0.0
01-09-2023,614.57,620.83,607.57,610.75,71327,,0.0,0.0
04-09-2023,615.84,621.32,596.77,600.92,108019,,0.0,0.0
05-09-2023,604.93,605.96,593.2,597.65,190687,,0.0,0.0
06-09-2023,600.24,611.39,598.82,608.26,45538,,0.0,0.0
07-09-2023,608.41,608.41,596.86,602.19,38566,,0.0,0.0
08-09-2023,598.62,609.48,597.65,601.9,55775,,0.0,0.0
11-09-2023,607.43,610.36,593.49,608.6,70348,,0.0,0.0
12-09-2023,610.36,616.23,596.67,601.51,75807,,0.0,0.0
13-09-2023,596.91,604.25,578.47,584.05,53095,,0.0,0.0
14-09-2023,588.3,600.58,563.46,582.88,130600,,0.0,0.0
15-09-2023,585.76,600.58,580.63,595.93,64886,,0.0,0.0
18-09-2023,595.69,598.67,568.59,574.22,281117,,0.0,0.0
20-09-2023,573.78,574.86,546.83,560.09,261801,,0.0,0.0
21-09-2023,562.87,567.91,547.47,560.33,99112,,0.0,0.0
22-09-2023,560.48,596.23,560.48,593.54,167213,,0.0,0.0
25-09-2023,599.6,611.73,573.53,582.63,144068,,0.0,0.0
26-09-2023,588.45,604.4,583.51,600.29,118916,,0.0,0.0
27-09-2023,605.42,605.42,593.73,597.99,26415,,0.0,0.0
28-09-2023,601.56,625.91,586.94,609.33,101539,,0.0,0.0
29-09-2023,620.14,648.22,615.5,646.06,202287,,0.0,0.0
03-10-2023,652.03,666.7,639.71,656.19,138590,,0.0,0.0
04-10-2023,659.17,659.17,637.85,654.48,60452,,0.0,0.0
05-10-2023,654.48,668.85,650.81,666.9,43832,,0.0,0.0
06-10-2023,669.88,670.03,652.62,664.7,27696,,0.0,0.0
09-10-2023,657.02,663.18,646.75,653.6,19879,,0.0,0.0
10-10-2023,653.55,676.29,649.05,667.34,43589,,0.0,0.0
11-10-2023,670.66,676.04,657.31,660.34,40100,,0.0,0.0
12-10-2023,668.85,668.85,652.08,657.61,17750,,0.0,0.0
13-10-2023,660.05,661.23,649.83,659.12,26559,,0.0,0.0
16-10-2023,650.47,661.23,647.53,649.34,30431,,0.0,0.0
17-10-2023,653.4,662.2,643.62,647.78,70087,,0.0,0.0
18-10-2023,651.88,659.27,645.48,650.47,29165,,0.0,0.0
19-10-2023,645.57,682.7,608.89,619.21,487001,,0.0,0.0
20-10-2023,611.34,625.91,590.02,593.2,124918,,0.0,0.0
23-10-2023,593.2,604.84,577.1,583.41,75119,,0.0,0.0
25-10-2023,590.46,590.46,559.89,566.15,105373,,0.0,0.0
26-10-2023,560.53,568.55,547.12,555.78,73907,,0.0,0.0
27-10-2023,565.71,582.0,549.96,556.66,312099,,0.0,0.0
30-10-2023,560.48,566.64,546.49,547.61,51193,,0.0,0.0
31-10-2023,550.25,556.56,541.89,544.73,26879,,0.0,0.0
01-11-2023,544.73,554.66,537.98,540.86,296352,,0.0,0.0
02-11-2023,546.78,552.6,537.49,538.71,93677,,0.0,0.0
03-11-2023,543.65,546.2,529.22,531.23,69555,,0.0,0.0
06-11-2023,539.74,554.22,532.6,542.04,64995,,0.0,0.0
07-11-2023,544.68,552.99,541.79,546.83,43178,,0.0,0.0
08-11-2023,551.62,551.62,534.36,537.15,52559,,0.0,0.0
09-11-2023,542.72,543.8,533.58,542.09,202998,,0.0,0.0
10-11-2023,541.55,555.59,533.92,537.39,65306,,0.0,0.0
13-11-2023,546.05,555.29,539.5,552.7,37688,,0.0,0.0
15-11-2023,558.52,559.84,545.66,552.65,90653,,0.0,0.0
16-11-2023,555.34,570.36,549.03,565.81,88679,,0.0,0.0
17-11-2023,567.32,572.21,537.98,550.06,67996,,0.0,0.0
20-11-2023,552.8,572.17,548.59,566.2,40694,,0.0,0.0
21-11-2023,566.2,581.02,562.63,571.14,57633,,0.0,0.0
22-11-2023,573.53,575.44,567.08,572.31,28873,,0.0,0.0
23-11-2023,572.31,574.07,564.44,567.62,19487,,0.0,0.0
24-11-2023,565.22,574.02,558.86,565.12,26646,,0.0,0.0
28-11-2023,571.53,581.02,565.37,567.96,153614,,0.0,0.0
29-11-2023,570.26,573.29,553.73,559.2,57288,,0.0,0.0
30-11-2023,564.1,565.71,550.69,556.12,35350,,0.0,0.0
01-12-2023,556.66,567.13,548.69,564.29,289431,,0.0,0.0
04-12-2023,572.21,575.39,561.94,565.37,136461,,0.0,0.0
05-12-2023,568.15,577.4,558.72,572.51,44467,,0.0,0.0
06-12-2023,574.76,579.01,565.37,569.92,37758,,0.0,0.0
07-12-2023,576.13,577.15,563.46,567.27,67240,,0.0,0.0
08-12-2023,575.15,597.11,572.26,578.91,81621,,0.0,0.0
11-12-2023,581.75,595.69,568.3,581.75,83545,,0.0,0.0
12-12-2023,586.89,605.86,580.92,595.84,343404,,0.0,0.0
13-12-2023,601.46,609.29,594.86,601.95,39855,,0.0,0.0
14-12-2023,610.26,610.26,596.23,598.62,33354,,0.0,0.0
15-12-2023,599.75,640.68,598.62,625.38,89736,,0.0,0.0
18-12-2023,626.55,632.57,610.02,613.05,59774,,0.0,0.0
19-12-2023,616.08,619.36,597.65,599.41,46740,,0.0,0.0
20-12-2023,599.94,608.01,578.13,584.73,57328,,0.0,0.0
21-12-2023,586.84,599.6,579.84,592.41,48441,,0.0,0.0
22-12-2023,595.35,600.43,581.9,591.39,110453,,0.0,0.0
26-12-2023,593.73,596.52,583.95,586.45,33362,,0.0,0.0
27-12-2023,593.64,609.58,586.49,600.97,99181,,0.0,0.0
28-12-2023,604.0,614.37,583.95,587.82,78399,,0.0,0.0
29-12-2023,587.86,598.48,584.0,589.23,94773,,0.0,0.0
01-01-2024,591.78,604.1,584.93,590.11,72650,,0.0,0.0
02-01-2024,598.62,601.12,584.88,594.52,37840,,0.0,0.0
03-01-2024,591.78,602.88,589.04,597.89,59287,,0.0,0.0
04-01-2024,603.86,606.45,589.23,590.46,123447,,0.0,0.0
05-01-2024,593.44,594.91,582.0,588.4,57697,,0.0,0.0
08-01-2024,592.56,624.98,579.11,605.67,128369,,0.0,0.0
09-01-2024,610.46,612.51,597.65,600.19,49262,,0.0,0.0
10-01-2024,603.03,607.23,591.78,597.35,31638,,0.0,0.0
11-01-2024,605.47,625.03,596.62,617.45,58502,,0.0,0.0
12-01-2024,619.17,619.17,601.56,604.35,39984,,0.0,0.0
15-01-2024,604.35,604.35,604.35,604.35,0,,0.0,0.0
16-01-2024,611.14,618.68,601.56,603.17,39539,,0.0,0.0
17-01-2024,603.22,605.76,586.89,591.87,180064,,0.0,0.0
18-01-2024,596.57,606.35,590.41,600.24,43577,,0.0,0.0
19-01-2024,597.84,613.25,597.25,598.92,43751,,0.0,0.0
23-01-2024,614.27,615.64,597.45,606.6,42405,,0.0,0.0
24-01-2024,608.31,624.98,587.86,598.28,196702,,0.0,0.0
25-01-2024,600.53,635.26,598.28,616.57,151053,,0.0,0.0
29-01-2024,619.65,632.81,601.12,621.12,62701,,0.0,0.0
30-01-2024,621.12,660.69,617.06,652.28,145936,,0.0,0.0
31-01-2024,652.42,669.93,649.0,661.08,106915,,0.0,0.0
01-02-2024,665.14,665.14,640.29,656.14,39736,,0.0,0.0
02-02-2024,659.46,664.7,636.77,643.77,57326,,0.0,0.0
05-02-2024,650.47,679.81,641.37,660.54,146658,,0.0,0.0
06-02-2024,661.91,677.43,661.91,672.52,54494,,2.5,0.0
07-02-2024,682.24,682.24,646.06,659.95,53147,,0.0,0.0
08-02-2024,662.55,674.38,652.44,657.94,46114,,0.0,0.0
09-02-2024,661.87,661.87,639.14,645.91,35173,,0.0,0.0
12-02-2024,647.09,671.14,645.57,666.48,96551,,0.0,0.0
13-02-2024,686.26,686.26,655.19,672.96,82678,,0.0,0.0
14-02-2024,672.96,675.17,657.79,664.42,71760,,0.0,0.0
15-02-2024,667.07,670.31,656.86,662.06,92700,,0.0,0.0
16-02-2024,662.75,719.89,655.88,712.77,373016,,0.0,0.0
19-02-2024,744.19,746.05,720.77,730.54,210191,,0.0,0.0
20-02-2024,736.19,739.23,721.61,726.22,47605,,0.0,0.0
21-02-2024,719.64,726.07,700.74,706.0,113559,,0.0,0.0
22-02-2024,706.83,709.14,690.98,695.54,73781,,0.0,0.0
23-02-2024,704.87,705.9,686.21,689.7,88835,,0.0,0.0
26-02-2024,692.5,715.72,692.5,704.82,66582,,0.0,0.0
27-02-2024,710.61,713.65,699.12,707.03,32298,,0.0,0.0
28-02-2024,707.03,711.79,685.48,697.31,56298,,0.0,0.0
29-02-2024,697.06,699.91,682.63,690.19,73815,,0.0,0.0
01-03-2024,692.89,725.93,692.25,720.53,237713,,0.0,0.0
04-03-2024,725.04,730.0,705.41,711.35,59735,,0.0,0.0
05-03-2024,703.35,716.16,691.61,695.64,63185,,0.0,0.0
06-03-2024,696.08,701.97,670.06,678.75,82135,,0.0,0.0
07-03-2024,678.36,682.09,667.02,673.35,34172,,0.0,0.0
11-03-2024,669.57,677.82,638.5,645.91,87096,,0.0,0.0
12-03-2024,642.08,652.88,636.09,646.11,65767,,0.0,0.0
13-03-2024,647.38,661.67,613.02,621.22,103283,,0.0,0.0
14-03-2024,611.89,646.84,611.89,633.84,56384,,0.0,0.0
15-03-2024,633.25,652.2,621.91,640.46,61904,,0.0,0.0
18-03-2024,634.03,656.81,634.03,652.44,19080,,0.0,0.0
19-03-2024,649.2,657.79,640.9,643.31,23252,,0.0,0.0
20-03-2024,646.45,656.81,629.42,649.79,46686,,0.0,0.0
21-03-2024,649.99,679.1,649.99,672.67,35961,,0.0,0.0
22-03-2024,676.1,692.64,667.61,689.45,39390,,0.0,0.0
26-03-2024,689.7,697.41,669.87,687.69,27827,,0.0,0.0
27-03-2024,687.74,697.8,672.52,677.23,95833,,0.0,0.0
28-03-2024,679.93,705.02,679.93,695.15,61779,,0.0,0.0
01-04-2024,698.73,708.84,683.37,688.13,70492,,0.0,0.0
02-04-2024,690.83,692.89,673.5,676.49,32250,,0.0,0.0
