Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
03-10-2024,480.0,513.5,450.0,478.79,33592188,,0.0,0.0
04-10-2024,474.0,483.0,448.55,452.21,5747591,,0.0,0.0
07-10-2024,445.35,451.4,402.1,422.43,4813962,,0.0,0.0
08-10-2024,415.0,438.97,413.01,423.18,1924427,,0.0,0.0
09-10-2024,423.0,483.52,423.0,459.13,4803522,,0.0,0.0
10-10-2024,466.8,472.0,448.6,460.74,1292759,,0.0,0.0
11-10-2024,465.0,495.0,456.55,487.63,4537147,,0.0,0.0
14-10-2024,479.99,486.0,472.4,478.53,1315307,,0.0,0.0
15-10-2024,478.53,510.0,475.53,483.7,3122554,,0.0,0.0
16-10-2024,484.0,487.19,466.74,471.75,933192,,0.0,0.0
17-10-2024,476.0,477.0,451.5,453.27,597455,,0.0,0.0
18-10-2024,452.7,468.4,439.0,462.14,817518,,0.0,0.0
21-10-2024,462.14,467.45,446.15,450.13,413276,,0.0,0.0
22-10-2024,454.0,455.0,422.0,425.36,516665,,0.0,0.0
23-10-2024,420.21,438.5,420.21,435.43,522421,,0.0,0.0
24-10-2024,436.0,439.0,420.15,426.01,265585,,0.0,0.0
25-10-2024,427.0,436.9,416.07,428.16,810397,,0.0,0.0
28-10-2024,442.9,449.0,434.0,437.83,451397,,0.0,0.0
29-10-2024,438.35,458.88,429.0,456.55,544344,,0.0,0.0
30-10-2024,455.0,483.45,450.15,456.03,1086548,,0.0,0.0
31-10-2024,458.0,463.6,447.07,451.32,500464,,0.0,0.0
01-11-2024,455.5,469.8,455.05,467.85,224338,,0.0,0.0
04-11-2024,466.9,467.0,448.0,450.25,636600,,0.0,0.0
05-11-2024,450.2,455.0,446.0,447.95,268145,,0.0,0.0
06-11-2024,455.0,537.5,451.05,537.5,4056581,,0.0,0.0
07-11-2024,565.45,636.75,556.35,592.85,11280335,,0.0,0.0
08-11-2024,577.05,636.0,574.05,588.05,5303979,,0.0,0.0
11-11-2024,586.75,657.3,583.3,625.0,6321924,,0.0,0.0
12-11-2024,632.0,652.7,605.6,609.9,1494814,,0.0,0.0
13-11-2024,613.2,644.5,590.0,619.9,1678649,,0.0,0.0
14-11-2024,638.0,673.0,621.0,652.2,3455186,,0.0,0.0
18-11-2024,659.4,753.0,640.0,743.95,5502251,,0.0,0.0
19-11-2024,743.95,798.75,728.1,737.1,4229650,,0.0,0.0
21-11-2024,732.0,777.95,693.0,762.65,2869650,,0.0,0.0
22-11-2024,770.25,821.95,770.25,790.5,3675294,,0.0,0.0
25-11-2024,809.0,819.75,768.05,784.55,1660676,,0.0,0.0
26-11-2024,789.0,791.0,711.55,742.7,1914620,,0.0,0.0
27-11-2024,747.0,769.8,744.05,754.9,945429,,0.0,0.0
28-11-2024,753.45,764.8,730.0,745.6,849534,,0.0,0.0
29-11-2024,746.75,790.0,733.9,782.25,1604110,,0.0,0.0
02-12-2024,774.6,836.25,766.0,828.35,2035008,,0.0,0.0
03-12-2024,831.8,852.8,821.0,830.7,1622534,,0.0,0.0
04-12-2024,826.8,848.7,806.1,823.95,861389,,0.0,0.0
05-12-2024,823.5,862.55,816.1,841.4,1959997,,0.0,0.0
06-12-2024,842.0,879.95,842.0,847.6,1417178,,0.0,0.0
09-12-2024,849.0,860.25,837.0,842.35,551159,,0.0,0.0
10-12-2024,844.9,845.3,825.35,835.35,339291,,0.0,0.0
11-12-2024,834.85,844.8,828.8,834.0,277461,,0.0,0.0
12-12-2024,831.95,833.9,792.2,798.0,520543,,0.0,0.0
13-12-2024,776.0,795.0,770.0,783.6,456186,,0.0,0.0
16-12-2024,778.0,809.9,778.0,786.85,406821,,0.0,0.0
17-12-2024,788.0,794.95,762.65,768.7,399377,,0.0,0.0
18-12-2024,770.5,773.0,745.25,759.55,353917,,0.0,0.0
19-12-2024,735.0,753.65,710.0,739.15,368134,,0.0,0.0
20-12-2024,742.7,747.0,686.65,703.45,592047,,0.0,0.0
23-12-2024,708.85,732.8,704.0,710.3,453562,,0.0,0.0
24-12-2024,711.0,732.0,701.75,717.55,354608,,0.0,0.0
26-12-2024,715.0,722.0,698.1,704.2,245179,,0.0,0.0
27-12-2024,706.35,767.0,705.5,731.75,1179314,,0.0,0.0
30-12-2024,733.9,733.9,695.2,700.7,873251,,0.0,0.0
31-12-2024,695.3,714.5,687.0,700.5,452741,,0.0,0.0
01-01-2025,700.0,770.55,699.95,769.7,1508153,,0.0,0.0
02-01-2025,784.0,804.0,770.65,792.75,1555800,,0.0,0.0
03-01-2025,789.75,823.55,784.2,795.5,938229,,0.0,0.0
06-01-2025,798.0,815.55,741.95,747.55,864818,,0.0,0.0
07-01-2025,752.95,783.55,751.0,775.4,598382,,0.0,0.0
08-01-2025,778.0,778.0,747.55,760.5,390917,,0.0,0.0
09-01-2025,763.7,772.75,725.0,731.2,326407,,0.0,0.0
10-01-2025,731.0,732.0,702.0,706.95,440803,,0.0,0.0
13-01-2025,695.0,723.85,675.3,711.5,610312,,0.0,0.0
14-01-2025,720.0,750.0,688.0,735.3,1088108,,0.0,0.0
15-01-2025,737.8,757.65,721.55,728.55,407347,,0.0,0.0
16-01-2025,736.0,745.0,723.85,732.25,207314,,0.0,0.0
17-01-2025,732.1,777.0,714.05,753.45,947745,,0.0,0.0
20-01-2025,758.9,828.75,749.8,828.75,1727455,,0.0,0.0
21-01-2025,840.0,899.0,824.9,846.7,4420204,,0.0,0.0
22-01-2025,862.7,868.75,792.55,831.1,1838162,,0.0,0.0
23-01-2025,831.0,904.4,820.05,842.95,2129402,,0.0,0.0
24-01-2025,849.0,851.0,805.65,809.6,855552,,0.0,0.0
27-01-2025,809.55,809.55,729.0,737.55,1213400,,0.0,0.0
28-01-2025,742.8,799.0,695.0,764.1,2509486,,0.0,0.0
29-01-2025,787.0,828.8,769.5,821.6,1380199,,0.0,0.0
30-01-2025,824.0,831.65,777.0,788.1,804908,,0.0,0.0
31-01-2025,792.8,811.0,768.7,794.2,858050,,0.0,0.0
