Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,230.49,238.43,229.91,233.94,255310,,0.0,0.0
09-08-2021,228.94,240.77,228.94,236.8,362595,,0.0,0.0
10-08-2021,236.8,240.58,222.07,227.01,280960,,0.0,0.0
11-08-2021,229.91,232.24,217.89,229.68,317485,,0.0,0.0
12-08-2021,232.63,234.59,228.3,232.15,175925,,0.0,0.0
13-08-2021,231.98,236.44,230.94,234.22,286070,,0.0,0.0
16-08-2021,235.39,235.7,225.73,227.38,245430,,0.0,0.0
17-08-2021,229.9,232.43,226.03,227.79,97630,,0.0,0.0
18-08-2021,228.36,230.84,224.47,225.03,86420,,0.0,0.0
20-08-2021,224.13,235.92,221.37,229.09,342825,,0.0,0.0
23-08-2021,230.87,232.43,214.69,219.17,141175,,0.0,0.0
24-08-2021,219.35,228.64,217.12,226.19,114100,,0.0,0.0
25-08-2021,226.19,229.16,223.78,227.09,110240,,0.0,0.0
26-08-2021,230.69,230.69,222.25,227.85,79745,,0.0,0.0
27-08-2021,228.94,230.41,225.06,228.8,179225,,0.0,0.0
30-08-2021,232.43,233.59,227.98,231.41,93495,,0.0,0.0
31-08-2021,231.46,232.82,228.75,231.07,81235,,0.0,0.0
01-09-2021,228.17,237.67,223.14,232.41,182305,,0.0,0.0
02-09-2021,233.58,247.18,232.83,241.29,913990,,0.0,0.0
03-09-2021,246.4,249.31,234.02,235.49,220630,,0.0,0.0
06-09-2021,241.54,241.54,233.28,234.96,96995,,0.0,0.0
07-09-2021,234.9,235.34,229.89,232.27,80080,,0.0,0.0
08-09-2021,232.76,233.91,230.51,231.81,80665,,0.0,0.0
09-09-2021,231.81,236.53,229.91,231.74,95625,,0.0,0.0
13-09-2021,229.33,233.6,228.23,232.65,92805,,0.0,0.0
14-09-2021,235.73,241.55,233.6,234.2,201970,,0.0,0.0
15-09-2021,236.35,236.35,233.99,234.86,55185,,0.0,0.0
16-09-2021,235.08,235.69,230.89,233.06,45550,,0.0,0.0
17-09-2021,233.06,266.78,229.66,241.48,2758900,,0.0,0.0
20-09-2021,241.36,244.08,235.73,238.24,203075,,0.0,0.0
21-09-2021,235.54,244.45,235.17,243.25,344745,,0.0,0.0
22-09-2021,242.51,251.0,239.77,247.3,392670,,0.0,0.0
23-09-2021,249.27,255.91,244.48,246.56,169315,,0.0,0.0
24-09-2021,248.73,248.73,236.99,241.07,132555,,0.0,0.0
27-09-2021,240.97,245.47,238.67,240.24,106515,,0.0,0.0
28-09-2021,241.44,242.57,233.62,235.79,117590,,0.0,0.0
29-09-2021,235.73,246.0,234.24,241.47,87985,,0.0,0.0
30-09-2021,244.46,244.46,236.0,236.94,115500,,0.0,0.0
01-10-2021,238.18,240.45,233.6,239.11,99995,,0.0,0.0
04-10-2021,243.28,256.11,240.62,253.5,280315,,0.0,0.0
05-10-2021,252.22,261.54,249.06,254.74,414195,,0.0,0.0
06-10-2021,254.75,257.22,243.82,246.99,134475,,0.0,0.0
07-10-2021,249.51,253.67,246.4,249.92,69395,,0.0,0.0
08-10-2021,252.22,255.51,241.88,250.96,208365,,0.0,0.0
11-10-2021,252.22,253.59,246.79,250.1,89930,,0.0,0.0
12-10-2021,250.73,254.16,246.4,250.2,132425,,0.0,0.0
13-10-2021,251.45,254.99,250.31,251.42,77945,,0.0,0.0
14-10-2021,251.97,261.54,250.48,256.08,300615,,0.0,0.0
18-10-2021,256.1,257.83,251.92,253.26,105225,,0.0,0.0
19-10-2021,253.33,260.18,247.96,251.18,112220,,0.0,0.0
20-10-2021,253.97,254.16,243.86,245.37,73235,,0.0,0.0
21-10-2021,245.37,250.28,244.46,248.35,88705,,0.0,0.0
22-10-2021,251.24,251.84,239.61,241.07,97170,,0.0,0.0
25-10-2021,241.57,247.75,236.09,244.0,147650,,0.0,0.0
26-10-2021,243.59,254.33,243.34,251.97,179200,,0.0,0.0
27-10-2021,252.22,255.72,243.01,245.22,80690,,0.0,0.0
28-10-2021,246.45,256.09,244.83,248.94,83120,,0.0,0.0
29-10-2021,249.78,260.95,245.76,257.16,116485,,0.0,0.0
01-11-2021,260.95,273.76,250.24,253.14,464555,,0.0,0.0
