Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,3.28,3.28,3.09,3.14,1400918,,0.0,0.0
09-08-2021,3.24,3.28,3.14,3.19,3517480,,0.0,0.0
10-08-2021,3.28,3.28,3.04,3.04,2932365,,0.0,0.0
11-08-2021,2.95,3.09,2.9,3.0,3671083,,0.0,0.0
12-08-2021,2.85,3.04,2.85,2.95,1260931,,0.0,0.0
13-08-2021,2.95,3.04,2.9,2.95,1688466,,0.0,0.0
16-08-2021,2.95,3.0,2.9,2.9,1501407,,0.0,0.0
17-08-2021,2.95,3.0,2.76,2.81,2200094,,0.0,0.0
18-08-2021,2.76,2.81,2.71,2.71,2784625,,0.0,0.0
20-08-2021,2.66,2.71,2.62,2.62,2548264,,0.0,0.0
23-08-2021,2.57,2.62,2.52,2.52,1987079,,0.0,0.0
24-08-2021,2.47,2.62,2.43,2.62,2817748,,0.0,0.0
25-08-2021,2.66,2.71,2.62,2.71,1394719,,0.0,0.0
26-08-2021,2.81,2.81,2.81,2.81,655047,,0.0,0.0
27-08-2021,2.9,2.9,2.85,2.9,1100080,,0.0,0.0
30-08-2021,3.04,3.04,3.04,3.04,820063,,0.0,0.0
31-08-2021,3.19,3.19,2.9,2.9,2205353,,0.0,0.0
01-09-2021,2.95,2.95,2.76,2.85,1096307,,0.0,0.0
02-09-2021,2.85,2.95,2.71,2.9,1803654,,0.0,0.0
03-09-2021,2.9,2.95,2.81,2.85,846182,,0.0,0.0
06-09-2021,2.9,2.95,2.76,2.81,1018475,,0.0,0.0
07-09-2021,2.85,2.85,2.76,2.81,1019326,,0.0,0.0
08-09-2021,2.81,2.85,2.76,2.76,1074187,,0.0,0.0
09-09-2021,2.76,2.85,2.76,2.81,976165,,0.0,0.0
13-09-2021,2.81,2.9,2.76,2.9,2084747,,0.0,0.0
14-09-2021,3.04,3.04,2.9,3.04,2824700,,0.0,0.0
15-09-2021,3.19,3.19,3.0,3.09,2585417,,0.0,0.0
16-09-2021,3.09,3.14,2.95,2.95,1730179,,0.0,0.0
17-09-2021,3.0,3.0,2.81,2.9,1999939,,0.0,0.0
20-09-2021,2.95,2.95,2.81,2.85,1355778,,0.0,0.0
21-09-2021,2.81,2.95,2.76,2.85,2144999,,0.0,0.0
22-09-2021,2.85,2.95,2.81,2.85,1094556,,0.0,0.0
23-09-2021,2.81,3.0,2.81,2.9,1666227,,0.0,0.0
24-09-2021,2.95,2.95,2.85,2.85,1216017,,0.0,0.0
27-09-2021,2.9,2.9,2.81,2.85,1808122,,0.0,0.0
28-09-2021,2.85,2.9,2.76,2.81,1208849,,0.0,0.0
29-09-2021,2.85,2.9,2.76,2.9,1775881,,0.0,0.0
30-09-2021,2.95,3.04,2.9,3.04,2616593,,0.0,0.0
01-10-2021,3.19,3.19,3.04,3.19,4188158,,0.0,0.0
04-10-2021,3.33,3.33,3.33,3.33,2526647,,0.0,0.0
05-10-2021,3.47,3.47,3.47,3.47,1141609,,0.0,0.0
06-10-2021,3.62,3.62,3.62,3.62,1170069,,0.0,0.0
07-10-2021,3.76,3.76,3.76,3.76,1699435,,0.0,0.0
08-10-2021,3.9,3.9,3.9,3.9,1131901,,0.0,0.0
11-10-2021,4.09,4.09,4.09,4.09,1102773,,0.0,0.0
12-10-2021,4.28,4.28,4.28,4.28,619624,,0.0,0.0
13-10-2021,4.47,4.47,4.47,4.47,838572,,0.0,0.0
14-10-2021,4.66,4.66,4.28,4.28,11645588,,0.0,0.0
18-10-2021,4.14,4.47,4.09,4.47,13900339,,0.0,0.0
19-10-2021,4.66,4.66,4.66,4.66,849118,,0.0,0.0
20-10-2021,4.85,4.85,4.47,4.85,12867884,,0.0,0.0
21-10-2021,5.09,5.09,5.09,5.09,693617,,0.0,0.0
22-10-2021,5.33,5.33,5.33,5.33,619911,,0.0,0.0
25-10-2021,5.57,5.57,5.23,5.57,6328009,,0.0,0.0
26-10-2021,5.8,5.8,5.8,5.8,634865,,0.0,0.0
27-10-2021,6.09,6.09,6.09,6.09,405459,,0.0,0.0
28-10-2021,6.37,6.37,6.37,6.37,785893,,0.0,0.0
29-10-2021,6.66,6.66,6.09,6.09,14053572,,0.0,0.0
01-11-2021,5.8,6.14,5.8,5.8,13952132,,0.0,0.0
02-11-2021,5.52,5.52,5.52,5.52,1303714,,0.0,0.0
03-11-2021,5.38,5.76,5.28,5.76,18519734,,0.0,0.0
04-11-2021,6.04,6.04,6.04,6.04,245499,,0.0,0.0
08-11-2021,6.33,6.33,6.33,6.33,713407,,0.0,0.0
09-11-2021,6.61,6.61,6.61,6.61,463947,,0.0,0.0
10-11-2021,6.9,6.9,6.9,6.9,686254,,0.0,0.0
11-11-2021,7.23,7.23,6.57,7.23,20085256,,0.0,0.0
12-11-2021,7.42,7.56,6.99,7.56,4349823,,0.0,0.0
15-11-2021,7.9,7.9,7.9,7.9,3014041,,0.0,0.0
16-11-2021,8.28,8.28,7.9,8.28,12180108,,0.0,0.0
17-11-2021,8.52,8.66,7.9,8.66,25532444,,0.0,0.0
18-11-2021,9.09,9.09,8.47,9.04,24476535,,0.0,0.0
22-11-2021,9.42,9.47,9.09,9.47,16813730,,0.0,0.0
23-11-2021,9.9,9.9,9.8,9.9,1827263,,0.0,0.0
24-11-2021,10.37,10.37,10.37,10.37,1097176,,0.0,0.0
25-11-2021,10.85,10.85,10.85,10.85,369778,,0.0,0.0
