Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,148.65,150.28,145.57,146.18,196442,,0.0,0.0
09-08-2021,146.98,147.38,144.88,145.85,131284,,0.0,0.0
10-08-2021,145.85,147.92,136.64,140.1,262284,,0.0,0.0
11-08-2021,140.81,143.64,135.75,142.76,251494,,0.0,0.0
12-08-2021,144.06,147.45,141.49,144.58,160818,,0.0,0.0
13-08-2021,145.78,154.05,144.58,151.79,1535110,,0.0,0.0
16-08-2021,153.48,162.53,151.69,159.61,3043028,,0.0,0.0
17-08-2021,162.06,164.41,153.25,155.72,1552282,,0.0,0.0
18-08-2021,157.23,157.46,152.78,155.6,318848,,0.0,0.0
20-08-2021,154.19,155.41,150.77,154.21,510802,,0.0,0.0
23-08-2021,156.87,157.42,144.63,145.8,458900,,0.0,0.0
24-08-2021,146.51,153.18,146.09,150.61,305208,,0.0,0.0
25-08-2021,150.8,154.99,148.11,148.68,262576,,0.0,0.0
26-08-2021,149.24,149.97,147.57,148.28,106874,,0.0,0.0
27-08-2021,149.2,149.31,147.55,148.06,106452,,0.0,0.0
30-08-2021,149.48,150.61,147.62,148.16,123808,,0.0,0.0
31-08-2021,149.62,152.16,147.45,148.47,256442,,0.0,0.0
01-09-2021,149.57,149.57,145.29,147.08,139486,,0.0,0.0
02-09-2021,145.8,149.93,145.8,148.47,180054,,0.0,0.0
03-09-2021,148.49,154.8,148.39,150.82,318232,,0.0,0.0
06-09-2021,152.82,153.11,147.59,148.39,178966,,0.0,0.0
07-09-2021,149.62,149.62,146.39,147.19,134996,,0.0,0.0
08-09-2021,146.13,149.05,146.09,146.32,244512,,0.0,0.0
09-09-2021,147.17,147.92,146.09,146.79,99880,,0.0,0.0
13-09-2021,148.94,152.16,147.22,150.16,411704,,0.0,0.0
14-09-2021,151.35,151.78,149.95,150.11,86944,,1.75,0.0
15-09-2021,151.47,152.42,149.66,151.73,133118,,0.0,0.0
16-09-2021,152.42,157.19,152.42,154.35,389486,,0.0,0.0
17-09-2021,156.38,156.71,151.49,152.07,152928,,0.0,0.0
20-09-2021,152.8,152.8,148.26,149.9,172764,,0.0,0.0
21-09-2021,148.4,150.16,147.3,148.45,120968,,0.0,0.0
22-09-2021,149.02,151.85,148.87,150.85,90826,,0.0,0.0
23-09-2021,151.9,154.23,149.57,150.23,156790,,0.0,0.0
24-09-2021,151.38,151.38,148.85,149.57,107670,,0.0,0.0
27-09-2021,150.33,155.09,149.85,150.28,181068,,0.0,0.0
28-09-2021,150.9,153.47,148.57,149.52,151226,,0.0,0.0
29-09-2021,149.57,152.19,148.92,149.85,184414,,0.0,0.0
30-09-2021,150.42,153.69,148.92,150.73,133452,,0.0,0.0
01-10-2021,151.07,155.42,150.07,153.57,311684,,0.0,0.0
04-10-2021,154.9,176.0,154.9,173.29,6446714,,0.0,0.0
05-10-2021,174.31,182.24,172.62,176.91,2932750,,0.0,0.0
06-10-2021,177.67,178.57,168.14,169.33,722954,,0.0,0.0
07-10-2021,170.6,175.62,169.86,174.1,669124,,0.0,0.0
08-10-2021,174.36,181.48,173.86,177.57,1010022,,0.0,0.0
11-10-2021,178.57,197.2,178.43,188.41,2696618,,0.0,0.0
12-10-2021,201.96,217.63,197.32,206.3,5340960,,0.0,0.0
13-10-2021,214.35,226.25,209.61,217.63,3022538,,0.0,0.0
14-10-2021,222.28,235.76,216.94,232.21,2402824,,0.0,0.0
18-10-2021,235.07,255.31,232.92,246.04,2218732,,0.0,0.0
19-10-2021,244.35,259.55,242.97,244.57,1593864,,0.0,0.0
20-10-2021,245.83,248.14,231.16,240.61,665966,,0.0,0.0
21-10-2021,242.93,244.21,233.71,237.23,314984,,0.0,0.0
22-10-2021,238.69,245.07,235.78,237.95,187258,,0.0,0.0
25-10-2021,239.47,240.54,214.35,232.35,207708,,0.0,0.0
26-10-2021,232.35,247.05,232.35,244.21,310924,,0.0,0.0
27-10-2021,246.24,249.59,241.14,242.38,219762,,0.0,0.0
28-10-2021,241.42,241.42,233.4,233.97,169262,,0.0,0.0
29-10-2021,232.47,236.26,231.35,234.21,149480,,0.0,0.0
01-11-2021,234.92,245.31,234.83,243.88,300168,,0.0,0.0
02-11-2021,246.21,254.76,234.4,238.21,861372,,0.0,0.0
03-11-2021,237.21,243.4,235.38,238.23,393536,,0.0,0.0
04-11-2021,238.64,242.45,235.78,240.61,51922,,0.0,0.0
08-11-2021,242.66,247.59,242.45,245.83,361560,,0.0,0.0
09-11-2021,247.64,250.55,239.11,239.97,565408,,0.0,0.0
10-11-2021,240.04,242.21,236.26,238.5,204288,,0.0,0.0
11-11-2021,237.38,240.97,235.04,240.21,173526,,0.0,0.0
12-11-2021,242.38,254.81,241.62,252.71,979330,,0.0,0.0
15-11-2021,257.45,274.84,256.5,263.57,1617658,,0.0,0.0
16-11-2021,264.07,264.07,239.11,247.57,1256660,,0.0,0.0
17-11-2021,246.02,247.4,238.8,240.26,390416,,0.0,0.0
18-11-2021,240.07,247.69,236.02,245.07,399622,,0.0,0.0
22-11-2021,243.4,245.83,227.3,233.61,487606,,0.0,0.0
23-11-2021,235.21,238.57,229.54,237.66,157504,,0.0,0.0
24-11-2021,239.57,246.74,239.11,245.28,369198,,0.0,0.0
25-11-2021,249.0,251.59,240.92,242.93,304028,,0.0,0.0
26-11-2021,241.97,244.43,234.83,236.59,228558,,0.0,0.0
29-11-2021,234.35,234.57,225.28,233.68,195534,,0.0,0.0
30-11-2021,237.45,240.5,233.37,233.92,113776,,0.0,0.0
01-12-2021,236.97,241.35,235.11,238.5,135938,,0.0,0.0
02-12-2021,238.5,242.42,237.66,240.02,377452,,0.0,0.0
03-12-2021,238.64,242.28,235.11,235.47,140438,,0.0,0.0
06-12-2021,236.19,238.61,233.42,236.49,295890,,0.0,0.0
07-12-2021,239.59,251.98,214.35,241.66,885774,,0.0,0.0
08-12-2021,242.45,247.59,239.02,240.31,126302,,0.0,0.0
09-12-2021,240.54,245.47,238.8,240.69,86766,,0.0,0.0
10-12-2021,239.5,249.59,239.5,242.9,151902,,0.0,0.0
13-12-2021,247.66,247.66,240.07,241.73,72756,,0.0,0.0
14-12-2021,242.66,242.66,233.87,235.8,150472,,0.0,0.0
15-12-2021,239.02,239.21,236.04,237.28,56144,,0.0,0.0
16-12-2021,238.16,242.88,236.23,239.09,85232,,0.0,0.0
17-12-2021,239.54,239.54,233.87,235.97,114960,,0.0,0.0
20-12-2021,235.78,238.07,229.59,230.21,209448,,0.0,0.0
21-12-2021,230.06,234.78,228.87,231.16,102284,,0.0,0.0
22-12-2021,234.83,235.11,231.87,233.57,45424,,0.0,0.0
23-12-2021,234.35,246.64,234.35,239.09,377962,,0.0,0.0
24-12-2021,239.59,243.95,235.3,238.59,119282,,0.0,0.0
27-12-2021,240.16,244.19,235.9,240.45,274254,,0.0,0.0
28-12-2021,245.26,250.67,227.21,238.57,620628,,0.0,0.0
29-12-2021,240.5,245.16,238.9,242.59,388094,,0.0,0.0
30-12-2021,242.93,244.54,238.21,239.3,81316,,0.0,0.0
31-12-2021,237.92,245.21,237.92,242.88,488152,,0.0,0.0
03-01-2022,242.88,257.21,242.88,247.07,1244588,,0.0,0.0
04-01-2022,249.81,261.98,248.36,258.45,1132456,,0.0,0.0
05-01-2022,258.83,259.6,251.52,253.76,257646,,0.0,0.0
06-01-2022,252.93,271.5,246.74,269.34,990384,,0.0,0.0
07-01-2022,270.55,275.41,265.31,268.48,634450,,0.0,0.0
10-01-2022,270.6,270.74,261.07,265.96,211328,,0.0,0.0
11-01-2022,263.67,267.38,258.52,260.72,221066,,0.0,0.0
12-01-2022,262.86,283.34,261.31,271.29,855504,,0.0,0.0
13-01-2022,275.1,276.01,268.19,270.31,213376,,0.0,0.0
14-01-2022,271.46,272.55,264.62,270.12,213906,,0.0,0.0
17-01-2022,267.36,271.55,263.45,264.38,126922,,0.0,0.0
18-01-2022,264.84,266.38,247.57,251.4,283502,,0.0,0.0
19-01-2022,251.98,256.4,251.5,252.28,162784,,0.0,0.0
20-01-2022,252.28,266.26,252.28,262.22,331938,,0.0,0.0
21-01-2022,259.12,263.41,242.95,254.21,187338,,0.0,0.0
24-01-2022,253.83,258.07,241.02,243.09,312584,,0.0,0.0
25-01-2022,245.31,256.48,235.8,252.95,185480,,0.0,0.0
27-01-2022,249.64,251.83,246.16,248.45,108754,,0.0,0.0
28-01-2022,251.98,273.89,250.67,262.55,734026,,0.0,0.0
31-01-2022,266.5,269.12,248.5,254.79,301584,,0.0,0.0
01-02-2022,256.83,269.12,253.09,255.29,150574,,0.0,0.0
02-02-2022,255.79,272.79,255.79,268.79,754980,,0.0,0.0
03-02-2022,273.89,275.31,262.45,268.65,739408,,0.0,0.0
04-02-2022,270.6,273.41,267.17,269.38,237200,,0.0,0.0
07-02-2022,269.48,274.77,267.22,268.36,184106,,0.0,0.0
08-02-2022,270.1,272.41,253.17,261.98,269902,,0.0,0.0
09-02-2022,266.26,266.26,254.83,255.33,226236,,0.0,0.0
10-02-2022,258.12,258.12,252.93,253.74,103842,,0.0,0.0
11-02-2022,255.26,255.31,248.21,252.4,124572,,0.0,0.0
14-02-2022,250.93,251.5,243.4,245.33,169870,,0.0,0.0
15-02-2022,245.4,253.81,238.19,251.74,230344,,0.0,0.0
16-02-2022,251.74,256.98,251.05,252.26,150518,,0.0,0.0
17-02-2022,250.55,253.31,250.07,250.86,70526,,0.0,0.0
18-02-2022,252.4,252.52,246.16,248.88,71518,,0.0,0.0
21-02-2022,246.24,249.83,239.19,245.16,124992,,0.0,0.0
22-02-2022,234.14,239.45,233.4,236.07,242930,,0.0,0.0
23-02-2022,237.76,243.95,236.33,237.33,330286,,0.0,0.0
24-02-2022,235.3,236.73,227.02,232.21,187670,,0.0,0.0
25-02-2022,233.52,241.57,233.49,236.71,178098,,0.0,0.0
28-02-2022,236.71,246.24,233.02,242.78,128590,,0.0,0.0
02-03-2022,239.0,246.5,239.0,244.43,150422,,0.0,0.0
03-03-2022,244.83,255.31,241.78,244.76,133668,,0.0,0.0
04-03-2022,243.12,248.64,241.83,243.69,349540,,0.0,0.0
07-03-2022,240.54,242.93,235.38,238.92,321764,,0.0,0.0
08-03-2022,238.11,245.26,238.11,243.95,331004,,0.0,0.0
09-03-2022,245.62,250.07,245.31,245.5,481264,,0.0,0.0
10-03-2022,248.19,260.53,248.19,256.4,747044,,0.0,0.0
11-03-2022,256.69,261.98,254.88,257.48,454380,,0.0,0.0
14-03-2022,261.03,268.53,257.17,264.1,724962,,0.0,0.0
15-03-2022,262.0,266.55,255.4,259.76,333100,,0.0,0.0
16-03-2022,265.79,271.03,263.91,266.65,183128,,0.0,0.0
17-03-2022,268.69,270.53,263.0,266.03,97938,,0.0,0.0
21-03-2022,268.22,283.15,268.22,273.96,672234,,0.0,0.0
22-03-2022,279.6,285.17,274.36,276.39,895116,,0.0,0.0
23-03-2022,279.44,280.7,269.12,271.36,206486,,0.0,0.0
24-03-2022,273.27,273.27,264.84,266.81,167020,,0.0,0.0
25-03-2022,269.6,270.55,264.36,265.69,225086,,0.0,0.0
28-03-2022,266.74,268.36,250.78,254.76,217358,,0.0,0.0
29-03-2022,254.69,261.5,252.0,255.5,201902,,0.0,0.0
30-03-2022,257.74,270.53,257.14,266.93,200648,,0.0,0.0
31-03-2022,269.6,271.34,261.98,262.72,76764,,0.0,0.0
01-04-2022,262.05,270.84,261.98,263.41,131690,,0.0,0.0
04-04-2022,264.93,278.05,262.53,272.89,336218,,0.0,0.0
05-04-2022,274.58,275.77,269.17,271.12,276030,,0.0,0.0
06-04-2022,271.03,280.67,265.62,278.41,471992,,0.0,0.0
07-04-2022,280.55,288.25,269.22,271.74,978648,,0.0,0.0
08-04-2022,274.84,286.82,272.74,282.96,600778,,0.0,0.0
11-04-2022,287.7,300.04,284.15,288.99,2012302,,0.0,0.0
12-04-2022,288.87,289.94,281.03,285.46,416388,,0.0,0.0
13-04-2022,287.77,294.84,285.79,287.82,354938,,0.0,0.0
18-04-2022,285.08,286.01,273.89,275.36,351956,,0.0,0.0
19-04-2022,276.27,289.1,276.27,279.24,302412,,0.0,0.0
20-04-2022,281.94,285.25,277.27,282.63,182246,,0.0,0.0
21-04-2022,284.37,289.82,280.67,283.65,205130,,0.0,0.0
22-04-2022,282.22,288.32,279.6,282.36,251954,,0.0,0.0
25-04-2022,280.55,282.94,268.17,273.79,249824,,0.0,0.0
26-04-2022,277.55,285.75,276.74,279.39,431416,,0.0,0.0
27-04-2022,278.41,279.79,276.41,277.39,151302,,0.0,0.0
28-04-2022,279.27,289.6,277.17,288.49,396442,,0.0,0.0
29-04-2022,291.96,295.68,281.03,281.36,346100,,0.0,0.0
02-05-2022,282.79,289.32,275.03,286.87,278240,,0.0,0.0
04-05-2022,289.94,297.73,281.05,284.01,446966,,0.0,0.0
05-05-2022,286.77,291.51,284.84,289.41,298544,,0.0,0.0
06-05-2022,280.39,289.72,277.41,287.96,276542,,0.0,0.0
09-05-2022,287.22,287.22,277.65,279.39,122988,,0.0,0.0
10-05-2022,282.1,283.17,266.74,269.98,249236,,0.0,0.0
11-05-2022,266.74,272.43,254.74,262.45,304242,,0.0,0.0
12-05-2022,257.69,267.86,256.05,260.79,112360,,0.0,0.0
13-05-2022,259.12,270.53,255.57,264.24,172102,,0.0,0.0
16-05-2022,258.17,267.98,258.17,261.69,71184,,0.0,0.0
17-05-2022,263.0,271.22,263.0,269.48,82848,,0.0,0.0
18-05-2022,270.1,275.58,268.6,269.88,108816,,0.0,0.0
19-05-2022,265.07,269.12,261.03,265.62,73432,,0.0,0.0
20-05-2022,268.65,277.55,267.22,275.03,99012,,0.0,0.0
23-05-2022,275.27,275.32,254.69,261.29,166552,,0.0,0.0
24-05-2022,261.29,265.5,257.29,261.98,53724,,0.0,0.0
25-05-2022,262.43,264.31,257.93,262.79,96158,,0.0,0.0
26-05-2022,261.6,262.98,250.07,260.91,153922,,0.0,0.0
27-05-2022,259.6,267.22,258.55,265.31,268414,,0.0,0.0
30-05-2022,265.31,273.55,261.76,262.88,246818,,0.0,0.0
31-05-2022,259.6,266.98,259.6,263.86,209654,,0.0,0.0
