Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,180.32,181.85,179.75,180.23,228021,,0.0,0.0
09-08-2021,180.23,181.56,179.37,179.89,248257,,0.0,0.0
10-08-2021,180.46,180.75,176.51,177.36,267567,,0.0,0.0
11-08-2021,177.84,180.75,172.78,178.75,396296,,0.0,0.0
12-08-2021,179.37,184.14,178.32,180.08,515321,,0.0,0.0
13-08-2021,177.89,185.47,177.46,178.41,2162360,,0.0,0.0
16-08-2021,179.27,179.27,175.17,176.6,340940,,0.0,0.0
17-08-2021,176.31,176.89,172.69,174.64,257727,,0.0,0.0
18-08-2021,175.46,176.51,172.69,173.45,215898,,0.0,0.0
20-08-2021,172.88,173.21,170.88,171.31,261324,,0.0,0.0
23-08-2021,172.69,173.6,166.58,166.96,235923,,0.0,0.0
24-08-2021,167.54,170.11,166.01,168.59,232867,,0.0,0.0
25-08-2021,169.25,172.21,168.92,170.54,247008,,0.0,0.0
26-08-2021,174.12,176.22,172.02,174.45,398218,,0.0,0.0
27-08-2021,174.6,175.55,172.69,173.12,106328,,0.0,0.0
30-08-2021,173.83,175.5,173.64,174.02,112099,,0.0,0.0
31-08-2021,174.17,175.12,172.93,174.07,121906,,0.0,0.0
01-09-2021,173.17,175.07,172.78,173.98,114592,,0.0,0.0
02-09-2021,174.6,180.7,173.74,177.46,424506,,0.0,0.0
03-09-2021,178.27,180.18,176.98,177.94,286592,,0.0,0.0
06-09-2021,178.41,183.66,176.55,178.94,408439,,0.0,0.0
07-09-2021,178.79,179.75,175.88,176.79,132960,,0.0,0.0
08-09-2021,175.93,177.08,175.07,175.36,126134,,0.0,0.0
09-09-2021,175.93,177.75,174.79,175.46,170394,,0.0,0.0
13-09-2021,176.36,180.23,175.17,177.17,364729,,0.0,0.0
14-09-2021,178.03,181.08,177.65,179.84,306924,,0.0,0.0
15-09-2021,180.32,181.56,179.41,180.27,271933,,0.0,0.0
16-09-2021,179.51,181.18,177.84,178.22,213828,,0.0,0.0
17-09-2021,179.08,179.18,175.26,176.55,378938,,0.0,0.0
20-09-2021,175.55,177.79,173.83,176.08,277553,,0.0,0.0
21-09-2021,177.16,178.9,174.18,177.88,209396,,1.58,0.0
22-09-2021,177.84,179.14,176.1,178.46,245272,,0.0,0.0
23-09-2021,179.09,181.59,177.74,178.65,173798,,0.0,0.0
24-09-2021,178.99,179.57,176.59,178.37,171128,,0.0,0.0
27-09-2021,178.99,179.28,176.59,178.13,136854,,0.0,0.0
28-09-2021,178.9,178.99,176.49,178.03,179884,,0.0,0.0
29-09-2021,176.59,182.6,176.2,181.88,502539,,0.0,0.0
30-09-2021,183.32,183.42,179.95,180.72,183773,,0.0,0.0
01-10-2021,180.92,182.74,179.91,181.06,158209,,0.0,0.0
04-10-2021,182.74,183.75,180.92,181.25,334657,,0.0,0.0
05-10-2021,182.26,182.36,180.92,181.06,148477,,0.0,0.0
06-10-2021,182.74,182.84,179.57,179.91,166389,,0.0,0.0
07-10-2021,182.55,192.18,181.93,190.59,2705300,,0.0,0.0
08-10-2021,192.46,195.35,186.93,187.51,1086571,,0.0,0.0
11-10-2021,188.57,192.8,186.83,189.14,590029,,0.0,0.0
12-10-2021,188.61,193.04,185.73,190.88,915131,,0.0,0.0
13-10-2021,191.45,197.76,190.15,190.78,1831780,,0.0,0.0
14-10-2021,191.79,197.28,188.37,192.66,814496,,0.0,0.0
18-10-2021,194.0,197.28,191.5,192.56,970967,,0.0,0.0
19-10-2021,194.24,194.29,187.7,190.92,577723,,0.0,0.0
20-10-2021,189.96,189.96,184.04,185.34,306588,,0.0,0.0
21-10-2021,184.81,193.43,182.36,190.92,417127,,0.0,0.0
22-10-2021,192.51,193.33,183.8,184.96,371717,,0.0,0.0
25-10-2021,185.82,186.74,180.05,181.73,222432,,0.0,0.0
26-10-2021,182.07,184.67,181.93,182.6,137378,,0.0,0.0
27-10-2021,182.84,187.65,182.22,183.23,226964,,0.0,0.0
28-10-2021,183.8,184.14,178.51,179.67,171679,,0.0,0.0
29-10-2021,179.14,180.44,176.25,177.12,208284,,0.0,0.0
01-11-2021,177.84,191.02,177.6,188.61,792810,,0.0,0.0
02-11-2021,189.19,189.38,185.44,187.75,270961,,0.0,0.0
03-11-2021,188.57,195.16,187.07,190.59,903658,,0.0,0.0
04-11-2021,192.13,194.29,190.54,191.74,184364,,0.0,0.0
08-11-2021,192.46,196.55,189.77,191.6,982779,,0.0,0.0
09-11-2021,191.02,193.43,190.15,191.12,318582,,0.0,0.0
10-11-2021,192.37,197.18,186.69,187.51,1206610,,0.0,0.0
11-11-2021,187.65,192.42,184.86,190.83,575785,,0.0,0.0
12-11-2021,191.79,192.61,189.1,190.54,416064,,0.0,0.0
15-11-2021,191.45,191.84,186.83,188.33,169222,,0.0,0.0
16-11-2021,188.57,189.53,187.41,188.57,148921,,0.0,0.0
17-11-2021,188.37,189.19,185.63,186.06,165797,,0.0,0.0
18-11-2021,186.06,187.8,183.18,186.93,268671,,0.0,0.0
22-11-2021,187.65,187.65,178.17,178.8,255658,,0.0,0.0
23-11-2021,178.08,181.2,177.45,180.43,80530,,0.0,0.0
24-11-2021,181.11,183.9,178.13,179.23,90615,,0.0,0.0
25-11-2021,179.71,183.71,178.51,182.12,103217,,0.0,0.0
