Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,1428.69,1465.68,1359.85,1375.58,395017,,0.0,0.0
09-08-2021,1332.89,1362.55,1232.05,1241.39,839773,,0.0,0.0
10-08-2021,1250.82,1295.85,1223.07,1263.05,318684,,0.0,0.0
11-08-2021,1258.01,1272.74,1192.77,1251.22,228636,,0.0,0.0
12-08-2021,1257.71,1324.91,1255.27,1311.98,323719,,0.0,0.0
13-08-2021,1321.91,1344.82,1303.99,1328.85,195477,,0.0,0.0
16-08-2021,1328.9,1332.89,1288.96,1292.56,124915,,0.0,0.0
17-08-2021,1285.97,1297.95,1269.99,1278.03,116657,,0.0,0.0
18-08-2021,1278.98,1293.96,1250.87,1259.31,127886,,0.0,0.0
20-08-2021,1243.04,1292.86,1228.21,1232.9,125701,,0.0,0.0
23-08-2021,1244.88,1256.02,1156.17,1174.29,191304,,0.0,0.0
24-08-2021,1177.09,1205.54,1161.56,1188.72,130112,,0.0,0.0
25-08-2021,1198.11,1245.53,1193.61,1231.1,155417,,0.0,0.0
26-08-2021,1238.94,1272.99,1219.27,1264.45,159827,,0.0,0.0
27-08-2021,1263.0,1284.97,1240.34,1267.25,113233,,0.0,0.0
30-08-2021,1269.99,1299.15,1267.85,1282.62,113148,,0.0,0.0
31-08-2021,1294.75,1295.35,1261.01,1265.3,95686,,0.0,0.0
01-09-2021,1276.98,1277.73,1241.64,1249.33,76120,,0.0,0.0
02-09-2021,1253.02,1272.99,1242.59,1263.35,86170,,0.0,0.0
03-09-2021,1267.9,1342.88,1264.0,1331.05,373135,,0.0,0.0
06-09-2021,1341.73,1391.8,1309.93,1386.16,331800,,0.0,0.0
07-09-2021,1404.88,1425.25,1364.09,1379.42,378981,,0.0,0.0
08-09-2021,1387.81,1395.79,1358.1,1369.84,130885,,0.0,0.0
09-09-2021,1364.84,1377.77,1358.85,1368.24,52735,,0.0,0.0
13-09-2021,1362.85,1427.64,1359.15,1404.08,450601,,0.0,0.0
14-09-2021,1422.75,1432.74,1409.37,1417.41,230032,,0.0,0.0
15-09-2021,1425.75,1471.57,1412.77,1432.89,333540,,0.0,0.0
16-09-2021,1438.73,1455.65,1425.25,1429.49,161944,,0.0,0.0
17-09-2021,1439.67,1441.97,1372.88,1407.83,140227,,0.0,0.0
20-09-2021,1405.78,1407.78,1350.72,1371.73,98302,,0.0,0.0
21-09-2021,1362.85,1403.23,1309.93,1399.54,136341,,0.0,0.0
22-09-2021,1447.71,1467.68,1410.82,1416.86,192558,,0.0,0.0
23-09-2021,1436.03,1436.03,1407.78,1423.65,78212,,0.0,0.0
24-09-2021,1430.54,1430.74,1397.34,1412.17,97506,,0.0,0.0
27-09-2021,1423.7,1455.7,1401.78,1419.66,172530,,0.0,0.0
28-09-2021,1422.75,1439.67,1384.31,1398.54,88385,,0.0,0.0
29-09-2021,1388.81,1414.76,1388.81,1397.69,69577,,0.0,0.0
30-09-2021,1404.68,1476.67,1388.36,1459.34,319167,,0.0,0.0
01-10-2021,1457.7,1521.6,1453.2,1472.52,669753,,0.0,0.0
04-10-2021,1481.61,1502.63,1462.69,1474.92,168226,,0.0,0.0
05-10-2021,1473.67,1497.63,1452.85,1475.62,119671,,0.0,0.0
06-10-2021,1502.63,1519.8,1469.28,1475.67,183690,,0.0,0.0
07-10-2021,1497.43,1497.43,1466.68,1477.22,80042,,0.0,0.0
08-10-2021,1482.66,1636.41,1469.98,1610.7,1494877,,0.0,0.0
11-10-2021,1639.41,1769.0,1639.41,1745.94,931156,,0.0,0.0
12-10-2021,1746.24,1749.19,1684.54,1718.58,425985,,0.0,0.0
13-10-2021,1717.19,1741.25,1692.87,1707.85,205910,,0.0,0.0
14-10-2021,1714.74,1742.25,1692.33,1698.02,193600,,0.0,0.0
18-10-2021,1708.3,1807.14,1697.82,1722.53,365052,,0.0,0.0
19-10-2021,1726.27,1785.78,1672.36,1692.63,307188,,0.0,0.0
20-10-2021,1693.32,1694.27,1503.62,1534.08,384942,,0.0,0.0
21-10-2021,1577.31,1592.18,1527.59,1574.66,165597,,0.0,0.0
22-10-2021,1574.66,1592.28,1512.61,1543.51,130245,,0.0,0.0
25-10-2021,1558.99,1560.03,1449.71,1485.45,139685,,0.0,0.0
26-10-2021,1502.43,1662.37,1499.58,1642.5,388250,,0.0,0.0
27-10-2021,1654.09,1660.73,1578.61,1589.09,90207,,0.0,0.0
28-10-2021,1582.55,1637.41,1560.53,1586.74,146410,,0.0,0.0
29-10-2021,1587.49,1636.41,1511.16,1615.35,168412,,0.0,0.0
01-11-2021,1619.54,1717.29,1597.43,1703.06,232518,,0.0,0.0
02-11-2021,1702.31,1786.03,1670.46,1763.66,339483,,0.0,0.0
03-11-2021,1797.11,1837.1,1717.29,1736.21,275683,,0.0,0.0
04-11-2021,1765.21,1765.21,1742.25,1751.48,33547,,0.0,0.0
08-11-2021,1762.86,1869.85,1727.72,1818.18,494070,,0.0,0.0
09-11-2021,1823.22,1885.02,1823.22,1866.9,272065,,0.0,0.0
10-11-2021,1866.9,1874.44,1842.14,1856.42,92185,,0.0,0.0
11-11-2021,1847.48,1864.0,1826.16,1850.88,122765,,0.0,0.0
12-11-2021,1868.05,1922.96,1842.69,1898.65,205176,,0.0,0.0
15-11-2021,1931.9,1945.93,1882.23,1896.15,118876,,0.0,0.0
16-11-2021,1893.01,1900.95,1862.66,1890.21,89415,,0.0,0.0
17-11-2021,1896.95,1897.8,1870.79,1878.58,82112,,0.0,0.0
18-11-2021,1891.01,1956.26,1879.48,1889.76,168669,,0.0,0.0
22-11-2021,1889.01,1911.98,1749.29,1870.19,229727,,0.0,0.0
23-11-2021,1851.07,1897.0,1825.42,1859.01,97224,,0.0,0.0
24-11-2021,1879.03,2193.53,1869.05,2139.42,1213432,,0.0,0.0
25-11-2021,2126.54,2387.23,2064.94,2287.19,1314824,,0.0,0.0
26-11-2021,2236.47,2344.3,2148.6,2182.95,486763,,0.0,0.0
29-11-2021,2151.6,2156.59,2003.83,2031.84,310070,,0.0,0.0
30-11-2021,2033.24,2172.02,2020.81,2107.72,484464,,0.0,0.0
01-12-2021,2121.65,2304.31,2115.31,2250.44,606822,,0.0,0.0
02-12-2021,2272.01,2297.87,2227.28,2246.2,238114,,0.0,0.0
03-12-2021,2246.2,2278.25,2216.55,2240.81,151935,,0.0,0.0
06-12-2021,2258.53,2376.24,2240.46,2260.88,376811,,0.0,0.0
07-12-2021,2293.38,2333.26,2252.54,2292.18,157702,,0.0,0.0
08-12-2021,2318.34,2386.23,2256.43,2280.25,263031,,0.0,0.0
09-12-2021,2302.36,2335.96,2252.44,2311.2,173593,,0.0,0.0
10-12-2021,2326.32,2419.18,2300.91,2387.48,356788,,0.0,0.0
13-12-2021,2414.19,2471.59,2370.5,2386.08,197235,,0.0,0.0
14-12-2021,2384.23,2406.05,2341.3,2353.83,107904,,0.0,0.0
15-12-2021,2373.25,2390.17,2239.66,2269.21,126719,,0.0,0.0
16-12-2021,2298.87,2324.38,2196.53,2221.09,132424,,0.0,0.0
17-12-2021,2226.68,2259.43,2178.91,2208.16,117737,,0.0,0.0
20-12-2021,2183.55,2183.55,2026.8,2086.65,182971,,0.0,0.0
21-12-2021,2121.65,2193.08,2114.96,2134.23,96756,,0.0,0.0
22-12-2021,2144.91,2304.36,2144.91,2291.38,240155,,0.0,0.0
23-12-2021,2324.33,2336.01,2256.43,2270.71,85459,,0.0,0.0
24-12-2021,2273.41,2282.19,2221.49,2242.26,95479,,0.0,0.0
27-12-2021,2242.26,2265.07,2196.53,2234.42,69342,,0.0,0.0
28-12-2021,2245.15,2316.34,2244.4,2277.05,78287,,0.0,0.0
29-12-2021,2276.4,2305.81,2258.33,2264.57,55075,,0.0,0.0
30-12-2021,2273.26,2331.02,2268.42,2279.7,122493,,0.0,0.0
31-12-2021,2286.39,2526.01,2281.99,2459.16,517002,,0.0,0.0
03-01-2022,2484.07,2559.26,2426.27,2447.03,311248,,0.0,0.0
04-01-2022,2457.02,2488.47,2382.24,2443.29,235944,,0.0,0.0
05-01-2022,2444.14,2460.41,2392.22,2400.81,120968,,0.0,0.0
06-01-2022,2354.28,2411.19,2354.28,2368.01,76911,,0.0,0.0
07-01-2022,2389.47,2401.51,2290.93,2306.46,137670,,0.0,0.0
10-01-2022,2318.59,2334.31,2278.4,2301.66,87333,,0.0,0.0
11-01-2022,2297.47,2330.42,2276.4,2288.18,71889,,0.0,0.0
12-01-2022,2301.36,2369.26,2295.37,2322.58,125523,,0.0,0.0
13-01-2022,2328.87,2353.03,2307.35,2336.51,59886,,0.0,0.0
14-01-2022,2277.7,2369.21,2277.7,2344.35,73956,,0.0,0.0
17-01-2022,2346.29,2406.05,2328.02,2341.05,116657,,0.0,0.0
18-01-2022,2351.23,2381.24,2302.21,2314.49,86448,,0.0,0.0
19-01-2022,2306.36,2306.36,2249.89,2292.43,62921,,0.0,0.0
20-01-2022,2296.27,2334.21,2273.46,2286.89,47671,,0.0,0.0
21-01-2022,2286.39,2296.37,2144.56,2184.7,121877,,0.0,0.0
24-01-2022,2149.6,2181.1,2016.81,2050.36,184926,,0.0,0.0
25-01-2022,1996.84,2200.52,1936.94,2153.8,147008,,0.0,0.0
27-01-2022,2116.66,2204.72,2107.07,2140.82,86099,,0.0,0.0
28-01-2022,2161.58,2203.42,2147.66,2162.38,69543,,0.0,0.0
31-01-2022,2203.27,2214.2,2146.61,2159.94,47855,,0.0,0.0
01-02-2022,2186.54,2246.45,2148.65,2233.62,128632,,0.0,0.0
02-02-2022,2246.45,2316.34,2241.51,2269.61,126129,,0.0,0.0
03-02-2022,2289.18,2290.68,2246.45,2250.49,46929,,0.0,0.0
04-02-2022,2256.38,2276.4,2192.04,2209.11,48020,,0.0,0.0
07-02-2022,2202.62,2214.65,2130.48,2145.26,55990,,0.0,0.0
08-02-2022,2146.61,2187.39,2078.72,2091.35,69087,,0.0,0.0
09-02-2022,2111.66,2120.3,2059.75,2077.07,85988,,0.0,0.0
10-02-2022,2087.7,2112.56,2041.77,2060.69,58265,,0.0,0.0
11-02-2022,2015.81,2045.97,1983.42,1993.5,159652,,0.0,0.0
14-02-2022,1986.86,1988.81,1867.05,1889.11,99517,,0.0,0.0
