Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
20-06-2025,634.0,652.0,622.25,625.35,16374659,,0.0,0.0
23-06-2025,615.5,634.9,614.25,620.05,2631664,,0.0,0.0
24-06-2025,628.2,639.4,622.0,632.0,2167879,,0.0,0.0
25-06-2025,634.7,675.9,630.25,657.7,5856114,,0.0,0.0
26-06-2025,666.0,696.0,660.05,677.2,4993014,,0.0,0.0
27-06-2025,682.0,697.8,661.25,692.7,2525016,,0.0,0.0
30-06-2025,693.5,718.0,684.25,704.3,2442653,,0.0,0.0
01-07-2025,705.0,713.4,665.0,673.55,1871154,,0.0,0.0
02-07-2025,676.0,682.8,660.1,671.0,1124982,,0.0,0.0
03-07-2025,672.95,688.2,649.15,684.85,1259572,,0.0,0.0
04-07-2025,684.1,703.9,677.9,693.75,1089991,,0.0,0.0
07-07-2025,698.0,713.75,690.0,701.65,1200968,,0.0,0.0
08-07-2025,704.0,740.0,700.1,736.9,2644736,,0.0,0.0
09-07-2025,742.2,764.2,731.1,738.3,2940817,,0.0,0.0
10-07-2025,744.0,754.2,730.25,735.65,1313819,,0.0,0.0
11-07-2025,714.9,725.9,685.0,689.5,3599076,,0.0,0.0
14-07-2025,692.95,696.8,676.6,683.15,966259,,0.0,0.0
15-07-2025,686.0,694.8,674.75,680.45,781186,,0.0,0.0
16-07-2025,680.45,693.0,679.05,685.9,927591,,0.0,0.0
17-07-2025,690.0,712.15,684.0,703.95,1672361,,0.0,0.0
18-07-2025,704.0,729.0,687.2,724.3,1811755,,0.0,0.0
21-07-2025,735.0,750.1,721.0,741.75,2262002,,0.0,0.0
22-07-2025,752.0,774.0,736.0,756.1,2107113,,0.0,0.0
23-07-2025,766.0,781.15,762.55,769.4,1424100,,0.0,0.0
24-07-2025,769.4,774.9,750.2,757.85,591509,,0.0,0.0
25-07-2025,754.9,760.0,736.1,743.0,501215,,0.0,0.0
28-07-2025,739.95,740.95,710.0,715.15,741440,,0.0,0.0
29-07-2025,710.75,727.0,692.15,717.75,696292,,0.0,0.0
30-07-2025,726.0,736.15,717.2,719.8,511285,,0.0,0.0
31-07-2025,703.0,747.0,702.05,743.2,702910,,0.0,0.0
01-08-2025,744.95,754.2,721.1,726.2,627601,,0.0,0.0
04-08-2025,732.0,752.1,718.85,748.8,766823,,0.0,0.0
05-08-2025,785.0,787.7,747.0,753.8,2267272,,0.0,0.0
06-08-2025,759.9,765.0,720.25,730.95,606230,,0.0,0.0
07-08-2025,725.0,780.8,707.6,776.2,1715111,,0.0,0.0
08-08-2025,782.85,795.0,769.15,777.3,1351697,,0.0,0.0
11-08-2025,781.9,789.25,757.0,762.0,566985,,0.0,0.0
12-08-2025,760.0,779.0,755.65,769.45,559597,,0.0,0.0
13-08-2025,775.0,819.0,772.95,803.95,1870255,,0.0,0.0
14-08-2025,807.5,807.5,785.15,794.45,516087,,0.0,0.0
18-08-2025,825.0,825.0,795.4,807.65,593188,,0.0,0.0
19-08-2025,807.65,857.7,790.9,845.85,1279935,,0.0,0.0
20-08-2025,849.0,864.7,836.5,852.9,835193,,0.0,0.0
21-08-2025,859.0,888.4,852.05,865.85,840831,,0.0,0.0
22-08-2025,865.0,881.8,860.3,873.8,519750,,0.0,0.0
25-08-2025,874.0,884.0,840.6,844.35,637801,,0.0,0.0
26-08-2025,844.4,856.3,830.0,834.95,299398,,0.0,0.0
28-08-2025,831.75,839.0,809.0,811.35,464129,,0.0,0.0
29-08-2025,806.05,829.7,788.4,792.55,436249,,0.0,0.0
01-09-2025,798.25,832.05,793.95,828.05,436678,,0.0,0.0
02-09-2025,830.0,838.65,806.75,816.25,440341,,0.0,0.0
03-09-2025,816.75,846.0,816.75,837.7,431958,,0.0,0.0
04-09-2025,844.6,844.7,800.8,804.5,415080,,0.0,0.0
05-09-2025,808.0,835.45,794.0,825.35,433527,,0.0,0.0
08-09-2025,827.25,831.0,809.0,814.6,246832,,0.0,0.0
09-09-2025,820.0,823.65,806.6,810.05,161279,,0.0,0.0
10-09-2025,818.5,818.5,795.65,799.9,264440,,0.0,0.0
11-09-2025,800.05,819.5,799.0,811.05,193969,,0.0,0.0
12-09-2025,812.0,817.0,803.2,810.45,178260,,0.0,0.0
15-09-2025,811.35,840.0,811.35,822.0,533386,,0.0,0.0
16-09-2025,822.0,825.95,776.25,783.9,933953,,0.0,0.0
17-09-2025,789.95,795.65,777.9,793.75,566792,,0.0,0.0
18-09-2025,799.85,802.65,787.25,794.6,301466,,0.0,0.0
19-09-2025,794.1,802.95,790.0,791.85,197274,,0.0,0.0
22-09-2025,791.0,791.8,779.8,784.4,214355,,0.0,0.0
23-09-2025,788.0,802.9,781.95,782.9,247294,,0.0,0.0
24-09-2025,782.7,788.7,762.25,763.75,309071,,0.0,0.0
25-09-2025,763.0,777.05,742.2,746.05,316026,,0.0,0.0
26-09-2025,746.0,750.05,720.55,724.6,303940,,0.0,0.0
29-09-2025,727.9,744.65,725.1,730.4,385898,,0.0,0.0
30-09-2025,733.05,739.3,717.3,722.0,171914,,0.0,0.0
01-10-2025,727.6,737.25,722.4,733.7,175444,,0.0,0.0
03-10-2025,734.65,759.0,729.9,753.25,274656,,0.0,0.0
06-10-2025,752.4,780.0,747.35,774.85,317144,,0.0,0.0
07-10-2025,774.0,775.15,746.0,750.7,196121,,0.0,0.0
08-10-2025,749.6,762.85,725.1,730.35,244706,,0.0,0.0
09-10-2025,725.1,739.8,725.0,729.45,202574,,0.0,0.0
10-10-2025,735.0,790.0,735.0,773.95,1129616,,0.0,0.0
13-10-2025,773.95,773.95,756.1,759.45,229609,,0.0,0.0
14-10-2025,759.95,760.95,736.0,743.2,177832,,0.0,0.0
15-10-2025,739.55,742.55,734.45,737.35,208272,,0.0,0.0
16-10-2025,743.25,749.3,738.05,745.25,144742,,0.0,0.0
17-10-2025,747.95,747.95,729.9,733.25,207390,,0.0,0.0
20-10-2025,745.0,764.8,730.25,757.2,289655,,0.0,0.0
21-10-2025,779.0,779.0,767.55,769.75,135369,,0.0,0.0
23-10-2025,770.0,772.1,756.0,758.15,146045,,0.0,0.0
24-10-2025,760.0,763.75,737.0,745.4,179491,,0.0,0.0
27-10-2025,748.85,748.85,728.5,733.9,248803,,0.0,0.0
28-10-2025,733.9,743.7,731.15,737.75,184092,,0.0,0.0
29-10-2025,745.0,746.0,736.3,739.05,153846,,0.0,0.0
30-10-2025,738.95,739.0,724.95,729.2,179477,,0.0,0.0
31-10-2025,730.0,734.45,723.3,725.9,107618,,0.0,0.0
03-11-2025,725.9,725.9,715.0,720.85,143325,,0.0,0.0
04-11-2025,720.0,721.85,705.0,708.45,156836,,0.0,0.0
06-11-2025,709.85,711.95,672.85,675.2,414147,,0.0,0.0
07-11-2025,675.15,710.0,662.45,705.5,326802,,0.0,0.0
10-11-2025,709.85,713.0,671.85,674.9,260334,,0.0,0.0
11-11-2025,677.0,677.05,647.25,650.2,373830,,0.0,0.0
12-11-2025,656.0,659.0,629.4,636.75,458196,,0.0,0.0
13-11-2025,643.95,643.95,634.0,636.0,315030,,0.0,0.0
14-11-2025,645.0,674.0,627.0,656.9,1039333,,0.0,0.0
17-11-2025,661.5,678.0,661.0,670.85,328631,,0.0,0.0
18-11-2025,674.0,674.0,654.0,656.75,261840,,0.0,0.0
19-11-2025,657.1,659.4,630.0,632.45,481537,,0.0,0.0
20-11-2025,632.0,639.25,629.5,632.3,212607,,0.0,0.0
21-11-2025,632.0,634.55,612.0,614.1,211413,,0.0,0.0
24-11-2025,614.0,614.1,568.85,573.35,608357,,0.0,0.0
25-11-2025,573.35,581.55,562.0,565.6,455387,,0.0,0.0
26-11-2025,569.9,580.7,565.3,569.85,312713,,0.0,0.0
27-11-2025,573.0,575.0,557.35,559.25,181439,,0.0,0.0
28-11-2025,559.45,564.75,547.15,551.25,425330,,0.0,0.0
01-12-2025,542.0,558.95,531.7,533.75,506579,,0.0,0.0
02-12-2025,534.95,539.15,521.75,531.0,490450,,0.0,0.0
03-12-2025,531.0,534.8,518.4,527.5,380399,,0.0,0.0
04-12-2025,524.5,529.6,506.3,508.85,367037,,0.0,0.0
05-12-2025,510.0,537.8,509.6,520.35,807170,,0.0,0.0
08-12-2025,520.35,525.05,497.0,499.8,279715,,0.0,0.0
09-12-2025,499.8,516.5,492.2,513.45,248529,,0.0,0.0
10-12-2025,513.85,516.6,495.1,498.6,198334,,0.0,0.0
11-12-2025,500.0,537.4,486.2,530.9,1830587,,0.0,0.0
