Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,361.85,363.75,350.01,352.05,278490,,0.0,0.0
09-08-2021,358.91,362.37,346.98,350.72,378950,,0.0,0.0
10-08-2021,354.94,355.17,333.2,333.2,721819,,0.0,0.0
11-08-2021,316.57,335.99,316.57,319.27,1484372,,0.0,0.0
12-08-2021,312.64,334.95,307.01,325.48,1121426,,0.0,0.0
13-08-2021,329.64,332.49,317.33,318.94,418286,,0.0,0.0
16-08-2021,318.28,321.4,306.63,312.78,540733,,0.0,0.0
17-08-2021,312.59,322.35,306.91,319.41,487273,,0.0,0.0
18-08-2021,319.75,321.97,304.07,305.68,475171,,0.0,0.0
20-08-2021,303.17,313.07,290.43,291.19,937535,,0.0,0.0
23-08-2021,289.86,305.73,276.65,305.73,1564365,,0.0,0.0
24-08-2021,304.07,320.98,296.35,320.98,928803,,0.0,0.0
25-08-2021,325.86,326.76,312.88,320.22,544517,,0.0,0.0
26-08-2021,321.97,322.07,315.44,318.37,219640,,0.0,0.0
27-08-2021,321.02,321.02,305.96,313.35,300385,,0.0,0.0
30-08-2021,317.28,322.07,303.12,307.38,735065,,0.0,0.0
31-08-2021,312.55,316.1,308.8,314.87,274913,,0.0,0.0
01-09-2021,315.44,328.7,315.44,321.5,395261,,0.0,0.0
02-09-2021,321.5,326.8,317.33,319.32,292003,,0.0,0.0
03-09-2021,319.32,324.34,317.38,320.55,298434,,0.0,0.0
06-09-2021,324.72,327.56,316.38,321.59,332473,,0.0,0.0
07-09-2021,325.38,325.38,309.75,314.39,393856,,0.0,0.0
08-09-2021,315.44,329.64,310.7,324.53,628162,,0.0,0.0
09-09-2021,325.0,340.73,324.91,340.73,698621,,0.0,0.0
13-09-2021,341.96,349.54,335.94,345.75,1139003,,0.0,0.0
14-09-2021,339.12,344.52,330.59,336.65,897416,,0.0,0.0
15-09-2021,336.75,340.77,329.83,334.66,508344,,0.0,0.0
16-09-2021,339.5,339.5,321.12,323.68,540562,,0.0,0.0
17-09-2021,326.23,327.75,310.37,323.87,3040064,,0.0,0.0
20-09-2021,324.86,336.28,315.58,319.32,464245,,0.0,0.0
21-09-2021,314.54,325.76,313.54,317.8,389336,,0.0,0.0
22-09-2021,317.8,324.29,317.38,319.32,204060,,0.0,0.0
23-09-2021,320.41,323.35,315.91,320.93,444370,,0.0,0.0
24-09-2021,331.54,331.54,322.26,327.28,299553,,0.0,0.0
27-09-2021,329.45,330.59,320.5,327.84,258575,,0.0,0.0
28-09-2021,329.17,330.12,323.77,326.47,517078,,0.0,0.0
29-09-2021,325.81,336.28,322.11,334.57,569775,,0.0,0.0
30-09-2021,333.43,336.28,322.07,334.1,309792,,0.0,0.0
01-10-2021,330.59,333.43,326.8,331.02,185767,,0.0,0.0
04-10-2021,333.39,340.06,331.02,333.01,405628,,0.0,0.0
05-10-2021,333.43,335.99,328.7,330.78,153419,,0.0,0.0
06-10-2021,331.54,335.04,323.96,324.39,209637,,0.0,0.0
07-10-2021,325.86,330.97,320.36,324.25,321243,,0.0,0.0
08-10-2021,320.36,326.71,320.36,322.54,213568,,0.0,0.0
11-10-2021,322.54,328.46,318.75,320.6,281848,,0.0,0.0
12-10-2021,320.83,324.81,317.33,321.17,142924,,0.0,0.0
13-10-2021,322.07,331.54,316.38,323.39,391534,,0.0,0.0
14-10-2021,329.64,329.64,318.66,320.27,324047,,0.0,0.0
18-10-2021,320.27,321.88,316.62,318.56,269959,,0.0,0.0
19-10-2021,318.28,321.02,315.86,316.38,239289,,0.0,0.0
20-10-2021,316.38,319.98,301.46,303.03,369972,,0.0,0.0
21-10-2021,303.12,307.86,294.79,305.54,481121,,0.0,0.0
22-10-2021,312.5,312.5,299.76,305.73,892283,,0.0,0.0
25-10-2021,305.96,309.75,294.69,300.0,466388,,0.0,0.0
26-10-2021,295.07,307.86,295.07,305.16,150423,,0.0,0.0
27-10-2021,307.81,320.41,305.49,317.24,262712,,0.0,0.0
28-10-2021,329.64,331.54,315.91,318.66,451514,,0.0,0.0
29-10-2021,319.22,320.41,308.33,315.86,210230,,0.0,0.0
01-11-2021,320.98,324.43,319.22,323.96,294442,,0.0,0.0
02-11-2021,323.96,340.16,323.96,340.16,679937,,0.0,0.0
03-11-2021,345.75,348.59,329.64,335.28,389956,,0.0,0.0
04-11-2021,341.01,341.96,333.62,335.75,122882,,0.0,0.0
08-11-2021,336.28,340.92,331.54,335.04,182221,,0.0,0.0
09-11-2021,335.33,346.7,324.2,342.76,879676,,0.0,0.0
10-11-2021,339.12,359.86,337.22,357.68,856075,,0.0,0.0
11-11-2021,359.96,364.69,353.56,356.31,862585,,0.0,0.0
12-11-2021,360.9,360.9,341.96,343.71,426831,,0.0,0.0
15-11-2021,350.2,350.2,336.28,340.87,269811,,0.0,0.0
16-11-2021,341.96,345.18,332.72,335.61,271666,,0.0,0.0
17-11-2021,335.61,345.56,334.43,338.79,290629,,0.0,0.0
18-11-2021,340.96,341.01,322.07,330.17,317571,,0.0,0.0
22-11-2021,335.33,335.33,313.68,324.1,337718,,0.0,0.0
23-11-2021,321.12,328.41,314.87,322.07,242723,,0.0,0.0
24-11-2021,323.35,328.7,311.65,313.54,339851,,0.0,0.0
25-11-2021,316.29,320.98,308.9,315.06,318460,,0.0,0.0
26-11-2021,314.49,316.38,299.47,300.71,358671,,0.0,0.0
29-11-2021,289.24,298.39,285.69,293.13,524881,,0.0,0.0
30-11-2021,295.54,307.76,291.42,306.91,1886115,,0.0,0.0
01-12-2021,310.51,317.24,306.48,311.69,183804,,0.0,0.0
02-12-2021,313.54,320.17,301.23,303.93,409072,,0.0,0.0
03-12-2021,307.38,311.65,302.65,306.77,163175,,0.0,0.0
06-12-2021,312.55,312.55,302.51,304.02,192523,,0.0,0.0
07-12-2021,307.76,312.5,303.12,306.77,142807,,0.0,0.0
08-12-2021,315.44,322.07,314.49,320.08,298765,,0.0,0.0
09-12-2021,323.96,330.59,321.59,324.25,289881,,0.0,0.0
10-12-2021,329.41,339.59,317.9,336.7,424122,,0.0,0.0
13-12-2021,340.92,341.01,320.36,321.88,410663,,0.0,0.0
14-12-2021,321.88,321.88,310.7,314.35,179083,,0.0,0.0
15-12-2021,315.34,315.34,305.96,308.66,291154,,0.0,0.0
16-12-2021,309.14,316.71,299.33,300.37,249043,,0.0,0.0
17-12-2021,307.86,312.5,293.65,298.91,252495,,0.0,0.0
20-12-2021,293.65,298.86,285.17,294.12,321304,,0.0,0.0
21-12-2021,300.28,304.12,291.85,295.21,316320,,0.0,0.0
22-12-2021,296.02,300.14,286.26,287.35,556859,,0.0,0.0
23-12-2021,294.45,297.25,287.49,290.29,375721,,0.0,0.0
24-12-2021,293.89,294.6,287.21,289.62,194830,,0.0,0.0
