Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
24-02-2025,429.57,430.31,382.11,387.51,11080676,,0.0,0.0
25-02-2025,384.61,417.08,384.61,398.45,3178446,,0.0,0.0
27-02-2025,396.65,404.49,370.13,389.71,3050391,,0.0,0.0
28-02-2025,385.61,387.46,370.72,377.22,1034089,,0.0,0.0
03-03-2025,377.12,383.91,345.7,362.83,1350266,,0.0,0.0
04-03-2025,353.14,362.63,336.96,342.8,1151088,,0.0,0.0
05-03-2025,342.65,354.64,340.21,345.55,628150,,0.0,0.0
06-03-2025,346.4,351.09,335.66,337.76,569928,,0.0,0.0
07-03-2025,338.26,373.92,337.66,360.73,2052811,,0.0,0.0
10-03-2025,360.73,368.63,339.76,344.15,339073,,0.0,0.0
11-03-2025,343.65,344.15,329.67,335.56,431214,,0.0,0.0
12-03-2025,339.36,347.65,334.26,337.71,349742,,0.0,0.0
13-03-2025,337.76,342.35,326.47,329.52,592720,,0.0,0.0
17-03-2025,324.67,325.52,302.39,311.13,762180,,0.0,0.0
18-03-2025,311.13,311.13,311.13,311.13,0,,0.0,0.0
19-03-2025,336.66,357.64,333.76,355.14,553024,,0.0,0.0
20-03-2025,354.64,364.28,353.24,361.18,323384,,0.0,0.0
21-03-2025,351.74,362.63,345.35,351.99,239462,,0.0,0.0
24-03-2025,353.64,353.64,328.37,334.71,1099043,,0.0,0.0
25-03-2025,336.66,345.65,331.86,334.81,328425,,0.0,0.0
26-03-2025,332.91,334.81,317.68,319.73,312024,,0.0,0.0
27-03-2025,318.68,327.67,314.08,321.62,1026866,,0.0,0.0
28-03-2025,319.68,327.07,316.68,318.18,136448,,0.0,0.0
01-04-2025,313.38,321.02,311.93,312.73,268149,,0.0,0.0
02-04-2025,317.83,319.68,309.99,313.83,101916,,0.0,0.0
03-04-2025,313.68,319.68,310.59,317.83,135980,,0.0,0.0
04-04-2025,316.83,319.68,300.35,302.39,221306,,0.0,0.0
07-04-2025,279.72,282.71,267.53,279.77,558060,,0.0,0.0
08-04-2025,289.51,290.71,281.42,283.81,161853,,0.0,0.0
09-04-2025,284.71,284.71,272.52,273.22,174585,,0.0,0.0
11-04-2025,282.71,314.68,276.02,306.94,669056,,0.0,0.0
15-04-2025,313.08,342.55,311.68,336.91,555041,,0.0,0.0
16-04-2025,337.86,355.64,329.92,346.1,809927,,0.0,0.0
17-04-2025,345.45,353.19,337.76,349.35,328999,,0.0,0.0
21-04-2025,369.53,369.53,344.7,359.29,889374,,0.0,0.0
22-04-2025,358.14,378.57,353.04,371.22,671530,,0.0,0.0
23-04-2025,371.62,374.62,354.34,371.62,461325,,0.0,0.0
24-04-2025,367.63,371.62,359.99,360.93,201398,,0.0,0.0
25-04-2025,357.64,362.63,337.66,341.05,315827,,0.0,0.0
28-04-2025,344.35,346.15,335.76,343.3,166896,,0.0,0.0
29-04-2025,344.65,355.49,340.01,353.19,290534,,0.0,0.0
30-04-2025,352.64,357.79,336.56,339.86,237555,,0.0,0.0
02-05-2025,339.86,354.04,338.06,345.95,212923,,0.0,0.0
05-05-2025,342.65,366.63,342.65,357.89,556854,,0.0,0.0
06-05-2025,354.74,357.64,339.71,344.8,189605,,0.0,0.0
07-05-2025,338.66,342.35,329.77,337.76,182516,,0.0,0.0
08-05-2025,339.36,379.37,337.66,341.2,695566,,0.0,0.0
09-05-2025,340.66,357.64,334.71,343.2,650899,,0.0,0.0
12-05-2025,354.54,372.12,348.65,369.33,1519125,,0.0,0.0
13-05-2025,373.62,386.51,365.88,377.27,2049055,,0.0,0.0
14-05-2025,379.42,392.6,372.62,385.91,2210748,,0.0,0.0
15-05-2025,388.06,389.31,358.84,362.23,1236981,,0.0,0.0
16-05-2025,363.03,374.12,357.79,367.33,589111,,0.0,0.0
19-05-2025,371.52,397.5,363.78,388.81,2420788,,0.0,0.0
20-05-2025,390.6,392.6,359.64,361.18,1302978,,0.0,0.0
21-05-2025,364.33,408.99,358.74,407.24,5210312,,0.0,0.0
22-05-2025,409.49,424.47,402.69,420.12,2583799,,0.0,0.0
23-05-2025,415.68,434.56,411.83,427.52,2975564,,0.0,0.0
26-05-2025,425.57,454.24,424.67,432.81,2849068,,0.0,0.0
27-05-2025,436.76,454.39,435.01,440.25,1468586,,0.0,0.0
28-05-2025,445.55,448.2,415.78,421.67,1856543,,0.0,0.0
29-05-2025,441.05,482.31,423.77,475.32,6219915,,0.0,0.0
30-05-2025,477.52,493.95,460.63,481.41,2659904,,0.0,0.0
02-06-2025,484.56,488.31,465.63,468.18,1017392,,0.0,0.0
03-06-2025,469.52,478.96,465.48,473.87,922557,,0.0,0.0
04-06-2025,476.52,480.51,461.13,468.03,670101,,0.0,0.0
05-06-2025,470.92,482.51,455.74,457.24,1193789,,0.0,0.0
06-06-2025,459.53,477.62,456.84,471.52,715343,,0.0,0.0
09-06-2025,479.51,498.5,474.52,483.66,2238271,,0.0,0.0
10-06-2025,492.5,527.47,490.5,520.07,3084514,,0.0,0.0
11-06-2025,524.47,529.36,495.4,502.09,1492064,,0.0,0.0
12-06-2025,501.29,501.84,485.61,496.1,637362,,0.0,0.0
13-06-2025,484.51,519.37,477.52,501.54,1044923,,0.0,0.0
16-06-2025,505.59,526.82,489.85,522.92,892372,,0.0,0.0
17-06-2025,528.41,552.04,520.67,538.11,1403239,,0.0,0.0
18-06-2025,541.45,542.45,524.47,534.86,538783,,0.0,0.0
19-06-2025,532.46,544.35,501.74,516.58,594985,,0.0,0.0
20-06-2025,516.48,584.31,516.48,571.77,2971197,,0.0,0.0
23-06-2025,561.93,618.37,554.19,610.08,2515959,,0.0,0.0
24-06-2025,616.43,638.05,609.38,628.86,1411973,,0.0,0.0
25-06-2025,634.36,679.11,627.51,672.37,2085469,,0.0,0.0
26-06-2025,677.31,726.76,661.98,675.32,3631475,,0.0,0.0
27-06-2025,679.31,708.58,671.42,694.7,1418163,,0.0,0.0
30-06-2025,696.29,698.24,671.47,683.81,669934,,0.0,0.0
01-07-2025,679.16,686.11,644.45,651.89,1032816,,0.0,0.0
02-07-2025,652.34,677.81,649.34,668.87,713658,,0.0,0.0
03-07-2025,671.52,742.7,662.63,736.55,3048147,,0.0,0.0
04-07-2025,737.65,737.65,714.28,717.77,538915,,0.0,0.0
07-07-2025,714.13,746.14,707.28,741.65,958666,,0.0,0.0
08-07-2025,743.25,744.25,730.26,736.45,558271,,0.0,0.0
09-07-2025,731.26,734.06,711.28,715.03,432711,,0.0,0.0
10-07-2025,720.02,822.07,720.02,807.63,9970127,,0.0,0.0
11-07-2025,800.19,831.11,760.23,775.96,4510416,,0.0,0.0
14-07-2025,771.27,804.19,765.08,790.5,1784815,,0.0,0.0
15-07-2025,790.2,796.54,767.22,773.47,563044,,0.0,0.0
16-07-2025,776.41,812.18,770.22,797.34,1308602,,0.0,0.0
17-07-2025,803.14,888.0,801.19,864.67,5022776,,0.0,0.0
18-07-2025,868.82,930.46,856.08,882.86,5046863,,0.0,0.0
21-07-2025,882.71,882.71,817.17,825.96,1508441,,0.0,0.0
22-07-2025,839.15,869.02,829.16,863.13,1595585,,0.0,0.0
23-07-2025,872.92,877.06,836.4,868.92,995943,,0.0,0.0
24-07-2025,871.02,876.11,836.3,844.34,629067,,0.0,0.0
25-07-2025,842.15,842.15,774.22,781.71,1032527,,0.0,0.0
28-07-2025,780.21,814.18,740.4,764.23,1239689,,0.0,0.0
29-07-2025,758.23,796.69,747.64,788.75,995395,,0.0,0.0
30-07-2025,788.2,792.3,762.38,765.32,370249,,0.0,0.0
31-07-2025,742.25,779.11,742.25,758.88,578945,,0.0,0.0
01-08-2025,760.23,791.1,751.09,758.83,824608,,0.0,0.0
04-08-2025,762.83,771.02,745.74,749.24,357545,,0.0,0.0
05-08-2025,757.23,778.21,720.32,726.01,569709,,0.0,0.0
06-08-2025,732.01,749.59,702.74,740.45,930401,,0.0,0.0
07-08-2025,743.25,793.2,729.26,776.76,1113286,,0.0,0.0
08-08-2025,795.59,833.81,739.95,769.97,3608914,,0.0,0.0
11-08-2025,776.21,818.17,776.21,785.7,982002,,0.0,0.0
12-08-2025,791.6,831.16,779.51,823.57,1183846,,0.0,0.0
13-08-2025,829.16,833.11,781.21,786.75,625020,,0.0,0.0
14-08-2025,792.85,794.1,764.73,775.17,339154,,0.0,0.0
18-08-2025,794.2,794.2,751.74,771.52,480081,,0.0,0.0
19-08-2025,774.72,791.6,764.28,788.4,338597,,0.0,0.0
20-08-2025,788.4,811.58,775.56,782.71,531282,,0.0,0.0
21-08-2025,783.91,786.65,754.34,759.28,435311,,0.0,0.0
22-08-2025,760.23,796.04,749.24,787.9,695912,,0.0,0.0
25-08-2025,791.75,824.17,765.37,821.72,1133004,,0.0,0.0
26-08-2025,825.81,838.15,771.22,777.81,857531,,0.0,0.0
28-08-2025,777.81,794.2,759.98,778.56,402115,,0.0,0.0
29-08-2025,776.21,817.07,771.82,783.31,743634,,0.0,0.0
01-09-2025,783.76,814.08,783.76,808.98,399799,,0.0,0.0
02-09-2025,817.27,874.01,814.97,864.57,2424298,,0.0,0.0
03-09-2025,879.11,898.19,859.13,882.36,1092964,,0.0,0.0
04-09-2025,884.1,887.55,846.39,860.53,532358,,0.0,0.0
05-09-2025,861.08,926.16,861.08,907.58,2062064,,0.0,0.0
08-09-2025,927.01,927.01,887.9,903.49,574976,,0.0,0.0
09-09-2025,910.78,945.04,907.08,920.72,1404214,,0.0,0.0
10-09-2025,925.96,975.86,916.07,949.34,1730413,,0.0,0.0
11-09-2025,953.83,976.01,926.06,965.27,1395378,,0.0,0.0
12-09-2025,968.97,970.82,929.06,943.49,417063,,0.0,0.0
15-09-2025,940.6,954.03,912.58,919.27,449533,,0.0,0.0
16-09-2025,922.07,951.04,922.07,935.0,445009,,0.0,0.0
17-09-2025,938.95,993.99,933.06,987.55,1520228,,0.0,0.0
18-09-2025,991.9,1014.85,975.7,988.85,828385,,1.0,0.0
19-09-2025,984.9,1009.9,974.0,1001.2,578020,,0.0,0.0
22-09-2025,1000.0,1008.9,991.15,998.25,304827,,0.0,0.0
23-09-2025,999.85,1054.9,992.0,1046.65,970230,,0.0,0.0
24-09-2025,1047.95,1072.0,938.9,972.2,1150390,,0.0,0.0
25-09-2025,998.0,1049.5,989.2,1015.85,1395663,,0.0,0.0
26-09-2025,1015.0,1028.95,990.0,1013.45,592705,,0.0,0.0
29-09-2025,1024.0,1064.9,1013.8,1057.3,735553,,0.0,0.0
30-09-2025,1059.0,1082.0,1052.85,1069.3,701371,,0.0,0.0
01-10-2025,1069.3,1070.7,1035.4,1046.6,310156,,0.0,0.0
03-10-2025,1054.0,1068.1,995.0,1038.9,563351,,0.0,0.0
06-10-2025,1040.0,1056.6,990.5,1050.2,497231,,0.0,0.0
07-10-2025,1054.5,1055.9,1020.0,1035.0,275842,,0.0,0.0
08-10-2025,1035.4,1049.0,1009.8,1020.1,263772,,0.0,0.0
09-10-2025,1020.1,1028.0,1005.1,1010.4,239737,,0.0,0.0
10-10-2025,1015.6,1019.9,960.7,997.4,537896,,0.0,0.0
13-10-2025,995.0,1007.4,970.0,973.8,294591,,0.0,0.0
14-10-2025,978.9,991.5,940.0,971.0,408418,,0.0,0.0
15-10-2025,971.0,1004.0,943.4,979.5,640367,,0.0,0.0
16-10-2025,972.9,974.4,947.0,956.1,378534,,0.0,0.0
17-10-2025,960.0,1009.9,960.0,986.2,505313,,0.0,0.0
20-10-2025,986.0,1005.7,967.0,1000.4,408017,,0.0,0.0
21-10-2025,1009.5,1015.0,988.2,998.8,70574,,0.0,0.0
23-10-2025,1004.9,1009.0,960.2,964.5,307400,,0.0,0.0
24-10-2025,968.5,980.0,960.0,965.8,199338,,0.0,0.0
27-10-2025,965.7,1014.0,960.5,993.5,316250,,0.0,0.0
28-10-2025,995.0,1005.0,978.0,984.0,114869,,0.0,0.0
29-10-2025,984.0,1001.0,974.1,994.8,269685,,0.0,0.0
30-10-2025,994.8,1003.0,985.0,992.5,125275,,0.0,0.0
31-10-2025,992.8,1049.9,992.8,1018.6,923549,,0.0,0.0
03-11-2025,1023.5,1034.8,981.0,997.8,246467,,0.0,0.0
04-11-2025,993.0,1009.0,952.5,964.2,358577,,0.0,0.0
06-11-2025,962.5,975.3,930.3,934.2,327461,,0.0,0.0
07-11-2025,928.0,975.0,899.1,969.4,391011,,0.0,0.0
10-11-2025,973.8,978.0,836.0,886.2,1633028,,0.0,0.0
11-11-2025,883.0,917.5,883.0,898.0,334698,,0.0,0.0
12-11-2025,900.3,919.0,876.0,897.2,419004,,0.0,0.0
13-11-2025,920.0,945.0,825.0,831.7,1187432,,0.0,0.0
14-11-2025,831.7,854.0,820.0,825.8,849807,,0.0,0.0
17-11-2025,838.9,851.4,800.5,804.9,839246,,0.0,0.0
18-11-2025,805.0,828.9,788.6,792.5,560628,,0.0,0.0
19-11-2025,795.0,804.2,771.2,786.4,394753,,0.0,0.0
20-11-2025,787.1,811.6,786.0,799.0,544445,,0.0,0.0
21-11-2025,797.2,797.2,777.4,782.2,238248,,0.0,0.0
24-11-2025,783.1,788.9,723.0,726.9,799850,,0.0,0.0
25-11-2025,726.9,748.9,724.1,745.0,462508,,0.0,0.0
26-11-2025,745.0,751.1,735.1,745.4,282099,,0.0,0.0
27-11-2025,745.4,753.0,736.6,739.6,250936,,0.0,0.0
28-11-2025,739.0,762.0,732.1,745.0,416508,,0.0,0.0
01-12-2025,745.05,748.3,731.0,733.55,207532,,0.0,0.0
02-12-2025,730.0,733.05,707.0,717.55,269035,,0.0,0.0
03-12-2025,716.0,740.0,713.0,735.45,287908,,0.0,0.0
04-12-2025,731.05,754.0,720.05,726.2,266766,,0.0,0.0
05-12-2025,722.0,749.0,714.0,717.2,234191,,0.0,0.0
08-12-2025,714.05,721.25,681.35,686.15,403316,,0.0,0.0
09-12-2025,682.0,720.0,668.55,709.15,361738,,0.0,0.0
10-12-2025,711.0,715.7,693.3,699.4,246231,,0.0,0.0
11-12-2025,699.7,702.65,682.9,697.2,188430,,0.0,0.0
12-12-2025,698.0,711.9,694.8,701.6,187093,,0.0,0.0
15-12-2025,701.6,712.6,692.9,696.7,196975,,0.0,0.0
16-12-2025,698.0,700.0,675.05,679.3,206865,,0.0,0.0
17-12-2025,676.5,679.0,659.0,663.5,265493,,0.0,0.0
18-12-2025,663.5,668.4,643.8,656.4,243564,,0.0,0.0
19-12-2025,656.4,698.7,653.2,693.95,414762,,0.0,0.0
22-12-2025,698.65,755.0,685.6,743.65,1058971,,0.0,0.0
23-12-2025,743.75,752.0,725.0,740.9,456504,,0.0,0.0
24-12-2025,735.15,748.1,725.2,727.9,180155,,0.0,0.0
26-12-2025,730.0,764.0,721.4,741.8,651463,,0.0,0.0
29-12-2025,744.9,758.0,736.6,742.35,386263,,0.0,0.0
30-12-2025,742.35,744.75,713.0,725.3,266786,,0.0,0.0
31-12-2025,725.0,738.05,722.0,730.75,168918,,0.0,0.0
01-01-2026,729.0,843.35,728.95,812.45,9789450,,0.0,0.0
02-01-2026,806.0,844.25,790.0,831.05,2737395,,0.0,0.0
05-01-2026,834.1,862.15,825.0,834.65,1569691,,0.0,0.0
06-01-2026,834.65,837.0,791.25,811.4,550121,,0.0,0.0
07-01-2026,812.0,827.95,803.8,811.7,328454,,0.0,0.0
08-01-2026,815.2,821.5,780.1,792.15,380750,,0.0,0.0
09-01-2026,780.0,790.0,720.1,735.9,1630719,,0.0,0.0
12-01-2026,740.0,745.0,676.55,681.55,1217657,,0.0,0.0
13-01-2026,686.95,699.35,662.95,666.65,664814,,0.0,0.0
14-01-2026,663.35,680.2,651.6,656.1,600453,,0.0,0.0
15-01-2026,656.1,656.1,656.1,656.1,0,,0.0,0.0
16-01-2026,657.6,704.8,652.2,687.9,1178411,,0.0,0.0
19-01-2026,687.9,732.0,680.0,698.8,1280072,,0.0,0.0
20-01-2026,700.0,704.85,662.0,667.3,660233,,0.0,0.0
21-01-2026,662.0,681.45,653.2,659.6,603601,,0.0,0.0
22-01-2026,670.0,677.0,659.0,666.45,418193,,0.0,0.0
23-01-2026,664.0,664.0,589.25,598.05,1390581,,0.0,0.0
27-01-2026,606.0,612.0,581.0,595.1,778669,,0.0,0.0
28-01-2026,603.1,614.95,593.05,596.4,517222,,0.0,0.0
29-01-2026,596.4,628.15,582.3,614.0,502984,,0.0,0.0
30-01-2026,610.0,674.7,605.2,666.7,1231529,,0.0,0.0
02-02-2026,687.0,724.8,678.55,718.8,693592,,0.0,0.0
03-02-2026,752.0,758.0,718.8,743.7,724730,,0.0,0.0
04-02-2026,750.65,778.0,745.0,764.45,949863,,0.0,0.0
05-02-2026,805.0,844.95,775.0,816.65,7116496,,0.0,0.0
06-02-2026,810.0,834.0,793.45,819.0,1316274,,0.0,0.0
09-02-2026,823.0,831.5,804.0,810.55,757445,,0.0,0.0
10-02-2026,813.0,814.0,787.0,795.65,586607,,0.0,0.0
11-02-2026,797.2,800.0,757.85,767.6,765754,,0.0,0.0
12-02-2026,772.05,827.25,768.8,800.6,1745298,,0.0,0.0
13-02-2026,802.9,818.6,785.0,806.05,836232,,0.0,0.0
16-02-2026,806.0,849.7,802.0,830.75,1909691,,0.0,0.0
17-02-2026,836.45,925.0,827.2,874.9,5324242,,0.0,0.0
18-02-2026,883.0,914.25,871.0,879.35,1803944,,0.0,0.0
19-02-2026,865.0,904.75,846.1,858.6,1195617,,0.0,0.0
20-02-2026,853.45,898.2,852.05,882.5,1038480,,0.0,0.0
23-02-2026,895.0,924.9,875.0,881.25,1403264,,0.0,0.0
24-02-2026,885.0,904.8,877.1,884.65,822713,,0.0,0.0
25-02-2026,890.0,917.0,882.45,899.45,1408556,,0.0,0.0
26-02-2026,904.95,910.0,888.0,902.2,611943,,0.0,0.0
27-02-2026,904.95,922.0,853.0,867.4,1154555,,0.0,0.0
02-03-2026,810.0,854.8,800.0,829.25,1123622,,0.0,0.0
04-03-2026,820.0,820.0,784.5,789.4,899742,,0.0,0.0
05-03-2026,798.0,816.3,782.25,799.65,604206,,0.0,0.0
06-03-2026,804.0,853.7,797.25,833.75,1143499,,0.0,0.0
09-03-2026,803.45,818.95,780.25,795.9,589439,,0.0,0.0
10-03-2026,816.85,833.5,808.0,825.9,573120,,0.0,0.0
