Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,1390.51,1456.73,1373.34,1388.08,83542,,0.0,0.0
09-08-2021,1363.9,1372.92,1307.13,1351.73,116049,,0.0,0.0
10-08-2021,1358.51,1408.04,1316.28,1349.39,112939,,0.0,0.0
11-08-2021,1360.0,1405.45,1324.3,1391.98,61941,,0.0,0.0
12-08-2021,1398.95,1406.61,1363.25,1366.43,21025,,0.0,0.0
13-08-2021,1381.49,1402.2,1358.25,1376.56,44074,,0.0,0.0
16-08-2021,1395.61,1395.61,1350.27,1356.37,36462,,0.0,0.0
17-08-2021,1376.17,1379.41,1354.39,1370.94,108837,,0.0,0.0
18-08-2021,1384.67,1384.67,1353.51,1377.11,50244,,0.0,0.0
20-08-2021,1363.25,1393.86,1324.23,1366.88,34134,,0.0,0.0
23-08-2021,1361.3,1364.42,1319.79,1347.64,28458,,0.0,0.0
24-08-2021,1330.79,1361.98,1330.79,1346.11,12768,,0.0,0.0
25-08-2021,1382.72,1382.72,1322.35,1345.07,5566,,0.0,0.0
26-08-2021,1356.76,1386.13,1343.13,1347.6,14128,,0.0,0.0
27-08-2021,1347.6,1434.66,1341.31,1408.59,157398,,0.0,0.0
30-08-2021,1411.94,1421.67,1376.46,1395.16,48292,,0.0,0.0
31-08-2021,1402.13,1426.58,1386.13,1400.87,43642,,0.0,0.0
01-09-2021,1407.88,1408.76,1385.87,1399.34,26520,,0.0,0.0
02-09-2021,1402.2,1402.85,1379.51,1387.69,29808,,0.0,0.0
03-09-2021,1394.64,1414.53,1364.55,1382.76,36312,,0.0,0.0
06-09-2021,1389.7,1398.3,1366.5,1374.74,14050,,0.0,0.0
07-09-2021,1388.57,1389.22,1364.65,1382.69,15684,,0.0,0.0
08-09-2021,1389.61,1395.71,1374.19,1390.84,51159,,0.0,0.0
09-09-2021,1401.91,1403.66,1377.6,1389.57,10920,,0.0,0.0
13-09-2021,1390.19,1434.04,1382.72,1402.23,44236,,0.0,0.0
14-09-2021,1411.9,1411.9,1392.46,1401.94,26671,,0.0,0.0
15-09-2021,1408.69,1408.69,1385.97,1402.23,44001,,0.0,0.0
16-09-2021,1402.23,1408.69,1372.99,1396.94,21528,,0.0,0.0
17-09-2021,1398.31,1445.36,1376.55,1433.53,226461,,9.33,0.0
20-09-2021,1440.72,1440.72,1398.31,1420.5,25714,,0.0,0.0
21-09-2021,1422.49,1422.49,1391.84,1413.7,15462,,0.0,0.0
22-09-2021,1434.25,1434.38,1406.15,1421.41,20919,,0.0,0.0
23-09-2021,1421.18,1432.29,1403.64,1430.3,106119,,0.0,0.0
24-09-2021,1424.42,1438.83,1412.85,1428.89,17328,,0.0,0.0
27-09-2021,1429.02,1437.52,1409.65,1424.25,21790,,0.0,0.0
28-09-2021,1411.71,1449.28,1405.53,1437.19,206439,,0.0,0.0
29-09-2021,1437.19,1450.59,1399.85,1437.13,143328,,0.0,0.0
30-09-2021,1442.75,1457.12,1413.54,1428.6,27822,,0.0,0.0
01-10-2021,1457.06,1458.43,1415.83,1424.71,20511,,0.0,0.0
04-10-2021,1427.72,1431.87,1408.11,1424.55,18912,,0.0,0.0
05-10-2021,1431.15,1455.62,1412.85,1438.56,66196,,0.0,0.0
06-10-2021,1447.32,1447.32,1412.04,1419.68,21027,,0.0,0.0
07-10-2021,1429.68,1440.79,1412.39,1437.55,23679,,0.0,0.0
08-10-2021,1483.19,1502.86,1419.65,1442.19,481785,,0.0,0.0
11-10-2021,1439.64,1466.92,1425.46,1443.14,15289,,0.0,0.0
12-10-2021,1449.67,1455.16,1423.76,1437.49,27516,,0.0,0.0
13-10-2021,1443.4,1450.65,1427.72,1438.04,15229,,0.0,0.0
14-10-2021,1434.25,1447.32,1430.98,1444.93,19330,,0.0,0.0
18-10-2021,1444.93,1454.51,1434.25,1451.89,24862,,0.0,0.0
19-10-2021,1451.89,1457.12,1418.6,1446.67,33768,,0.0,0.0
20-10-2021,1450.46,1453.85,1360.81,1450.85,60363,,0.0,0.0
21-10-2021,1441.44,1502.21,1433.99,1475.42,36519,,0.0,0.0
22-10-2021,1482.8,1501.46,1437.52,1441.73,24147,,0.0,0.0
25-10-2021,1440.79,1456.66,1419.52,1425.63,18868,,0.0,0.0
26-10-2021,1432.78,1447.32,1409.13,1443.76,29649,,0.0,0.0
27-10-2021,1456.7,1460.42,1430.98,1436.6,11760,,0.0,0.0
28-10-2021,1442.75,1450.59,1412.69,1418.18,7939,,0.0,0.0
29-10-2021,1434.25,1447.32,1386.55,1399.98,13950,,0.0,0.0
01-11-2021,1399.98,1428.63,1373.58,1385.28,7054,,0.0,0.0
02-11-2021,1385.28,1425.95,1355.84,1409.23,21507,,0.0,0.0
03-11-2021,1408.11,1422.03,1389.17,1416.67,4965,,0.0,0.0
04-11-2021,1435.56,1436.83,1405.53,1422.07,1929,,0.0,0.0
08-11-2021,1429.19,1437.52,1420.24,1425.92,9711,,0.0,0.0
09-11-2021,1433.08,1433.08,1412.36,1421.93,4890,,0.0,0.0
10-11-2021,1424.45,1429.06,1393.15,1415.82,4983,,0.0,0.0
11-11-2021,1415.3,1444.05,1395.83,1414.29,29125,,0.0,0.0
12-11-2021,1414.65,1491.13,1414.32,1464.21,522204,,0.0,0.0
15-11-2021,1482.6,1489.79,1444.09,1458.26,12571,,0.0,0.0
16-11-2021,1441.77,1502.21,1395.7,1417.03,439950,,0.0,0.0
17-11-2021,1404.19,1437.45,1401.09,1418.14,12178,,0.0,0.0
18-11-2021,1424.42,1424.45,1391.78,1397.37,13132,,0.0,0.0
22-11-2021,1381.98,1411.38,1374.73,1399.26,11239,,0.0,0.0
23-11-2021,1375.44,1434.25,1372.18,1409.39,62353,,0.0,0.0
24-11-2021,1409.39,1456.66,1380.18,1443.6,24040,,0.0,0.0
25-11-2021,1438.83,1443.4,1398.25,1424.55,14470,,0.0,0.0
