Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
26-09-2025,465.0,465.0,427.3,440.7,6749933,,0.0,0.0
29-09-2025,442.25,450.4,432.85,447.0,712721,,0.0,0.0
30-09-2025,451.0,453.0,420.1,438.2,754865,,0.0,0.0
01-10-2025,438.0,450.3,427.25,447.9,476088,,0.0,0.0
03-10-2025,449.9,459.0,443.8,449.0,585027,,0.0,0.0
06-10-2025,449.0,456.95,439.1,453.9,472664,,0.0,0.0
07-10-2025,453.9,463.9,447.0,460.0,1050597,,0.0,0.0
08-10-2025,469.5,506.0,465.0,501.55,7335948,,0.0,0.0
09-10-2025,551.7,551.7,526.3,551.7,3842423,,0.0,0.0
10-10-2025,557.0,567.0,526.0,534.25,3753468,,0.0,0.0
13-10-2025,534.95,551.0,521.1,526.85,1151267,,0.0,0.0
14-10-2025,526.8,542.85,507.9,532.35,1128830,,0.0,0.0
15-10-2025,565.0,565.0,520.8,524.85,1711288,,0.0,0.0
16-10-2025,526.4,534.95,514.5,529.65,666618,,0.0,0.0
17-10-2025,529.85,530.9,506.7,511.15,525869,,0.0,0.0
20-10-2025,515.1,524.0,510.0,520.25,305196,,0.0,0.0
21-10-2025,524.0,526.8,519.5,521.85,108760,,0.0,0.0
23-10-2025,528.9,550.05,520.05,528.9,1083387,,0.0,0.0
24-10-2025,533.0,533.75,503.8,508.4,721954,,0.0,0.0
27-10-2025,510.8,511.3,478.1,482.4,1070156,,0.0,0.0
28-10-2025,483.95,512.75,483.0,507.15,838822,,0.0,0.0
29-10-2025,509.0,519.05,498.3,515.2,379439,,0.0,0.0
30-10-2025,513.5,518.8,500.35,502.1,173496,,0.0,0.0
31-10-2025,502.1,535.45,502.1,524.45,1246352,,0.0,0.0
03-11-2025,525.0,543.0,519.3,535.2,653653,,0.0,0.0
04-11-2025,535.2,542.4,525.0,528.2,470033,,0.0,0.0
06-11-2025,533.0,551.8,531.0,537.75,740473,,0.0,0.0
07-11-2025,500.0,500.0,484.0,490.25,1538598,,0.0,0.0
10-11-2025,493.35,496.45,462.0,477.25,788049,,0.0,0.0
11-11-2025,476.95,478.7,468.0,470.3,220884,,0.0,0.0
12-11-2025,472.2,473.15,454.8,467.6,462953,,0.0,0.0
13-11-2025,467.6,476.15,461.0,463.25,230067,,0.0,0.0
14-11-2025,463.0,463.0,450.05,452.2,188438,,0.0,0.0
17-11-2025,453.55,470.8,449.7,465.75,287417,,0.0,0.0
18-11-2025,467.1,467.1,451.5,462.4,199519,,0.0,0.0
19-11-2025,461.9,461.9,440.6,442.15,229539,,0.0,0.0
20-11-2025,444.8,457.65,444.75,448.0,216812,,0.0,0.0
21-11-2025,447.0,447.0,428.35,434.4,303698,,0.0,0.0
24-11-2025,434.9,434.9,415.45,418.15,327274,,0.0,0.0
25-11-2025,416.15,424.85,413.25,416.1,200005,,0.0,0.0
26-11-2025,418.15,424.0,412.0,413.8,144039,,0.0,0.0
27-11-2025,416.3,420.0,406.2,408.35,139451,,0.0,0.0
28-11-2025,410.0,413.5,400.95,411.1,235989,,0.0,0.0
01-12-2025,414.0,414.05,399.1,406.55,290987,,0.0,0.0
02-12-2025,405.1,406.75,394.55,401.3,501797,,0.0,0.0
03-12-2025,401.3,403.95,386.75,391.95,158769,,0.0,0.0
04-12-2025,391.95,393.75,385.5,387.3,171408,,0.0,0.0
05-12-2025,387.3,389.75,375.8,379.9,188128,,0.0,0.0
08-12-2025,378.95,378.95,353.35,363.2,652869,,0.0,0.0
09-12-2025,366.9,380.0,350.6,371.0,329653,,0.0,0.0
10-12-2025,370.0,380.45,362.2,378.5,288556,,0.0,0.0
11-12-2025,379.0,379.85,368.6,374.15,92302,,0.0,0.0
12-12-2025,375.0,378.9,373.6,375.55,56330,,0.0,0.0
15-12-2025,374.0,374.05,366.3,368.0,83970,,0.0,0.0
16-12-2025,368.0,389.9,363.8,385.0,202316,,0.0,0.0
17-12-2025,390.0,399.25,379.0,397.2,327750,,0.0,0.0
18-12-2025,397.2,397.2,382.6,393.35,289839,,0.0,0.0
19-12-2025,390.0,397.0,390.0,395.1,100728,,0.0,0.0
22-12-2025,401.95,401.95,390.55,396.95,196592,,0.0,0.0
23-12-2025,409.0,417.3,378.1,381.0,1702332,,0.0,0.0
24-12-2025,383.6,387.0,381.15,382.9,240594,,0.0,0.0
26-12-2025,385.7,385.75,374.7,375.7,159391,,0.0,0.0
29-12-2025,373.0,375.0,365.2,370.7,405303,,0.0,0.0
30-12-2025,367.3,382.15,365.0,378.25,192543,,0.0,0.0
31-12-2025,381.0,382.0,372.6,376.4,138480,,0.0,0.0
01-01-2026,375.1,379.4,370.3,376.7,99367,,0.0,0.0
02-01-2026,379.95,389.9,372.2,388.3,392799,,0.0,0.0
05-01-2026,390.0,390.0,380.0,386.55,112926,,0.0,0.0
06-01-2026,389.9,392.75,380.05,390.1,119544,,0.0,0.0
07-01-2026,389.95,429.1,385.6,429.1,1247464,,0.0,0.0
08-01-2026,429.1,433.0,411.5,417.25,610272,,0.0,0.0
09-01-2026,416.0,417.6,400.15,404.95,258471,,0.0,0.0
12-01-2026,401.95,407.4,393.0,401.7,217226,,0.0,0.0
