Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
08-12-2025,2635.61,2738.25,2529.29,2683.44,109285,,0.0,0.0
09-12-2025,2684.44,2745.22,2646.57,2692.71,61495,,0.0,0.0
10-12-2025,2645.58,2740.04,2642.59,2662.12,26991,,0.0,0.0
11-12-2025,2615.68,2686.43,2615.68,2654.64,25021,,0.0,0.0
12-12-2025,2654.64,2680.45,2521.92,2542.54,139845,,0.0,0.0
15-12-2025,2540.95,2540.95,2441.8,2477.47,183703,,0.0,0.0
16-12-2025,2474.19,2501.09,2442.3,2473.39,36055,,0.0,0.0
17-12-2025,2436.32,2490.13,2414.4,2469.0,195583,,0.0,0.0
18-12-2025,2439.31,2458.24,2381.91,2402.44,97610,,0.0,0.0
19-12-2025,2476.18,2476.18,2303.0,2398.95,17685,,0.0,0.0
22-12-2025,2390.48,2437.32,2335.68,2388.79,21619,,0.0,0.0
23-12-2025,2400.75,2463.82,2387.3,2441.6,21508,,0.0,0.0
24-12-2025,2475.18,2539.95,2441.4,2531.38,22116,,0.0,0.0
26-12-2025,2539.95,2576.72,2491.13,2550.31,11213,,0.0,0.0
29-12-2025,2582.8,2690.42,2525.01,2593.86,20361,,0.0,0.0
30-12-2025,2626.64,2626.64,2571.84,2590.97,117571,,0.0,0.0
31-12-2025,2606.71,2606.71,2584.79,2591.57,6900,,0.0,0.0
01-01-2026,2591.57,2601.43,2570.74,2590.77,6934,,0.0,0.0
02-01-2026,2551.91,2610.7,2551.91,2579.01,8979,,0.0,0.0
05-01-2026,2590.77,2602.83,2539.85,2578.81,16547,,0.0,0.0
06-01-2026,2600.74,2600.74,2463.42,2501.39,11688,,0.0,0.0
07-01-2026,2471.2,2513.84,2471.2,2504.18,8329,,0.0,0.0
08-01-2026,2491.62,2534.87,2491.62,2522.31,12420,,0.0,0.0
09-01-2026,2491.13,2558.78,2491.13,2553.4,13887,,0.0,0.0
12-01-2026,2515.14,2620.66,2515.14,2608.21,18235,,0.0,0.0
13-01-2026,2566.06,2689.32,2566.06,2664.31,21781,,0.0,0.0
14-01-2026,2664.31,2676.86,2620.27,2664.61,5668,,0.0,0.0
16-01-2026,2624.65,2690.42,2620.76,2670.19,8111,,0.0,0.0
19-01-2026,2630.33,2702.27,2622.76,2650.56,15823,,0.0,0.0
20-01-2026,2641.59,2701.28,2613.79,2685.63,16138,,0.0,0.0
21-01-2026,2685.83,2700.38,2642.69,2674.87,13023,,0.0,0.0
22-01-2026,2644.18,2714.53,2572.93,2600.14,13759,,0.0,0.0
23-01-2026,2581.8,2670.59,2581.8,2634.12,29880,,0.0,0.0
27-01-2026,2593.06,2624.55,2491.13,2558.09,11464,,0.0,0.0
28-01-2026,2589.77,2699.28,2514.74,2671.38,77751,,0.0,0.0
29-01-2026,2718.32,2718.32,2626.64,2691.11,21477,,0.0,0.0
30-01-2026,2699.48,2756.18,2644.58,2711.24,39127,,0.0,0.0
02-02-2026,2568.85,2589.67,2482.06,2553.6,15694,,0.0,0.0
03-02-2026,2664.51,2695.4,2480.07,2690.32,59380,,0.0,0.0
04-02-2026,2705.36,2705.36,2542.84,2624.35,95658,,0.0,0.0
05-02-2026,2600.64,2600.64,2423.37,2489.03,36864,,0.0,0.0
06-02-2026,2463.23,2507.97,2445.39,2486.64,7937,,0.0,0.0
09-02-2026,2486.64,2492.12,2456.25,2465.82,14711,,0.0,0.0
10-02-2026,2483.15,2491.33,2461.23,2478.47,6818,,0.0,0.0
11-02-2026,2490.83,2505.28,2456.25,2475.48,16418,,0.0,0.0
