Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,82.57,88.07,81.45,83.11,748520,,0.0,0.0
09-08-2021,84.18,89.77,84.18,87.29,1105975,,0.0,0.0
10-08-2021,87.58,88.56,81.79,82.91,566285,,0.0,0.0
11-08-2021,82.72,83.59,75.27,80.68,578516,,0.0,0.0
12-08-2021,84.42,85.64,82.67,83.35,334659,,0.0,0.0
13-08-2021,82.72,85.01,80.04,80.58,520195,,0.0,0.0
16-08-2021,80.63,81.45,78.0,79.26,359728,,0.0,0.0
17-08-2021,79.56,79.56,77.12,77.85,187085,,0.0,0.0
18-08-2021,77.85,79.46,74.74,76.88,443316,,0.0,0.0
20-08-2021,74.93,79.7,74.15,77.32,427359,,0.0,0.0
23-08-2021,78.73,81.06,75.57,76.69,394522,,0.0,0.0
24-08-2021,76.1,78.1,76.0,77.76,143527,,0.0,0.0
25-08-2021,78.53,82.43,77.95,78.34,324146,,0.0,0.0
26-08-2021,78.05,79.56,77.66,77.95,115353,,0.0,0.0
27-08-2021,78.39,78.63,77.07,77.42,61566,,0.0,0.0
30-08-2021,77.9,82.72,77.9,79.85,189088,,0.0,0.0
31-08-2021,80.48,81.6,78.1,78.53,142042,,0.0,0.0
01-09-2021,79.31,79.31,76.0,78.0,239452,,0.0,0.0
02-09-2021,79.22,79.65,77.07,77.76,76946,,0.0,0.0
03-09-2021,78.05,78.44,76.49,76.83,120862,,0.0,0.0
06-09-2021,77.66,78.83,76.83,77.61,103629,,0.0,0.0
07-09-2021,77.71,79.22,76.64,77.37,273804,,0.0,0.0
08-09-2021,77.56,79.22,76.93,77.66,149316,,0.0,0.0
09-09-2021,77.85,84.67,77.42,83.74,836446,,0.0,0.0
13-09-2021,84.67,86.56,81.84,82.91,461429,,0.0,0.0
14-09-2021,83.21,83.69,81.16,81.45,205947,,0.0,0.0
15-09-2021,81.45,86.76,80.92,84.86,830918,,0.0,0.0
16-09-2021,85.2,85.93,82.72,83.06,308370,,0.0,0.0
17-09-2021,83.3,83.35,78.78,80.77,215778,,0.0,0.0
20-09-2021,80.87,81.84,77.95,78.29,161714,,0.1,0.0
21-09-2021,79.8,79.8,77.02,78.53,92705,,0.0,0.0
22-09-2021,79.31,82.82,78.43,80.19,486099,,0.0,0.0
23-09-2021,81.02,83.21,79.46,81.06,378421,,0.0,0.0
24-09-2021,81.6,81.6,78.73,79.41,162263,,0.0,0.0
27-09-2021,79.9,81.36,78.14,78.63,206867,,0.0,0.0
28-09-2021,79.6,81.36,78.92,80.29,564793,,0.0,0.0
29-09-2021,79.9,81.21,79.02,79.46,186088,,0.0,0.0
30-09-2021,80.33,82.33,78.97,79.21,381518,,0.0,0.0
01-10-2021,79.8,81.06,79.31,79.9,124319,,0.0,0.0
04-10-2021,80.87,81.65,79.51,79.75,289557,,0.0,0.0
05-10-2021,80.48,81.36,79.51,79.99,318436,,0.0,0.0
06-10-2021,80.77,86.67,80.14,83.55,1338648,,0.0,0.0
07-10-2021,84.47,86.08,81.89,82.33,432143,,0.0,0.0
08-10-2021,82.87,85.74,81.99,82.62,429336,,0.0,0.0
11-10-2021,82.14,82.96,81.6,82.04,139284,,0.0,0.0
12-10-2021,82.87,83.89,81.84,81.99,175701,,0.0,0.0
13-10-2021,82.77,82.77,80.87,81.21,266470,,0.0,0.0
14-10-2021,81.7,82.28,78.73,79.46,400141,,0.0,0.0
18-10-2021,79.85,81.65,77.36,78.24,580060,,0.0,0.0
19-10-2021,78.48,79.12,75.02,76.49,398575,,0.0,0.0
20-10-2021,76.92,76.92,72.78,74.98,216449,,0.0,0.0
21-10-2021,75.66,76.19,73.61,74.73,215196,,0.0,0.0
22-10-2021,74.73,78.43,74.73,75.56,319274,,0.0,0.0
25-10-2021,75.95,76.73,73.08,73.76,199253,,0.0,0.0
26-10-2021,74.05,77.07,74.05,74.68,250280,,0.0,0.0
27-10-2021,75.8,76.83,74.83,75.56,126625,,0.0,0.0
28-10-2021,76.44,76.44,71.13,72.54,205870,,0.0,0.0
29-10-2021,73.03,76.0,71.27,73.12,292874,,0.0,0.0
01-11-2021,73.95,74.34,73.08,73.42,51042,,0.0,0.0
02-11-2021,74.39,74.39,72.15,72.49,99821,,0.0,0.0
03-11-2021,72.25,73.76,72.1,72.49,71595,,0.0,0.0
04-11-2021,74.0,75.66,73.51,74.78,59669,,0.0,0.0
08-11-2021,74.78,77.95,74.1,75.36,98736,,0.0,0.0
09-11-2021,75.95,79.7,75.75,78.09,775265,,0.0,0.0
10-11-2021,77.95,78.63,76.68,77.65,125508,,0.0,0.0
11-11-2021,78.04,79.9,75.71,79.16,230573,,0.0,0.0
12-11-2021,80.38,80.48,76.97,77.31,93730,,0.0,0.0
15-11-2021,77.31,78.78,74.49,74.93,83654,,0.0,0.0
16-11-2021,74.98,76.73,74.59,76.34,116007,,0.0,0.0
17-11-2021,76.73,76.73,74.54,75.32,99219,,0.0,0.0
18-11-2021,75.22,75.51,73.56,74.1,61274,,0.0,0.0
22-11-2021,74.83,74.83,69.32,70.3,580245,,0.0,0.0
23-11-2021,70.35,73.95,70.1,73.27,54442,,0.0,0.0
24-11-2021,73.12,74.24,71.18,71.52,99073,,0.0,0.0
25-11-2021,72.1,75.12,71.61,73.71,82491,,0.0,0.0
26-11-2021,73.51,73.56,70.15,70.59,93712,,0.0,0.0
29-11-2021,70.44,70.44,64.21,66.99,133375,,0.0,0.0
30-11-2021,67.18,69.08,61.87,63.04,191284,,0.0,0.0
01-12-2021,63.43,67.13,63.43,65.43,395659,,0.0,0.0
02-12-2021,65.43,77.95,64.7,76.63,1450504,,0.0,0.0
03-12-2021,77.07,77.12,72.88,73.46,374520,,0.0,0.0
06-12-2021,71.95,73.46,69.28,69.62,325190,,0.0,0.0
07-12-2021,70.64,71.66,69.67,70.93,70206,,0.0,0.0
08-12-2021,71.47,72.69,71.13,71.81,58197,,0.0,0.0
09-12-2021,71.81,72.69,71.37,71.91,42699,,0.0,0.0
10-12-2021,72.88,72.98,71.22,71.47,87254,,0.0,0.0
13-12-2021,72.88,74.44,71.61,71.95,128815,,0.0,0.0
14-12-2021,70.74,73.46,70.1,71.03,95246,,0.0,0.0
15-12-2021,71.91,73.03,70.3,71.37,94364,,0.0,0.0
16-12-2021,72.73,72.73,68.4,69.86,113681,,0.0,0.0
17-12-2021,70.64,71.37,67.72,68.06,85917,,0.0,0.0
20-12-2021,68.79,68.79,63.72,66.16,101424,,0.0,0.0
21-12-2021,67.96,68.93,66.4,66.74,49342,,0.0,0.0
22-12-2021,68.06,68.45,66.5,67.03,39318,,0.0,0.0
23-12-2021,68.11,72.15,67.77,69.91,123396,,0.0,0.0
24-12-2021,70.93,70.93,69.18,70.15,61623,,0.0,0.0
27-12-2021,69.32,72.59,68.4,70.49,76536,,0.0,0.0
28-12-2021,72.49,73.08,70.25,70.59,43392,,0.0,0.0
29-12-2021,71.13,78.63,69.18,75.17,655747,,0.0,0.0
30-12-2021,75.85,76.1,73.32,74.1,91351,,0.0,0.0
31-12-2021,73.22,77.95,73.22,76.78,271290,,0.0,0.0
03-01-2022,76.97,77.46,74.83,75.51,102572,,0.0,0.0
04-01-2022,76.0,76.78,74.05,74.98,84801,,0.0,0.0
05-01-2022,76.44,77.07,74.1,75.02,128864,,0.0,0.0
06-01-2022,75.51,75.51,73.17,74.2,62069,,0.0,0.0
07-01-2022,74.88,75.9,73.56,74.63,272789,,0.0,0.0
10-01-2022,75.02,75.9,73.76,74.54,204660,,0.0,0.0
11-01-2022,74.54,76.44,74.05,74.63,118337,,0.0,0.0
12-01-2022,75.51,75.85,71.47,73.9,405715,,0.0,0.0
13-01-2022,73.37,76.39,73.37,74.63,138324,,0.0,0.0
14-01-2022,75.41,78.34,74.44,77.61,376942,,0.0,0.0
17-01-2022,78.43,82.23,78.04,80.09,657588,,0.0,0.0
18-01-2022,81.5,81.7,76.63,77.07,260558,,0.0,0.0
19-01-2022,76.97,80.38,73.17,76.0,217855,,0.0,0.0
20-01-2022,76.0,77.51,74.24,76.14,91225,,0.0,0.0
21-01-2022,75.02,76.78,73.56,75.12,91411,,0.0,0.0
24-01-2022,75.12,76.92,70.15,71.32,198695,,0.0,0.0
25-01-2022,70.2,72.98,69.47,72.25,90388,,0.0,0.0
27-01-2022,71.91,72.05,70.15,70.79,83130,,0.0,0.0
28-01-2022,72.59,72.59,70.74,71.27,43171,,0.0,0.0
31-01-2022,71.32,72.73,70.93,71.32,42123,,0.0,0.0
01-02-2022,71.61,71.91,70.01,70.25,159839,,0.0,0.0
02-02-2022,71.47,71.76,69.67,70.15,601493,,0.0,0.0
03-02-2022,71.08,71.08,69.42,69.91,264230,,0.0,0.0
04-02-2022,70.15,71.08,68.01,68.54,369356,,0.0,0.0
