Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,570.92,596.89,570.92,589.2,55254,,0.0,0.0
09-08-2021,594.93,596.89,578.37,590.37,31403,,0.0,0.0
10-08-2021,588.17,593.31,563.08,576.21,46635,,0.0,0.0
11-08-2021,576.21,576.75,552.88,567.63,48461,,0.0,0.0
12-08-2021,573.32,587.04,569.5,578.47,26370,,0.0,0.0
13-08-2021,582.29,615.51,578.76,601.94,123594,,0.0,0.0
16-08-2021,605.42,606.89,593.71,595.62,42662,,0.0,0.0
17-08-2021,591.01,598.85,580.38,584.05,23592,,0.0,0.0
18-08-2021,584.79,593.9,568.76,575.43,35424,,0.0,0.0
20-08-2021,570.97,578.17,562.64,564.2,21144,,0.0,0.0
23-08-2021,565.48,570.58,548.08,549.16,28460,,0.0,0.0
24-08-2021,549.21,558.62,541.07,550.24,24889,,0.0,0.0
25-08-2021,556.71,572.39,546.02,550.48,19650,,0.0,0.0
26-08-2021,548.91,566.02,544.46,548.28,35012,,0.0,0.0
27-08-2021,550.83,572.54,550.53,564.55,45173,,0.0,0.0
30-08-2021,569.4,570.82,558.86,561.8,39705,,0.0,0.0
31-08-2021,567.19,567.19,554.7,559.65,19652,,0.0,0.0
01-09-2021,566.41,587.34,553.82,563.86,135236,,0.0,0.0
02-09-2021,572.39,573.32,560.63,562.49,24310,,0.0,0.0
03-09-2021,566.51,570.43,555.43,557.0,30051,,0.0,0.0
06-09-2021,558.91,563.62,553.28,554.45,19225,,0.0,0.0
07-09-2021,557.59,559.11,544.46,549.5,22605,,0.0,0.0
08-09-2021,551.81,555.63,543.38,545.19,16679,,0.0,0.0
09-09-2021,545.93,557.69,544.06,553.82,24459,,0.0,0.0
13-09-2021,558.57,558.62,548.96,549.45,10195,,0.0,0.0
14-09-2021,557.69,558.67,549.55,554.55,23657,,0.0,0.0
15-09-2021,558.67,573.17,558.67,565.14,80967,,0.0,0.0
16-09-2021,566.51,568.42,553.18,554.21,20639,,0.0,0.0
17-09-2021,558.67,558.67,534.21,542.98,24365,,0.0,0.0
20-09-2021,541.02,541.02,521.42,524.12,36253,,0.0,0.0
21-09-2021,529.12,529.12,511.43,516.77,16829,,0.0,0.0
22-09-2021,522.4,535.14,517.75,530.83,25256,,0.0,0.0
23-09-2021,533.18,540.73,523.09,526.86,26588,,0.0,0.0
24-09-2021,529.21,537.06,520.79,525.2,14999,,0.0,0.0
27-09-2021,525.34,594.49,525.34,567.49,336641,,0.0,0.0
28-09-2021,572.83,572.83,548.91,554.01,63785,,0.0,0.0
29-09-2021,552.79,561.12,544.46,552.0,32918,,0.0,0.0
30-09-2021,553.77,558.37,543.82,552.3,25520,,0.0,0.0
01-10-2021,555.73,590.03,543.13,580.03,200234,,0.0,0.0
04-10-2021,586.11,606.4,578.27,586.4,108850,,0.0,0.0
05-10-2021,585.13,587.14,575.43,579.1,30885,,0.0,0.0
06-10-2021,574.54,598.31,568.47,571.26,53782,,0.0,0.0
07-10-2021,576.01,597.77,571.75,583.46,81151,,0.0,0.0
08-10-2021,590.96,606.89,581.31,586.36,90992,,0.0,0.0
11-10-2021,591.01,608.65,591.01,594.78,81533,,0.0,0.0
12-10-2021,600.62,616.49,595.91,598.46,111971,,0.0,0.0
13-10-2021,606.64,615.02,596.4,599.34,74068,,0.0,0.0
14-10-2021,604.59,616.49,590.03,600.27,68963,,0.0,0.0
18-10-2021,602.72,720.29,602.72,720.29,782175,,0.0,0.0
19-10-2021,760.57,773.31,697.84,705.64,423497,,0.0,0.0
20-10-2021,703.72,736.46,692.94,723.08,169363,,0.0,0.0
21-10-2021,735.19,756.65,715.53,737.34,196275,,0.0,0.0
22-10-2021,736.07,754.35,722.35,726.61,78400,,0.0,0.0
25-10-2021,726.61,748.66,712.84,716.61,92147,,0.0,0.0
26-10-2021,724.31,729.8,710.59,713.33,46661,,0.0,0.0
27-10-2021,720.34,725.29,700.78,709.51,44192,,0.0,0.0
28-10-2021,709.6,709.6,676.33,680.45,25460,,0.0,0.0
29-10-2021,676.28,702.79,658.0,688.24,27710,,0.0,0.0
01-11-2021,705.54,734.11,688.04,696.86,98629,,0.0,0.0
