Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,314.19,329.95,314.19,322.54,99739,,0.0,0.0
09-08-2021,325.05,327.38,314.19,315.13,42633,,0.0,0.0
10-08-2021,316.71,316.9,301.34,306.13,60191,,0.0,0.0
11-08-2021,306.13,307.76,290.42,302.53,54587,,0.0,0.0
12-08-2021,303.32,323.77,303.32,320.07,93444,,0.0,0.0
13-08-2021,321.7,325.05,316.16,317.79,29414,,0.0,0.0
16-08-2021,325.99,325.99,308.36,310.43,46844,,0.0,0.0
17-08-2021,311.22,323.57,309.39,321.25,74392,,0.0,0.0
18-08-2021,326.04,327.03,310.43,312.75,40303,,0.0,0.0
20-08-2021,311.22,318.63,302.33,308.46,32211,,0.0,0.0
23-08-2021,310.04,313.54,291.46,297.93,43236,,0.0,0.0
24-08-2021,291.46,312.21,291.46,309.94,25831,,0.0,0.0
25-08-2021,314.19,315.03,303.32,304.31,19894,,0.0,0.0
26-08-2021,303.32,311.22,303.32,307.37,23777,,0.0,0.0
27-08-2021,306.78,311.22,303.47,308.06,20439,,0.0,0.0
30-08-2021,312.21,318.93,309.1,310.83,46936,,0.0,0.0
31-08-2021,308.26,312.41,308.26,309.49,16058,,0.0,0.0
01-09-2021,306.28,312.01,305.79,306.97,11755,,0.0,0.0
02-09-2021,306.28,310.23,306.28,307.22,12558,,0.0,0.0
03-09-2021,308.8,311.17,305.29,305.99,22112,,0.0,0.0
06-09-2021,305.0,309.06,302.03,304.75,24165,,0.7,0.0
07-09-2021,306.28,308.46,300.69,302.47,18874,,0.0,0.0
08-09-2021,304.01,304.01,299.3,300.99,24257,,0.0,0.0
09-09-2021,299.1,310.94,297.57,306.88,61526,,0.0,0.0
13-09-2021,311.93,311.93,302.52,303.96,16561,,0.0,0.0
14-09-2021,304.01,308.96,303.11,304.5,24743,,0.0,0.0
15-09-2021,305.74,311.83,305.74,309.35,26169,,0.0,0.0
16-09-2021,310.44,312.72,308.96,309.65,20096,,0.0,0.0
17-09-2021,310.44,312.42,305.99,307.32,22077,,0.0,0.0
20-09-2021,306.98,309.95,302.12,302.47,14641,,0.0,0.0
21-09-2021,302.47,304.8,296.58,300.99,28495,,0.0,0.0
22-09-2021,302.52,303.86,298.06,300.44,17380,,0.0,0.0
23-09-2021,301.03,329.75,301.03,327.38,257242,,0.0,0.0
24-09-2021,327.77,329.7,314.5,321.88,103711,,0.0,0.0
27-09-2021,323.51,342.67,323.51,339.31,187388,,0.0,0.0
28-09-2021,340.6,350.7,324.01,343.02,233311,,0.0,0.0
29-09-2021,339.65,343.02,330.3,334.41,40525,,0.0,0.0
30-09-2021,333.27,336.58,322.28,325.3,18277,,0.0,0.0
01-10-2021,326.58,341.34,317.18,329.7,48279,,0.0,0.0
04-10-2021,329.65,335.5,324.8,327.38,22303,,0.0,0.0
05-10-2021,327.38,330.15,319.9,323.27,18432,,0.0,0.0
