Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,134.77,142.36,134.77,138.92,1148748,,0.0,0.0
09-08-2021,140.01,142.31,134.62,136.69,828284,,0.0,0.0
10-08-2021,137.09,138.75,125.03,132.51,1093476,,0.0,0.0
11-08-2021,132.83,134.89,125.71,131.0,886232,,0.0,0.0
12-08-2021,131.57,138.03,129.51,137.13,682024,,0.0,0.0
13-08-2021,137.92,140.89,132.88,133.24,485232,,0.0,0.0
16-08-2021,133.53,135.17,131.65,132.16,283204,,0.0,0.0
17-08-2021,132.56,133.53,129.94,130.56,354984,,0.0,0.0
18-08-2021,131.16,133.65,128.52,129.35,392604,,0.0,0.0
20-08-2021,127.4,129.09,123.34,124.94,618040,,0.0,0.0
23-08-2021,124.95,126.93,120.96,122.66,516428,,0.0,0.0
24-08-2021,122.66,126.85,122.66,123.24,384608,,0.0,0.0
25-08-2021,123.34,127.13,120.67,121.2,509264,,0.0,0.0
26-08-2021,121.46,124.05,117.48,118.54,554736,,0.0,0.0
27-08-2021,119.53,123.81,119.07,122.13,481704,,0.0,0.0
30-08-2021,123.2,125.08,121.3,122.29,497696,,0.0,0.0
31-08-2021,124.05,128.03,121.77,125.52,635684,,0.0,0.0
01-09-2021,126.1,126.63,121.91,122.24,387780,,0.0,0.0
02-09-2021,122.97,125.8,122.53,124.25,394472,,0.38,0.0
03-09-2021,124.59,125.36,121.32,122.23,382204,,0.0,0.0
06-09-2021,123.43,124.29,120.65,122.28,357220,,0.0,0.0
07-09-2021,123.75,123.94,121.08,121.36,212416,,0.0,0.0
08-09-2021,121.89,125.41,121.59,123.99,665164,,0.0,0.0
09-09-2021,123.99,132.97,123.03,131.38,2048464,,0.0,0.0
13-09-2021,132.44,139.75,132.26,137.02,2153564,,0.0,0.0
14-09-2021,137.85,139.69,133.47,137.94,676368,,0.0,0.0
15-09-2021,135.32,142.49,135.32,141.84,1228140,,0.0,0.0
16-09-2021,141.77,161.42,141.77,155.67,6165344,,0.0,0.0
17-09-2021,158.85,186.79,153.68,184.19,11172672,,0.0,0.0
20-09-2021,180.79,199.82,177.22,186.4,9542228,,0.0,0.0
21-09-2021,188.58,188.85,168.09,178.89,1260392,,0.0,0.0
22-09-2021,182.21,195.01,182.2,185.45,2179932,,0.0,0.0
23-09-2021,186.26,190.06,182.69,185.41,796012,,0.0,0.0
24-09-2021,185.41,186.97,175.3,178.47,679628,,0.0,0.0
27-09-2021,179.6,192.41,179.12,188.4,889388,,0.0,0.0
28-09-2021,190.89,190.99,182.27,184.76,353032,,0.0,0.0
29-09-2021,180.84,187.66,179.73,180.83,301284,,0.0,0.0
30-09-2021,181.88,184.34,176.46,177.41,309168,,0.0,0.0
01-10-2021,177.55,199.79,177.21,197.04,3380264,,0.0,0.0
04-10-2021,196.25,206.33,190.36,201.54,3326592,,0.0,0.0
05-10-2021,202.43,203.62,194.34,196.25,1176316,,0.0,0.0
06-10-2021,197.41,198.8,184.4,187.97,771976,,0.0,0.0
07-10-2021,186.02,186.73,177.7,179.87,1383308,,0.0,0.0
08-10-2021,178.07,181.97,176.27,178.42,736836,,0.0,0.0
11-10-2021,179.63,181.75,164.61,165.37,1389480,,0.0,0.0
12-10-2021,165.56,170.07,159.39,165.26,1159912,,0.0,0.0
13-10-2021,165.18,170.08,164.23,167.35,725944,,0.0,0.0
14-10-2021,168.87,169.36,165.8,167.65,439992,,0.0,0.0
18-10-2021,169.06,169.84,163.92,165.6,376780,,0.0,0.0
19-10-2021,166.89,168.61,159.38,160.72,432508,,0.0,0.0
20-10-2021,161.64,161.64,157.0,158.82,239000,,0.0,0.0
21-10-2021,160.54,161.04,156.52,157.69,181764,,0.0,0.0
22-10-2021,159.78,165.37,157.21,161.9,415656,,0.0,0.0
25-10-2021,162.35,165.16,157.0,161.21,756852,,0.0,0.0
26-10-2021,164.13,166.27,156.52,158.04,878480,,0.0,0.0
27-10-2021,157.66,161.28,146.29,152.1,1488116,,0.0,0.0
28-10-2021,154.62,154.62,145.1,145.6,755324,,0.0,0.0
29-10-2021,146.67,147.72,138.81,144.93,831884,,0.0,0.0
01-11-2021,146.21,154.57,145.5,153.14,644416,,0.0,0.0
02-11-2021,154.01,154.86,149.89,150.73,417300,,0.0,0.0
03-11-2021,151.38,157.0,150.94,154.52,844876,,0.0,0.0
04-11-2021,155.76,157.71,155.18,156.16,216020,,0.0,0.0
08-11-2021,157.66,159.09,152.62,155.87,589740,,0.0,0.0
09-11-2021,156.5,160.52,154.87,156.83,841708,,0.0,0.0
10-11-2021,156.4,158.1,153.96,154.32,271692,,0.0,0.0
11-11-2021,154.14,156.68,152.41,153.79,167616,,0.0,0.0
12-11-2021,154.62,155.81,151.31,152.23,120840,,0.0,0.0
15-11-2021,153.17,153.17,148.67,149.27,166088,,0.0,0.0
16-11-2021,149.5,153.67,148.68,151.4,222924,,0.0,0.0
17-11-2021,151.4,154.1,149.92,150.75,151692,,0.0,0.0
18-11-2021,150.92,152.69,146.53,148.11,269368,,0.0,0.0
22-11-2021,149.29,150.11,139.61,142.09,282296,,0.0,0.0
23-11-2021,141.44,145.62,136.34,141.89,377248,,0.0,0.0
24-11-2021,142.49,144.15,139.19,140.18,280852,,0.0,0.0
25-11-2021,140.88,142.39,137.98,138.81,231140,,0.0,0.0
26-11-2021,137.73,139.51,131.13,132.18,508124,,0.0,0.0
29-11-2021,132.01,151.48,131.54,146.31,2579288,,0.0,0.0
30-11-2021,146.31,147.48,142.31,145.67,679256,,0.0,0.0
01-12-2021,146.29,147.24,142.74,145.39,310668,,0.0,0.0
02-12-2021,146.06,147.46,143.49,145.89,322644,,0.0,0.0
03-12-2021,145.94,151.03,142.58,147.9,590520,,0.0,0.0
06-12-2021,150.25,150.81,144.94,147.01,327604,,0.0,0.0
07-12-2021,146.33,152.0,146.33,150.25,252876,,0.0,0.0
08-12-2021,153.19,156.21,151.29,153.62,688656,,0.0,0.0
09-12-2021,154.59,154.59,150.15,151.34,119448,,0.0,0.0
10-12-2021,151.29,151.29,147.3,148.21,152188,,0.0,0.0
13-12-2021,148.7,158.73,145.09,146.48,320960,,0.0,0.0
14-12-2021,147.22,151.87,146.44,150.38,470800,,0.0,0.0
15-12-2021,150.78,156.51,149.1,153.7,975764,,0.0,0.0
16-12-2021,155.0,155.2,150.21,151.6,296764,,0.0,0.0
17-12-2021,151.6,153.18,143.46,147.54,653528,,0.0,0.0
20-12-2021,144.15,145.88,137.24,139.55,559584,,0.0,0.0
21-12-2021,141.04,160.09,140.35,155.4,2260416,,0.0,0.0
22-12-2021,156.76,157.22,149.15,150.73,661556,,0.0,0.0
23-12-2021,150.34,154.13,148.77,150.1,396044,,0.0,0.0
24-12-2021,157.0,159.11,147.49,148.89,1008188,,0.0,0.0
27-12-2021,147.48,150.81,145.45,145.86,307196,,0.0,0.0
28-12-2021,147.43,152.24,143.91,144.87,486284,,0.0,0.0
29-12-2021,145.25,147.36,141.54,142.65,465488,,0.0,0.0
30-12-2021,143.44,144.58,139.44,141.17,404256,,0.0,0.0
31-12-2021,141.52,142.3,138.44,138.8,681420,,0.0,0.0
03-01-2022,139.39,140.17,113.76,123.16,5977120,,0.0,0.0
04-01-2022,124.65,127.26,120.19,122.14,2037424,,0.0,0.0
05-01-2022,123.2,124.38,118.88,120.12,1515636,,0.0,0.0
06-01-2022,118.94,121.72,118.22,119.13,1447912,,0.0,0.0
07-01-2022,119.67,125.07,119.66,122.78,2234868,,0.0,0.0
10-01-2022,123.68,127.93,122.97,126.2,1670144,,0.0,0.0
11-01-2022,126.44,142.25,124.17,138.7,4124396,,0.0,0.0
12-01-2022,137.92,142.49,133.86,141.24,1837344,,0.0,0.0
13-01-2022,141.3,141.3,135.11,135.76,645468,,0.0,0.0
14-01-2022,132.97,134.52,130.83,131.19,1191248,,0.0,0.0
17-01-2022,131.19,133.04,126.79,128.01,665732,,0.0,0.0
18-01-2022,127.54,127.86,122.53,123.34,1290892,,0.0,0.0
19-01-2022,123.34,125.05,119.18,120.63,1428268,,0.0,0.0
20-01-2022,121.79,124.88,121.47,123.68,834536,,0.0,0.0
21-01-2022,127.23,127.23,122.54,123.29,1294016,,0.0,0.0
24-01-2022,123.16,123.16,116.87,117.62,830080,,0.0,0.0
25-01-2022,116.29,119.89,113.15,118.47,637328,,0.0,0.0
27-01-2022,118.96,121.05,116.56,117.75,515268,,0.0,0.0
28-01-2022,118.94,121.14,115.49,116.23,587792,,0.0,0.0
31-01-2022,117.63,118.35,112.41,112.82,560896,,0.0,0.0
01-02-2022,114.42,115.11,111.9,113.6,660872,,0.0,0.0
02-02-2022,114.62,117.89,114.62,116.18,605444,,0.0,0.0
03-02-2022,116.73,122.03,116.32,118.02,1121232,,0.0,0.0
04-02-2022,118.39,118.84,113.2,113.79,1013860,,0.0,0.0
07-02-2022,113.94,118.41,113.82,116.8,974464,,0.0,0.0
08-02-2022,116.8,118.06,113.15,114.01,375112,,0.0,0.0
09-02-2022,114.58,116.08,113.85,114.91,345092,,0.0,0.0
10-02-2022,115.43,115.48,110.61,111.15,778612,,0.0,0.0
11-02-2022,111.16,112.51,109.2,109.83,339320,,0.0,0.0
14-02-2022,105.85,110.9,100.79,101.87,935556,,0.0,0.0
15-02-2022,103.71,106.52,100.03,105.57,606472,,0.0,0.0
16-02-2022,106.09,120.1,106.09,113.32,2974604,,0.0,0.0
17-02-2022,114.47,114.98,109.91,110.62,365016,,0.0,0.0
18-02-2022,109.42,111.18,106.97,107.21,288996,,0.0,0.0
21-02-2022,107.26,107.28,103.48,104.08,256776,,0.0,0.0
22-02-2022,99.91,105.85,99.91,104.5,533656,,0.0,0.0
23-02-2022,107.0,109.29,103.48,104.72,377252,,0.0,0.0
24-02-2022,101.39,104.38,93.92,96.49,995560,,0.0,0.0
25-02-2022,96.98,104.9,96.98,99.92,787048,,0.0,0.0
28-02-2022,99.91,100.23,96.48,98.68,508636,,0.0,0.0
02-03-2022,99.84,102.48,97.39,100.47,443960,,0.0,0.0
03-03-2022,101.57,102.54,98.03,99.32,308004,,0.0,0.0
04-03-2022,99.32,100.66,97.71,98.79,341188,,0.0,0.0
07-03-2022,97.77,98.48,93.13,94.47,413432,,0.0,0.0
08-03-2022,94.95,97.26,93.52,96.23,315448,,0.0,0.0
09-03-2022,96.76,102.52,96.23,99.46,596040,,0.0,0.0
10-03-2022,101.98,103.84,99.67,100.59,322652,,0.0,0.0
11-03-2022,100.38,102.76,99.59,100.55,271100,,0.0,0.0
14-03-2022,100.92,101.48,98.96,99.82,196388,,0.0,0.0
15-03-2022,100.31,102.0,98.72,99.03,274732,,0.0,0.0
16-03-2022,101.1,103.24,100.15,100.68,379700,,0.0,0.0
17-03-2022,102.29,105.31,101.82,103.82,396116,,0.0,0.0
21-03-2022,104.34,107.76,104.2,104.87,543552,,0.0,0.0
22-03-2022,105.38,106.01,101.14,102.07,395548,,0.0,0.0
23-03-2022,102.58,106.57,102.58,104.82,632928,,0.0,0.0
24-03-2022,104.67,104.67,101.36,101.87,380936,,0.0,0.0
25-03-2022,102.29,104.24,101.42,101.93,519408,,0.0,0.0
28-03-2022,101.93,102.39,98.48,98.66,434460,,0.0,0.0
29-03-2022,98.73,102.46,98.15,98.93,494224,,0.0,0.0
30-03-2022,98.78,102.26,98.72,98.91,314856,,0.0,0.0
31-03-2022,99.36,101.1,97.77,98.35,315980,,0.0,0.0
01-04-2022,98.85,101.77,98.73,100.59,379288,,0.0,0.0
04-04-2022,101.69,105.85,101.57,104.55,700492,,0.0,0.0
05-04-2022,104.9,110.47,104.43,109.01,1081384,,0.0,0.0
06-04-2022,109.04,109.91,105.89,107.2,541620,,0.0,0.0
07-04-2022,107.1,107.82,104.44,105.15,334964,,0.0,0.0
08-04-2022,106.73,111.08,106.0,109.92,1305468,,0.0,0.0
11-04-2022,109.92,112.81,109.42,110.01,635064,,0.0,0.0
12-04-2022,110.55,110.55,106.16,106.66,358588,,0.0,0.0
13-04-2022,108.23,108.67,105.33,105.56,251188,,0.0,0.0
18-04-2022,104.19,107.91,103.58,106.44,335968,,0.0,0.0
19-04-2022,106.97,116.02,106.97,112.0,2188688,,0.0,0.0
20-04-2022,113.47,116.56,112.46,115.44,2158768,,0.0,0.0
21-04-2022,116.53,119.78,114.69,117.56,1112092,,0.0,0.0
22-04-2022,117.03,117.88,113.16,114.0,498100,,0.0,0.0
25-04-2022,111.8,114.14,110.89,111.24,408224,,0.0,0.0
26-04-2022,112.47,112.63,108.49,109.37,254176,,0.0,0.0
27-04-2022,107.54,109.11,105.88,107.01,229660,,0.0,0.0
28-04-2022,109.42,109.42,104.88,105.88,243704,,0.0,0.0
29-04-2022,106.37,108.0,103.74,104.08,272240,,0.0,0.0
02-05-2022,103.71,106.25,101.41,103.38,398944,,0.0,0.0
04-05-2022,104.67,106.08,100.86,101.85,298004,,0.0,0.0
05-05-2022,102.3,104.52,100.86,102.81,137284,,0.0,0.0
06-05-2022,99.91,100.57,97.05,97.84,342848,,0.0,0.0
09-05-2022,97.53,97.92,95.53,96.76,221160,,0.0,0.0
10-05-2022,98.0,99.11,91.11,91.99,305700,,0.0,0.0
11-05-2022,91.82,93.12,87.35,88.72,387396,,0.0,0.0
12-05-2022,87.06,87.99,84.52,85.39,225408,,0.0,0.0
