Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
02-08-2021,38.01,38.7,38.01,38.37,179340,,0.0,0.0
03-08-2021,38.66,38.66,37.62,37.76,229075,,0.0,0.0
04-08-2021,38.34,38.39,37.57,37.87,155235,,0.0,0.0
05-08-2021,38.13,38.96,36.95,38.57,347645,,0.0,0.0
06-08-2021,38.94,38.97,37.61,37.75,128600,,0.0,0.0
09-08-2021,37.88,38.52,37.02,37.08,173430,,0.0,0.0
10-08-2021,38.13,38.13,35.37,36.18,265930,,0.0,0.0
11-08-2021,37.51,37.51,34.3,35.74,291725,,0.0,0.0
12-08-2021,37.02,38.78,35.66,36.46,733015,,0.0,0.0
13-08-2021,36.28,43.74,36.28,43.74,3739145,,0.0,0.0
16-08-2021,46.18,51.49,46.18,50.13,9534185,,0.0,0.0
17-08-2021,49.49,50.64,46.76,48.74,2535705,,0.0,0.0
18-08-2021,48.27,48.69,45.4,46.21,794370,,0.0,0.0
20-08-2021,45.77,50.6,43.84,46.3,1168420,,0.0,0.0
23-08-2021,46.96,47.74,44.01,45.36,440150,,0.0,0.0
24-08-2021,46.57,54.43,45.74,54.13,3783795,,0.0,0.0
25-08-2021,54.46,60.01,52.8,54.19,5997335,,0.0,0.0
26-08-2021,53.23,57.45,52.42,55.51,1557730,,0.0,0.0
27-08-2021,55.75,58.16,52.71,53.48,844410,,0.0,0.0
30-08-2021,55.24,57.32,54.04,55.1,824355,,0.0,0.0
31-08-2021,55.53,57.46,53.58,54.02,424330,,0.0,0.0
01-09-2021,55.53,57.46,54.76,56.93,1276660,,0.0,0.0
02-09-2021,58.16,68.3,57.15,68.3,5716270,,0.0,0.0
03-09-2021,68.98,71.08,62.35,62.76,3402320,,0.0,0.0
06-09-2021,63.91,68.09,61.67,62.77,1906370,,0.0,0.0
07-09-2021,63.13,65.08,61.02,63.35,829795,,0.0,0.0
08-09-2021,63.52,65.66,62.74,64.43,475820,,0.0,0.0
09-09-2021,64.3,66.18,63.61,65.17,457150,,0.0,0.0
13-09-2021,65.18,65.57,63.33,63.62,361305,,0.0,0.0
14-09-2021,63.53,64.66,62.25,62.92,506835,,0.0,0.0
15-09-2021,62.74,64.01,62.16,62.38,208665,,0.0,0.0
16-09-2021,61.86,64.71,61.86,62.8,216020,,0.5,0.0
17-09-2021,63.41,63.45,61.09,62.07,512420,,0.0,0.0
20-09-2021,62.45,64.81,60.96,61.24,343440,,0.0,0.0
21-09-2021,61.09,62.06,59.56,61.78,147120,,0.0,0.0
22-09-2021,62.84,63.63,61.9,62.61,112445,,0.0,0.0
23-09-2021,61.86,64.71,61.83,63.27,259055,,0.0,0.0
24-09-2021,64.01,64.21,60.9,61.62,121485,,0.0,0.0
27-09-2021,61.84,62.65,60.99,61.79,88940,,0.0,0.0
28-09-2021,61.47,63.23,61.26,62.28,179730,,0.0,0.0
29-09-2021,61.47,62.44,60.2,60.77,285310,,0.0,0.0
30-09-2021,60.68,61.66,59.7,60.76,253445,,0.0,0.0
01-10-2021,60.88,66.83,59.44,64.79,875825,,0.0,0.0
04-10-2021,65.36,67.2,64.79,65.95,450165,,0.0,0.0
05-10-2021,65.95,68.73,65.47,67.08,516575,,0.0,0.0
06-10-2021,67.74,68.43,63.11,63.95,269675,,0.0,0.0
07-10-2021,65.98,66.57,64.12,65.72,159850,,0.0,0.0
08-10-2021,66.37,66.77,65.0,65.79,118865,,0.0,0.0
11-10-2021,65.79,68.73,65.79,66.99,274565,,0.0,0.0
