Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,32.52,33.51,32.16,32.43,663384,,0.0,0.0
09-08-2021,32.48,32.79,31.76,32.03,681515,,0.0,0.0
10-08-2021,31.85,32.61,30.01,30.64,1603933,,0.0,0.0
11-08-2021,30.73,32.25,28.94,30.51,2429024,,0.0,0.0
12-08-2021,30.64,31.72,30.51,31.36,964795,,0.0,0.0
13-08-2021,31.54,32.3,31.09,31.81,1566935,,0.0,0.0
16-08-2021,31.85,32.48,31.0,31.13,916110,,0.0,0.0
17-08-2021,31.09,31.13,30.28,30.37,480081,,0.0,0.0
18-08-2021,30.78,30.87,29.79,30.37,705990,,0.0,0.0
20-08-2021,29.79,30.91,28.98,29.16,582167,,0.0,0.0
23-08-2021,29.48,29.75,27.33,27.64,584973,,0.0,0.0
24-08-2021,27.73,29.03,27.6,28.81,492758,,0.0,0.0
25-08-2021,29.34,29.79,29.03,29.21,546987,,0.0,0.0
26-08-2021,28.98,29.97,28.98,29.66,524149,,0.0,0.0
27-08-2021,29.61,30.15,29.12,29.34,402217,,0.0,0.0
30-08-2021,29.66,30.01,29.48,29.61,329463,,0.0,0.0
31-08-2021,29.57,29.92,29.12,29.21,336905,,0.0,0.0
01-09-2021,29.34,29.92,29.12,29.34,444484,,0.0,0.0
02-09-2021,29.25,29.79,29.16,29.3,459407,,0.0,0.0
03-09-2021,29.48,29.84,29.39,29.61,371900,,0.0,0.0
06-09-2021,29.79,29.97,29.3,29.39,293759,,0.0,0.0
07-09-2021,31.31,31.31,30.28,30.51,1968679,,0.0,0.0
08-09-2021,30.64,30.64,29.57,29.84,337425,,0.0,0.0
09-09-2021,29.88,29.92,29.34,29.57,328678,,0.0,0.0
13-09-2021,29.57,29.75,29.34,29.43,326716,,0.0,0.0
14-09-2021,29.88,30.24,29.61,29.75,449559,,0.0,0.0
15-09-2021,29.75,33.15,29.75,32.34,2424646,,0.0,0.0
16-09-2021,32.7,33.06,31.58,32.25,1327748,,0.09,0.0
17-09-2021,32.52,32.88,31.31,31.98,896404,,0.0,0.0
20-09-2021,31.54,32.52,31.0,31.09,526879,,0.0,0.0
21-09-2021,31.09,31.31,30.19,30.68,448968,,0.0,0.0
22-09-2021,30.91,31.4,30.55,30.95,529950,,0.0,0.0
23-09-2021,31.13,31.8,31.04,31.27,802867,,0.0,0.0
24-09-2021,31.54,31.76,30.73,30.86,453789,,0.0,0.0
27-09-2021,30.91,31.67,30.59,30.68,373497,,0.0,0.0
28-09-2021,30.91,31.36,30.19,30.55,505242,,0.0,0.0
29-09-2021,30.37,31.09,30.19,30.59,419021,,0.0,0.0
30-09-2021,30.77,32.48,30.64,31.54,1158830,,0.0,0.0
01-10-2021,31.27,33.6,31.0,33.11,2878397,,0.0,0.0
04-10-2021,33.24,33.47,32.75,32.84,695362,,0.0,0.0
05-10-2021,32.79,32.97,32.39,32.57,612134,,0.0,0.0
06-10-2021,32.75,33.47,31.89,31.98,1209840,,0.0,0.0
07-10-2021,32.25,32.97,31.98,32.39,782961,,0.0,0.0
08-10-2021,32.61,32.79,32.25,32.34,546371,,0.0,0.0
11-10-2021,32.66,33.2,31.54,31.8,1043905,,0.0,0.0
12-10-2021,32.03,32.43,31.54,31.76,581004,,0.0,0.0
13-10-2021,31.94,32.48,31.4,31.8,1301030,,0.0,0.0
14-10-2021,32.07,32.57,31.98,32.16,1232363,,0.0,0.0
18-10-2021,32.43,33.6,32.43,33.11,1768031,,0.0,0.0
19-10-2021,33.29,37.06,33.06,34.64,9080376,,0.0,0.0
