Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,42.8,43.59,41.98,42.34,3925038,,0.0,0.0
09-08-2021,42.37,42.8,41.69,41.76,978084,,0.0,0.0
10-08-2021,41.91,42.41,39.59,40.05,1327376,,0.0,0.0
11-08-2021,40.12,40.24,36.32,38.2,1905196,,0.0,0.0
12-08-2021,38.51,40.2,38.51,39.84,829990,,0.0,0.0
13-08-2021,39.96,41.45,39.16,39.69,1542626,,0.0,0.0
16-08-2021,39.64,39.64,38.32,38.41,706034,,0.0,0.0
17-08-2021,38.24,38.82,36.92,37.18,852532,,0.0,0.0
18-08-2021,37.38,37.64,34.49,34.82,2072570,,0.0,0.0
20-08-2021,35.42,36.44,34.82,35.06,1784064,,0.0,0.0
23-08-2021,35.59,35.88,32.32,32.63,1762622,,0.0,0.0
24-08-2021,33.02,35.02,32.65,34.44,1342316,,0.0,0.0
25-08-2021,34.44,36.08,34.44,34.68,2048560,,0.0,0.0
26-08-2021,34.77,35.88,34.34,34.77,1128398,,0.0,0.0
27-08-2021,34.53,37.09,34.46,35.81,3281560,,0.0,0.0
30-08-2021,36.0,37.96,35.23,35.52,2649350,,0.0,0.0
31-08-2021,35.71,36.94,35.67,36.03,3159024,,0.0,0.0
01-09-2021,36.24,36.51,35.28,35.55,762908,,0.0,0.0
02-09-2021,35.71,35.93,35.16,35.52,754996,,0.0,0.0
03-09-2021,35.76,36.17,34.61,34.77,1216878,,0.0,0.0
06-09-2021,35.04,35.26,34.7,34.77,836354,,0.0,0.0
07-09-2021,34.99,35.14,34.56,34.7,567282,,0.0,0.0
08-09-2021,34.7,34.94,34.34,34.56,675346,,0.0,0.0
09-09-2021,34.27,34.89,34.1,34.2,1034424,,0.0,0.0
13-09-2021,34.2,34.61,33.93,34.05,604686,,0.0,0.0
14-09-2021,34.36,35.33,34.22,34.82,1187942,,0.0,0.0
15-09-2021,35.06,35.09,34.7,34.92,564688,,0.0,0.0
16-09-2021,34.92,35.57,34.63,34.77,963022,,0.0,0.0
17-09-2021,35.09,36.0,33.93,35.71,2256536,,0.0,0.0
20-09-2021,36.03,36.03,34.58,34.87,757574,,0.0,0.0
21-09-2021,34.58,35.09,33.92,34.31,808204,,0.35,0.0
22-09-2021,34.94,35.26,34.55,34.65,612044,,0.0,0.0
23-09-2021,35.14,35.21,34.6,34.75,933198,,0.0,0.0
24-09-2021,34.92,35.5,34.77,34.99,1404776,,0.0,0.0
27-09-2021,35.28,35.48,34.55,34.87,554648,,0.0,0.0
28-09-2021,35.04,35.04,33.99,34.14,1139778,,0.0,0.0
29-09-2021,34.04,34.58,33.97,34.04,908056,,0.0,0.0
30-09-2021,34.24,35.48,34.09,34.9,1948320,,0.0,0.0
01-10-2021,34.7,34.9,34.21,34.48,478134,,0.0,0.0
04-10-2021,34.65,34.92,34.43,34.55,574362,,0.0,0.0
05-10-2021,34.55,34.99,34.36,34.8,920128,,0.0,0.0
06-10-2021,34.92,35.33,34.07,34.24,1472954,,0.0,0.0
07-10-2021,34.55,34.77,34.36,34.48,559000,,0.0,0.0
08-10-2021,34.55,34.94,34.31,34.51,436012,,0.0,0.0
11-10-2021,34.72,34.8,33.75,34.04,1087076,,0.0,0.0
12-10-2021,34.07,36.65,34.04,35.16,6177650,,0.0,0.0
13-10-2021,35.45,37.96,35.38,37.23,5619578,,0.0,0.0
14-10-2021,37.57,38.08,36.57,36.96,1756648,,0.0,0.0
18-10-2021,37.23,37.38,36.06,36.16,1194928,,0.0,0.0
19-10-2021,36.4,37.79,36.01,36.38,1826210,,0.0,0.0
20-10-2021,36.48,36.48,34.8,35.26,915338,,0.0,0.0
21-10-2021,35.58,36.01,34.6,35.04,719130,,0.0,0.0
22-10-2021,35.04,35.89,34.41,35.02,817168,,0.0,0.0
25-10-2021,34.99,35.19,34.07,34.34,680436,,0.0,0.0
26-10-2021,34.51,35.28,34.51,34.9,668026,,0.0,0.0
27-10-2021,34.99,35.28,34.8,34.92,538050,,0.0,0.0
28-10-2021,34.8,34.87,33.78,33.95,918556,,0.0,0.0
29-10-2021,33.61,34.34,32.7,33.7,742442,,0.0,0.0
01-11-2021,34.19,34.34,33.22,33.56,708866,,0.0,0.0
02-11-2021,33.82,34.31,33.65,33.8,597286,,0.0,0.0
03-11-2021,33.97,34.85,33.82,34.34,1411072,,0.0,0.0
04-11-2021,34.6,35.5,34.41,35.07,426136,,0.0,0.0
08-11-2021,35.38,35.65,34.58,35.02,1013724,,0.0,0.0
09-11-2021,35.11,35.28,34.8,34.99,528672,,0.0,0.0
10-11-2021,34.99,35.19,34.55,34.65,991390,,0.0,0.0
11-11-2021,34.77,35.16,34.17,34.38,843208,,0.0,0.0
12-11-2021,34.7,37.52,34.19,36.65,7118080,,0.0,0.0
15-11-2021,37.13,38.03,36.65,37.4,4017054,,0.0,0.0
16-11-2021,37.47,38.64,36.6,37.6,4704226,,0.0,0.0
17-11-2021,37.72,45.12,37.11,41.61,32900752,,0.0,0.0
18-11-2021,42.32,42.68,38.52,38.86,8071390,,0.0,0.0
22-11-2021,39.18,41.08,38.37,39.35,6354256,,0.0,0.0
23-11-2021,39.52,40.52,38.74,39.06,3566220,,0.0,0.0
24-11-2021,39.4,41.34,39.28,39.86,4382824,,0.0,0.0
25-11-2021,39.88,40.64,39.45,39.96,2215322,,0.0,0.0
26-11-2021,39.4,39.91,37.23,37.77,2371454,,0.0,0.0
29-11-2021,37.09,37.69,35.82,36.09,2081204,,0.0,0.0
30-11-2021,36.5,37.86,35.58,35.75,1495460,,0.0,0.0
01-12-2021,36.14,37.64,35.82,37.13,1436092,,0.0,0.0
02-12-2021,37.16,37.43,36.31,36.53,955328,,0.0,0.0
03-12-2021,36.74,38.59,36.53,37.3,2233930,,0.0,0.0
06-12-2021,37.52,37.67,35.97,36.33,1573760,,0.0,0.0
07-12-2021,36.67,37.16,35.41,35.53,2589598,,0.0,0.0
08-12-2021,35.87,36.31,34.9,35.04,2524822,,0.0,0.0
09-12-2021,35.6,35.94,34.87,35.21,2089986,,0.0,0.0
10-12-2021,35.24,36.74,35.11,36.06,3223222,,0.0,0.0
13-12-2021,36.45,38.45,36.18,37.96,5667492,,0.0,0.0
14-12-2021,37.91,39.32,37.47,39.03,4293452,,0.0,0.0
15-12-2021,39.23,39.76,37.3,37.5,2258132,,0.0,0.0
16-12-2021,37.94,38.16,36.38,36.53,1772820,,0.0,0.0
17-12-2021,36.5,36.62,35.48,35.63,1497116,,0.0,0.0
20-12-2021,34.9,34.9,33.65,34.21,1769134,,0.0,0.0
21-12-2021,34.99,35.43,34.38,34.7,992768,,0.0,0.0
22-12-2021,35.19,35.5,34.17,34.43,1173274,,0.0,0.0
23-12-2021,34.82,35.28,34.46,34.63,1013736,,0.0,0.0
24-12-2021,34.92,35.84,34.51,34.63,1939140,,0.0,0.0
27-12-2021,34.63,35.04,34.14,34.53,858946,,0.0,0.0
28-12-2021,34.87,35.67,34.72,35.04,1114792,,0.0,0.0
29-12-2021,35.04,35.43,34.82,34.99,690186,,0.0,0.0
30-12-2021,34.65,36.87,34.65,35.8,2289954,,0.0,0.0
31-12-2021,37.43,37.6,36.7,36.99,3099438,,0.0,0.0
03-01-2022,37.28,37.96,36.72,37.38,2141054,,0.0,0.0
04-01-2022,37.47,38.01,36.31,37.47,2825074,,0.0,0.0
05-01-2022,38.18,38.18,36.99,37.13,1142300,,0.0,0.0
06-01-2022,36.7,38.52,36.6,37.64,1829776,,0.0,0.0
07-01-2022,37.82,38.59,37.35,37.79,2839936,,0.0,0.0
10-01-2022,37.96,39.3,37.55,37.89,2748736,,0.0,0.0
11-01-2022,38.03,38.45,37.45,37.82,1951238,,0.0,0.0
12-01-2022,37.86,38.79,37.67,37.91,2170978,,0.0,0.0
13-01-2022,37.96,38.57,37.38,37.77,1601050,,0.0,0.0
14-01-2022,37.64,38.35,37.09,37.86,1363476,,0.0,0.0
17-01-2022,38.4,41.61,37.86,41.0,7836598,,0.0,0.0
18-01-2022,41.49,42.32,39.69,40.05,4515240,,0.0,0.0
19-01-2022,39.88,40.88,38.06,40.71,2119232,,0.0,0.0
20-01-2022,40.98,44.65,40.49,43.17,15126974,,0.0,0.0
21-01-2022,42.83,45.75,41.17,41.95,12051750,,0.0,0.0
24-01-2022,42.37,43.75,39.03,40.3,9152844,,0.0,0.0
25-01-2022,40.25,43.22,38.67,42.61,5066496,,0.0,0.0
27-01-2022,41.56,43.12,41.05,42.66,3995560,,0.0,0.0
28-01-2022,43.02,45.5,41.88,42.22,7657406,,0.0,0.0
31-01-2022,42.73,43.27,40.69,41.22,3435802,,0.0,0.0
01-02-2022,41.51,41.71,39.71,40.44,3639072,,0.0,0.0
02-02-2022,40.78,41.66,40.42,40.56,2791434,,0.0,0.0
03-02-2022,40.81,40.88,39.59,40.18,2424970,,0.0,0.0
04-02-2022,40.3,42.66,40.18,41.34,3618744,,0.0,0.0
07-02-2022,38.81,39.13,36.5,38.45,10603142,,0.0,0.0
08-02-2022,38.76,39.59,37.6,37.84,5727082,,0.0,0.0
09-02-2022,38.11,39.28,37.74,38.72,2688982,,0.0,0.0
10-02-2022,38.72,38.81,36.62,37.52,1608994,,0.0,0.0
11-02-2022,37.35,37.62,35.65,36.11,1842780,,0.0,0.0
14-02-2022,35.97,37.47,35.16,36.48,4068508,,0.0,0.0
15-02-2022,36.48,37.16,34.68,36.5,2576572,,0.0,0.0
16-02-2022,36.79,39.2,36.4,37.82,3835126,,0.0,0.0
17-02-2022,37.82,38.37,36.96,37.13,1115964,,0.0,0.0
18-02-2022,36.99,37.57,36.26,36.48,1113406,,0.0,0.0
21-02-2022,36.82,36.82,35.04,35.24,1076524,,0.0,0.0
22-02-2022,34.58,34.99,33.92,34.51,1379650,,0.0,0.0
23-02-2022,34.58,35.53,34.58,34.87,668298,,0.0,0.0
24-02-2022,33.09,34.34,30.66,31.46,2721408,,0.0,0.0
25-02-2022,32.51,33.8,32.51,33.02,1505478,,0.0,0.0
28-02-2022,33.22,33.68,32.7,33.26,927022,,0.0,0.0
02-03-2022,33.48,34.72,32.49,32.83,1506206,,0.0,0.0
03-03-2022,33.29,36.74,33.12,35.75,4110188,,0.0,0.0
04-03-2022,35.5,37.09,34.55,35.26,2316082,,0.0,0.0
07-03-2022,34.07,34.53,33.09,33.39,1072808,,0.0,0.0
08-03-2022,32.39,34.68,32.39,34.24,1151496,,0.0,0.0
09-03-2022,34.02,35.48,34.02,35.21,1359158,,0.0,0.0
10-03-2022,36.06,36.67,35.28,35.48,1483228,,0.0,0.0
11-03-2022,35.48,35.97,35.04,35.16,838598,,0.0,0.0
14-03-2022,35.26,35.6,34.7,34.92,887092,,0.0,0.0
15-03-2022,35.04,36.26,34.12,34.68,1885042,,0.0,0.0
16-03-2022,35.53,35.58,34.34,34.53,991384,,0.0,0.0
17-03-2022,35.04,35.63,34.75,35.04,1603396,,0.0,0.0
21-03-2022,35.77,36.26,35.04,35.16,1285808,,0.0,0.0
22-03-2022,35.53,35.53,34.31,34.51,1156854,,0.0,0.0
23-03-2022,34.9,35.04,33.95,34.07,1365226,,0.0,0.0
24-03-2022,34.07,34.55,33.46,33.95,2433752,,0.0,0.0
25-03-2022,34.43,34.55,33.65,33.85,1843524,,0.0,0.0
28-03-2022,33.85,34.07,32.07,32.24,2593366,,0.0,0.0
29-03-2022,32.63,32.88,31.59,31.78,2613614,,0.0,0.0
30-03-2022,32.41,32.44,31.76,31.95,2132646,,0.0,0.0
31-03-2022,31.95,31.95,30.95,31.1,2281162,,0.0,0.0
01-04-2022,31.1,34.65,31.07,33.95,4366182,,0.0,0.0
04-04-2022,33.63,35.38,33.63,34.14,2838408,,0.0,0.0
05-04-2022,34.34,35.16,34.31,34.72,2587232,,0.0,0.0
06-04-2022,34.46,35.28,33.9,34.8,3116746,,0.0,0.0
07-04-2022,35.72,40.01,35.53,38.5,16227698,,0.0,0.0
08-04-2022,38.74,40.93,38.5,40.42,6677184,,0.0,0.0
11-04-2022,41.0,43.02,40.64,41.15,12961486,,0.0,0.0
12-04-2022,41.15,41.2,39.42,40.13,4502466,,0.0,0.0
13-04-2022,40.37,41.73,38.98,40.66,4305240,,0.0,0.0
18-04-2022,40.83,43.9,39.91,42.83,8218360,,0.0,0.0
19-04-2022,43.31,48.04,43.31,44.36,30217374,,0.0,0.0
20-04-2022,45.24,47.65,44.29,46.87,11296198,,0.0,0.0
21-04-2022,48.18,50.76,47.96,49.4,20331118,,0.0,0.0
22-04-2022,48.57,50.47,47.69,48.57,6226294,,0.0,0.0
25-04-2022,48.72,51.2,47.21,48.16,9071810,,0.0,0.0
26-04-2022,49.01,49.47,47.21,47.72,3898566,,0.0,0.0
27-04-2022,47.55,48.38,44.31,47.79,5937010,,0.0,0.0
28-04-2022,48.18,48.28,46.36,46.55,2016708,,0.0,0.0
29-04-2022,46.7,48.28,44.85,46.87,4529438,,0.0,0.0
02-05-2022,46.55,48.18,44.75,45.85,4276728,,0.0,0.0
04-05-2022,47.16,47.69,44.53,45.16,3070804,,0.0,0.0
05-05-2022,45.94,52.56,45.5,50.74,24879380,,0.0,0.0
06-05-2022,48.67,50.52,48.18,49.18,12010010,,0.0,0.0
09-05-2022,48.91,53.24,47.72,51.66,15575626,,0.0,0.0
10-05-2022,51.69,52.8,47.55,48.13,7264338,,0.0,0.0
11-05-2022,49.03,50.06,43.83,46.48,6848206,,0.0,0.0
12-05-2022,46.09,46.33,42.83,43.58,3718804,,0.0,0.0
13-05-2022,44.77,46.38,43.56,44.07,3751268,,0.0,0.0
16-05-2022,44.41,45.58,42.1,42.58,2864704,,0.0,0.0
17-05-2022,42.8,46.41,42.8,45.87,6571612,,0.0,0.0
18-05-2022,46.23,47.33,45.26,46.14,4447748,,0.0,0.0
19-05-2022,44.73,45.97,43.9,45.6,3221784,,0.0,0.0
20-05-2022,47.11,48.81,46.36,48.3,6924342,,0.0,0.0
23-05-2022,48.67,48.81,47.09,47.35,2771842,,0.0,0.0
24-05-2022,47.4,47.55,44.14,44.7,5287578,,0.0,0.0
25-05-2022,45.16,46.38,43.31,44.21,4777356,,0.0,0.0
