Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
27-12-2024,585.88,600.77,540.7,549.68,19363730,,0.0,0.0
30-12-2024,554.1,580.12,548.14,551.67,5252895,,0.0,0.0
31-12-2024,551.12,560.06,528.58,536.43,1810098,,0.0,0.0
01-01-2025,538.21,567.9,538.21,560.95,2521127,,0.0,0.0
02-01-2025,566.51,659.26,560.41,638.41,21253307,,0.0,0.0
03-01-2025,653.4,670.28,615.67,633.15,7617084,,0.0,0.0
06-01-2025,639.5,713.88,632.55,655.79,27590837,,0.0,0.0
07-01-2025,670.28,698.04,631.85,664.82,11337902,,0.0,0.0
08-01-2025,665.32,668.99,626.24,660.06,4342618,,0.0,0.0
09-01-2025,673.66,708.42,663.33,672.42,9557505,,0.0,0.0
10-01-2025,663.03,670.09,632.15,642.93,4661606,,0.0,0.0
13-01-2025,628.48,639.3,572.97,583.74,5480288,,0.0,0.0
14-01-2025,600.77,640.49,598.24,628.73,5734769,,0.0,0.0
15-01-2025,638.81,642.63,583.54,592.53,3179756,,0.0,0.0
16-01-2025,620.63,658.32,594.22,598.04,8177132,,0.0,0.0
17-01-2025,603.75,611.7,578.28,589.35,2545132,,0.0,0.0
20-01-2025,590.84,608.67,581.16,586.42,1863438,,0.0,0.0
21-01-2025,588.11,589.6,559.07,564.83,1650924,,0.0,0.0
22-01-2025,568.05,573.86,547.8,564.18,1854835,,0.0,0.0
23-01-2025,562.54,572.67,549.04,553.41,1190066,,0.0,0.0
24-01-2025,551.12,552.46,519.15,524.36,2970954,,0.0,0.0
27-01-2025,518.06,518.06,485.58,495.76,1455966,,0.0,0.0
28-01-2025,498.34,531.16,471.33,512.39,2779948,,0.0,0.0
29-01-2025,516.42,540.15,509.42,529.52,1373166,,0.0,0.0
30-01-2025,529.23,559.07,527.54,535.63,1552910,,0.0,0.0
31-01-2025,535.63,546.06,533.6,543.53,877242,,0.0,0.0
01-02-2025,547.05,556.09,521.33,531.16,937889,,0.0,0.0
03-02-2025,514.53,525.5,495.51,506.29,877182,,0.0,0.0
04-02-2025,510.16,522.82,502.81,519.0,991619,,0.0,0.0
05-02-2025,524.91,557.08,524.86,536.48,2901366,,0.0,0.0
06-02-2025,540.2,560.85,532.9,550.18,1601772,,0.0,0.0
07-02-2025,553.11,594.77,548.39,576.15,5112096,,0.0,0.0
10-02-2025,583.89,594.62,559.71,581.51,2957093,,0.0,0.0
11-02-2025,611.7,633.15,577.14,623.61,10592099,,0.0,0.0
12-02-2025,615.67,619.99,568.1,574.06,5748059,,0.0,0.0
13-02-2025,578.03,589.65,550.33,557.97,3081365,,0.0,0.0
