Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
20-11-2025,220.0,230.99,205.25,208.44,17145774,,0.0,0.0
21-11-2025,208.5,217.68,204.7,208.84,5414112,,0.0,0.0
24-11-2025,209.7,218.9,207.33,217.51,3000563,,0.0,0.0
25-11-2025,220.0,222.79,215.03,220.61,1725797,,0.0,0.0
26-11-2025,222.0,222.0,209.12,211.03,1409005,,0.0,0.0
27-11-2025,212.02,214.2,207.5,209.02,749409,,0.0,0.0
28-11-2025,210.98,217.0,208.5,209.38,794520,,0.0,0.0
01-12-2025,209.89,213.06,203.63,204.91,618325,,0.0,0.0
02-12-2025,206.0,207.0,199.71,202.47,926966,,0.0,0.0
03-12-2025,202.5,204.25,195.64,199.15,775998,,0.0,0.0
04-12-2025,196.2,212.0,196.2,205.17,1834435,,0.0,0.0
05-12-2025,205.24,206.8,201.2,204.28,368019,,0.0,0.0
08-12-2025,204.28,206.7,196.7,199.93,624013,,0.0,0.0
09-12-2025,205.78,209.99,198.4,203.57,4239953,,0.0,0.0
10-12-2025,203.89,207.9,201.25,205.43,687705,,0.0,0.0
11-12-2025,205.95,209.0,201.25,207.27,732866,,0.0,0.0
12-12-2025,206.0,207.17,203.34,204.78,382580,,0.0,0.0
15-12-2025,203.89,203.89,198.99,199.8,323322,,0.0,0.0
16-12-2025,202.79,202.79,198.4,200.15,208305,,0.0,0.0
17-12-2025,200.0,201.5,195.05,195.71,316222,,0.0,0.0
18-12-2025,192.0,197.96,192.0,197.28,380194,,0.0,0.0
19-12-2025,199.0,199.7,193.34,195.24,336175,,0.0,0.0
22-12-2025,196.0,199.0,196.0,197.12,273165,,0.0,0.0
23-12-2025,196.25,216.25,196.25,212.68,2182465,,0.0,0.0
24-12-2025,213.0,221.7,210.04,213.66,1058968,,0.0,0.0
26-12-2025,210.99,220.5,210.99,215.23,786458,,0.0,0.0
29-12-2025,215.23,217.81,212.73,215.21,354729,,0.0,0.0
30-12-2025,215.99,217.0,212.01,215.7,319501,,0.0,0.0
31-12-2025,215.7,224.0,213.54,222.43,1374941,,0.0,0.0
01-01-2026,223.0,224.99,219.15,223.41,524269,,0.0,0.0
02-01-2026,221.5,228.8,221.5,224.71,1244974,,0.0,0.0
05-01-2026,223.0,226.2,223.0,225.0,359572,,0.0,0.0
06-01-2026,224.0,226.0,218.0,219.58,288891,,0.0,0.0
07-01-2026,220.0,220.93,217.0,217.9,185469,,0.0,0.0
08-01-2026,217.38,223.19,210.42,212.63,749547,,0.0,0.0
09-01-2026,212.63,217.4,211.13,214.25,266490,,0.0,0.0
12-01-2026,211.0,218.96,210.2,217.35,334961,,0.0,0.0
13-01-2026,217.35,220.1,215.0,217.33,352644,,0.0,0.0
14-01-2026,216.68,220.0,215.32,219.48,181536,,0.0,0.0
15-01-2026,219.48,219.48,219.48,219.48,0,,0.0,0.0
16-01-2026,219.0,222.0,216.64,220.65,220420,,0.0,0.0
19-01-2026,219.99,222.0,213.8,219.46,300237,,0.0,0.0
20-01-2026,217.25,218.07,207.5,209.07,219878,,0.0,0.0
21-01-2026,207.2,211.19,202.25,205.63,152595,,0.0,0.0
22-01-2026,206.66,210.89,206.66,210.13,139151,,0.0,0.0
23-01-2026,211.0,212.13,203.2,205.92,140260,,0.0,0.0
27-01-2026,207.0,207.73,198.2,199.43,175538,,0.0,0.0
28-01-2026,202.01,202.01,198.35,200.83,147450,,0.0,0.0
29-01-2026,200.7,201.57,192.88,195.0,130015,,0.0,0.0
30-01-2026,193.4,204.0,192.75,199.23,160234,,0.0,0.0
02-02-2026,204.74,208.88,196.1,199.73,165554,,0.0,0.0
03-02-2026,208.5,209.32,200.0,207.11,503877,,0.0,0.0
04-02-2026,207.11,213.0,203.5,210.23,339061,,0.0,0.0
05-02-2026,211.55,213.79,208.45,210.14,93124,,0.0,0.0
06-02-2026,205.2,210.69,205.0,205.73,82937,,0.0,0.0
09-02-2026,209.89,214.2,205.5,211.85,149033,,0.0,0.0
10-02-2026,211.85,218.9,211.85,216.15,319489,,0.0,0.0
11-02-2026,219.0,219.0,212.43,212.99,73561,,0.0,0.0
12-02-2026,210.3,213.0,208.52,210.69,61283,,0.0,0.0
13-02-2026,210.4,214.25,207.5,210.93,186843,,0.0,0.0
16-02-2026,203.0,208.85,203.0,205.15,198289,,0.0,0.0
17-02-2026,206.93,209.95,205.23,209.35,97220,,0.0,0.0
18-02-2026,211.65,219.9,207.48,216.46,628056,,0.0,0.0
19-02-2026,214.8,215.98,207.5,208.19,111862,,0.0,0.0
20-02-2026,209.22,213.78,206.4,210.64,224375,,0.0,0.0
23-02-2026,209.44,209.44,201.61,203.05,187968,,0.0,0.0
24-02-2026,203.01,204.65,197.0,197.91,147521,,0.0,0.0
25-02-2026,199.0,200.38,191.51,194.36,157757,,0.0,0.0
26-02-2026,194.36,194.69,189.15,190.29,252710,,0.0,0.0
27-02-2026,192.0,192.44,186.8,187.87,121029,,0.0,0.0
02-03-2026,176.4,185.0,176.4,182.15,205335,,0.0,0.0
04-03-2026,178.51,179.94,174.0,174.83,144563,,0.0,0.0
05-03-2026,175.05,178.98,172.0,175.67,142560,,0.0,0.0
06-03-2026,175.11,188.4,174.99,182.93,161753,,0.0,0.0
09-03-2026,179.44,181.37,174.2,178.26,75357,,0.0,0.0
10-03-2026,180.24,185.14,177.65,183.42,105226,,0.0,0.0
11-03-2026,187.0,189.5,183.83,188.21,84649,,0.0,0.0
12-03-2026,189.9,192.08,185.1,189.8,97472,,0.0,0.0
13-03-2026,188.0,189.81,184.8,186.44,68783,,0.0,0.0
16-03-2026,187.0,187.74,179.51,182.75,88730,,0.0,0.0
17-03-2026,183.0,190.32,183.0,186.25,150394,,0.0,0.0
18-03-2026,186.25,198.29,186.25,196.14,206318,,0.0,0.0
19-03-2026,190.75,199.29,190.75,196.8,197935,,0.0,0.0
20-03-2026,196.98,205.8,196.98,202.01,179174,,0.0,0.0
23-03-2026,204.5,204.5,190.25,191.49,184110,,0.0,0.0
24-03-2026,193.0,198.9,188.0,193.1,116064,,0.0,0.0
25-03-2026,193.99,201.39,193.99,198.87,320521,,0.0,0.0
27-03-2026,197.47,203.09,195.0,198.42,400701,,0.0,0.0
30-03-2026,198.42,202.0,194.55,197.49,316455,,0.0,0.0
01-04-2026,202.56,204.0,200.41,203.21,198371,,0.0,0.0
02-04-2026,200.0,203.5,199.06,202.3,90249,,0.0,0.0
06-04-2026,198.4,220.9,198.4,217.08,804918,,0.0,0.0
07-04-2026,215.21,224.7,215.0,222.97,748934,,0.0,0.0
08-04-2026,224.49,230.15,222.2,223.01,554355,,0.0,0.0
09-04-2026,223.0,226.32,219.1,220.99,248308,,0.0,0.0
10-04-2026,220.0,225.3,220.0,221.44,379074,,0.0,0.0
13-04-2026,216.0,228.0,213.6,225.87,733451,,0.0,0.0
15-04-2026,229.54,243.0,228.51,239.47,2289361,,0.0,0.0
16-04-2026,245.0,261.0,245.0,256.16,2263687,,0.0,0.0
17-04-2026,256.17,262.5,254.02,258.92,994420,,0.0,0.0
20-04-2026,258.0,264.6,257.22,261.99,700601,,0.0,0.0
21-04-2026,261.01,269.99,258.47,263.21,636068,,0.0,0.0
22-04-2026,262.62,266.55,259.0,259.78,543203,,0.0,0.0
23-04-2026,267.5,285.75,267.5,285.75,3045983,,0.0,0.0
24-04-2026,290.51,306.25,286.0,302.24,6140718,,0.0,0.0
27-04-2026,307.0,309.0,299.0,303.01,969129,,0.0,0.0
28-04-2026,303.0,310.6,299.41,305.94,670900,,0.0,0.0
29-04-2026,309.0,313.0,290.65,300.16,650814,,0.0,0.0
30-04-2026,296.0,304.9,285.16,296.41,540043,,0.0,0.0
01-05-2026,296.41,296.41,296.41,296.41,0,,0.0,0.0
04-05-2026,296.5,305.75,289.3,298.75,485596,,0.0,0.0
05-05-2026,299.2,301.7,283.85,283.85,398005,,0.0,0.0
06-05-2026,270.0,289.65,270.0,286.15,570102,,0.0,0.0
07-05-2026,284.2,288.0,281.25,286.35,342302,,0.0,0.0
08-05-2026,283.4,285.45,272.05,272.05,269112,,0.0,0.0
11-05-2026,275.0,284.0,260.7,279.4,416600,,0.0,0.0
12-05-2026,276.1,281.0,270.1,273.6,243984,,0.0,0.0
13-05-2026,272.3,278.25,259.95,260.1,368770,,0.0,0.0
14-05-2026,262.05,273.1,260.1,273.1,299365,,0.0,0.0
15-05-2026,286.75,286.75,270.15,274.5,1336297,,0.0,0.0
18-05-2026,274.5,277.0,260.8,263.55,387496,,0.0,0.0
19-05-2026,264.9,275.0,263.85,270.15,234492,,0.0,0.0
20-05-2026,268.9,277.15,263.9,266.2,238074,,0.0,0.0
21-05-2026,268.0,277.8,261.6,264.5,465394,,0.0,0.0
