Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
26-08-2025,338.0,381.65,333.65,356.4,66991042,,0.0,0.0
28-08-2025,363.6,375.0,350.55,354.3,23393115,,0.0,0.0
29-08-2025,356.0,362.75,334.3,336.55,9919649,,0.0,0.0
01-09-2025,339.85,346.5,326.0,328.3,9424679,,0.0,0.0
02-09-2025,330.0,334.05,323.3,325.5,3570328,,0.0,0.0
03-09-2025,326.05,339.4,323.0,331.85,5191127,,0.0,0.0
04-09-2025,335.0,336.5,321.0,322.15,2518578,,0.0,0.0
05-09-2025,322.85,324.8,312.5,322.85,3046041,,0.0,0.0
08-09-2025,331.0,356.7,330.45,346.9,16673073,,0.0,0.0
09-09-2025,349.8,363.95,342.25,360.6,11778010,,0.0,0.0
10-09-2025,385.0,407.95,371.15,378.8,66224952,,0.0,0.0
11-09-2025,380.9,382.0,365.7,370.15,10342011,,0.0,0.0
12-09-2025,376.0,376.0,354.6,357.25,6786084,,0.0,0.0
15-09-2025,360.8,370.95,357.45,361.45,6269905,,0.0,0.0
16-09-2025,363.45,365.8,354.5,356.2,3493388,,0.0,0.0
17-09-2025,355.0,355.7,346.35,348.3,3825279,,0.0,0.0
18-09-2025,345.0,351.7,340.0,341.05,3349735,,0.0,0.0
19-09-2025,339.6,341.3,336.4,337.7,2448546,,0.0,0.0
22-09-2025,336.0,345.0,332.0,333.0,3804272,,0.0,0.0
23-09-2025,333.0,335.45,326.0,326.85,2289066,,0.0,0.0
24-09-2025,327.0,333.85,322.45,327.1,2848177,,0.0,0.0
25-09-2025,328.1,339.2,325.25,334.0,4040666,,0.0,0.0
26-09-2025,334.0,334.0,320.35,323.3,2114133,,0.0,0.0
29-09-2025,325.95,326.5,320.0,321.6,1306446,,0.0,0.0
30-09-2025,321.65,323.55,315.0,315.85,1523091,,0.0,0.0
01-10-2025,317.0,333.9,315.1,331.85,2992518,,0.0,0.0
03-10-2025,331.85,335.7,328.4,331.25,1472987,,0.0,0.0
06-10-2025,331.75,332.05,324.45,327.25,972311,,0.0,0.0
07-10-2025,326.5,328.7,322.2,323.3,975302,,0.0,0.0
08-10-2025,321.0,324.95,319.15,320.2,619586,,0.0,0.0
09-10-2025,321.05,329.0,319.05,327.65,1197675,,0.0,0.0
10-10-2025,328.05,330.35,323.65,326.85,886191,,0.0,0.0
13-10-2025,324.0,325.6,320.5,322.65,743547,,0.0,0.0
14-10-2025,329.4,347.5,328.1,343.85,8889152,,0.0,0.0
15-10-2025,344.0,352.75,343.5,348.35,3767621,,0.0,0.0
16-10-2025,351.5,352.0,338.65,341.9,3527895,,0.0,0.0
17-10-2025,346.9,354.4,331.1,334.75,11520303,,0.0,0.0
20-10-2025,338.75,339.0,329.05,330.55,1633610,,0.0,0.0
21-10-2025,330.6,337.0,330.6,335.9,722273,,0.0,0.0
23-10-2025,336.5,348.8,332.7,339.1,3367021,,0.0,0.0
24-10-2025,340.0,340.1,333.5,336.5,1266498,,0.0,0.0
27-10-2025,335.5,336.25,328.05,330.25,1305466,,0.0,0.0
28-10-2025,330.3,333.0,324.7,325.35,1079861,,0.0,0.0
29-10-2025,326.0,330.5,325.05,328.1,856283,,0.0,0.0
30-10-2025,328.3,330.9,326.15,329.45,830040,,0.0,0.0
31-10-2025,329.0,332.75,325.05,326.25,774645,,0.0,0.0
03-11-2025,326.95,330.4,325.6,327.2,614211,,0.0,0.0
04-11-2025,325.6,326.95,321.0,322.0,601942,,0.0,0.0
06-11-2025,321.65,323.0,313.0,314.8,962445,,0.0,0.0
07-11-2025,313.5,324.15,310.05,321.3,987387,,0.0,0.0
10-11-2025,322.9,323.9,315.0,316.45,559310,,0.0,0.0
11-11-2025,319.35,319.35,314.15,316.15,607803,,0.0,0.0
12-11-2025,316.15,319.5,315.75,316.3,404057,,0.0,0.0
13-11-2025,316.3,323.5,316.3,320.45,836888,,0.0,0.0
14-11-2025,319.75,320.65,315.5,317.05,590022,,0.0,0.0
17-11-2025,317.9,319.6,315.0,315.7,486851,,0.0,0.0
18-11-2025,315.75,316.6,309.0,310.35,844711,,0.0,0.0
19-11-2025,310.0,310.0,295.05,300.05,1521114,,0.0,0.0
20-11-2025,299.5,313.1,297.2,300.65,1717495,,0.0,0.0
21-11-2025,300.3,300.6,286.6,288.0,2254321,,0.0,0.0
24-11-2025,289.85,290.0,265.0,274.9,2521628,,0.0,0.0
25-11-2025,276.0,280.95,268.55,271.5,2193671,,0.0,0.0
26-11-2025,274.55,279.4,268.8,269.6,2321895,,0.0,0.0
27-11-2025,274.0,274.2,263.85,265.8,1591943,,0.0,0.0
28-11-2025,267.5,269.75,261.0,261.5,1659894,,0.0,0.0
01-12-2025,263.8,264.5,257.0,258.15,930662,,0.0,0.0
02-12-2025,257.95,260.3,255.5,256.8,1555656,,0.0,0.0
03-12-2025,257.45,258.4,249.45,250.6,1017331,,0.0,0.0
04-12-2025,250.75,260.15,246.95,251.25,1794187,,0.0,0.0
05-12-2025,257.95,257.95,244.55,247.8,972934,,0.0,0.0
08-12-2025,247.75,247.75,235.0,236.15,2118455,,0.0,0.0
09-12-2025,233.15,238.2,228.1,234.95,1739614,,0.0,0.0
10-12-2025,235.05,243.45,235.05,242.05,1575156,,0.0,0.0
11-12-2025,241.0,241.2,235.75,238.6,778544,,0.0,0.0
12-12-2025,239.9,243.75,238.9,243.05,899347,,0.0,0.0
15-12-2025,241.8,242.0,237.55,238.3,721604,,0.0,0.0
16-12-2025,238.0,238.3,232.1,236.0,1246073,,0.0,0.0
17-12-2025,240.0,242.5,234.1,235.7,1578647,,0.0,0.0
18-12-2025,235.0,235.75,230.55,232.65,743987,,0.0,0.0
19-12-2025,234.0,235.0,230.95,232.75,702779,,0.0,0.0
22-12-2025,235.0,254.75,234.4,244.3,3979515,,0.0,0.0
23-12-2025,247.5,247.5,242.9,243.9,864358,,0.0,0.0
24-12-2025,245.8,248.5,241.0,241.45,615159,,0.0,0.0
26-12-2025,242.9,253.0,239.7,246.3,1237249,,0.0,0.0
29-12-2025,246.3,246.9,239.25,241.7,719768,,0.0,0.0
30-12-2025,240.0,241.15,236.05,237.7,454845,,0.0,0.0
31-12-2025,238.0,241.75,237.5,238.0,477016,,0.0,0.0
01-01-2026,239.0,239.7,236.71,237.19,348193,,0.0,0.0
