Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,1480.01,1514.12,1480.01,1486.02,11754,,0.0,0.0
09-08-2021,1508.8,1513.6,1456.1,1470.55,9531,,0.0,0.0
10-08-2021,1470.55,1472.46,1342.41,1386.72,16611,,0.0,0.0
11-08-2021,1407.22,1481.22,1318.74,1465.75,31057,,0.0,0.0
12-08-2021,1478.89,1514.4,1450.05,1492.63,11927,,0.0,0.0
13-08-2021,1491.1,1530.94,1473.25,1494.73,16832,,0.0,0.0
16-08-2021,1444.5,1444.5,1369.95,1378.33,40909,,0.0,0.0
17-08-2021,1365.29,1376.42,1337.33,1351.17,11751,,0.0,0.0
18-08-2021,1357.92,1376.52,1324.89,1331.32,8809,,0.0,0.0
20-08-2021,1314.03,1314.03,1267.43,1276.71,11126,,0.0,0.0
23-08-2021,1277.22,1308.02,1234.02,1297.35,12894,,0.0,0.0
24-08-2021,1302.75,1341.99,1283.32,1321.02,12869,,0.0,0.0
25-08-2021,1341.06,1351.21,1295.39,1303.73,9652,,0.0,0.0
26-08-2021,1310.26,1341.99,1297.95,1304.06,8752,,0.0,0.0
27-08-2021,1301.91,1339.19,1298.09,1326.8,6648,,0.0,0.0
30-08-2021,1304.71,1373.67,1304.71,1354.29,26691,,0.0,0.0
31-08-2021,1369.01,1369.01,1326.14,1336.86,15688,,0.0,0.0
01-09-2021,1333.6,1343.57,1300.05,1308.72,16148,,0.0,0.0
02-09-2021,1314.03,1314.68,1293.39,1303.87,7662,,0.0,0.0
03-09-2021,1304.71,1363.75,1286.07,1303.36,31286,,0.0,0.0
06-09-2021,1303.78,1320.69,1297.3,1304.71,14911,,0.0,0.0
07-09-2021,1311.23,1311.23,1293.62,1296.74,15277,,0.0,0.0
08-09-2021,1291.66,1330.8,1287.56,1295.39,12710,,0.0,0.0
09-09-2021,1301.87,1328.01,1289.19,1309.84,22083,,0.0,0.0
13-09-2021,1309.84,1319.2,1291.66,1300.66,11850,,0.0,0.0
14-09-2021,1307.18,1316.69,1292.36,1305.87,12914,,0.0,0.0
15-09-2021,1304.76,1337.28,1303.78,1333.88,13884,,0.0,0.0
16-09-2021,1339.05,1349.44,1320.46,1324.75,8750,,0.0,0.0
17-09-2021,1331.41,1343.85,1315.19,1325.35,6822,,0.0,0.0
20-09-2021,1323.35,1353.17,1304.71,1329.87,18326,,0.0,0.0
21-09-2021,1350.37,1357.55,1318.69,1343.85,19183,,0.0,0.0
22-09-2021,1371.35,1371.35,1348.64,1364.29,17107,,25.0,0.0
23-09-2021,1364.24,1379.89,1358.12,1368.27,11468,,0.0,0.0
24-09-2021,1367.56,1372.3,1352.43,1363.29,6062,,0.0,0.0
27-09-2021,1363.77,1412.13,1362.82,1399.57,27931,,0.0,0.0
28-09-2021,1403.65,1417.54,1355.85,1371.07,17547,,0.0,0.0
29-09-2021,1384.63,1384.63,1354.66,1362.11,7471,,0.0,0.0
30-09-2021,1368.89,1469.99,1351.63,1425.89,28257,,0.0,0.0
01-10-2021,1433.0,1488.86,1409.76,1445.75,29931,,0.0,0.0
04-10-2021,1451.02,1479.75,1435.18,1450.73,8880,,0.0,0.0
05-10-2021,1446.28,1446.28,1399.95,1416.35,9626,,0.0,0.0
06-10-2021,1421.71,1441.77,1404.97,1416.92,7933,,0.0,0.0
07-10-2021,1421.38,1437.27,1408.58,1416.83,3794,,0.0,0.0
08-10-2021,1416.88,1432.05,1413.13,1419.29,2791,,0.0,0.0
11-10-2021,1426.41,1436.79,1408.06,1416.4,5549,,0.0,0.0
12-10-2021,1411.8,1424.42,1407.11,1420.34,4389,,0.0,0.0
13-10-2021,1446.28,1446.28,1399.81,1420.05,4650,,0.0,0.0
14-10-2021,1422.61,1426.27,1379.89,1401.84,7117,,0.0,0.0
18-10-2021,1391.27,1420.67,1391.27,1399.33,7757,,0.0,0.0
19-10-2021,1406.21,1417.73,1388.42,1397.48,11458,,0.0,0.0
20-10-2021,1390.7,1395.02,1327.97,1359.55,13235,,0.0,0.0
21-10-2021,1366.38,1378.23,1337.07,1352.39,6920,,0.0,0.0
22-10-2021,1349.97,1380.98,1349.45,1367.13,17115,,0.0,0.0
25-10-2021,1389.33,1389.33,1318.24,1343.47,8972,,0.0,0.0
26-10-2021,1350.21,1372.73,1330.24,1345.04,6987,,0.0,0.0
27-10-2021,1351.77,1381.55,1347.12,1360.31,27873,,0.0,0.0
28-10-2021,1353.86,1392.17,1326.12,1379.32,22606,,0.0,0.0
29-10-2021,1379.42,1474.73,1346.74,1419.63,25733,,0.0,0.0
01-11-2021,1450.97,1552.83,1413.65,1538.03,82483,,0.0,0.0
02-11-2021,1540.17,1548.94,1494.64,1524.09,59765,,0.0,0.0
03-11-2021,1531.72,1572.41,1510.81,1520.91,33428,,0.0,0.0
04-11-2021,1557.24,1557.24,1498.44,1515.08,2515,,0.0,0.0
08-11-2021,1517.4,1563.87,1515.08,1537.84,15477,,0.0,0.0
09-11-2021,1537.84,1640.69,1537.84,1620.07,62270,,0.0,0.0
10-11-2021,1621.73,1745.02,1607.36,1728.89,81938,,0.0,0.0
11-11-2021,1749.76,1875.61,1729.03,1834.4,178744,,0.0,0.0
12-11-2021,1815.1,1844.59,1753.12,1767.82,32484,,0.0,0.0
15-11-2021,1767.82,1767.82,1697.69,1709.31,15697,,0.0,0.0
16-11-2021,1697.03,1849.34,1697.03,1825.91,35425,,0.0,0.0
17-11-2021,1830.37,1962.19,1815.24,1860.15,75781,,0.0,0.0
18-11-2021,1868.3,1876.74,1774.51,1795.28,21348,,0.0,0.0
22-11-2021,1804.29,1826.15,1753.83,1759.34,20277,,0.0,0.0
23-11-2021,1751.65,1896.76,1728.04,1878.02,24477,,0.0,0.0
24-11-2021,1878.03,1907.05,1820.89,1837.29,16511,,0.0,0.0
25-11-2021,1825.63,1896.66,1798.55,1872.24,13169,,0.0,0.0
26-11-2021,1880.63,1895.81,1809.08,1838.95,13665,,0.0,0.0
29-11-2021,1787.74,1837.48,1507.92,1805.47,17447,,0.0,0.0
30-11-2021,1814.53,1860.91,1794.05,1808.18,9459,,0.0,0.0
01-12-2021,1808.51,1854.08,1808.51,1836.87,5115,,0.0,0.0
02-12-2021,1846.06,2072.21,1827.81,2041.34,128863,,0.0,0.0
03-12-2021,2086.43,2128.11,2040.91,2071.35,84374,,0.0,0.0
06-12-2021,2034.27,2138.83,1991.59,2021.61,47772,,0.0,0.0
07-12-2021,2031.43,2074.1,2011.51,2028.2,10882,,0.0,0.0
08-12-2021,1959.35,2050.53,1959.35,1977.98,9511,,0.0,0.0
09-12-2021,2006.53,2048.5,1975.47,2016.73,14634,,0.0,0.0
10-12-2021,2004.11,2120.57,1991.55,2056.6,25131,,0.0,0.0
13-12-2021,2072.54,2100.66,1982.11,1993.77,13270,,0.0,0.0
14-12-2021,1991.59,2053.76,1972.63,2010.13,10782,,0.0,0.0
15-12-2021,2020.19,2021.7,1967.88,1983.34,5528,,0.0,0.0
16-12-2021,1967.98,2029.53,1967.98,1985.14,6574,,0.0,0.0
17-12-2021,1991.59,1995.58,1925.21,1956.65,8412,,0.0,0.0
20-12-2021,1958.4,1958.4,1806.61,1839.28,18053,,0.0,0.0
21-12-2021,1840.8,1894.19,1816.33,1829.37,8725,,0.0,0.0
22-12-2021,1838.52,1855.31,1814.63,1829.52,9550,,0.0,0.0
23-12-2021,1838.62,1847.44,1812.35,1819.32,5532,,0.0,0.0
24-12-2021,1839.85,1839.85,1778.21,1788.45,6683,,0.0,0.0
27-12-2021,1788.45,1907.8,1784.23,1878.26,16684,,0.0,0.0
28-12-2021,1878.69,1906.24,1863.66,1896.38,10940,,0.0,0.0
29-12-2021,1855.17,1919.52,1855.17,1905.15,16621,,0.0,0.0
30-12-2021,1959.35,1959.35,1915.72,1919.61,4503,,0.0,0.0
31-12-2021,1920.46,1949.53,1883.53,1889.22,5831,,0.0,0.0
03-01-2022,1898.7,1940.14,1896.76,1904.25,5271,,0.0,0.0
04-01-2022,1924.26,1925.21,1895.85,1920.09,6244,,0.0,0.0
05-01-2022,1925.25,1944.17,1912.02,1925.35,5901,,0.0,0.0
06-01-2022,1916.48,1919.75,1896.76,1908.71,3579,,0.0,0.0
07-01-2022,1910.98,2037.31,1910.98,1948.54,42565,,0.0,0.0
10-01-2022,1958.31,1958.31,1901.92,1916.43,9543,,0.0,0.0
11-01-2022,1986.85,1986.85,1882.1,1909.46,5707,,0.0,0.0
12-01-2022,1896.76,1934.69,1893.01,1908.42,5975,,0.0,0.0
13-01-2022,1908.42,1927.96,1868.26,1880.54,10201,,0.0,0.0
14-01-2022,1855.03,1899.84,1844.78,1869.44,7290,,0.0,0.0
17-01-2022,1877.79,1910.93,1869.92,1881.39,7098,,0.0,0.0
18-01-2022,1890.78,1899.55,1812.35,1830.04,6500,,0.0,0.0
19-01-2022,1811.45,1895.43,1811.45,1865.74,4996,,0.0,0.0
20-01-2022,1866.41,1914.77,1839.85,1845.88,5109,,0.0,0.0
21-01-2022,1839.85,1925.21,1825.67,1897.32,12961,,0.0,0.0
24-01-2022,1906.86,1925.11,1762.99,1877.55,19397,,0.0,0.0
25-01-2022,1886.94,1906.24,1809.17,1866.6,9678,,0.0,0.0
27-01-2022,1812.35,1901.07,1812.35,1886.94,6533,,0.0,0.0
