Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
09-04-2025,884.95,884.95,841.15,856.25,68541,,0.0,0.0
11-04-2025,903.0,910.0,875.5,886.0,114001,,0.0,0.0
15-04-2025,910.0,957.8,903.75,938.7,244458,,0.0,0.0
16-04-2025,940.95,1055.0,940.95,1026.45,833520,,0.0,0.0
17-04-2025,1096.55,1170.0,1082.0,1107.2,2969356,,0.0,0.0
21-04-2025,1140.0,1140.0,1072.0,1093.7,562002,,0.0,0.0
22-04-2025,1098.0,1122.0,1073.25,1106.7,417029,,0.0,0.0
23-04-2025,1124.0,1164.3,1084.65,1134.5,884420,,0.0,0.0
24-04-2025,1132.0,1146.65,1090.0,1094.7,323517,,0.0,0.0
25-04-2025,1090.0,1093.1,1005.0,1026.5,403948,,0.0,0.0
28-04-2025,1019.0,1053.25,1002.85,1007.4,262960,,0.0,0.0
29-04-2025,1009.0,1034.9,995.0,1001.85,212699,,0.0,0.0
30-04-2025,1001.85,1004.3,951.0,959.75,262144,,0.0,0.0
02-05-2025,960.0,981.3,955.05,958.4,125887,,0.0,0.0
05-05-2025,980.0,1008.8,965.0,991.9,330133,,0.0,0.0
06-05-2025,1000.0,1000.0,929.9,946.75,181176,,0.0,0.0
07-05-2025,905.05,954.7,905.05,942.65,265973,,0.0,0.0
08-05-2025,965.0,975.0,925.2,934.45,188810,,0.0,0.0
09-05-2025,896.0,915.8,892.35,902.1,321386,,0.0,0.0
12-05-2025,981.95,985.0,953.45,979.55,257236,,0.0,0.0
13-05-2025,982.95,995.4,961.55,978.45,181764,,0.0,0.0
14-05-2025,990.85,1020.0,984.1,1009.1,299956,,0.0,0.0
15-05-2025,1020.0,1021.75,1000.2,1012.9,143146,,0.0,0.0
16-05-2025,1018.0,1048.7,1018.0,1028.4,367325,,0.0,0.0
19-05-2025,1043.0,1070.6,1019.0,1044.7,519130,,0.0,0.0
20-05-2025,1046.0,1057.5,1016.35,1021.0,287748,,0.0,0.0
21-05-2025,1024.0,1031.2,1000.4,1010.8,202332,,0.0,0.0
22-05-2025,1005.0,1032.8,1003.4,1016.8,122391,,0.0,0.0
23-05-2025,1016.0,1021.0,985.1,1005.05,264737,,0.0,0.0
26-05-2025,1005.05,1035.0,1004.35,1015.1,203112,,0.0,0.0
27-05-2025,1024.0,1025.0,1003.5,1016.05,129740,,0.0,0.0
28-05-2025,1018.0,1042.75,1015.1,1027.3,188197,,0.0,0.0
29-05-2025,1030.0,1059.8,1028.95,1040.2,267834,,0.0,0.0
30-05-2025,1050.0,1068.0,1024.0,1055.3,371644,,0.0,0.0
02-06-2025,1055.3,1055.3,1018.0,1024.2,208412,,0.0,0.0
03-06-2025,1025.0,1067.7,1022.1,1031.9,350239,,0.0,0.0
04-06-2025,1040.0,1099.0,1039.2,1091.8,809256,,0.0,0.0
05-06-2025,1095.0,1102.0,1050.1,1054.8,330343,,0.0,0.0
06-06-2025,1060.0,1067.5,1027.8,1031.0,282533,,0.0,0.0
09-06-2025,1031.0,1045.0,1031.0,1033.2,193465,,0.0,0.0
10-06-2025,1040.0,1043.9,1025.5,1029.5,200970,,0.0,0.0
11-06-2025,1030.9,1044.0,1007.2,1022.4,196115,,0.0,0.0
12-06-2025,1022.1,1031.9,999.1,1006.3,190522,,0.0,0.0
13-06-2025,980.0,1005.2,975.4,994.1,187879,,0.0,0.0
16-06-2025,994.1,1000.9,963.0,993.9,192929,,0.0,0.0
17-06-2025,994.9,1005.0,982.6,985.5,109453,,0.0,0.0
18-06-2025,984.1,991.0,966.4,970.5,231321,,0.0,0.0
19-06-2025,967.9,981.3,940.0,943.2,162034,,0.0,0.0
20-06-2025,940.0,988.9,940.0,985.9,211243,,0.0,0.0
23-06-2025,979.5,999.8,972.1,988.0,286977,,0.0,0.0
24-06-2025,1020.0,1025.0,983.0,990.0,245392,,0.0,0.0
25-06-2025,998.8,1018.3,996.8,1000.9,156018,,0.0,0.0
26-06-2025,999.1,1005.3,986.2,991.2,125408,,0.0,0.0
27-06-2025,995.0,1005.0,979.8,985.4,186728,,0.0,0.0
30-06-2025,990.0,1019.0,988.9,1001.4,401378,,0.0,0.0
01-07-2025,1006.9,1014.9,992.0,999.0,150544,,0.0,0.0
02-07-2025,997.0,1003.9,981.7,988.3,121681,,0.0,0.0
03-07-2025,999.0,1005.4,985.3,989.5,139249,,0.0,0.0
04-07-2025,996.0,999.9,982.0,994.9,113044,,0.0,0.0
07-07-2025,991.0,996.2,983.2,988.2,91202,,0.0,0.0
08-07-2025,989.0,994.2,975.0,978.5,122410,,0.0,0.0
09-07-2025,983.2,1002.3,980.1,985.8,146940,,0.0,0.0
10-07-2025,985.0,998.5,980.8,995.2,167971,,0.0,0.0
11-07-2025,985.6,999.9,975.8,984.7,147327,,0.0,0.0
14-07-2025,986.4,990.1,971.2,976.0,121097,,0.0,0.0
15-07-2025,985.0,1165.0,985.0,1146.7,9769176,,0.0,0.0
