Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,6.78,6.88,6.36,6.41,1956280,,0.0,0.0
09-08-2021,6.59,6.7,6.31,6.42,1549120,,0.0,0.0
10-08-2021,6.59,6.75,6.3,6.38,2346650,,0.0,0.0
11-08-2021,6.31,6.54,5.93,6.39,3313490,,0.0,0.0
12-08-2021,6.4,7.03,6.4,7.03,4436130,,0.0,0.0
13-08-2021,7.29,7.29,6.74,6.89,4978760,,0.0,0.0
16-08-2021,7.09,7.57,7.03,7.57,8701690,,0.0,0.0
17-08-2021,7.79,8.08,7.34,7.47,9556250,,0.0,0.0
18-08-2021,7.64,7.64,6.9,7.0,3461360,,0.0,0.0
20-08-2021,6.81,7.18,6.76,6.86,3626570,,0.0,0.0
23-08-2021,7.07,7.07,6.18,6.24,4622110,,0.0,0.0
24-08-2021,6.1,6.74,6.07,6.57,2443820,,0.0,0.0
25-08-2021,6.68,6.78,6.53,6.56,1010630,,0.0,0.0
26-08-2021,6.6,6.7,6.5,6.64,864160,,0.0,0.0
27-08-2021,6.84,6.84,6.48,6.65,965780,,0.0,0.0
30-08-2021,6.57,6.82,6.51,6.57,1075270,,0.0,0.0
31-08-2021,6.67,6.73,6.5,6.61,1020410,,0.0,0.0
01-09-2021,6.55,6.68,6.4,6.53,975890,,0.0,0.0
02-09-2021,6.59,6.6,6.4,6.51,1196810,,0.0,0.0
03-09-2021,6.62,6.8,6.53,6.78,2897150,,0.0,0.0
06-09-2021,6.9,7.38,6.81,7.14,5715550,,0.0,0.0
07-09-2021,7.49,7.49,6.64,6.68,5448880,,0.0,0.0
08-09-2021,6.65,6.83,6.54,6.61,2229830,,0.0,0.0
09-09-2021,6.67,6.7,6.53,6.62,1215340,,0.0,0.0
13-09-2021,6.67,7.24,6.56,6.84,5813920,,0.0,0.0
14-09-2021,6.93,6.98,6.78,6.93,2241480,,0.0,0.0
15-09-2021,7.02,7.02,6.82,6.91,1337060,,0.0,0.0
16-09-2021,6.81,6.97,6.76,6.82,1482520,,0.0,0.0
17-09-2021,6.9,6.95,6.53,6.61,2070960,,0.0,0.0
20-09-2021,6.6,6.79,6.4,6.47,1255470,,0.0,0.0
21-09-2021,6.57,6.6,6.3,6.51,4939290,,0.0,0.0
22-09-2021,6.62,6.75,6.48,6.54,1660350,,0.0,0.0
23-09-2021,6.54,6.66,6.51,6.51,906150,,0.0,0.0
24-09-2021,6.59,6.61,6.34,6.36,1348460,,0.0,0.0
27-09-2021,6.36,6.44,6.16,6.22,1434630,,0.0,0.0
28-09-2021,6.8,6.84,6.63,6.8,32938740,,0.0,0.0
29-09-2021,6.73,6.8,6.55,6.58,5831190,,0.0,0.0
30-09-2021,6.64,6.82,6.52,6.56,3759730,,0.0,0.0
01-10-2021,6.55,6.55,6.34,6.43,2297590,,0.0,0.0
04-10-2021,6.5,6.6,6.36,6.43,2824780,,0.0,0.0
05-10-2021,6.4,6.5,6.36,6.38,2614920,,0.0,0.0
06-10-2021,6.45,6.5,6.3,6.36,2003920,,0.0,0.0
07-10-2021,6.49,6.95,6.47,6.72,8165350,,0.0,0.0
08-10-2021,6.76,6.79,6.41,6.55,3673650,,0.0,0.0
11-10-2021,6.8,7.86,6.62,7.83,27902590,,0.0,0.0
12-10-2021,7.93,8.8,7.79,8.46,24884140,,0.0,0.0
13-10-2021,8.6,9.0,8.5,8.62,10851000,,0.0,0.0
14-10-2021,8.8,8.8,8.02,8.13,7650520,,0.0,0.0
18-10-2021,8.22,8.42,7.8,7.98,6100180,,0.0,0.0
19-10-2021,8.19,8.3,7.74,7.86,4667970,,0.0,0.0
20-10-2021,7.85,7.91,7.34,7.49,4892970,,0.0,0.0
21-10-2021,7.51,7.7,7.26,7.37,2741850,,0.0,0.0
22-10-2021,7.5,7.87,7.42,7.61,2708630,,0.0,0.0
25-10-2021,7.98,7.98,7.32,7.38,2925440,,0.0,0.0
26-10-2021,7.45,7.77,7.39,7.57,2959530,,0.0,0.0
27-10-2021,7.63,8.19,7.57,7.83,4552330,,0.0,0.0
28-10-2021,7.83,7.93,7.5,7.61,2291150,,0.0,0.0
29-10-2021,7.66,7.78,7.32,7.52,2258910,,0.0,0.0
01-11-2021,7.59,7.89,7.56,7.76,1846510,,0.0,0.0
02-11-2021,7.84,8.49,7.45,7.75,11239830,,0.0,0.0
03-11-2021,7.8,7.88,7.55,7.6,3014700,,0.0,0.0
04-11-2021,7.68,8.22,7.64,7.99,4033000,,0.0,0.0
08-11-2021,8.3,8.32,7.89,7.93,3893220,,0.0,0.0
09-11-2021,7.98,8.15,7.81,7.88,2782780,,0.0,0.0
10-11-2021,7.85,8.07,7.77,7.82,1995070,,0.0,0.0
11-11-2021,7.82,7.86,7.66,7.75,1469620,,0.0,0.0
12-11-2021,7.79,7.86,7.71,7.75,1213330,,0.0,0.0
15-11-2021,7.88,7.88,7.52,7.59,1571980,,0.0,0.0
16-11-2021,7.69,7.69,7.5,7.55,1346890,,0.0,0.0
17-11-2021,7.47,7.8,7.47,7.55,1975330,,0.0,0.0
18-11-2021,7.66,7.66,7.22,7.28,2712790,,0.0,0.0
22-11-2021,7.38,7.38,6.81,6.97,3148720,,0.0,0.0
23-11-2021,7.0,7.36,6.95,7.3,1730240,,0.0,0.0
24-11-2021,7.47,7.69,7.24,7.53,2454580,,0.0,0.0
25-11-2021,7.7,7.79,7.51,7.64,1724790,,0.0,0.0
26-11-2021,7.6,7.63,7.15,7.26,2219650,,0.0,0.0
29-11-2021,7.11,7.19,6.65,6.95,2892310,,0.0,0.0
30-11-2021,7.0,7.28,6.91,6.99,1589860,,0.0,0.0
01-12-2021,7.1,7.1,6.82,6.95,1321420,,0.0,0.0
02-12-2021,6.91,7.17,6.91,7.1,952850,,0.0,0.0
03-12-2021,7.14,7.34,7.1,7.17,1398500,,0.0,0.0
06-12-2021,7.22,7.26,6.93,6.98,1146860,,0.0,0.0
07-12-2021,7.03,7.29,7.03,7.14,1296930,,0.0,0.0
08-12-2021,7.19,7.41,7.18,7.32,1593350,,0.0,0.0
09-12-2021,7.4,7.49,7.15,7.2,1674790,,0.0,0.0
10-12-2021,7.22,8.44,7.18,8.06,11153650,,0.0,0.0
13-12-2021,8.2,8.49,7.86,7.93,7921710,,0.0,0.0
14-12-2021,7.88,8.75,7.75,8.44,16212140,,0.0,0.0
15-12-2021,8.42,8.48,8.23,8.27,5990860,,0.0,0.0
16-12-2021,8.36,9.92,8.36,9.78,71972860,,0.0,0.0
17-12-2021,9.85,11.33,9.45,10.05,92196560,,0.0,0.0
