Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
21-11-2022,441.48,466.98,431.86,449.47,22187351,,0.0,0.0
22-11-2022,452.07,468.95,441.48,446.23,4464605,,0.0,0.0
23-11-2022,450.21,462.72,446.97,455.9,1736495,,0.0,0.0
24-11-2022,459.14,499.36,456.19,492.88,4878787,,0.0,0.0
25-11-2022,486.56,528.59,483.86,523.89,3312638,,0.0,0.0
28-11-2022,517.95,536.64,504.61,529.33,1577078,,0.0,0.0
29-11-2022,532.03,543.95,523.89,528.94,885600,,0.0,0.0
30-11-2022,530.75,532.96,493.08,506.62,469673,,0.0,0.0
01-12-2022,508.09,524.87,504.26,520.8,547914,,0.0,0.0
02-12-2022,520.8,528.59,505.59,512.06,270405,,0.0,0.0
05-12-2022,514.66,522.9,508.19,509.61,410127,,0.0,0.0
06-12-2022,512.16,513.49,492.49,495.34,235149,,0.0,0.0
07-12-2022,496.07,515.06,496.07,505.0,490412,,0.0,0.0
08-12-2022,507.55,524.33,494.65,517.9,422580,,0.0,0.0
09-12-2022,520.5,524.33,506.62,511.33,235446,,0.0,0.0
12-12-2022,510.15,524.87,503.09,523.84,351782,,0.0,0.0
13-12-2022,524.87,544.0,515.06,520.4,741309,,0.0,0.0
14-12-2022,523.05,530.95,505.34,507.5,316805,,0.0,0.0
15-12-2022,510.05,513.73,498.48,503.43,367466,,0.0,0.0
16-12-2022,499.75,504.95,491.51,498.97,509306,,0.0,0.0
19-12-2022,498.33,507.65,498.28,500.63,140417,,0.0,0.0
20-12-2022,503.19,503.23,495.43,500.78,109997,,0.0,0.0
21-12-2022,500.78,504.66,475.81,489.65,326458,,0.0,0.0
22-12-2022,488.62,497.89,462.72,486.02,533055,,0.0,0.0
23-12-2022,475.81,484.64,468.75,477.29,295703,,0.0,0.0
26-12-2022,474.1,486.61,467.97,483.17,195031,,0.0,0.0
27-12-2022,485.62,510.15,480.77,506.96,309484,,0.0,0.0
28-12-2022,507.6,522.71,507.6,514.22,201311,,0.0,0.0
29-12-2022,515.06,518.34,511.38,516.58,293939,,0.0,0.0
30-12-2022,519.18,521.92,512.21,516.28,151449,,0.0,0.0
02-01-2023,518.88,523.84,513.09,515.3,188657,,0.0,0.0
03-01-2023,517.9,520.26,514.07,515.5,85226,,0.0,0.0
04-01-2023,516.53,529.67,513.44,522.86,258179,,0.0,0.0
05-01-2023,524.77,559.99,518.64,548.17,797190,,0.0,0.0
06-01-2023,550.91,567.74,528.45,551.65,524972,,0.0,0.0
09-01-2023,554.45,566.86,547.73,551.85,166981,,0.0,0.0
10-01-2023,554.64,559.2,536.69,548.56,145658,,0.0,0.0
11-01-2023,548.76,562.49,544.63,559.3,165310,,0.0,0.0
12-01-2023,561.8,573.43,554.89,561.56,144471,,0.0,0.0
