Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
03-06-2022,704.0,774.4,701.0,774.4,3932403,,0.0,0.0
06-06-2022,792.9,833.8,706.7,799.3,8754400,,0.0,0.0
07-06-2022,768.3,813.0,768.25,791.05,2089555,,0.0,0.0
08-06-2022,797.0,808.0,781.0,786.15,558537,,0.0,0.0
09-06-2022,772.0,807.25,772.0,793.35,509855,,0.0,0.0
10-06-2022,781.1,799.35,781.1,786.1,499889,,0.0,0.0
13-06-2022,770.0,803.0,751.05,788.9,504766,,0.0,0.0
14-06-2022,793.0,827.7,781.0,783.15,416790,,0.0,0.0
15-06-2022,797.0,805.0,788.05,795.95,225224,,0.0,0.0
16-06-2022,811.0,811.0,768.0,781.1,284705,,0.0,0.0
17-06-2022,773.0,790.0,765.0,770.55,135911,,0.0,0.0
20-06-2022,768.0,768.0,735.6,750.4,232080,,0.0,0.0
21-06-2022,758.0,773.8,752.1,762.8,116434,,0.0,0.0
22-06-2022,751.0,779.8,749.85,768.95,102498,,0.0,0.0
23-06-2022,770.0,782.65,757.15,761.45,59564,,0.0,0.0
24-06-2022,770.1,774.75,761.0,764.0,34240,,0.0,0.0
27-06-2022,770.05,775.75,759.3,765.4,64118,,0.0,0.0
28-06-2022,760.0,788.0,760.0,775.45,128856,,0.0,0.0
29-06-2022,768.0,786.45,768.0,779.75,49922,,0.0,0.0
30-06-2022,777.95,785.5,777.0,780.45,48920,,0.0,0.0
01-07-2022,778.5,794.95,771.85,774.35,69949,,0.0,0.0
04-07-2022,767.25,780.0,762.0,776.85,52513,,0.0,0.0
05-07-2022,775.5,790.0,775.5,785.15,97334,,0.0,0.0
06-07-2022,781.1,807.9,777.25,796.75,168656,,0.0,0.0
07-07-2022,804.35,874.0,803.6,830.6,575230,,0.0,0.0
08-07-2022,842.4,845.95,818.0,828.7,151467,,0.0,0.0
11-07-2022,828.0,843.4,818.1,824.05,70272,,0.0,0.0
12-07-2022,824.0,840.55,815.0,819.35,69958,,0.0,0.0
13-07-2022,824.0,844.7,821.9,824.4,90577,,0.0,0.0
14-07-2022,828.0,840.0,822.0,827.0,77435,,0.0,0.0
15-07-2022,838.0,882.0,830.0,853.7,266091,,0.0,0.0
18-07-2022,867.75,933.0,862.0,917.4,403434,,0.0,0.0
19-07-2022,931.0,987.0,931.0,961.8,559978,,0.0,0.0
20-07-2022,977.9,1006.85,915.0,921.1,535219,,0.0,0.0
21-07-2022,929.95,941.95,910.1,935.4,213587,,0.0,0.0
22-07-2022,945.0,945.0,905.55,915.1,127781,,0.0,0.0
25-07-2022,922.0,940.3,884.0,897.5,206978,,0.0,0.0
26-07-2022,900.0,930.0,888.6,903.05,183504,,0.0,0.0
27-07-2022,881.35,919.95,851.75,877.55,169122,,0.0,0.0
28-07-2022,884.5,884.5,835.25,839.15,201669,,0.0,0.0
29-07-2022,847.75,854.6,836.5,847.55,90044,,0.0,0.0
01-08-2022,855.0,865.75,838.6,855.1,84495,,0.0,0.0
02-08-2022,855.0,874.7,851.55,858.55,90431,,0.0,0.0
03-08-2022,858.55,862.95,825.95,834.3,96034,,0.0,0.0
04-08-2022,835.0,844.7,815.0,821.8,73908,,0.0,0.0
05-08-2022,824.0,839.95,822.1,824.6,134337,,0.0,0.0
08-08-2022,833.0,837.0,817.75,821.65,56303,,0.0,0.0
10-08-2022,827.5,832.0,815.75,818.55,78707,,0.0,0.0
11-08-2022,820.0,856.45,818.0,837.5,118972,,0.0,0.0
12-08-2022,839.8,844.0,833.0,835.05,41454,,0.0,0.0
16-08-2022,802.1,835.0,802.1,828.65,56312,,0.0,0.0
17-08-2022,828.65,849.85,828.65,836.55,46610,,0.0,0.0
18-08-2022,838.0,845.45,831.0,841.5,52016,,0.0,0.0
19-08-2022,847.95,864.9,845.5,857.45,84195,,0.0,0.0
22-08-2022,864.45,874.0,852.05,859.45,79772,,0.0,0.0
23-08-2022,846.1,870.0,842.0,852.2,51606,,0.0,0.0
24-08-2022,864.9,867.0,852.35,855.8,31877,,0.0,0.0
25-08-2022,855.8,865.75,850.15,851.9,39616,,0.0,0.0
26-08-2022,858.9,860.15,844.0,845.85,28066,,0.0,0.0
29-08-2022,825.0,855.95,815.0,841.15,63285,,0.0,0.0
30-08-2022,849.4,867.0,835.25,863.9,88267,,0.0,0.0
01-09-2022,863.9,950.25,859.5,921.3,379500,,0.0,0.0
02-09-2022,928.5,946.8,915.0,918.6,113809,,0.0,0.0
05-09-2022,925.95,925.95,890.0,894.0,82596,,0.0,0.0
06-09-2022,899.95,900.0,880.0,887.25,31773,,0.0,0.0
07-09-2022,887.9,892.5,881.4,884.45,41824,,0.0,0.0
08-09-2022,897.0,915.0,885.0,887.15,58700,,0.0,0.0
09-09-2022,899.95,899.95,875.55,880.05,64958,,0.0,0.0
12-09-2022,892.0,894.9,882.5,890.05,61189,,0.0,0.0
13-09-2022,895.8,914.45,891.15,910.2,88839,,0.0,0.0
14-09-2022,903.0,998.0,892.0,983.1,388315,,0.0,0.0
15-09-2022,992.9,1019.35,966.6,982.8,146800,,0.0,0.0
16-09-2022,986.5,1048.9,960.0,1021.1,326839,,0.0,0.0
19-09-2022,1048.0,1048.0,985.0,990.4,167412,,0.0,0.0
20-09-2022,1007.9,1007.9,965.05,971.35,118884,,0.0,0.0
21-09-2022,983.75,996.7,951.0,964.1,104685,,0.0,0.0
22-09-2022,964.1,989.0,958.05,973.75,69391,,0.0,0.0
23-09-2022,980.0,985.0,935.0,941.7,131436,,0.0,0.0
26-09-2022,936.0,937.85,880.0,894.6,141035,,0.0,0.0
27-09-2022,895.0,914.6,881.9,897.1,74763,,0.0,0.0
28-09-2022,904.9,932.3,887.0,915.15,61825,,0.0,0.0
29-09-2022,938.0,938.0,894.0,912.65,63187,,0.0,0.0
30-09-2022,912.65,930.0,902.3,913.0,81118,,0.0,0.0
03-10-2022,920.9,926.05,901.55,911.95,75880,,0.0,0.0
04-10-2022,929.0,929.05,913.0,924.6,37921,,0.0,0.0
06-10-2022,931.0,1017.05,931.0,987.45,144158,,0.0,0.0
07-10-2022,988.0,1000.0,965.0,969.65,130214,,0.0,0.0
10-10-2022,965.95,998.75,947.5,991.3,72133,,0.0,0.0
11-10-2022,998.9,1015.0,958.0,963.75,61400,,0.0,0.0
12-10-2022,972.0,972.0,940.55,943.85,47885,,0.0,0.0
13-10-2022,959.9,959.9,931.5,950.3,36673,,0.0,0.0
14-10-2022,969.8,979.7,946.9,951.05,47924,,0.0,0.0
17-10-2022,950.0,955.0,941.95,947.8,33011,,0.0,0.0
18-10-2022,966.0,966.0,939.85,945.95,26222,,0.0,0.0
19-10-2022,945.95,958.15,935.0,941.3,29534,,0.0,0.0
20-10-2022,944.0,955.95,941.3,943.15,31109,,0.0,0.0
21-10-2022,950.7,979.95,938.35,961.65,125881,,0.0,0.0
24-10-2022,969.65,1009.0,963.05,995.1,68703,,0.0,0.0
25-10-2022,989.0,1030.0,981.2,1004.2,154092,,0.0,0.0
27-10-2022,1024.7,1024.7,958.0,961.2,105576,,0.0,0.0
28-10-2022,968.0,970.0,940.0,956.05,116372,,0.0,0.0
31-10-2022,963.6,992.7,950.0,966.25,67391,,0.0,0.0
01-11-2022,972.85,973.3,951.6,955.3,36348,,0.0,0.0
02-11-2022,961.0,980.0,952.1,955.25,28211,,0.0,0.0
03-11-2022,950.5,960.25,942.05,948.45,32309,,0.0,0.0
04-11-2022,956.9,959.65,943.0,944.0,56819,,0.0,0.0
07-11-2022,945.0,951.0,935.0,938.75,34161,,0.0,0.0
09-11-2022,948.0,948.0,886.0,900.8,152591,,0.0,0.0
10-11-2022,914.95,914.95,886.0,889.1,48244,,0.0,0.0
11-11-2022,898.0,913.95,878.0,882.15,40957,,0.0,0.0
14-11-2022,880.0,898.0,860.0,882.35,153435,,0.0,0.0
15-11-2022,895.0,931.7,889.75,924.8,138334,,0.0,0.0
16-11-2022,923.0,947.1,920.0,939.25,83552,,0.0,0.0
17-11-2022,939.0,955.0,932.2,946.1,71980,,0.0,0.0
18-11-2022,954.7,990.0,954.7,978.4,194054,,0.0,0.0
21-11-2022,976.0,995.0,902.0,921.2,166484,,0.0,0.0
22-11-2022,927.0,949.0,916.3,921.15,92795,,0.0,0.0
23-11-2022,928.8,928.8,902.1,916.15,79170,,0.0,0.0
24-11-2022,922.0,924.3,910.1,912.35,35488,,0.0,0.0
25-11-2022,912.35,914.45,901.0,904.0,39646,,0.0,0.0
28-11-2022,910.0,912.75,891.0,893.45,51116,,0.0,0.0
29-11-2022,892.45,907.45,892.45,900.4,22420,,0.0,0.0
30-11-2022,907.2,907.2,896.45,902.05,19911,,0.0,0.0
01-12-2022,907.0,917.9,900.3,908.85,23172,,0.0,0.0
02-12-2022,916.0,916.0,903.0,907.5,18648,,0.0,0.0
05-12-2022,906.35,929.5,905.05,911.05,33252,,0.0,0.0
06-12-2022,924.95,924.95,909.0,913.9,22761,,0.0,0.0
07-12-2022,923.7,924.4,907.9,914.45,23892,,0.0,0.0
08-12-2022,915.0,916.0,900.05,902.35,79223,,0.0,0.0
09-12-2022,914.9,914.9,895.85,902.6,31085,,0.0,0.0
12-12-2022,908.0,908.0,890.0,891.7,35632,,0.0,0.0
13-12-2022,880.0,899.85,880.0,889.15,22772,,0.0,0.0
14-12-2022,901.95,901.95,888.0,889.55,18484,,0.0,0.0
15-12-2022,888.9,894.95,885.0,887.1,16417,,0.0,0.0
16-12-2022,880.0,887.3,875.05,879.5,21478,,0.0,0.0
19-12-2022,879.5,893.7,879.5,884.4,16679,,0.0,0.0
20-12-2022,894.7,894.7,884.05,886.2,56490,,0.0,0.0
21-12-2022,892.85,901.55,858.0,871.3,91282,,0.0,0.0
22-12-2022,874.05,883.45,845.25,858.5,42190,,0.0,0.0
23-12-2022,840.0,853.9,810.0,818.35,57158,,0.0,0.0
26-12-2022,834.7,848.65,815.15,835.2,32377,,0.0,0.0
27-12-2022,851.9,851.9,829.0,841.45,26244,,0.0,0.0
28-12-2022,849.8,850.35,831.55,843.5,34064,,0.0,0.0
29-12-2022,842.0,843.0,831.95,840.25,17490,,0.0,0.0
30-12-2022,847.7,852.0,835.0,839.15,22444,,0.0,0.0
02-01-2023,849.0,858.05,840.0,848.1,20419,,0.0,0.0
03-01-2023,847.0,853.0,843.05,849.85,78968,,0.0,0.0
04-01-2023,856.0,856.0,838.05,845.05,17487,,0.0,0.0
05-01-2023,846.0,855.1,840.8,848.5,12424,,0.0,0.0
06-01-2023,854.0,854.0,840.1,842.25,583622,,0.0,0.0
09-01-2023,862.4,914.0,850.15,881.15,117340,,0.0,0.0
10-01-2023,884.85,887.0,861.1,863.2,19949,,0.0,0.0
11-01-2023,867.45,883.0,864.9,866.5,16296,,0.0,0.0
12-01-2023,867.45,872.0,856.3,859.95,12984,,0.0,0.0
13-01-2023,870.0,873.55,858.0,864.3,12552,,0.0,0.0
16-01-2023,869.3,899.0,864.0,888.75,41838,,0.0,0.0
17-01-2023,889.9,889.9,868.0,869.7,15347,,0.0,0.0
18-01-2023,868.0,886.45,868.0,870.95,13696,,0.0,0.0
19-01-2023,869.05,877.55,861.05,873.95,73930,,0.0,0.0
20-01-2023,874.9,907.0,861.0,894.9,133911,,0.0,0.0
23-01-2023,904.4,971.0,900.45,929.35,238931,,0.0,0.0
24-01-2023,935.3,935.3,902.2,906.45,33025,,0.0,0.0
25-01-2023,907.0,910.0,890.1,894.05,24179,,0.0,0.0
27-01-2023,896.95,913.2,872.6,877.5,29059,,0.0,0.0
30-01-2023,887.45,899.0,857.4,895.05,37319,,0.0,0.0
31-01-2023,896.0,896.35,885.05,890.55,13594,,0.0,0.0
01-02-2023,895.0,907.75,873.1,879.1,33071,,0.0,0.0
02-02-2023,879.95,893.35,871.0,875.1,28277,,0.0,0.0
03-02-2023,882.95,885.3,868.05,871.15,21049,,0.0,0.0
06-02-2023,875.95,887.25,872.1,873.65,15145,,0.0,0.0
07-02-2023,880.0,883.7,872.1,880.6,16005,,0.0,0.0
08-02-2023,877.0,904.15,877.0,895.6,25850,,0.0,0.0
09-02-2023,899.95,905.0,891.3,899.25,27714,,0.0,0.0
10-02-2023,909.65,909.65,890.1,898.85,19639,,0.0,0.0
13-02-2023,895.0,898.0,873.0,878.95,21050,,0.0,0.0
14-02-2023,878.95,887.55,843.5,854.4,44285,,0.0,0.0
15-02-2023,854.95,870.0,854.4,860.85,17605,,0.0,0.0
16-02-2023,867.7,878.95,860.0,875.3,28921,,0.0,0.0
17-02-2023,884.9,905.0,874.05,899.9,45968,,0.0,0.0
20-02-2023,907.0,913.75,888.0,900.2,25524,,0.0,0.0
21-02-2023,896.0,906.0,896.0,901.8,9923,,0.0,0.0
22-02-2023,901.0,901.0,875.0,880.95,18996,,0.0,0.0
23-02-2023,897.0,900.0,880.0,880.75,14187,,0.0,0.0
24-02-2023,875.0,892.1,868.1,877.5,21660,,0.0,0.0
27-02-2023,877.5,883.5,870.0,875.05,46282,,0.0,0.0
28-02-2023,880.1,884.55,872.55,874.7,9929,,0.0,0.0
01-03-2023,882.0,882.5,865.0,873.4,11365,,0.0,0.0
02-03-2023,868.0,878.75,868.0,874.7,7018,,0.0,0.0
03-03-2023,865.65,910.0,865.65,887.3,42514,,0.0,0.0
06-03-2023,889.0,897.95,867.2,874.5,36139,,0.0,0.0
08-03-2023,873.75,877.1,840.0,869.55,12193,,0.0,0.0
09-03-2023,874.0,879.0,868.3,873.25,10989,,0.0,0.0
10-03-2023,862.6,873.4,862.6,870.45,84001,,0.0,0.0
13-03-2023,871.05,871.1,848.85,859.5,20949,,0.0,0.0
14-03-2023,867.95,868.2,850.0,856.6,15743,,0.0,0.0
15-03-2023,860.0,872.05,856.65,862.2,10009,,0.0,0.0
