Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,3339.89,3392.02,3336.96,3364.54,55065,,0.0,0.0
09-08-2021,3372.17,3391.73,3333.09,3369.23,53311,,0.0,0.0
10-08-2021,3376.37,3470.85,3099.99,3270.4,162269,,0.0,0.0
11-08-2021,3266.54,3270.4,3119.84,3245.56,120345,,0.0,0.0
12-08-2021,3253.44,3374.12,3253.39,3363.9,63242,,0.0,0.0
13-08-2021,3374.12,3397.4,3315.44,3351.24,42777,,0.0,0.0
16-08-2021,3364.29,3388.6,3335.0,3352.41,33215,,0.0,0.0
17-08-2021,3360.43,3371.48,3310.89,3344.83,33695,,0.0,0.0
18-08-2021,3346.74,3357.2,3300.77,3327.32,33079,,0.0,0.0
20-08-2021,3271.43,3350.65,3232.36,3246.0,42020,,0.0,0.0
23-08-2021,3280.18,3284.44,3110.06,3197.1,88454,,0.0,0.0
24-08-2021,3192.21,3274.37,3178.62,3251.48,70026,,0.0,0.0
25-08-2021,3251.48,3418.13,3250.21,3383.07,108562,,0.0,0.0
26-08-2021,3411.29,3701.46,3398.67,3658.43,495369,,0.0,0.0
27-08-2021,3661.66,3745.76,3573.64,3705.37,181128,,0.0,0.0
30-08-2021,3734.03,3980.44,3705.37,3899.8,230941,,0.0,0.0
31-08-2021,3920.29,4004.74,3784.84,3951.29,106898,,0.0,0.0
01-09-2021,3976.57,4171.1,3968.75,4077.65,186085,,0.0,0.0
02-09-2021,4090.66,4104.89,3945.28,4007.33,111771,,0.0,0.0
03-09-2021,4007.33,4032.71,3916.92,3961.46,91374,,0.0,0.0
06-09-2021,3975.6,4034.23,3913.3,3946.89,86357,,0.0,0.0
07-09-2021,3946.89,4200.24,3927.14,4132.52,147631,,0.0,0.0
08-09-2021,4163.28,4313.01,4116.67,4149.0,187939,,0.0,0.0
09-09-2021,4163.37,4278.19,4156.67,4224.65,110552,,0.0,0.0
13-09-2021,4250.22,4620.1,4249.44,4543.18,238085,,0.0,0.0
14-09-2021,4630.86,4894.92,4572.18,4865.39,329741,,0.0,0.0
15-09-2021,4890.03,5108.67,4728.66,4837.66,300802,,0.0,0.0
16-09-2021,4861.87,4962.16,4596.63,4810.13,204259,,0.0,0.0
17-09-2021,4792.23,4792.23,4601.52,4675.8,529578,,0.0,0.0
20-09-2021,4595.41,4595.41,4474.38,4493.25,145532,,0.0,0.0
21-09-2021,4449.93,4581.67,4256.28,4549.83,179390,,0.0,0.0
22-09-2021,4577.07,4643.57,4533.55,4548.02,64668,,0.0,0.0
23-09-2021,4565.14,4611.3,4548.85,4571.15,50848,,0.0,0.0
24-09-2021,4594.04,4594.04,4449.93,4514.48,46866,,0.0,0.0
27-09-2021,4557.51,4581.67,4459.71,4486.65,34441,,0.0,0.0
28-09-2021,4498.83,4503.33,4346.26,4418.24,54980,,0.0,0.0
29-09-2021,4381.47,4572.18,4353.79,4501.37,61462,,0.0,0.0
30-09-2021,4513.5,4533.11,4409.83,4418.05,36026,,0.0,0.0
01-10-2021,4401.03,4480.88,4354.08,4449.78,46519,,0.0,0.0
04-10-2021,4474.38,4638.68,4445.04,4592.57,77837,,0.0,0.0
05-10-2021,4621.08,4699.32,4523.28,4584.4,110261,,0.0,0.0
06-10-2021,4591.74,4618.64,4519.61,4530.61,72039,,0.0,0.0
07-10-2021,4553.6,4553.6,4452.42,4467.92,88326,,0.0,0.0
08-10-2021,4467.53,4479.61,4401.86,4420.25,46023,,0.0,0.0
11-10-2021,4425.48,4542.84,4374.23,4407.83,45019,,0.0,0.0
12-10-2021,4420.59,4444.26,4373.6,4389.39,28886,,0.0,0.0
13-10-2021,4391.49,4462.69,4357.02,4374.57,36149,,0.0,0.0
14-10-2021,4391.05,4459.71,4347.24,4366.51,41004,,0.0,0.0
18-10-2021,4367.04,4420.59,4367.04,4386.46,29600,,0.0,0.0
19-10-2021,4391.25,4487.88,4349.19,4382.2,42951,,0.0,0.0
20-10-2021,4377.56,4377.56,3985.91,4054.77,113704,,0.0,0.0
21-10-2021,4097.85,4154.42,3716.42,3738.43,176492,,0.0,0.0
22-10-2021,3669.72,3732.71,3425.08,3468.99,232685,,0.0,0.0
25-10-2021,3471.92,3848.65,3433.78,3740.39,245196,,0.0,0.0
26-10-2021,3753.59,3959.75,3740.87,3878.58,118649,,0.0,0.0
27-10-2021,3921.81,3959.9,3740.92,3751.78,63738,,0.0,0.0
28-10-2021,3654.81,3654.81,3442.58,3480.68,175488,,0.0,0.0
29-10-2021,3485.61,3540.38,3324.24,3383.8,91891,,0.0,0.0
01-11-2021,3315.44,3390.99,3207.86,3216.96,151160,,0.0,0.0
02-11-2021,3270.45,3349.67,2958.66,3279.3,177435,,0.0,0.0
03-11-2021,3290.99,3421.07,3286.1,3319.6,91813,,0.0,0.0
04-11-2021,3355.54,3399.55,3320.38,3377.06,24037,,0.0,0.0
08-11-2021,3416.08,3423.02,3216.81,3222.04,129898,,0.0,0.0
09-11-2021,3253.53,3266.54,3193.19,3198.91,77696,,0.0,0.0
10-11-2021,3222.24,3222.24,3129.77,3137.2,78283,,0.0,0.0
11-11-2021,3158.96,3195.05,3048.54,3062.48,101534,,0.0,0.0
12-11-2021,3100.18,3100.23,2894.9,2912.75,236427,,0.0,0.0
15-11-2021,2915.09,3090.5,2821.74,3067.86,270662,,0.0,0.0
16-11-2021,3070.94,3297.84,3068.15,3263.9,225659,,0.0,0.0
17-11-2021,3276.32,3306.05,3150.16,3201.36,109939,,0.0,0.0
18-11-2021,3217.54,3217.54,3056.27,3089.42,77185,,0.0,0.0
22-11-2021,3095.39,3105.07,2935.0,2959.5,68292,,0.0,0.0
23-11-2021,2934.02,3105.17,2885.71,3086.29,69683,,0.0,0.0
24-11-2021,3178.52,3251.87,3093.58,3116.66,104769,,0.0,0.0
25-11-2021,3138.23,3138.23,2997.59,3046.44,68037,,0.0,0.0
26-11-2021,3003.46,3124.78,2992.7,3017.59,91383,,0.0,0.0
29-11-2021,2929.13,2973.14,2838.17,2901.31,86122,,0.0,0.0
30-11-2021,2887.32,2980.96,2887.32,2931.33,50228,,0.0,0.0
01-12-2021,2943.8,2963.36,2871.43,2887.22,54845,,0.0,0.0
02-12-2021,2934.02,3020.92,2903.21,2968.84,89158,,0.0,0.0
03-12-2021,2980.96,3129.62,2956.66,3010.35,110979,,0.0,0.0
06-12-2021,3049.42,3049.42,2934.02,2938.62,41218,,0.0,0.0
07-12-2021,2962.38,3016.17,2937.93,2998.13,36605,,0.0,0.0
08-12-2021,3020.96,3236.22,3013.53,3205.47,167891,,0.0,0.0
09-12-2021,3247.23,3282.19,3198.08,3244.39,114951,,0.0,0.0
10-12-2021,3244.39,3265.56,3204.93,3221.94,39055,,0.0,0.0
13-12-2021,3251.87,3261.65,3134.71,3149.67,40600,,0.0,0.0
14-12-2021,3129.62,3167.81,3071.92,3106.39,33871,,0.0,0.0
