Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
01-07-2025,486.0,534.6,486.0,534.6,16209672,,0.0,0.0
02-07-2025,556.0,563.3,495.65,525.6,8415078,,0.0,0.0
03-07-2025,525.5,578.15,518.8,576.3,6752785,,0.0,0.0
04-07-2025,582.05,586.8,545.7,562.3,2634779,,0.0,0.0
07-07-2025,556.3,588.0,539.1,566.85,2301711,,0.0,0.0
08-07-2025,570.0,623.5,563.55,604.7,3290356,,0.0,0.0
09-07-2025,625.0,632.4,589.55,594.35,3098978,,0.0,0.0
10-07-2025,595.9,626.15,595.25,613.3,1480149,,0.0,0.0
11-07-2025,613.0,620.0,592.45,604.3,961155,,0.0,0.0
14-07-2025,598.4,637.7,562.6,569.9,3879879,,0.0,0.0
15-07-2025,573.8,583.95,555.75,559.35,989769,,0.0,0.0
16-07-2025,563.9,574.95,555.0,570.55,1121347,,0.0,0.0
17-07-2025,574.0,574.95,564.0,566.35,477574,,0.0,0.0
18-07-2025,569.2,569.2,549.25,550.8,441153,,0.0,0.0
21-07-2025,553.3,603.25,551.05,585.05,1441589,,0.0,0.0
22-07-2025,595.0,598.4,563.4,572.3,683709,,0.0,0.0
23-07-2025,576.0,582.95,565.0,569.6,625998,,0.0,0.0
24-07-2025,568.05,572.5,556.0,558.45,270773,,0.0,0.0
25-07-2025,559.9,566.45,554.6,563.0,485827,,0.0,0.0
28-07-2025,563.0,582.4,542.7,564.6,1111136,,0.0,0.0
29-07-2025,563.85,573.55,556.4,566.95,669371,,0.0,0.0
30-07-2025,569.8,594.45,560.05,564.35,858320,,0.0,0.0
31-07-2025,562.0,586.8,558.35,577.65,491938,,0.0,0.0
01-08-2025,578.95,585.9,558.2,562.3,162664,,0.0,0.0
04-08-2025,563.9,567.8,553.1,556.3,142457,,0.0,0.0
05-08-2025,560.0,600.15,531.3,577.2,1131221,,0.0,0.0
06-08-2025,559.0,567.0,536.7,543.1,1102593,,0.0,0.0
07-08-2025,541.0,541.9,510.2,529.25,771515,,0.0,0.0
08-08-2025,535.0,536.7,516.55,521.25,267962,,0.0,0.0
11-08-2025,521.25,522.0,504.5,506.2,380121,,0.0,0.0
12-08-2025,510.0,526.4,504.15,518.15,542009,,0.0,0.0
13-08-2025,520.6,520.7,509.0,511.8,420832,,0.0,0.0
14-08-2025,510.0,512.95,496.6,499.25,235228,,0.0,0.0
18-08-2025,510.0,510.05,487.6,490.3,272841,,0.0,0.0
19-08-2025,490.3,515.4,489.0,512.95,966590,,0.0,0.0
20-08-2025,512.0,514.05,502.75,503.95,148115,,0.0,0.0
21-08-2025,505.0,518.75,502.2,513.75,256671,,0.0,0.0
22-08-2025,513.0,534.5,505.4,527.4,406985,,0.0,0.0
25-08-2025,527.4,534.0,516.0,528.7,303710,,0.0,0.0
26-08-2025,528.7,538.7,507.4,529.8,369333,,0.0,0.0
28-08-2025,528.5,533.5,514.1,525.5,581901,,0.0,0.0
29-08-2025,520.55,525.0,510.7,517.4,231660,,0.0,0.0
01-09-2025,513.3,520.0,513.3,516.55,136890,,0.0,0.0
02-09-2025,515.2,524.8,514.0,517.8,97241,,0.0,0.0
03-09-2025,513.2,517.6,508.6,512.1,97134,,0.0,0.0
04-09-2025,515.2,541.6,505.7,527.45,352888,,0.0,0.0
