Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,323.94,347.49,320.99,335.16,613162,,0.0,0.0
09-08-2021,337.32,338.47,325.79,326.93,179119,,0.0,0.0
10-08-2021,326.54,329.18,301.23,317.47,335780,,0.0,0.0
11-08-2021,316.9,316.9,293.62,306.38,536792,,0.0,0.0
12-08-2021,309.02,321.3,308.14,311.97,245837,,0.0,0.0
13-08-2021,311.97,320.42,309.37,316.19,233089,,0.0,0.0
16-08-2021,311.71,320.42,311.53,312.67,132874,,0.0,0.0
17-08-2021,314.08,314.43,303.25,307.92,148562,,0.0,0.0
18-08-2021,308.1,308.54,298.63,300.31,215125,,0.0,0.0
20-08-2021,297.0,303.87,292.47,294.5,146734,,0.0,0.0
23-08-2021,295.9,296.78,272.89,282.66,449177,,0.0,0.0
24-08-2021,282.66,307.66,280.32,303.61,385295,,0.0,0.0
25-08-2021,302.46,320.16,297.09,316.68,657662,,0.0,0.0
26-08-2021,316.9,316.9,306.34,309.42,286878,,0.0,0.0
27-08-2021,309.86,316.9,302.81,309.99,403692,,0.0,0.0
30-08-2021,316.9,333.62,312.94,328.61,1135202,,0.0,0.0
31-08-2021,330.1,333.49,323.5,327.29,557712,,0.0,0.0
01-09-2021,329.84,332.57,319.72,324.78,560825,,0.0,0.0
02-09-2021,325.7,329.49,322.09,326.32,416923,,0.0,0.0
03-09-2021,328.25,331.86,325.09,329.97,605217,,0.0,0.0
06-09-2021,331.69,332.57,322.53,326.01,337541,,0.0,0.0
07-09-2021,326.19,327.46,317.52,323.81,231334,,0.0,0.0
08-09-2021,323.81,345.07,320.38,341.46,1475833,,0.0,0.0
09-09-2021,343.31,343.62,334.68,335.87,693128,,0.0,0.0
13-09-2021,337.94,343.31,334.86,336.49,367865,,0.0,0.0
14-09-2021,336.27,343.66,331.2,339.39,670485,,0.0,0.0
15-09-2021,341.55,356.47,338.03,346.92,1430885,,0.0,0.0
16-09-2021,348.28,360.91,346.87,359.68,1114024,,0.0,0.0
17-09-2021,362.23,364.26,335.87,348.19,934773,,0.0,0.0
20-09-2021,344.19,353.03,326.14,334.11,494220,,0.0,0.0
21-09-2021,335.56,338.38,323.11,333.76,570695,,0.0,0.0
22-09-2021,338.47,355.63,336.0,348.77,807835,,0.0,0.0
23-09-2021,352.02,361.75,347.18,349.87,501332,,0.0,0.0
24-09-2021,351.93,373.15,350.53,369.28,1808357,,0.0,0.0
27-09-2021,374.12,389.08,371.56,386.62,2344462,,0.0,0.0
28-09-2021,391.46,392.43,370.82,379.27,762724,,0.0,0.0
29-09-2021,375.92,396.04,372.88,391.72,720186,,0.0,0.0
30-09-2021,395.16,400.97,383.36,392.12,709269,,0.0,0.0
01-10-2021,388.2,400.35,380.37,395.11,662670,,0.0,0.0
04-10-2021,404.05,411.97,402.73,409.5,904854,,0.0,0.0
05-10-2021,411.09,422.36,408.05,419.58,711340,,0.0,0.0
06-10-2021,421.21,425.17,403.21,405.94,705333,,0.0,0.0
07-10-2021,409.37,421.12,397.05,399.78,311045,,0.0,0.0
08-10-2021,401.32,408.45,389.13,391.19,376107,,0.0,0.0
11-10-2021,393.88,399.38,382.92,385.52,234208,,0.0,0.0
12-10-2021,386.44,404.93,386.44,401.67,420336,,0.0,0.0
13-10-2021,404.4,417.91,397.18,404.05,353413,,0.0,0.0
14-10-2021,405.32,412.85,390.71,403.47,497993,,0.0,0.0
18-10-2021,409.68,416.94,405.81,411.04,304071,,0.0,0.0
19-10-2021,413.69,417.69,394.14,397.93,277019,,0.0,0.0
20-10-2021,396.12,399.42,373.59,378.83,268223,,0.0,0.0
21-10-2021,375.88,403.52,375.88,396.08,296600,,0.0,0.0
22-10-2021,396.12,409.2,384.15,395.73,323227,,0.0,0.0
25-10-2021,396.12,399.56,370.6,372.93,285226,,0.0,0.0
26-10-2021,374.12,387.28,374.12,377.51,151702,,0.0,0.0
27-10-2021,380.54,388.07,374.91,377.73,162465,,0.0,0.0
28-10-2021,377.73,383.27,356.51,368.57,293659,,0.0,0.0
29-10-2021,368.84,383.58,359.15,371.61,188806,,0.0,0.0
01-11-2021,382.04,382.83,373.85,375.61,98063,,0.0,0.0
02-11-2021,376.76,385.74,375.88,380.76,141517,,0.0,0.0
03-11-2021,382.92,383.05,369.8,371.83,92448,,0.0,0.0
04-11-2021,372.44,385.25,372.44,377.11,49506,,0.0,0.0
08-11-2021,382.92,382.92,369.76,372.4,82748,,0.0,0.0
09-11-2021,372.4,383.4,372.36,374.03,104128,,0.0,0.0
10-11-2021,375.44,377.11,367.6,369.14,106073,,0.0,0.0
11-11-2021,370.2,374.82,367.25,370.9,75712,,0.0,0.0
12-11-2021,374.12,377.9,362.98,365.75,96583,,0.0,0.0
15-11-2021,367.51,367.91,346.12,362.5,191453,,0.0,0.0
16-11-2021,363.51,369.72,353.43,356.07,204908,,0.0,0.0
17-11-2021,359.11,360.74,345.95,347.09,174575,,0.0,0.0
18-11-2021,349.47,353.69,332.96,339.26,210178,,0.0,0.0
22-11-2021,339.26,340.23,316.59,318.79,170462,,0.0,0.0
23-11-2021,321.3,336.18,317.52,332.74,161852,,0.0,0.0
24-11-2021,345.07,345.07,327.68,331.42,142394,,0.0,0.0
25-11-2021,338.91,351.32,330.1,345.29,135903,,0.0,0.0
26-11-2021,343.31,343.53,328.34,330.41,125627,,0.0,0.0
29-11-2021,336.27,347.71,332.17,339.96,325958,,0.0,0.0
30-11-2021,348.59,351.41,336.31,347.27,411148,,0.0,0.0
01-12-2021,347.27,369.72,346.26,367.96,648598,,0.0,0.0
02-12-2021,374.12,378.08,357.3,361.22,365844,,0.0,0.0
03-12-2021,356.6,380.28,356.6,373.76,348695,,0.0,0.0
06-12-2021,378.52,382.83,358.71,360.6,386294,,0.0,0.0
07-12-2021,374.12,376.23,346.65,351.19,646702,,0.0,0.0
08-12-2021,352.11,352.11,343.31,344.06,177147,,0.0,0.0
09-12-2021,344.63,361.84,343.31,355.94,268270,,0.0,0.0
10-12-2021,360.47,362.85,354.44,357.35,162041,,0.0,0.0
13-12-2021,361.0,361.05,342.34,346.26,176302,,0.0,0.0
14-12-2021,346.26,353.87,345.64,349.73,87483,,0.0,0.0
15-12-2021,349.73,351.49,340.67,343.35,62688,,0.0,0.0
16-12-2021,345.46,346.52,332.3,334.64,132211,,0.0,0.0
17-12-2021,335.21,336.09,323.33,328.47,111272,,0.0,0.0
20-12-2021,328.47,328.52,306.78,314.7,112348,,0.0,0.0
21-12-2021,319.41,329.22,315.89,317.47,77030,,0.0,0.0
22-12-2021,320.29,333.58,318.75,324.95,94954,,0.0,0.0
23-12-2021,331.42,331.42,322.22,324.29,42104,,0.0,0.0
24-12-2021,327.37,328.43,323.15,325.22,44950,,0.0,0.0
27-12-2021,325.7,331.73,320.77,322.31,116574,,0.0,0.0
