Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,321.97,325.44,315.98,316.42,573153,,0.0,0.0
09-08-2021,317.72,324.31,311.51,317.33,456363,,0.0,0.0
10-08-2021,318.15,319.06,304.0,305.61,413951,,0.0,0.0
11-08-2021,307.13,308.08,286.47,300.75,969914,,0.0,0.0
12-08-2021,303.74,312.2,303.39,310.12,309933,,0.0,0.0
13-08-2021,317.72,324.66,312.77,317.8,908621,,0.0,0.0
16-08-2021,319.54,322.06,312.42,314.33,373026,,0.0,0.0
17-08-2021,317.46,317.46,307.17,309.99,405946,,0.0,0.0
18-08-2021,316.47,317.89,307.24,309.1,437949,,8.0,0.0
20-08-2021,303.33,306.53,293.12,296.63,366284,,0.0,0.0
23-08-2021,297.47,299.65,279.71,281.0,675624,,0.0,0.0
24-08-2021,280.51,295.96,278.91,294.94,797934,,0.0,0.0
25-08-2021,295.61,297.03,288.15,289.43,289605,,0.0,0.0
26-08-2021,283.4,290.81,282.38,283.35,474574,,0.0,0.0
27-08-2021,280.6,289.61,280.6,282.11,374896,,0.0,0.0
30-08-2021,283.26,297.87,283.26,291.34,1039537,,0.0,0.0
31-08-2021,292.76,298.36,289.48,295.34,436044,,0.0,0.0
01-09-2021,295.61,296.23,286.46,288.77,330620,,0.0,0.0
02-09-2021,290.46,301.56,288.86,299.42,855440,,0.0,0.0
03-09-2021,301.02,301.96,296.58,298.27,201271,,0.0,0.0
06-09-2021,300.45,309.68,300.13,302.18,730898,,0.0,0.0
07-09-2021,303.73,306.31,297.91,300.53,328032,,0.0,0.0
08-09-2021,301.69,302.89,293.92,295.38,278488,,0.0,0.0
09-09-2021,296.76,301.02,293.83,298.0,383073,,0.0,0.0
13-09-2021,297.43,304.22,295.74,299.42,461704,,0.0,0.0
14-09-2021,300.22,305.77,299.87,301.78,621824,,0.0,0.0
15-09-2021,302.09,313.19,302.09,305.46,909239,,0.0,0.0
16-09-2021,307.06,311.01,300.71,301.78,717432,,0.0,0.0
17-09-2021,303.69,304.66,290.77,296.89,427744,,0.0,0.0
20-09-2021,296.27,327.35,294.9,315.45,5134287,,0.0,0.0
21-09-2021,315.59,342.89,310.12,340.09,6860951,,0.0,0.0
22-09-2021,342.94,356.52,340.98,344.67,4359640,,0.0,0.0
23-09-2021,346.53,353.41,337.16,344.27,1913542,,0.0,0.0
24-09-2021,346.44,364.07,346.4,360.03,5593056,,0.0,0.0
27-09-2021,366.29,392.22,366.29,387.07,7795667,,0.0,0.0
28-09-2021,391.6,401.19,387.2,398.79,3971287,,0.0,0.0
29-09-2021,394.26,398.39,384.85,389.02,1582532,,0.0,0.0
30-09-2021,390.8,396.12,382.72,385.6,1315804,,0.0,0.0
01-10-2021,380.05,385.34,373.26,377.57,1211494,,0.0,0.0
04-10-2021,380.67,405.0,380.67,398.57,2348578,,0.0,0.0
05-10-2021,403.14,451.76,401.45,443.01,7381999,,0.0,0.0
06-10-2021,445.23,460.15,425.29,433.06,6052275,,0.0,0.0
07-10-2021,436.97,441.94,424.01,430.0,1710385,,0.0,0.0
08-10-2021,430.22,434.84,409.62,416.99,2119379,,0.0,0.0
11-10-2021,418.68,422.32,408.65,414.06,1122676,,0.0,0.0
12-10-2021,412.02,429.51,402.07,425.34,1864211,,0.0,0.0
13-10-2021,429.2,431.55,417.61,422.9,1559351,,0.0,0.0
14-10-2021,425.34,433.91,414.59,421.43,1077440,,0.0,0.0
18-10-2021,424.54,435.99,423.03,428.89,1122378,,0.0,0.0
19-10-2021,432.75,432.75,405.27,408.96,1187949,,0.0,0.0
20-10-2021,404.03,408.47,383.65,393.82,1209096,,0.0,0.0
21-10-2021,395.81,404.65,383.74,388.13,930640,,0.0,0.0
22-10-2021,390.18,400.43,377.83,383.65,848750,,0.0,0.0
25-10-2021,385.29,402.25,378.54,395.9,1101543,,0.0,0.0
26-10-2021,399.59,408.29,388.62,392.0,826986,,0.0,0.0
27-10-2021,395.01,422.5,393.59,419.57,1884577,,0.0,0.0
28-10-2021,413.93,418.63,399.59,403.23,957401,,0.0,0.0
29-10-2021,410.24,414.11,381.83,409.0,1793029,,0.0,0.0
01-11-2021,410.69,444.74,407.8,441.63,2861000,,0.0,0.0
02-11-2021,443.1,448.34,429.02,432.62,1277695,,0.0,0.0
03-11-2021,432.89,435.02,412.02,414.46,866465,,0.0,0.0
04-11-2021,415.57,421.61,414.86,418.46,194680,,0.0,0.0
08-11-2021,416.9,419.7,408.56,410.42,773582,,0.0,0.0
09-11-2021,410.24,416.46,408.96,412.33,527506,,0.0,0.0
10-11-2021,410.42,420.72,408.82,413.62,559494,,0.0,0.0
11-11-2021,414.68,415.97,409.44,411.84,272667,,0.0,0.0
12-11-2021,412.91,424.18,409.71,416.41,560574,,0.0,0.0
15-11-2021,416.41,418.81,393.86,395.64,599767,,0.0,0.0
16-11-2021,396.04,403.94,390.04,392.66,451704,,0.0,0.0
17-11-2021,390.8,394.08,377.48,379.74,505210,,0.0,0.0
18-11-2021,377.61,388.44,350.48,359.32,1420950,,0.0,0.0
22-11-2021,358.61,367.62,346.4,351.5,831258,,0.0,0.0
23-11-2021,350.93,366.82,349.37,361.94,577018,,0.0,0.0
24-11-2021,364.51,371.75,359.72,361.85,453729,,0.0,0.0
25-11-2021,361.85,365.84,357.28,362.47,380916,,0.0,0.0
26-11-2021,358.61,378.1,349.86,366.56,1649339,,0.0,0.0
29-11-2021,365.84,376.86,354.48,370.86,1047273,,0.0,0.0
30-11-2021,368.06,383.52,367.62,377.17,746422,,0.0,0.0
01-12-2021,395.15,410.24,375.21,378.05,4084388,,0.0,0.0
02-12-2021,377.83,381.83,374.95,378.37,508630,,0.0,0.0
03-12-2021,377.39,380.81,373.84,375.3,579856,,0.0,0.0
06-12-2021,374.72,377.57,359.27,361.18,568987,,0.0,0.0
07-12-2021,364.51,370.55,360.52,361.94,646671,,0.0,0.0
08-12-2021,364.96,370.73,362.87,368.06,447166,,0.0,0.0
09-12-2021,371.31,378.81,368.86,371.22,618554,,0.0,0.0
10-12-2021,370.02,378.05,364.69,374.81,601120,,0.0,0.0
13-12-2021,375.61,380.05,369.4,370.68,531665,,0.0,0.0
14-12-2021,367.67,377.12,366.78,375.61,292460,,0.0,0.0
15-12-2021,376.46,389.78,374.32,383.2,1006244,,0.0,0.0
16-12-2021,385.2,396.04,383.65,393.82,965893,,0.0,0.0
17-12-2021,394.93,394.93,376.5,384.58,481149,,0.0,0.0
20-12-2021,374.72,377.26,358.74,366.16,520904,,0.0,0.0
21-12-2021,368.51,375.92,364.29,369.62,346973,,0.0,0.0
22-12-2021,372.77,375.3,367.49,370.91,203398,,0.0,0.0
23-12-2021,373.84,380.5,370.95,373.39,462545,,0.0,0.0
24-12-2021,374.81,377.03,363.62,365.05,323537,,0.0,0.0
27-12-2021,365.36,366.47,357.9,359.63,396373,,0.0,0.0
28-12-2021,362.29,387.33,362.29,383.92,1106299,,0.0,0.0
29-12-2021,384.58,402.52,378.45,399.37,2473579,,0.0,0.0
