Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,106.83,110.73,105.08,106.22,2793665,,0.0,0.0
09-08-2021,106.83,107.1,102.54,104.08,1215027,,0.0,0.0
10-08-2021,104.21,104.51,96.59,99.0,2409711,,0.0,0.0
11-08-2021,99.0,100.44,94.27,97.9,1851670,,0.0,0.0
12-08-2021,99.83,100.18,95.76,96.11,4063465,,0.0,0.0
13-08-2021,97.03,97.99,94.88,95.27,1965950,,0.0,0.0
16-08-2021,96.33,96.81,93.7,94.01,1421610,,0.0,0.0
17-08-2021,94.01,94.66,90.02,91.9,1667683,,0.0,0.0
18-08-2021,91.95,94.92,90.59,91.77,2390250,,0.0,0.0
20-08-2021,90.9,94.01,89.67,90.46,1875782,,0.0,0.0
23-08-2021,91.16,92.74,85.91,87.61,1452356,,0.0,0.0
24-08-2021,87.66,93.7,87.66,90.98,5401835,,0.0,0.0
25-08-2021,91.51,91.73,87.53,87.79,1449314,,0.0,0.0
26-08-2021,87.88,88.84,87.04,87.39,733585,,0.0,0.0
27-08-2021,87.74,88.44,86.04,86.34,1398688,,0.0,0.0
30-08-2021,86.87,88.97,86.61,87.53,2021397,,0.0,0.0
31-08-2021,87.7,90.41,87.48,89.36,1701375,,0.0,0.0
01-09-2021,89.5,90.2,88.27,88.93,889426,,0.0,0.0
02-09-2021,88.97,93.61,88.71,92.65,2657918,,0.0,0.0
03-09-2021,93.09,93.39,91.77,92.21,1020003,,0.0,0.0
06-09-2021,92.78,93.0,91.51,92.12,569154,,0.0,0.0
07-09-2021,91.95,92.43,90.37,91.47,732125,,0.0,0.0
08-09-2021,92.14,93.21,91.38,92.14,938307,,2.2,0.0
09-09-2021,92.4,93.93,91.56,92.18,717440,,0.0,0.0
13-09-2021,92.23,96.48,92.14,95.54,2022677,,0.0,0.0
14-09-2021,95.8,98.76,95.8,97.77,1472323,,0.0,0.0
15-09-2021,98.26,101.62,97.95,99.25,1714345,,0.0,0.0
16-09-2021,99.78,101.53,98.22,98.76,1118548,,0.0,0.0
17-09-2021,99.07,99.61,94.82,98.58,1891670,,0.0,0.0
20-09-2021,98.35,105.29,96.7,99.2,5552519,,0.0,0.0
21-09-2021,100.14,103.27,97.95,100.46,3697936,,0.0,0.0
22-09-2021,101.53,104.66,101.35,102.56,2889472,,0.0,0.0
23-09-2021,103.05,104.39,100.55,101.39,1585219,,0.0,0.0
24-09-2021,102.33,110.34,101.75,105.42,14279903,,0.0,0.0
27-09-2021,106.72,111.73,105.69,110.65,12678532,,0.0,0.0
28-09-2021,118.97,119.55,112.89,114.37,18373735,,0.0,0.0
29-09-2021,112.49,117.09,111.91,114.54,5497215,,0.0,0.0
30-09-2021,115.39,118.97,114.99,115.62,4655749,,0.0,0.0
01-10-2021,114.5,115.84,112.93,114.9,2659104,,0.0,0.0
04-10-2021,117.18,120.94,116.38,120.27,7139096,,0.0,0.0
05-10-2021,121.12,131.9,120.81,130.38,13544786,,0.0,0.0
06-10-2021,131.14,134.85,121.84,123.85,11024365,,0.0,0.0
07-10-2021,125.06,126.98,122.15,123.04,3211964,,0.0,0.0
08-10-2021,124.03,124.34,116.15,118.08,4562170,,0.0,0.0
11-10-2021,118.08,118.79,114.05,114.63,3255181,,0.0,0.0
12-10-2021,114.63,120.27,113.2,119.55,5351252,,0.0,0.0
13-10-2021,120.9,128.81,119.69,124.83,6027281,,0.0,0.0
14-10-2021,125.59,125.59,120.67,121.84,2353342,,0.0,0.0
18-10-2021,122.1,123.67,119.46,119.78,3164940,,0.0,0.0
19-10-2021,120.67,120.9,111.37,113.61,3071858,,0.0,0.0
20-10-2021,114.46,115.93,108.82,109.8,2740740,,0.0,0.0
21-10-2021,111.73,114.77,111.37,112.93,2104590,,0.0,0.0
22-10-2021,113.65,114.41,111.01,113.47,1934027,,0.0,0.0
25-10-2021,114.41,116.87,109.36,113.25,1803776,,0.0,0.0
26-10-2021,113.56,121.66,113.56,119.24,3261208,,0.0,0.0
