Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,269.37,275.45,269.37,273.13,1085716,,0.0,0.0
09-08-2021,274.41,279.36,267.05,269.67,1781148,,0.0,0.0
10-08-2021,291.77,296.27,273.28,276.94,13495897,,0.0,0.0
11-08-2021,280.6,289.45,268.53,286.93,4737451,,0.0,0.0
12-08-2021,291.72,321.39,289.4,316.35,17180068,,0.0,0.0
13-08-2021,316.35,342.16,315.01,336.28,12424971,,0.0,0.0
16-08-2021,337.66,398.49,337.47,386.72,23001478,,0.0,0.0
17-08-2021,385.68,385.68,359.08,366.15,7955479,,0.0,0.0
18-08-2021,366.94,378.81,357.05,364.91,5906365,,0.0,0.0
20-08-2021,356.06,370.35,352.7,358.34,3633725,,0.0,0.0
23-08-2021,362.98,377.62,353.34,360.41,6210229,,0.0,0.0
24-08-2021,363.63,368.52,355.07,357.99,2324817,,0.0,0.0
25-08-2021,359.42,367.78,356.6,360.61,2859055,,0.0,0.0
26-08-2021,361.45,380.79,359.08,378.17,7399931,,0.0,0.0
27-08-2021,381.18,415.95,380.79,415.95,14080063,,0.0,0.0
30-08-2021,429.65,457.54,427.82,457.29,17343593,,0.0,0.0
31-08-2021,466.83,488.35,426.28,438.89,20384738,,0.0,0.0
01-09-2021,444.09,482.76,439.14,480.04,12240272,,0.0,0.0
02-09-2021,487.8,501.25,478.36,487.06,10041514,,0.0,0.0
03-09-2021,484.64,494.92,474.75,487.26,5066417,,0.0,0.0
06-09-2021,493.14,498.39,481.18,484.29,2854163,,0.0,0.0
07-09-2021,487.06,487.46,469.85,475.24,2468607,,0.0,0.0
08-09-2021,477.47,498.98,469.9,498.98,9112697,,0.0,0.0
09-09-2021,509.41,522.22,506.4,511.1,5974763,,0.0,0.0
13-09-2021,517.28,536.61,512.63,536.61,5327107,,0.0,0.0
14-09-2021,556.64,563.42,555.06,563.42,2123681,,0.0,0.0
15-09-2021,582.55,591.56,578.6,591.56,1583159,,0.0,0.0
16-09-2021,607.28,621.13,561.98,561.98,2708951,,0.0,0.0
17-09-2021,533.89,533.89,533.89,533.89,398200,,0.0,0.0
20-09-2021,507.24,507.24,507.24,507.24,350271,,0.0,0.0
21-09-2021,506.79,532.56,491.17,532.56,7824750,,0.0,0.0
22-09-2021,543.98,559.16,539.04,558.52,6215882,,0.0,0.0
23-09-2021,567.67,578.25,537.11,545.42,4392990,,0.0,0.0
24-09-2021,550.9,557.78,536.07,539.23,2247089,,0.0,0.0
27-09-2021,546.36,551.89,527.32,531.32,1810383,,0.0,0.0
28-09-2021,534.09,548.93,519.8,526.33,2183996,,0.0,0.0
29-09-2021,523.11,526.18,513.32,515.1,1628552,,0.0,0.0
30-09-2021,519.16,540.82,515.45,540.82,3113306,,0.0,0.0
01-10-2021,544.97,554.66,533.1,536.32,2324289,,0.0,0.0
04-10-2021,545.46,563.12,542.5,563.12,2531422,,0.0,0.0
05-10-2021,575.63,591.26,565.94,584.83,5557228,,0.0,0.0
06-10-2021,576.62,581.57,555.6,555.6,2693725,,0.0,0.0
07-10-2021,547.94,566.73,536.07,547.44,2243021,,0.0,0.0
08-10-2021,552.64,558.62,540.03,543.34,1389258,,0.0,0.0
11-10-2021,534.09,543.98,526.18,530.83,1157625,,0.0,0.0
12-10-2021,534.09,557.33,524.2,556.89,2867135,,0.0,0.0
13-10-2021,562.67,565.64,539.18,542.0,1493051,,0.0,0.0
14-10-2021,544.97,551.55,533.1,534.83,1007811,,0.0,0.0
18-10-2021,561.54,561.54,540.27,544.97,1949472,,0.0,0.0
19-10-2021,547.84,549.92,517.72,520.0,1455313,,0.0,0.0
20-10-2021,514.31,519.25,494.03,494.03,1715131,,0.0,0.0
21-10-2021,498.44,504.42,469.36,470.0,1668842,,0.0,0.0
22-10-2021,465.85,487.61,448.24,455.81,2710138,,0.0,0.0
25-10-2021,457.44,462.58,433.06,433.06,1432919,,0.0,0.0
26-10-2021,420.35,454.67,417.78,454.67,2173605,,0.0,0.0
27-10-2021,457.93,476.73,445.08,457.59,2281219,,0.0,0.0
28-10-2021,456.94,456.94,440.18,443.2,790886,,0.0,0.0
29-10-2021,444.09,457.54,426.88,452.54,904071,,0.0,0.0
01-11-2021,454.97,463.82,447.6,449.67,579572,,0.0,0.0
02-11-2021,452.99,459.66,447.65,452.74,500860,,0.0,0.0
03-11-2021,430.14,439.83,430.14,430.14,1788804,,0.0,0.0
04-11-2021,416.54,433.21,411.0,426.43,1222264,,0.0,0.0
08-11-2021,426.78,432.71,405.12,405.32,1995345,,0.0,0.0
