Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,898.32,931.42,896.33,925.32,71758,,0.0,0.0
09-08-2021,921.15,921.15,883.43,889.98,90536,,0.0,0.0
10-08-2021,904.13,921.45,886.61,900.65,146597,,0.0,0.0
11-08-2021,912.22,918.17,873.7,914.65,90063,,0.0,0.0
12-08-2021,916.48,986.66,914.99,947.7,387499,,0.0,0.0
13-08-2021,952.86,953.91,933.56,943.43,73641,,0.0,0.0
16-08-2021,929.09,959.56,929.09,943.63,49283,,0.0,0.0
17-08-2021,942.99,958.87,932.46,939.96,45369,,0.0,0.0
18-08-2021,948.94,948.94,936.29,943.04,21422,,0.0,0.0
20-08-2021,928.1,948.94,928.1,945.32,52867,,0.0,0.0
23-08-2021,952.91,954.9,879.71,896.28,69751,,0.0,0.0
24-08-2021,900.25,929.04,892.51,920.7,40067,,0.0,0.0
25-08-2021,929.04,929.04,906.81,918.32,21792,,0.0,0.0
26-08-2021,918.12,938.02,909.19,922.79,23229,,0.0,0.0
27-08-2021,913.21,922.89,913.21,918.37,13426,,0.0,0.0
30-08-2021,915.24,1003.64,915.24,973.56,313491,,0.0,0.0
31-08-2021,977.73,980.61,952.91,956.64,46763,,0.0,0.0
01-09-2021,964.23,966.26,941.0,951.27,32353,,0.0,0.0
02-09-2021,951.27,987.7,949.29,966.36,36245,,0.0,0.0
03-09-2021,971.28,977.73,957.88,965.57,22843,,0.0,0.0
06-09-2021,975.35,990.63,948.94,961.0,39436,,0.0,0.0
07-09-2021,985.47,1131.58,966.71,1092.43,999273,,0.0,0.0
08-09-2021,1080.07,1214.96,1057.14,1189.85,1374880,,0.0,0.0
09-09-2021,1207.02,1230.75,1137.14,1149.25,439697,,0.0,0.0
13-09-2021,1156.4,1180.12,1125.63,1156.2,180941,,0.0,0.0
14-09-2021,1169.6,1179.03,1138.28,1149.65,66369,,0.0,0.0
15-09-2021,1160.37,1171.29,1125.23,1141.86,67630,,0.0,0.0
16-09-2021,1153.69,1173.24,1135.84,1149.02,64154,,2.25,0.0
17-09-2021,1158.67,1167.62,1084.12,1124.1,88415,,0.0,0.0
20-09-2021,1122.56,1291.94,1095.01,1259.41,866095,,0.0,0.0
21-09-2021,1253.15,1372.4,1193.48,1317.3,685141,,0.0,0.0
22-09-2021,1319.78,1335.8,1196.46,1219.43,478445,,0.0,0.0
23-09-2021,1243.2,1322.77,1229.93,1275.08,459058,,0.0,0.0
24-09-2021,1302.58,1302.58,1231.27,1245.24,118025,,0.0,0.0
27-09-2021,1248.18,1273.04,1213.37,1227.89,97910,,0.0,0.0
28-09-2021,1240.22,1257.72,1214.36,1219.73,53107,,0.0,0.0
29-09-2021,1218.29,1273.04,1215.26,1238.53,96680,,0.0,0.0
30-09-2021,1239.23,1290.94,1205.81,1231.82,237255,,0.0,0.0
01-10-2021,1231.82,1256.28,1216.0,1242.81,79803,,0.0,0.0
04-10-2021,1248.28,1278.01,1248.18,1256.73,57376,,0.0,0.0
05-10-2021,1263.0,1267.77,1242.21,1245.59,50196,,0.0,0.0
06-10-2021,1255.14,1270.9,1194.47,1202.82,108797,,0.0,0.0
07-10-2021,1214.61,1243.2,1205.41,1221.97,52890,,0.0,0.0
08-10-2021,1241.21,1243.2,1213.81,1238.63,65256,,0.0,0.0
11-10-2021,1243.2,1277.02,1225.3,1249.47,62237,,0.0,0.0
12-10-2021,1261.8,1269.36,1230.22,1236.14,39597,,0.0,0.0
13-10-2021,1242.21,1265.08,1221.57,1225.75,47129,,0.0,0.0
14-10-2021,1236.19,1249.67,1218.34,1243.3,54882,,0.0,0.0
18-10-2021,1265.08,1302.88,1252.15,1280.55,160105,,0.0,0.0
19-10-2021,1291.64,1441.12,1278.96,1361.85,699297,,0.0,0.0
20-10-2021,1372.5,1419.24,1253.25,1284.08,276684,,0.0,0.0
21-10-2021,1295.02,1306.01,1235.35,1241.86,71590,,0.0,0.0
22-10-2021,1252.4,1255.54,1193.48,1201.88,86146,,0.0,0.0
25-10-2021,1212.32,1238.23,1124.85,1197.2,66082,,0.0,0.0
26-10-2021,1173.58,1208.29,1168.61,1180.99,58631,,0.0,0.0
27-10-2021,1204.42,1281.0,1189.4,1204.07,99915,,0.0,0.0
28-10-2021,1211.38,1211.38,1155.83,1173.43,49496,,0.0,0.0
29-10-2021,1193.48,1213.37,1133.45,1180.89,30113,,0.0,0.0
01-11-2021,1302.18,1302.18,1203.42,1228.83,187721,,0.0,0.0
02-11-2021,1233.26,1268.07,1216.35,1230.03,192294,,0.0,0.0
03-11-2021,1239.18,1243.2,1205.41,1219.09,43218,,0.0,0.0
04-11-2021,1225.55,1255.39,1222.42,1251.06,18491,,0.0,0.0
08-11-2021,1280.9,1300.79,1214.21,1229.58,113210,,0.0,0.0
09-11-2021,1241.21,1290.94,1238.23,1274.83,68079,,0.0,0.0
10-11-2021,1282.99,1301.88,1259.71,1263.44,30922,,0.0,0.0
11-11-2021,1265.58,1297.85,1258.12,1280.25,33677,,0.0,0.0
12-11-2021,1289.95,1342.66,1268.07,1322.47,73007,,0.0,0.0
15-11-2021,1328.74,1333.06,1275.03,1283.43,32584,,0.0,0.0
16-11-2021,1268.07,1352.61,1268.07,1324.36,68440,,0.0,0.0
17-11-2021,1327.74,1359.57,1320.03,1345.54,45699,,0.0,0.0
18-11-2021,1352.61,1357.58,1313.82,1341.67,44425,,0.0,0.0
22-11-2021,1341.67,1356.58,1279.85,1285.02,48071,,0.0,0.0
23-11-2021,1285.02,1405.32,1264.79,1390.4,204132,,0.0,0.0
24-11-2021,1402.18,1466.98,1383.34,1430.33,216434,,0.0,0.0
25-11-2021,1430.18,1516.61,1423.62,1507.31,163124,,0.0,0.0
26-11-2021,1513.72,1515.61,1413.27,1425.81,134791,,0.0,0.0
29-11-2021,1397.36,1467.78,1360.56,1388.66,106917,,0.0,0.0
30-11-2021,1382.49,1452.06,1377.47,1385.58,45077,,0.0,0.0
01-12-2021,1392.34,1411.28,1360.91,1378.91,47806,,0.0,0.0
02-12-2021,1372.5,1526.65,1372.5,1502.54,241497,,0.0,0.0
03-12-2021,1513.72,1796.18,1513.72,1754.01,1259876,,0.0,0.0
06-12-2021,1743.47,1749.83,1613.68,1648.84,304260,,0.0,0.0
07-12-2021,1665.64,1785.24,1622.33,1731.58,175502,,0.0,0.0
08-12-2021,1768.33,1833.97,1699.66,1711.94,381160,,0.0,0.0
09-12-2021,1748.44,1748.44,1680.81,1692.7,109402,,0.0,0.0
10-12-2021,1720.54,1760.38,1696.08,1716.71,97066,,0.0,0.0
13-12-2021,1744.41,1756.4,1706.02,1717.51,45076,,0.0,0.0
14-12-2021,1710.55,1724.67,1690.76,1706.37,28451,,0.0,0.0
15-12-2021,1720.59,1751.13,1682.95,1698.02,67183,,0.0,0.0
16-12-2021,1705.68,1719.3,1641.03,1648.09,54155,,0.0,0.0
17-12-2021,1659.93,1659.93,1565.44,1578.07,65026,,0.0,0.0
20-12-2021,1514.72,1669.87,1496.22,1632.03,186209,,0.0,0.0
21-12-2021,1632.08,1694.69,1602.49,1639.29,93017,,0.0,0.0
22-12-2021,1640.48,1655.95,1627.9,1639.14,41988,,0.0,0.0
23-12-2021,1632.08,1657.94,1591.3,1608.46,56465,,0.0,0.0
24-12-2021,1608.21,1618.9,1581.35,1587.37,29140,,0.0,0.0
27-12-2021,1591.2,1597.27,1563.01,1579.56,26838,,0.0,0.0
28-12-2021,1586.33,1658.04,1586.33,1634.86,54629,,0.0,0.0
29-12-2021,1650.97,1730.14,1645.5,1670.27,117655,,0.0,0.0
30-12-2021,1669.77,1684.79,1626.61,1635.11,42542,,0.0,0.0
31-12-2021,1642.02,1658.58,1623.13,1635.71,30702,,0.0,0.0
03-01-2022,1648.24,1673.4,1629.49,1659.33,37138,,0.0,0.0
04-01-2022,1668.88,1919.51,1663.65,1898.07,916902,,0.0,0.0
05-01-2022,1894.64,1911.55,1817.07,1824.82,268912,,0.0,0.0
06-01-2022,1825.02,1863.81,1781.06,1828.5,158520,,0.0,0.0
07-01-2022,1839.94,1887.68,1837.95,1856.15,104246,,0.0,0.0
10-01-2022,1876.74,1899.61,1828.35,1852.17,84850,,0.0,0.0
11-01-2022,1869.78,1889.22,1785.44,1810.95,80009,,0.0,0.0
12-01-2022,1802.84,1844.72,1760.38,1776.74,59521,,0.0,0.0
13-01-2022,1795.19,1808.46,1778.33,1785.09,30225,,0.0,0.0
14-01-2022,1785.09,1836.41,1770.87,1793.74,49797,,0.0,0.0
17-01-2022,1800.16,1805.83,1750.43,1767.69,31385,,0.0,0.0
18-01-2022,1765.3,1785.64,1727.11,1737.55,45607,,0.0,0.0
19-01-2022,1737.5,1743.07,1671.61,1691.3,79942,,0.0,0.0
20-01-2022,1707.56,1721.54,1667.38,1683.05,43474,,0.0,0.0
21-01-2022,1680.81,1708.41,1650.87,1666.09,55488,,0.0,0.0
24-01-2022,1660.92,1673.25,1546.99,1594.23,77850,,0.0,0.0
25-01-2022,1556.64,1681.26,1498.81,1643.17,56479,,0.0,0.0
27-01-2022,1662.16,1704.28,1647.99,1686.03,53639,,0.0,0.0
28-01-2022,1695.98,1708.76,1668.58,1682.45,32335,,0.0,0.0
31-01-2022,1675.84,1677.23,1642.07,1650.87,42455,,0.0,0.0
01-02-2022,1665.89,1712.59,1646.8,1668.08,48761,,0.0,0.0
02-02-2022,1670.87,1758.34,1670.87,1731.19,113808,,0.0,0.0
03-02-2022,1770.32,1790.21,1721.24,1731.93,58813,,0.0,0.0
04-02-2022,1731.53,1739.34,1691.75,1709.6,25300,,0.0,0.0
07-02-2022,1708.46,1709.65,1619.89,1634.02,61786,,0.0,0.0
08-02-2022,1622.13,1642.22,1576.38,1581.65,43207,,0.0,0.0
09-02-2022,1586.28,1591.3,1548.53,1564.99,31701,,0.0,0.0
10-02-2022,1573.4,1591.25,1561.51,1578.62,20527,,0.0,0.0
11-02-2022,1570.41,1575.39,1532.62,1539.43,25906,,0.0,0.0
14-02-2022,1326.45,1521.63,1326.45,1436.5,67984,,0.0,0.0
15-02-2022,1452.06,1556.49,1357.48,1464.34,43088,,0.0,0.0
16-02-2022,1471.85,1495.52,1423.72,1446.19,33284,,0.0,0.0
17-02-2022,1450.07,1542.57,1443.81,1529.79,63499,,0.0,0.0
18-02-2022,1529.79,1561.31,1519.24,1541.97,75974,,0.0,0.0
21-02-2022,1534.86,1582.3,1515.02,1569.57,53357,,0.0,0.0
22-02-2022,1481.9,1549.33,1472.05,1533.02,56055,,0.0,0.0
23-02-2022,1546.55,1576.03,1535.56,1544.21,16377,,0.0,0.0
24-02-2022,1480.9,1536.65,1462.01,1490.2,65266,,0.0,0.0
25-02-2022,1516.71,1588.32,1511.98,1531.78,33872,,0.0,0.0
28-02-2022,1531.78,1560.42,1492.99,1523.57,31201,,0.0,0.0
02-03-2022,1501.84,1632.97,1501.79,1593.34,57793,,0.0,0.0
03-03-2022,1614.18,1636.11,1581.35,1593.74,25721,,0.0,0.0
04-03-2022,1571.56,1633.92,1565.89,1593.34,30471,,0.0,0.0
07-03-2022,1571.41,1610.99,1531.63,1596.72,47547,,0.0,0.0
08-03-2022,1588.32,1649.33,1576.23,1618.75,40736,,0.0,0.0
09-03-2022,1641.03,1664.3,1611.24,1647.44,30700,,0.0,0.0
10-03-2022,1687.77,1725.57,1651.97,1671.91,34978,,0.0,0.0
11-03-2022,1680.07,1727.56,1671.96,1702.19,42307,,0.0,0.0
14-03-2022,1692.35,1715.62,1642.17,1653.91,19000,,0.0,0.0
15-03-2022,1664.1,1664.15,1548.68,1570.66,91084,,0.0,0.0
16-03-2022,1581.26,1601.2,1579.37,1593.29,17544,,0.0,0.0
17-03-2022,1615.42,1623.47,1581.85,1596.62,20315,,0.0,0.0
21-03-2022,1597.52,1692.75,1597.52,1648.14,60654,,0.0,0.0
22-03-2022,1660.92,1677.83,1630.04,1655.8,17148,,0.0,0.0
23-03-2022,1674.1,1689.76,1624.12,1635.96,29482,,0.0,0.0
24-03-2022,1638.04,1648.99,1601.25,1616.46,14880,,0.0,0.0
25-03-2022,1648.99,1648.99,1584.39,1590.55,26519,,0.0,0.0
28-03-2022,1606.22,1650.97,1578.42,1637.85,56607,,0.0,0.0
29-03-2022,1679.82,1679.82,1596.77,1640.33,24919,,0.0,0.0
30-03-2022,1659.93,1667.53,1633.82,1645.9,20082,,0.0,0.0
31-03-2022,1645.9,1761.37,1645.9,1734.92,102672,,0.0,0.0
01-04-2022,1748.44,1785.24,1702.24,1727.51,88301,,0.0,0.0
04-04-2022,1730.59,1759.38,1683.35,1703.79,34734,,0.0,0.0
05-04-2022,1707.66,1725.57,1599.41,1628.8,130998,,0.0,0.0
06-04-2022,1629.09,1675.79,1629.09,1648.04,46284,,0.0,0.0
07-04-2022,1648.04,1692.3,1613.63,1670.77,45687,,0.0,0.0
08-04-2022,1674.84,1690.66,1646.0,1654.75,19687,,0.0,0.0
11-04-2022,1650.97,1660.67,1603.93,1612.63,37173,,0.0,0.0
12-04-2022,1609.2,1611.04,1579.32,1589.71,40102,,0.0,0.0
