Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,57.63,61.64,57.49,58.53,4548152,,0.0,0.0
09-08-2021,58.86,59.05,57.35,57.58,751495,,0.0,0.0
10-08-2021,57.63,57.72,54.04,55.03,925044,,0.0,0.0
11-08-2021,55.41,55.41,51.58,53.61,1408437,,0.0,0.0
12-08-2021,53.14,54.98,53.14,54.7,687754,,0.0,0.0
13-08-2021,53.85,53.85,52.62,52.76,1036783,,0.0,0.0
16-08-2021,52.01,54.94,51.35,53.28,2115759,,0.0,0.0
17-08-2021,53.19,53.28,51.49,52.05,690321,,0.0,0.0
18-08-2021,52.2,52.43,50.83,51.06,600052,,0.0,0.0
20-08-2021,50.21,50.64,48.65,49.13,686095,,0.0,0.0
23-08-2021,49.6,51.96,46.58,47.57,844061,,0.0,0.0
24-08-2021,48.18,49.6,47.52,49.03,1110130,,0.0,0.0
25-08-2021,49.6,50.54,49.31,49.69,404929,,0.0,0.0
26-08-2021,49.98,50.17,49.13,49.5,321565,,0.0,0.0
27-08-2021,49.08,51.58,48.94,50.97,1515462,,0.0,0.0
30-08-2021,52.62,52.9,51.96,52.48,871154,,0.0,0.0
31-08-2021,52.48,52.72,51.35,51.53,343916,,0.0,0.0
01-09-2021,51.53,52.29,50.83,51.35,645357,,0.0,0.0
02-09-2021,51.3,56.21,51.16,55.08,7222880,,0.0,0.0
03-09-2021,55.08,55.08,54.04,54.23,595595,,0.0,0.0
06-09-2021,54.56,54.7,52.72,52.95,568631,,0.0,0.0
07-09-2021,53.28,53.38,51.58,51.87,525039,,0.0,0.0
08-09-2021,52.53,52.67,51.53,51.72,389753,,0.0,0.0
09-09-2021,51.96,52.34,51.3,51.53,393897,,0.0,0.0
13-09-2021,51.72,51.77,51.02,51.11,405070,,0.0,0.0
14-09-2021,51.53,53.09,51.25,52.1,845823,,0.0,0.0
15-09-2021,52.43,52.72,52.05,52.39,436569,,0.0,0.0
16-09-2021,52.39,53.94,52.2,52.62,804530,,0.0,0.0
17-09-2021,52.48,54.61,51.96,53.8,931281,,0.0,0.0
20-09-2021,52.39,54.42,52.15,52.9,702329,,0.0,0.0
21-09-2021,52.48,53.38,51.87,52.76,717302,,0.0,0.0
22-09-2021,53.33,53.52,52.48,52.76,578801,,0.0,0.0
23-09-2021,53.19,53.38,52.34,52.53,503709,,0.0,0.0
24-09-2021,52.76,59.8,52.43,56.54,17653231,,0.0,0.0
27-09-2021,56.68,58.67,55.03,56.73,6085203,,0.0,0.0
28-09-2021,56.97,58.01,55.74,56.68,1786272,,0.0,0.0
29-09-2021,56.54,57.63,56.31,56.78,1676554,,0.0,0.0
30-09-2021,57.16,57.3,55.83,56.26,1023575,,0.0,0.0
01-10-2021,55.79,56.12,54.89,55.17,1050240,,0.0,0.0
04-10-2021,55.36,58.48,55.17,56.73,2263929,,0.0,0.0
05-10-2021,56.64,57.63,56.49,56.68,1778860,,0.0,0.0
06-10-2021,57.01,57.53,55.88,56.26,1158839,,0.0,0.0
07-10-2021,56.45,57.25,56.21,56.4,952630,,0.0,0.0
08-10-2021,56.97,58.01,54.42,56.87,3102774,,0.0,0.0
11-10-2021,56.54,56.64,55.46,55.64,780477,,0.0,0.0
12-10-2021,55.64,57.39,54.94,56.4,2080172,,0.0,0.0
13-10-2021,57.44,57.91,56.31,56.49,1404655,,0.0,0.0
14-10-2021,56.49,57.06,55.79,56.07,1256694,,0.0,0.0
18-10-2021,56.4,56.49,55.5,55.79,953890,,0.0,0.0
19-10-2021,55.83,56.83,54.89,55.03,957085,,0.0,0.0
20-10-2021,55.17,55.17,53.71,54.56,530756,,0.0,0.0
21-10-2021,54.75,55.27,53.8,54.51,671493,,0.0,0.0
22-10-2021,54.89,54.94,53.42,53.8,507553,,0.0,0.0
25-10-2021,54.32,54.7,51.2,52.01,531394,,0.0,0.0
26-10-2021,52.62,53.38,52.24,52.67,431267,,0.0,0.0
27-10-2021,52.9,53.66,52.01,52.81,562271,,0.0,0.0
28-10-2021,52.81,52.9,51.44,51.63,408531,,0.0,0.0
29-10-2021,51.82,52.15,50.17,51.77,473060,,0.0,0.0
01-11-2021,51.77,52.43,51.72,52.2,389564,,0.0,0.0
02-11-2021,52.43,54.7,51.87,53.42,924087,,0.0,0.0
03-11-2021,53.71,53.71,51.96,52.2,416908,,0.0,0.0
04-11-2021,52.53,52.62,52.34,52.48,65902,,0.0,0.0
08-11-2021,52.57,53.85,52.2,53.09,356805,,0.0,0.0
09-11-2021,52.95,53.8,52.95,53.33,299520,,0.0,0.0
10-11-2021,52.62,54.27,52.53,53.09,348615,,0.0,0.0
11-11-2021,53.09,53.52,51.96,52.62,208347,,0.0,0.0
12-11-2021,53.0,53.28,52.2,52.62,179496,,0.0,0.0
15-11-2021,51.58,51.96,51.11,51.25,354176,,0.0,0.0
16-11-2021,51.25,51.96,50.83,50.97,459162,,0.0,0.0
17-11-2021,50.92,51.49,49.17,49.79,467519,,0.0,0.0
18-11-2021,50.02,50.31,47.33,47.95,712906,,0.0,0.0
22-11-2021,48.28,49.36,45.44,46.48,716491,,0.0,0.0
23-11-2021,47.05,48.61,46.34,48.18,369298,,0.0,0.0
24-11-2021,48.89,50.92,48.42,49.65,518032,,0.0,0.0
25-11-2021,49.83,50.35,48.46,49.6,514659,,0.0,0.0
26-11-2021,49.03,49.31,47.38,47.57,382175,,0.0,0.0
29-11-2021,47.24,47.24,44.5,46.01,431228,,0.0,0.0
30-11-2021,45.82,47.61,45.35,46.48,524469,,0.0,0.0
01-12-2021,50.78,50.78,48.42,48.7,3207685,,0.0,0.0
02-12-2021,48.46,48.7,47.43,47.76,571181,,0.0,0.0
03-12-2021,47.76,49.03,47.33,47.8,1034035,,0.0,0.0
06-12-2021,48.04,48.04,47.43,47.66,240422,,0.0,0.0
07-12-2021,48.04,48.09,47.33,47.57,365974,,0.0,0.0
08-12-2021,47.95,48.8,47.8,48.18,482327,,0.0,0.0
09-12-2021,48.32,48.75,47.95,48.65,307924,,0.0,0.0
10-12-2021,48.61,50.07,48.56,49.6,521647,,0.0,0.0
13-12-2021,50.07,50.64,48.56,48.8,420101,,0.0,0.0
14-12-2021,48.8,50.78,48.65,50.31,1521698,,0.0,0.0
15-12-2021,50.31,52.01,50.07,50.59,1342675,,0.0,0.0
16-12-2021,50.92,52.2,49.69,50.59,1525574,,0.0,0.0
17-12-2021,49.98,50.26,48.28,48.56,534455,,0.0,0.0
20-12-2021,47.43,47.8,45.11,46.34,678691,,0.0,0.0
21-12-2021,46.58,47.43,46.39,46.67,351009,,0.0,0.0
22-12-2021,47.14,47.66,46.86,47.24,235008,,0.0,0.0
23-12-2021,47.57,48.18,47.33,47.61,394059,,0.0,0.0
24-12-2021,48.13,48.42,47.05,47.38,323185,,0.0,0.0
27-12-2021,47.33,47.71,46.86,47.38,272472,,0.0,0.0
28-12-2021,47.8,48.51,47.52,48.13,324563,,0.0,0.0
29-12-2021,48.18,48.75,47.9,48.23,292168,,0.0,0.0
30-12-2021,48.18,50.45,47.76,49.31,2111683,,0.0,0.0
31-12-2021,49.55,50.64,49.31,49.69,590875,,0.0,0.0
03-01-2022,49.88,50.64,49.65,49.88,577583,,0.0,0.0
04-01-2022,50.07,52.9,49.41,51.91,2961688,,0.0,0.0
05-01-2022,52.24,56.12,51.77,53.57,6849895,,0.0,0.0
06-01-2022,53.28,53.99,52.29,53.09,1285022,,0.0,0.0
07-01-2022,53.47,53.99,51.96,52.24,958843,,0.0,0.0
10-01-2022,52.24,53.76,52.24,52.81,708017,,0.0,0.0
11-01-2022,52.9,54.42,52.48,53.33,1427489,,0.0,0.0
12-01-2022,53.8,54.42,53.0,53.28,1333165,,0.0,0.0
13-01-2022,53.61,54.18,52.95,53.61,1268054,,0.0,0.0
14-01-2022,53.76,54.79,53.38,54.37,1350712,,0.0,0.0
17-01-2022,54.75,56.87,54.27,56.07,4483095,,0.0,0.0
18-01-2022,56.54,58.38,54.79,55.46,6033603,,0.0,0.0
19-01-2022,55.69,56.59,54.79,55.93,2045893,,0.0,0.0
20-01-2022,56.54,57.39,55.46,55.6,1351339,,0.0,0.0
21-01-2022,55.31,55.88,53.38,53.8,1015085,,0.0,0.0
24-01-2022,54.04,54.51,49.88,50.97,1275586,,0.0,0.0
25-01-2022,50.45,53.19,49.36,52.76,1409277,,0.0,0.0
27-01-2022,52.29,53.85,51.82,53.19,1083651,,0.0,0.0
28-01-2022,53.94,55.08,53.57,53.99,823178,,0.0,0.0
31-01-2022,55.64,55.64,53.99,54.46,1038968,,0.0,0.0
01-02-2022,54.84,55.98,52.01,52.76,2350873,,0.0,0.0
02-02-2022,53.85,53.85,52.53,52.81,652725,,0.0,0.0
03-02-2022,53.09,53.09,51.87,52.15,516107,,0.0,0.0
04-02-2022,53.33,53.33,51.91,52.05,843432,,0.0,0.0
07-02-2022,51.96,53.05,51.68,51.91,757969,,0.0,0.0
08-02-2022,52.1,52.24,50.35,50.87,486062,,0.0,0.0
09-02-2022,51.16,51.49,50.64,50.87,343310,,0.0,0.0
10-02-2022,50.92,51.72,50.54,51.02,394977,,0.0,0.0
11-02-2022,50.54,52.15,50.31,50.73,1207480,,0.0,0.0
14-02-2022,50.35,50.35,47.24,47.57,623575,,0.0,0.0
15-02-2022,46.95,49.13,46.34,47.43,821813,,0.0,0.0
16-02-2022,48.09,48.8,47.9,48.18,435107,,0.0,0.0
17-02-2022,48.65,48.75,47.0,47.24,279734,,0.0,0.0
18-02-2022,47.24,47.24,46.29,46.81,257427,,0.0,0.0
21-02-2022,45.91,46.53,45.25,45.54,280805,,0.0,0.0
22-02-2022,44.4,44.59,42.99,43.41,584568,,0.0,0.0
23-02-2022,43.79,44.97,43.69,44.69,334759,,0.0,0.0
24-02-2022,42.51,43.41,38.78,39.3,766941,,0.0,0.0
25-02-2022,40.62,42.51,40.62,42.42,677222,,0.0,0.0
28-02-2022,42.42,43.08,41.1,42.75,434533,,0.0,0.0
02-03-2022,42.89,43.93,42.75,43.03,316909,,0.0,0.0
03-03-2022,43.22,44.02,42.89,42.99,292830,,0.0,0.0
04-03-2022,42.75,42.89,41.57,41.66,277119,,0.0,0.0
07-03-2022,41.38,41.38,40.15,40.53,376869,,0.0,0.0
08-03-2022,40.43,43.32,40.34,41.8,975943,,0.0,0.0
09-03-2022,42.37,44.4,42.18,43.13,754682,,0.0,0.0
10-03-2022,43.6,44.17,42.84,43.46,486963,,0.0,0.0
11-03-2022,43.65,47.71,43.36,46.1,3450557,,0.0,0.0
14-03-2022,46.53,49.6,45.91,48.84,3818779,,0.0,0.0
15-03-2022,49.17,49.31,47.71,48.37,1210796,,0.0,0.0
16-03-2022,48.94,49.13,47.52,47.76,609705,,0.0,0.0
17-03-2022,48.65,49.88,48.09,48.8,1095021,,0.0,0.0
21-03-2022,48.98,50.68,48.46,49.03,1685405,,0.0,0.0
22-03-2022,49.08,50.54,48.7,50.17,1566021,,0.0,0.0
23-03-2022,50.4,50.92,48.84,49.13,944006,,0.0,0.0
24-03-2022,51.39,51.39,49.5,49.69,1373122,,0.0,0.0
25-03-2022,50.02,50.02,47.71,48.37,1064744,,0.0,0.0
28-03-2022,48.46,48.8,47.0,47.57,1443700,,0.0,0.0
29-03-2022,47.66,52.76,47.66,51.3,11671479,,0.0,0.0
30-03-2022,51.72,52.81,50.21,50.64,4495880,,0.0,0.0
31-03-2022,50.64,51.68,49.79,50.12,1670479,,0.0,0.0
01-04-2022,49.98,56.02,49.55,54.65,11133413,,0.0,0.0
04-04-2022,54.94,57.53,54.32,56.64,8642936,,0.0,0.0
05-04-2022,56.64,57.82,54.84,55.27,4934491,,0.0,0.0
06-04-2022,54.79,57.49,54.65,57.01,4458195,,0.0,0.0
07-04-2022,56.68,58.67,55.74,56.12,8091420,,0.0,0.0
08-04-2022,56.54,58.01,56.49,57.25,2414850,,0.0,0.0
11-04-2022,57.53,58.15,56.83,56.97,2552917,,0.0,0.0
12-04-2022,56.78,57.35,54.79,55.69,2179452,,0.0,0.0
13-04-2022,56.68,59.28,56.68,57.39,6388793,,0.0,0.0
18-04-2022,57.06,60.08,55.5,58.67,7707715,,0.0,0.0
19-04-2022,59.05,60.08,54.79,56.59,4091753,,0.0,0.0
20-04-2022,56.59,57.58,56.31,56.73,2000989,,0.0,0.0
21-04-2022,57.25,61.69,56.83,60.51,6711495,,0.0,0.0
22-04-2022,60.18,61.22,58.48,58.76,4292525,,0.0,0.0
25-04-2022,57.63,58.29,56.02,56.54,2348007,,0.0,0.0
26-04-2022,57.01,57.72,55.83,56.31,1457078,,0.0,0.0
27-04-2022,55.74,58.01,55.27,57.49,4381695,,0.0,0.0
28-04-2022,57.86,58.38,56.49,56.87,1898842,,0.0,0.0
29-04-2022,57.2,57.49,54.98,55.64,1905356,,0.0,0.0
02-05-2022,55.27,55.6,53.61,54.04,1199518,,0.0,0.0
04-05-2022,54.23,54.56,51.25,51.77,1661974,,0.0,0.0
05-05-2022,52.24,53.33,51.25,51.77,979342,,0.0,0.0
06-05-2022,50.17,51.35,49.79,50.35,1463242,,0.0,0.0
09-05-2022,49.83,50.5,49.13,49.5,1144754,,0.0,0.0
10-05-2022,49.36,50.5,47.0,47.66,1116405,,0.0,0.0
11-05-2022,47.43,48.13,45.06,46.1,1286767,,0.0,0.0
