Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,1738.73,1764.61,1707.01,1716.33,27939,,0.0,0.0
09-08-2021,1721.88,1743.69,1675.29,1700.37,36950,,0.0,0.0
10-08-2021,1675.88,1723.86,1537.5,1592.47,50444,,0.0,0.0
11-08-2021,1609.12,1633.66,1469.1,1572.15,93856,,0.0,0.0
12-08-2021,1605.9,1685.2,1591.87,1659.33,55096,,0.0,0.0
13-08-2021,1675.29,1684.21,1587.06,1598.86,30760,,0.0,0.0
16-08-2021,1615.07,1643.12,1523.52,1574.23,32441,,0.0,0.0
17-08-2021,1576.21,1677.4,1565.89,1634.57,52063,,2.0,0.0
18-08-2021,1645.64,1646.53,1589.07,1593.48,18783,,0.0,0.0
20-08-2021,1544.5,1593.58,1508.67,1523.41,25365,,0.0,0.0
23-08-2021,1526.54,1619.93,1510.26,1538.15,48226,,0.0,0.0
24-08-2021,1526.54,1558.89,1478.7,1534.38,38083,,0.0,0.0
25-08-2021,1543.66,1573.04,1523.56,1561.18,15947,,0.0,0.0
26-08-2021,1568.22,1638.4,1549.56,1585.34,23429,,0.0,0.0
27-08-2021,1593.28,1846.14,1587.88,1718.44,79089,,0.0,0.0
30-08-2021,1746.88,1746.88,1662.51,1675.52,47816,,0.0,0.0
31-08-2021,1677.4,1727.03,1647.63,1665.54,26322,,0.0,0.0
01-09-2021,1675.42,1685.34,1618.94,1630.21,18624,,0.0,0.0
02-09-2021,1639.69,1665.49,1618.84,1625.94,17065,,0.0,0.0
03-09-2021,1635.32,1648.42,1606.19,1617.95,13912,,0.0,0.0
06-09-2021,1621.08,1637.5,1599.44,1620.48,15984,,0.0,0.0
07-09-2021,1629.02,1629.02,1599.54,1618.35,10730,,0.0,0.0
08-09-2021,1624.05,1682.37,1618.84,1656.41,23556,,0.0,0.0
09-09-2021,1656.41,1791.94,1631.7,1780.97,89637,,0.0,0.0
13-09-2021,1810.4,1895.76,1793.58,1875.27,133228,,0.0,0.0
14-09-2021,1910.06,1910.06,1822.31,1842.66,111606,,0.0,0.0
15-09-2021,1859.29,1910.06,1777.65,1799.68,49768,,0.0,0.0
16-09-2021,1814.62,2028.76,1814.62,1916.31,221256,,0.0,0.0
17-09-2021,1924.55,1924.74,1810.4,1886.48,87757,,0.0,0.0
20-09-2021,1879.53,1880.92,1787.58,1803.21,37525,,0.0,0.0
21-09-2021,1794.52,1885.84,1722.17,1864.1,55480,,0.0,0.0
22-09-2021,1875.91,1885.79,1813.38,1825.84,27923,,0.0,0.0
23-09-2021,1838.44,1884.84,1807.53,1831.35,27153,,0.0,0.0
24-09-2021,1836.21,1875.71,1777.65,1805.94,19476,,0.0,0.0
27-09-2021,1818.34,1834.22,1777.65,1795.86,23434,,0.0,0.0
28-09-2021,1795.86,1813.33,1747.97,1795.91,16737,,0.0,0.0
29-09-2021,1796.51,1800.73,1751.89,1773.73,12747,,0.0,0.0
30-09-2021,1776.66,1881.92,1723.06,1852.59,34712,,0.0,0.0
01-10-2021,1847.13,1866.98,1806.43,1816.56,18685,,0.0,0.0
04-10-2021,1826.28,1853.03,1809.41,1831.4,18513,,0.0,0.0
05-10-2021,1820.03,1929.16,1820.03,1877.1,52297,,0.0,0.0
06-10-2021,1908.67,1921.67,1865.99,1877.35,30744,,0.0,0.0
07-10-2021,1894.77,1975.17,1865.99,1885.19,49852,,0.0,0.0
08-10-2021,1901.97,1912.88,1836.21,1870.11,27787,,0.0,0.0
11-10-2021,1884.1,1911.59,1855.02,1877.55,20012,,0.0,0.0
12-10-2021,1892.69,1905.69,1862.12,1876.85,15801,,0.0,0.0
13-10-2021,1875.91,2058.54,1875.91,1913.73,89483,,0.0,0.0
14-10-2021,1930.5,1978.34,1916.66,1950.65,29998,,0.0,0.0
18-10-2021,1965.24,1967.13,1869.46,1890.5,23380,,0.0,0.0
19-10-2021,1896.56,1922.76,1816.41,1830.65,28787,,0.0,0.0
20-10-2021,1845.39,1859.93,1744.85,1822.51,33536,,0.0,0.0
21-10-2021,1826.28,1833.48,1768.22,1804.4,19069,,0.0,0.0
22-10-2021,1820.58,1822.56,1688.42,1703.66,30494,,0.0,0.0
25-10-2021,1661.27,1696.86,1538.55,1568.67,74626,,0.0,0.0
26-10-2021,1580.38,1637.7,1573.23,1612.44,20755,,0.0,0.0
27-10-2021,1607.92,1617.75,1578.15,1591.8,17537,,0.0,0.0
28-10-2021,1607.92,1645.64,1570.9,1588.17,17931,,0.0,0.0
29-10-2021,1568.27,1637.35,1556.31,1599.74,16599,,0.0,0.0
01-11-2021,1593.04,1627.03,1561.32,1595.22,31559,,0.0,0.0
02-11-2021,1588.07,1716.11,1564.0,1700.28,46176,,0.0,0.0
03-11-2021,1707.08,1717.1,1667.48,1685.0,18660,,0.0,0.0
04-11-2021,1712.14,1712.14,1672.44,1685.34,4641,,0.0,0.0
08-11-2021,1687.33,1753.23,1658.2,1722.32,27036,,0.0,0.0
09-11-2021,1722.32,1733.93,1681.97,1704.7,14610,,0.0,0.0
10-11-2021,1707.18,1734.97,1682.37,1717.6,15146,,0.0,0.0
11-11-2021,1734.97,1734.97,1695.27,1725.79,12711,,0.0,0.0
12-11-2021,1727.03,1736.96,1652.59,1665.19,15418,,0.0,0.0
15-11-2021,1667.48,1683.31,1632.69,1645.54,19927,,0.0,0.0
16-11-2021,1655.57,1662.51,1632.94,1646.29,11559,,0.0,0.0
17-11-2021,1659.78,1665.49,1631.05,1637.65,18699,,0.0,0.0
18-11-2021,1627.78,1652.54,1588.02,1620.28,16381,,0.0,0.0
22-11-2021,1596.01,1642.66,1533.58,1564.35,16981,,0.0,0.0
23-11-2021,1503.81,1588.07,1503.81,1579.29,31735,,0.0,0.0
24-11-2021,1583.11,1650.8,1583.11,1630.75,37971,,0.0,0.0
25-11-2021,1588.12,1647.63,1588.12,1632.24,22508,,0.0,0.0
26-11-2021,1641.57,1641.62,1611.6,1619.49,15139,,0.0,0.0
29-11-2021,1588.07,1648.62,1583.11,1617.9,33099,,0.0,0.0
30-11-2021,1634.72,1642.66,1591.05,1633.68,17012,,0.0,0.0
01-12-2021,1646.88,1655.57,1619.83,1647.68,33128,,0.0,0.0
02-12-2021,1642.66,1677.1,1627.78,1640.93,19069,,0.0,0.0
03-12-2021,1655.81,1672.44,1638.79,1664.0,12228,,0.0,0.0
06-12-2021,1697.25,1935.46,1684.35,1896.36,253007,,0.0,0.0
07-12-2021,1865.99,1880.78,1758.84,1766.38,67786,,0.0,0.0
08-12-2021,1801.62,1801.72,1728.62,1738.0,28501,,0.0,0.0
09-12-2021,1736.96,1960.23,1727.03,1944.0,232427,,0.0,0.0
10-12-2021,1935.41,1944.0,1846.14,1871.05,41318,,0.0,0.0
13-12-2021,1888.81,1935.46,1828.17,1858.15,33458,,0.0,0.0
14-12-2021,1858.15,1930.5,1848.67,1884.25,25173,,0.0,0.0
15-12-2021,1865.99,1904.65,1841.17,1849.51,10168,,0.0,0.0
16-12-2021,1866.98,1894.72,1846.14,1864.1,12713,,0.0,0.0
17-12-2021,1865.94,1885.84,1767.63,1793.53,16350,,0.0,0.0
20-12-2021,1799.88,1799.88,1672.44,1689.76,23734,,0.0,0.0
21-12-2021,1703.46,1775.66,1702.22,1749.76,17157,,0.0,0.0
22-12-2021,1737.95,1770.7,1722.07,1727.92,13085,,0.0,0.0
23-12-2021,1727.92,1808.42,1719.09,1781.42,21072,,0.0,0.0
24-12-2021,1785.39,1836.21,1736.96,1741.37,15200,,0.0,0.0
27-12-2021,1756.71,1767.72,1729.56,1757.1,16080,,0.0,0.0
28-12-2021,1758.79,1803.85,1757.8,1768.37,6622,,0.0,0.0
29-12-2021,1779.88,1806.43,1763.85,1771.45,48563,,0.0,0.0
30-12-2021,1771.69,1804.7,1771.45,1781.42,6428,,0.0,0.0
31-12-2021,1781.42,1861.02,1781.42,1805.69,22094,,0.0,0.0
03-01-2022,1817.6,1887.82,1810.45,1882.61,31206,,0.0,0.0
04-01-2022,1898.99,2044.74,1871.64,1923.75,91028,,0.0,0.0
05-01-2022,1930.5,1942.41,1897.95,1914.87,16316,,0.0,0.0
06-01-2022,1925.54,1925.54,1884.35,1894.67,15346,,0.0,0.0
07-01-2022,1896.26,1930.65,1877.4,1885.54,22792,,0.0,0.0
10-01-2022,1888.81,2104.0,1888.81,2075.07,250520,,0.0,0.0
11-01-2022,2094.92,2157.79,2081.27,2135.66,99110,,0.0,0.0
12-01-2022,2157.05,2208.41,2137.35,2170.85,60783,,0.0,0.0
13-01-2022,2203.45,2212.39,2142.16,2176.11,31401,,0.0,0.0
14-01-2022,2182.61,2208.41,2150.85,2186.88,18931,,0.0,0.0
17-01-2022,2202.71,2232.24,2173.38,2211.14,24500,,0.0,0.0
18-01-2022,2211.14,2230.99,2183.6,2190.45,26163,,0.0,0.0
19-01-2022,2164.79,2207.52,2134.02,2194.27,26304,,0.0,0.0
20-01-2022,2210.65,2210.65,2143.9,2157.84,24873,,0.0,0.0
21-01-2022,2170.95,2202.46,2156.21,2191.54,18808,,0.0,0.0
24-01-2022,2185.59,2206.68,1986.08,2038.34,48644,,0.0,0.0
25-01-2022,1992.04,2119.09,1985.09,2090.0,19959,,0.0,0.0
27-01-2022,2059.53,2163.45,1975.17,2008.42,50664,,0.0,0.0
28-01-2022,2009.91,2039.68,1853.18,1869.96,66761,,0.0,0.0
31-01-2022,1890.8,2031.74,1881.87,2012.93,48125,,0.0,0.0
01-02-2022,2064.45,2064.45,1935.46,1979.88,23468,,0.0,0.0
02-02-2022,2003.21,2038.94,1950.65,1966.53,18947,,0.0,0.0
03-02-2022,1940.23,2032.24,1940.23,1999.14,14246,,0.0,0.0
04-02-2022,1987.08,2026.93,1949.11,1999.43,16516,,0.0,0.0
07-02-2022,1986.08,2014.12,1935.46,1936.71,15581,,0.0,0.0
08-02-2022,1937.45,1984.0,1919.43,1961.72,20162,,0.0,0.0
09-02-2022,1979.38,2013.88,1958.59,1980.13,12658,,0.0,0.0
10-02-2022,1965.24,2122.86,1965.24,1979.83,12671,,0.0,0.0
11-02-2022,1979.83,2018.89,1836.21,1860.92,44903,,0.0,0.0
14-02-2022,1836.21,1915.76,1798.54,1829.06,28579,,0.0,0.0
15-02-2022,1792.89,1877.35,1792.44,1841.47,24083,,0.0,0.0
