Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,239.89,245.23,239.89,241.45,1886559,,0.0,0.0
09-08-2021,242.76,243.53,234.06,235.72,2106606,,0.0,0.0
10-08-2021,234.45,236.44,214.88,219.01,4933852,,0.0,0.0
11-08-2021,218.52,228.48,209.78,227.02,5764682,,0.0,0.0
12-08-2021,227.27,230.91,222.85,228.53,3009944,,0.0,0.0
13-08-2021,228.14,229.94,223.38,224.69,1804861,,0.0,0.0
16-08-2021,224.3,224.55,217.36,218.86,1458972,,0.0,0.0
17-08-2021,216.0,224.11,212.31,214.35,2648756,,0.0,0.0
18-08-2021,215.47,217.41,206.58,208.33,2546991,,0.0,0.0
20-08-2021,206.19,211.53,200.07,200.7,2804284,,0.0,0.0
23-08-2021,203.52,204.93,186.09,189.49,4594932,,0.0,0.0
24-08-2021,189.39,206.38,189.1,204.25,5072533,,0.0,0.0
25-08-2021,204.93,210.76,203.33,205.41,3329507,,0.0,0.0
26-08-2021,205.02,208.81,200.75,205.02,2152069,,0.0,0.0
27-08-2021,205.41,208.62,203.52,204.83,1590005,,0.0,0.0
30-08-2021,205.9,213.57,205.9,211.68,2824845,,0.0,0.0
31-08-2021,212.5,220.95,211.53,219.16,4411724,,0.0,0.0
01-09-2021,219.5,221.73,212.07,214.49,2436935,,0.0,0.0
02-09-2021,214.49,220.56,213.91,216.05,2345094,,0.0,0.0
03-09-2021,217.17,219.5,213.23,215.51,2117413,,0.0,0.0
06-09-2021,215.47,230.37,212.45,228.67,8023478,,0.0,0.0
07-09-2021,229.84,231.64,223.77,225.08,2791183,,0.0,0.0
08-09-2021,225.32,229.11,221.44,222.65,1728648,,0.0,0.0
09-09-2021,224.16,242.13,224.11,236.4,13648601,,0.0,0.0
13-09-2021,236.98,242.71,232.22,236.54,4030128,,0.0,0.0
14-09-2021,238.05,240.43,233.38,235.67,1843614,,0.0,0.0
15-09-2021,236.44,241.25,232.8,234.02,1938570,,0.0,0.0
16-09-2021,234.79,235.52,229.4,231.05,1818782,,0.0,0.0
17-09-2021,233.09,235.04,221.1,230.86,3432245,,0.0,0.0
20-09-2021,224.64,233.09,216.58,219.35,2294801,,0.0,0.0
21-09-2021,216.58,219.45,210.8,216.58,2739103,,0.0,0.0
22-09-2021,217.55,226.25,217.55,223.14,2291176,,0.0,0.0
23-09-2021,225.37,227.36,220.56,221.39,1153375,,0.0,0.0
24-09-2021,222.65,227.27,217.21,219.88,1578803,,0.0,0.0
27-09-2021,222.41,228.97,218.09,225.37,2892646,,0.0,0.0
28-09-2021,226.49,234.94,223.67,227.95,3385311,,0.0,0.0
29-09-2021,226.97,233.09,225.76,229.26,1932387,,0.0,0.0
30-09-2021,230.42,236.01,229.89,233.97,2561283,,0.0,0.0
01-10-2021,235.08,241.35,233.97,236.4,4845886,,0.0,0.0
04-10-2021,238.53,247.47,237.32,246.25,5936138,,0.0,0.0
05-10-2021,246.69,252.03,244.7,245.77,3879610,,0.0,0.0
06-10-2021,246.69,248.2,234.06,235.67,2735590,,0.0,0.0
07-10-2021,237.85,240.67,232.22,234.02,1585160,,0.0,0.0
08-10-2021,235.81,238.39,230.23,231.49,1742832,,0.0,0.0
11-10-2021,232.7,239.21,231.83,232.85,1494392,,0.0,0.0
12-10-2021,233.68,237.85,231.15,234.99,1244099,,0.0,0.0
13-10-2021,236.49,237.85,231.64,233.09,1246185,,0.0,0.0
14-10-2021,234.79,236.98,231.73,232.8,1105456,,0.0,0.0
18-10-2021,235.13,248.0,235.04,244.75,4867180,,0.0,0.0
19-10-2021,246.35,247.08,235.04,236.1,3069411,,0.0,0.0
20-10-2021,235.04,236.44,224.98,231.49,1954067,,0.0,0.0
21-10-2021,234.06,234.65,221.29,222.7,2465799,,0.0,0.0
22-10-2021,224.35,227.46,218.28,223.19,1735497,,0.0,0.0
25-10-2021,224.35,225.18,214.4,215.71,1365556,,0.0,0.0
26-10-2021,215.81,224.55,215.81,223.33,1170766,,0.0,0.0
27-10-2021,224.4,232.51,222.41,231.05,2059271,,0.0,0.0
28-10-2021,232.61,232.61,222.9,225.66,1221306,,0.0,0.0
29-10-2021,226.29,228.58,218.62,221.05,1257411,,0.0,0.0
01-11-2021,221.92,229.89,212.94,214.2,2658883,,0.0,0.0
02-11-2021,216.05,219.16,212.31,213.96,1224173,,0.0,0.0
03-11-2021,215.22,218.62,207.94,208.86,1752479,,0.0,0.0
04-11-2021,209.93,212.21,209.3,210.56,489133,,0.0,0.0
08-11-2021,211.73,215.61,207.84,212.16,1658756,,0.0,0.0
09-11-2021,212.7,217.36,212.36,215.32,1224013,,0.0,0.0
10-11-2021,214.64,217.94,213.23,213.96,1591714,,0.0,0.0
11-11-2021,214.84,216.4,211.23,212.11,848811,,1.0,0.0
12-11-2021,212.69,214.25,203.37,205.13,1463821,,0.0,0.0
15-11-2021,205.47,207.23,196.89,197.76,2310572,,0.0,0.0
16-11-2021,198.69,200.98,196.98,197.81,1692113,,0.0,0.0
17-11-2021,197.81,206.84,197.18,202.64,1930657,,0.0,0.0
18-11-2021,203.62,204.59,197.13,197.96,1113732,,0.0,0.0
22-11-2021,198.06,199.03,187.42,190.89,1669403,,0.0,0.0
23-11-2021,190.64,204.15,189.86,202.94,1694189,,0.0,0.0
24-11-2021,203.96,208.74,201.96,202.84,1580332,,0.0,0.0
25-11-2021,203.62,207.81,200.64,205.81,1125560,,0.0,0.0
26-11-2021,203.72,204.5,192.84,194.01,1288478,,0.0,0.0
29-11-2021,193.18,195.86,187.32,188.59,1542479,,0.0,0.0
30-11-2021,189.28,196.59,189.28,193.42,1276276,,0.0,0.0
01-12-2021,200.98,204.25,196.69,203.23,1905601,,0.0,0.0
02-12-2021,203.37,209.67,203.28,207.81,2205009,,0.0,0.0
03-12-2021,208.69,208.79,204.11,204.98,920813,,0.0,0.0
06-12-2021,204.98,214.01,204.3,205.86,2590488,,0.0,0.0
07-12-2021,213.62,215.62,210.74,213.47,3109206,,0.0,0.0
08-12-2021,214.64,218.16,213.18,215.86,1412464,,0.0,0.0
09-12-2021,216.4,217.08,213.67,215.18,1068518,,0.0,0.0
10-12-2021,215.03,216.59,213.67,214.84,1195572,,0.0,0.0
13-12-2021,216.74,216.74,211.91,212.5,1060448,,0.0,0.0
14-12-2021,212.4,213.18,210.89,212.5,969865,,0.0,0.0
15-12-2021,212.64,213.03,211.23,212.06,705864,,0.0,0.0
16-12-2021,212.64,213.13,208.3,212.11,924836,,0.0,0.0
17-12-2021,211.23,212.35,206.45,208.98,1162690,,0.0,0.0
20-12-2021,206.84,206.84,193.76,196.01,1300757,,0.0,0.0
21-12-2021,198.98,199.42,194.64,195.86,1060224,,0.0,0.0
22-12-2021,196.89,198.25,195.33,196.2,868061,,0.0,0.0
23-12-2021,198.01,200.64,196.11,196.89,1118483,,0.0,0.0
24-12-2021,197.96,198.01,195.72,196.64,853168,,0.0,0.0
27-12-2021,196.59,197.81,194.15,196.5,782994,,0.0,0.0
28-12-2021,198.06,203.23,196.11,201.91,1851608,,0.0,0.0
29-12-2021,203.47,228.11,203.47,225.38,17228183,,0.0,0.0
30-12-2021,224.4,232.2,222.01,227.28,6939566,,0.0,0.0
31-12-2021,225.33,238.84,224.4,233.96,6473107,,0.0,0.0
03-01-2022,234.79,234.79,229.33,229.96,1957737,,0.0,0.0
04-01-2022,230.16,241.96,226.11,237.08,6059472,,0.0,0.0
05-01-2022,238.01,238.94,232.4,234.55,1662064,,0.0,0.0
06-01-2022,232.2,242.94,230.25,239.03,3736549,,0.0,0.0
07-01-2022,240.4,243.62,234.64,238.84,3141190,,0.0,0.0
10-01-2022,237.13,241.77,234.69,235.77,2007976,,0.0,0.0
11-01-2022,235.52,237.81,230.3,231.91,2789423,,0.0,0.0
12-01-2022,233.91,238.89,231.23,235.23,3398837,,0.0,0.0
13-01-2022,236.11,248.64,234.35,247.23,8010959,,0.0,0.0
14-01-2022,248.45,249.57,244.21,245.28,3937800,,0.0,0.0
17-01-2022,244.3,247.08,232.01,242.35,6198816,,0.0,0.0
18-01-2022,242.79,242.79,223.72,226.99,3719788,,0.0,0.0
19-01-2022,226.74,229.28,218.01,223.77,3425777,,0.0,0.0
20-01-2022,224.79,230.11,223.81,227.18,1864211,,0.0,0.0
21-01-2022,222.55,229.13,220.69,223.62,2181862,,0.0,0.0
24-01-2022,223.57,225.08,206.84,210.01,2236486,,0.0,0.0
25-01-2022,209.28,215.37,204.84,213.42,1658589,,0.0,0.0
27-01-2022,210.5,211.18,204.74,209.81,1677595,,0.0,0.0
28-01-2022,211.72,217.33,211.72,212.11,1456207,,0.0,0.0
31-01-2022,213.96,216.11,208.35,209.81,1536145,,0.0,0.0
01-02-2022,212.2,223.72,207.81,222.3,2990055,,0.0,0.0
02-02-2022,224.01,226.64,220.89,221.72,2521454,,0.0,0.0
03-02-2022,222.11,225.18,220.55,221.72,1189058,,0.0,0.0
04-02-2022,222.84,228.01,220.01,222.5,3042638,,0.0,0.0
07-02-2022,222.35,226.64,219.57,221.18,1393500,,0.0,0.0
08-02-2022,221.91,225.18,210.84,220.69,2221002,,0.0,0.0
09-02-2022,222.79,234.16,222.79,232.79,9868431,,0.0,0.0
10-02-2022,233.96,235.81,231.38,233.23,2471301,,0.0,0.0
11-02-2022,231.23,232.59,225.67,226.55,1917420,,0.0,0.0
14-02-2022,221.42,223.96,207.81,211.08,2981883,,0.0,0.0
15-02-2022,212.98,225.62,206.2,223.23,3053461,,0.0,0.0
16-02-2022,224.4,230.25,220.64,224.64,2737684,,0.0,0.0
17-02-2022,227.13,229.23,223.33,224.2,1475899,,0.0,0.0
18-02-2022,223.62,227.81,221.28,222.5,1186732,,0.0,0.0
21-02-2022,221.47,221.47,214.64,215.62,1517775,,0.0,0.0
22-02-2022,207.37,209.42,197.42,203.96,4120099,,0.0,0.0
23-02-2022,204.98,212.01,204.98,207.37,2260840,,0.0,0.0
24-02-2022,196.11,198.54,176.79,178.06,8327736,,0.0,0.0
25-02-2022,188.3,199.37,185.42,194.35,6896755,,0.0,0.0
28-02-2022,178.2,181.81,167.18,180.25,20153291,,0.0,0.0
02-03-2022,176.2,188.93,174.79,178.64,5266277,,0.0,0.0
03-03-2022,181.86,184.4,178.15,179.52,1898161,,0.0,0.0
04-03-2022,178.06,178.5,166.88,169.71,3304187,,0.0,0.0
07-03-2022,165.86,168.35,159.37,164.84,3190156,,0.0,0.0
08-03-2022,164.59,168.79,160.54,165.71,2210889,,0.0,0.0
09-03-2022,166.59,173.08,166.3,171.03,2153117,,0.0,0.0
10-03-2022,177.96,177.96,170.93,172.64,1916338,,0.0,0.0
11-03-2022,171.23,178.06,170.84,176.45,1948964,,0.0,0.0
14-03-2022,176.3,181.67,172.98,180.15,2523737,,0.0,0.0
15-03-2022,180.15,181.96,172.93,174.1,1858040,,0.0,0.0
16-03-2022,175.81,179.52,174.93,178.79,1546042,,0.0,0.0
17-03-2022,180.5,183.32,179.96,180.35,1285635,,0.0,0.0
21-03-2022,180.93,182.4,178.45,179.23,1127275,,0.0,0.0
22-03-2022,179.81,193.18,176.69,189.62,8135860,,0.0,0.0
23-03-2022,190.25,192.98,185.86,187.32,2971044,,0.0,0.0
24-03-2022,186.98,195.52,185.37,193.23,3838797,,0.0,0.0
25-03-2022,195.08,204.4,194.79,198.74,7992487,,0.0,0.0
28-03-2022,199.67,200.84,193.23,195.62,2116126,,0.0,0.0
29-03-2022,196.84,199.72,193.33,195.23,2093689,,0.0,0.0
30-03-2022,197.08,198.98,191.47,192.01,1540530,,0.0,0.0
31-03-2022,192.98,193.86,188.3,189.28,1394138,,0.0,0.0
01-04-2022,189.23,198.69,188.5,197.67,2043842,,0.0,0.0
04-04-2022,198.2,201.13,197.33,200.2,1685497,,0.0,0.0
05-04-2022,201.33,203.72,199.37,199.86,1659311,,0.0,0.0
06-04-2022,190.25,196.93,188.11,191.18,5329669,,0.0,0.0
07-04-2022,191.18,194.15,183.62,187.76,2567226,,0.0,0.0
08-04-2022,188.79,191.23,188.4,190.11,1682155,,0.0,0.0
11-04-2022,190.01,192.2,186.64,187.03,1540375,,0.0,0.0
12-04-2022,187.28,187.91,180.69,182.15,1760984,,0.0,0.0
13-04-2022,183.08,185.08,180.5,181.13,1118965,,0.0,0.0
18-04-2022,180.5,180.64,173.67,175.57,1616010,,0.0,0.0
19-04-2022,176.06,182.35,175.62,177.37,1793959,,0.0,0.0
20-04-2022,178.54,179.08,173.86,175.03,1114929,,0.0,0.0
21-04-2022,176.89,179.81,176.5,178.5,1074520,,0.0,0.0
22-04-2022,177.08,177.81,173.32,174.35,1388585,,0.0,0.0
25-04-2022,172.69,172.69,164.25,164.98,2399941,,0.0,0.0
26-04-2022,167.91,168.74,165.03,165.81,1191781,,0.0,0.0
27-04-2022,163.91,166.79,161.62,164.98,1493977,,0.0,0.0
28-04-2022,166.84,169.52,163.28,168.84,1537065,,0.0,0.0
29-04-2022,169.76,172.15,166.45,167.32,1541890,,0.0,0.0
02-05-2022,165.67,166.54,161.13,163.32,1188182,,0.0,0.0
04-05-2022,163.42,174.4,163.42,171.42,6237157,,0.0,0.0
05-05-2022,179.32,180.64,168.79,170.1,10597948,,0.0,0.0
06-05-2022,167.81,169.13,163.08,165.76,2539888,,0.0,0.0
09-05-2022,163.81,164.74,156.74,159.76,2048499,,0.0,0.0
10-05-2022,160.49,162.93,151.86,154.1,1595791,,0.0,0.0
11-05-2022,154.06,156.74,148.2,152.74,2078541,,0.0,0.0
12-05-2022,149.81,151.23,141.71,143.08,2291580,,0.0,0.0
13-05-2022,146.35,150.49,143.47,144.45,1758562,,0.0,0.0
16-05-2022,146.25,149.18,142.69,148.54,1176539,,0.0,0.0
17-05-2022,149.91,160.69,148.84,160.01,2547521,,0.0,0.0
18-05-2022,160.98,161.47,156.3,158.15,1408737,,0.0,0.0
19-05-2022,152.2,155.03,150.15,151.71,1162473,,0.0,0.0
20-05-2022,154.64,161.91,152.3,158.54,2529234,,0.0,0.0
23-05-2022,153.81,158.64,149.13,155.96,2036349,,0.0,0.0
24-05-2022,156.1,157.32,151.27,151.96,904517,,0.0,0.0
25-05-2022,153.52,153.52,144.2,145.08,1283203,,0.0,0.0
26-05-2022,146.79,146.79,138.79,145.76,1741557,,0.0,0.0
27-05-2022,148.4,150.64,146.45,149.13,1059154,,0.0,0.0
30-05-2022,149.47,160.84,149.47,158.93,3146163,,0.0,0.0
31-05-2022,159.52,165.86,159.23,164.01,3470057,,0.0,0.0
01-06-2022,164.01,165.32,160.15,162.15,981669,,0.0,0.0
02-06-2022,161.76,164.54,159.62,163.18,1173320,,0.0,0.0
03-06-2022,164.4,168.3,162.2,163.71,2210939,,0.0,0.0
06-06-2022,162.93,172.1,160.15,170.74,5299057,,0.0,0.0
07-06-2022,169.42,174.06,165.91,170.25,3109981,,0.0,0.0
08-06-2022,170.25,173.47,168.98,170.3,1851763,,0.0,0.0
09-06-2022,169.76,170.74,167.81,169.76,900002,,0.0,0.0
10-06-2022,168.69,168.69,162.98,164.49,1480927,,0.0,0.0
13-06-2022,160.79,161.91,155.71,156.98,1153375,,0.0,0.0
14-06-2022,155.08,162.4,153.86,159.23,1458731,,0.0,0.0
15-06-2022,160.01,161.76,157.32,158.1,1084801,,0.0,0.0
16-06-2022,159.96,160.93,147.32,148.88,1483998,,0.0,0.0
17-06-2022,147.91,151.52,146.4,147.18,1343914,,0.0,0.0
20-06-2022,147.71,147.71,125.47,132.35,4478823,,0.0,0.0
21-06-2022,133.66,140.3,131.71,136.93,4499117,,0.0,0.0
22-06-2022,136.35,138.05,133.13,134.05,1501841,,0.0,0.0
23-06-2022,135.23,136.59,131.52,136.01,1171110,,0.0,0.0
24-06-2022,137.47,138.79,136.1,138.01,1364062,,0.0,0.0
27-06-2022,141.47,149.27,139.27,142.88,4555197,,0.0,0.0
28-06-2022,142.69,145.23,138.05,143.71,2500638,,0.0,0.0
29-06-2022,142.44,146.64,140.49,145.62,2009572,,0.0,0.0
30-06-2022,145.57,146.93,141.57,142.93,1793918,,0.0,0.0
01-07-2022,141.96,145.91,140.59,145.23,946679,,0.0,0.0
04-07-2022,144.4,147.81,144.4,146.84,973298,,0.0,0.0
05-07-2022,147.96,152.2,147.32,148.45,2086359,,0.0,0.0
06-07-2022,148.3,149.27,145.13,148.84,789172,,0.0,0.0
07-07-2022,149.96,154.64,148.35,153.18,1345784,,0.0,0.0
08-07-2022,153.18,154.35,148.01,149.66,1672467,,0.0,0.0
11-07-2022,148.1,151.18,144.49,148.45,3569087,,0.0,0.0
12-07-2022,147.96,149.76,145.91,147.42,1236464,,0.0,0.0
13-07-2022,148.15,148.69,145.03,145.71,868611,,0.0,0.0
14-07-2022,146.15,146.64,139.91,141.42,1652126,,0.0,0.0
15-07-2022,141.86,142.4,138.64,141.27,795271,,0.0,0.0
18-07-2022,142.35,145.96,142.25,144.25,1513780,,0.0,0.0
19-07-2022,144.35,150.64,141.57,148.54,3276990,,0.0,0.0
20-07-2022,149.96,152.06,148.54,149.76,1631683,,0.0,0.0
21-07-2022,149.76,151.86,148.84,151.18,931208,,0.0,0.0
22-07-2022,152.1,160.69,151.03,157.67,6912753,,0.0,0.0
25-07-2022,158.1,160.59,157.47,158.54,2943233,,0.0,0.0
26-07-2022,158.54,159.96,154.54,155.76,1606452,,0.0,0.0
27-07-2022,155.76,161.96,155.23,159.62,3182982,,0.0,0.0
28-07-2022,159.91,163.91,157.81,163.28,2536961,,0.0,0.0
29-07-2022,164.35,172.93,163.96,171.96,6472851,,0.0,0.0
01-08-2022,178.35,188.79,173.76,186.69,19357381,,0.0,0.0
02-08-2022,186.15,190.15,184.4,187.23,5719286,,0.0,0.0
