Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,292.39,301.11,291.96,293.9,399086,,0.0,0.0
09-08-2021,295.97,298.19,292.39,295.36,275096,,0.0,0.0
10-08-2021,294.13,296.11,278.24,283.38,400134,,0.0,0.0
11-08-2021,283.38,284.8,270.08,282.63,602723,,0.0,0.0
12-08-2021,283.81,288.95,279.18,279.84,597527,,0.0,0.0
13-08-2021,280.13,286.35,274.94,277.01,574128,,0.0,0.0
16-08-2021,277.11,278.43,267.44,270.74,367209,,0.0,0.0
17-08-2021,270.6,275.41,266.17,272.25,484902,,0.0,0.0
18-08-2021,272.25,278.62,268.9,269.56,312213,,0.0,0.0
20-08-2021,269.75,269.75,262.21,263.53,290282,,0.0,0.0
23-08-2021,265.7,267.87,254.8,258.81,234139,,0.0,0.0
24-08-2021,258.91,262.16,256.59,257.4,352355,,0.0,0.0
25-08-2021,257.96,262.21,257.49,260.32,379070,,0.0,0.0
26-08-2021,260.74,271.92,260.74,269.8,1033486,,0.0,0.0
27-08-2021,271.64,272.11,262.73,263.53,698421,,0.0,0.0
30-08-2021,264.28,266.92,261.26,263.24,376056,,0.0,0.0
31-08-2021,264.66,268.15,262.25,265.88,601746,,0.0,0.0
01-09-2021,265.88,265.88,261.5,262.02,432968,,0.0,0.0
02-09-2021,263.06,267.39,262.16,263.43,639637,,0.0,0.0
03-09-2021,264.14,265.98,262.4,263.34,499202,,0.0,0.0
06-09-2021,264.19,267.63,263.53,264.56,355425,,0.0,0.0
07-09-2021,265.04,277.3,261.26,275.74,2111800,,0.0,0.0
08-09-2021,278.24,279.7,273.15,274.37,828810,,0.0,0.0
09-09-2021,274.47,279.18,271.92,275.13,619698,,0.0,0.0
13-09-2021,273.52,277.91,272.02,275.74,366873,,0.0,0.0
14-09-2021,275.74,282.53,274.61,276.4,636052,,0.0,0.0
15-09-2021,277.3,284.84,276.45,281.54,978406,,0.0,0.0
16-09-2021,282.01,284.09,275.6,276.26,547270,,0.0,0.0
17-09-2021,278.52,280.5,269.33,275.08,371265,,0.0,0.0
20-09-2021,273.52,276.68,269.09,270.55,258003,,0.0,0.0
21-09-2021,268.81,272.58,265.37,270.84,358363,,0.0,0.0
22-09-2021,271.64,277.16,271.64,274.42,195064,,0.0,0.0
23-09-2021,275.36,276.64,269.85,270.88,360639,,0.0,0.0
24-09-2021,271.64,279.94,269.52,270.51,708933,,0.0,0.0
27-09-2021,270.88,275.41,267.72,269.42,301289,,0.0,0.0
28-09-2021,269.85,272.82,265.04,267.54,309915,,0.0,0.0
29-09-2021,267.54,272.39,267.02,269.14,309133,,0.0,0.0
30-09-2021,270.65,277.06,268.43,269.66,1122212,,0.0,0.0
01-10-2021,268.81,270.46,267.87,268.62,163540,,0.0,0.0
04-10-2021,269.66,270.46,266.92,269.09,279713,,0.0,0.0
05-10-2021,268.76,276.35,268.43,273.67,710207,,0.0,0.0
06-10-2021,279.18,281.78,271.83,275.36,897502,,0.0,0.0
07-10-2021,276.35,280.88,273.52,276.21,466639,,0.0,0.0
08-10-2021,281.07,293.94,278.33,291.73,3039824,,0.0,0.0
11-10-2021,293.19,296.4,287.67,290.22,1394719,,0.0,0.0
12-10-2021,290.31,290.31,284.37,287.63,546460,,0.0,0.0
13-10-2021,289.32,305.83,287.86,296.87,2829919,,0.0,0.0
14-10-2021,299.7,301.63,293.8,295.93,568884,,0.0,0.0
18-10-2021,297.86,305.12,292.86,301.02,1006345,,0.0,0.0
19-10-2021,303.24,306.3,269.75,286.82,921123,,0.0,0.0
20-10-2021,270.7,278.24,264.0,266.4,2185846,,0.0,0.0
21-10-2021,266.45,272.58,259.99,260.93,951318,,0.0,0.0
22-10-2021,263.48,265.04,259.14,259.9,416930,,0.0,0.0
25-10-2021,261.26,262.21,246.64,247.54,694880,,0.0,0.0
26-10-2021,248.81,251.27,245.42,247.12,576822,,0.0,0.0
27-10-2021,249.47,255.13,249.05,250.32,469983,,0.0,0.0
28-10-2021,251.36,251.36,245.7,246.88,323833,,0.0,0.0
29-10-2021,248.67,253.25,243.39,250.28,328125,,0.0,0.0
01-11-2021,254.52,255.56,246.27,247.26,430775,,0.0,0.0
02-11-2021,249.19,251.78,248.53,249.8,222771,,0.0,0.0
03-11-2021,253.72,253.72,249.94,252.26,204052,,0.0,0.0
04-11-2021,254.33,254.61,253.29,254.19,61238,,0.0,0.0
08-11-2021,256.5,258.62,251.83,255.89,283440,,0.0,0.0
09-11-2021,256.36,257.96,253.58,254.66,203903,,0.0,0.0
10-11-2021,253.72,257.49,252.77,253.15,220049,,0.0,0.0
11-11-2021,253.15,255.6,251.88,253.86,148345,,0.0,0.0
12-11-2021,256.55,256.55,249.94,251.03,226395,,0.0,0.0
15-11-2021,252.3,252.3,248.72,250.04,190937,,0.0,0.0
16-11-2021,251.6,256.41,250.04,252.59,217711,,0.0,0.0
17-11-2021,253.34,256.92,251.22,253.25,180784,,0.0,0.0
18-11-2021,254.38,254.38,247.59,248.86,216370,,0.0,0.0
22-11-2021,248.86,250.09,243.44,245.37,210105,,0.0,0.0
23-11-2021,245.23,248.81,243.44,245.7,168543,,0.0,0.0
24-11-2021,248.81,254.33,245.84,248.62,220437,,0.0,0.0
25-11-2021,248.62,252.73,247.16,250.42,108131,,0.0,0.0
26-11-2021,245.28,250.7,244.29,245.18,192857,,0.0,0.0
29-11-2021,243.34,244.29,232.02,240.7,202457,,0.0,0.0
30-11-2021,241.22,245.04,233.2,234.85,318055,,0.0,0.0
01-12-2021,237.68,239.52,230.47,231.41,225153,,0.0,0.0
02-12-2021,235.33,239.95,232.97,238.53,273333,,0.0,0.0
03-12-2021,238.63,243.2,237.26,240.8,177223,,0.0,0.0
06-12-2021,238.34,241.83,237.31,238.06,111662,,0.0,0.0
07-12-2021,237.68,241.41,237.68,240.04,90657,,0.0,0.0
08-12-2021,242.87,244.99,241.69,242.82,82436,,0.0,0.0
09-12-2021,245.23,245.23,239.95,242.92,155722,,0.0,0.0
10-12-2021,243.34,249.14,242.49,247.3,456098,,0.0,0.0
13-12-2021,254.0,254.0,248.06,249.52,188787,,0.0,0.0
14-12-2021,249.47,252.68,247.59,248.39,152659,,0.0,0.0
15-12-2021,248.44,252.11,247.21,249.61,209852,,0.0,0.0
16-12-2021,253.67,253.67,245.23,246.88,112704,,0.0,0.0
17-12-2021,244.29,248.67,243.53,245.65,252826,,0.0,0.0
20-12-2021,242.4,242.4,236.32,238.91,201599,,0.0,0.0
21-12-2021,240.04,242.21,228.58,238.2,97558,,0.0,0.0
22-12-2021,238.96,244.85,238.96,243.39,101299,,0.0,0.0
23-12-2021,247.12,249.0,244.52,247.92,114849,,0.0,0.0
24-12-2021,249.19,249.19,237.78,242.68,116897,,0.0,0.0
27-12-2021,243.91,247.78,240.75,245.7,107063,,0.0,0.0
28-12-2021,246.08,258.01,246.08,250.65,970382,,0.0,0.0
29-12-2021,250.65,256.45,249.05,252.21,227642,,0.0,0.0
30-12-2021,252.21,260.27,252.21,255.37,805406,,0.0,0.0
31-12-2021,256.45,261.07,256.45,258.43,355848,,0.0,0.0
03-01-2022,259.71,261.97,257.58,261.17,332963,,0.0,0.0
04-01-2022,262.21,262.21,257.49,258.95,253223,,0.0,0.0
05-01-2022,259.38,260.32,255.13,255.75,155963,,0.0,0.0
06-01-2022,256.08,256.92,252.87,255.75,137978,,0.0,0.0
07-01-2022,254.71,260.79,254.14,259.47,693816,,0.0,0.0
10-01-2022,261.17,264.89,260.08,263.24,539100,,0.0,0.0
11-01-2022,264.56,270.93,261.45,266.83,851064,,0.0,0.0
12-01-2022,268.81,268.81,264.14,265.32,251011,,0.0,0.0
13-01-2022,266.92,267.72,263.15,265.88,193127,,0.0,0.0
14-01-2022,265.04,268.2,264.19,266.5,300255,,0.0,0.0
17-01-2022,266.92,272.96,265.46,270.7,660689,,0.0,0.0
18-01-2022,272.58,282.06,268.81,270.55,1536586,,0.0,0.0
19-01-2022,270.46,281.54,268.05,278.48,723139,,0.0,0.0
20-01-2022,263.95,267.3,259.38,261.55,1645114,,0.0,0.0
21-01-2022,258.34,261.12,251.45,252.92,400875,,0.0,0.0
24-01-2022,254.66,256.03,241.46,245.98,378152,,0.0,0.0
25-01-2022,243.34,249.1,237.35,247.49,238602,,0.0,0.0
27-01-2022,246.17,249.85,238.06,240.47,320143,,0.0,0.0
28-01-2022,244.19,246.69,241.13,242.02,286260,,0.0,0.0
31-01-2022,243.91,247.02,241.97,244.38,265568,,0.0,0.0
01-02-2022,246.03,250.89,243.53,244.66,347917,,0.0,0.0
02-02-2022,245.89,247.49,241.64,243.25,274805,,0.0,0.0
03-02-2022,243.63,244.19,238.01,238.63,339007,,0.0,0.0
04-02-2022,238.91,240.42,236.27,237.35,270722,,0.0,0.0
07-02-2022,237.4,240.51,233.06,238.91,526752,,0.0,0.0
08-02-2022,239.52,240.51,234.85,235.61,223976,,0.0,0.0
09-02-2022,235.8,239.57,234.9,235.47,183788,,0.0,0.0
10-02-2022,235.8,239.57,234.38,238.91,237760,,0.0,0.0
11-02-2022,237.68,238.3,233.91,234.48,322071,,0.0,0.0
14-02-2022,234.01,235.61,229.19,230.0,278011,,0.0,0.0
15-02-2022,230.14,233.63,228.06,232.12,150842,,0.0,0.0
16-02-2022,233.34,234.57,231.98,234.05,155657,,0.0,0.0
17-02-2022,233.44,235.56,230.7,231.98,131109,,0.0,0.0
18-02-2022,232.02,236.27,231.22,233.25,230875,,0.0,0.0
21-02-2022,233.3,233.3,227.17,228.91,147896,,0.0,0.0
22-02-2022,224.48,227.31,223.77,225.85,166046,,0.0,0.0
23-02-2022,225.42,229.81,224.48,225.66,127848,,0.0,0.0
24-02-2022,221.65,222.92,214.39,215.42,380013,,0.0,0.0
25-02-2022,216.93,235.33,215.42,223.02,279922,,0.0,0.0
28-02-2022,221.65,222.88,218.44,220.61,192736,,0.0,0.0
02-03-2022,218.82,227.73,218.82,226.74,232496,,0.0,0.0
03-03-2022,227.31,238.01,227.31,229.86,450527,,0.0,0.0
04-03-2022,229.19,232.97,227.45,228.39,160579,,0.0,0.0
07-03-2022,230.14,230.14,223.63,226.37,422202,,0.0,0.0
08-03-2022,230.14,230.99,224.01,227.36,292679,,0.0,0.0
09-03-2022,227.36,237.68,226.46,235.7,302648,,0.0,0.0
10-03-2022,240.51,240.51,234.85,236.32,225287,,0.0,0.0
11-03-2022,235.8,240.14,234.57,237.64,173390,,0.0,0.0
14-03-2022,237.64,244.29,232.17,236.98,778234,,0.0,0.0
15-03-2022,237.64,240.04,230.52,232.97,193697,,0.0,0.0
16-03-2022,234.01,236.74,233.01,233.58,130790,,0.0,0.0
17-03-2022,234.85,239.0,232.5,234.9,302277,,0.0,0.0
21-03-2022,235.33,237.78,234.19,236.03,175018,,0.0,0.0
22-03-2022,234.9,238.06,231.6,232.87,191629,,0.0,0.0
23-03-2022,233.91,235.04,229.24,229.95,196359,,0.0,0.0
24-03-2022,230.14,233.44,226.41,228.63,203368,,0.0,0.0
25-03-2022,229.57,229.81,223.82,224.43,338589,,0.0,0.0
28-03-2022,221.7,224.01,217.69,219.15,425754,,0.0,0.0
29-03-2022,220.28,221.65,216.79,219.34,1047403,,0.0,0.0
30-03-2022,219.86,229.38,219.86,223.68,549559,,0.0,0.0
31-03-2022,224.05,228.72,223.54,224.53,474245,,0.0,0.0
01-04-2022,224.48,232.02,224.48,230.99,308071,,0.0,0.0
04-04-2022,234.38,236.93,232.97,235.7,432926,,0.0,0.0
05-04-2022,235.8,244.8,235.7,242.07,606848,,0.0,0.0
06-04-2022,242.82,245.23,240.94,243.91,344776,,0.0,0.0
07-04-2022,244.05,253.25,241.6,247.92,932968,,0.0,0.0
08-04-2022,249.24,254.85,248.06,251.78,566901,,0.0,0.0
11-04-2022,252.21,256.55,251.6,253.39,430480,,0.0,0.0
12-04-2022,259.38,264.52,254.9,262.25,2024355,,0.0,0.0
13-04-2022,264.0,270.6,262.25,267.3,1036272,,0.0,0.0
18-04-2022,265.98,271.26,261.31,270.03,541301,,0.0,0.0
19-04-2022,270.74,272.91,253.72,264.23,1024546,,0.0,0.0
20-04-2022,264.99,269.56,261.97,264.09,661383,,0.0,0.0
21-04-2022,266.92,267.21,263.15,265.46,329077,,0.0,0.0
22-04-2022,243.39,251.69,237.68,239.24,3704762,,0.0,0.0
25-04-2022,238.63,238.63,224.9,228.82,1705648,,0.0,0.0
26-04-2022,233.06,233.77,226.93,228.2,571354,,0.0,0.0
27-04-2022,227.78,228.3,224.81,227.73,392906,,0.0,0.0
28-04-2022,227.31,231.74,224.05,225.09,655133,,0.0,0.0
29-04-2022,227.17,228.58,220.47,221.18,680537,,0.0,0.0
02-05-2022,220.61,222.97,212.12,213.54,623095,,0.0,0.0
04-05-2022,215.71,216.37,210.33,212.08,458181,,0.0,0.0
