Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,71.94,75.14,71.85,72.96,4846715,,0.0,0.0
09-08-2021,73.01,73.54,71.76,72.03,1644841,,0.0,0.0
10-08-2021,72.03,72.25,66.12,66.61,4638859,,0.0,0.0
11-08-2021,66.92,67.23,63.41,66.25,3417480,,0.0,0.0
12-08-2021,66.56,68.65,66.52,67.5,2314354,,0.0,0.0
13-08-2021,68.16,69.27,67.5,67.81,2454225,,0.0,0.0
16-08-2021,67.41,70.07,65.9,67.05,3808464,,0.0,0.0
17-08-2021,66.96,67.05,65.14,65.9,1186573,,0.0,0.0
18-08-2021,66.12,66.47,65.09,65.41,1060936,,0.0,0.0
20-08-2021,64.38,65.05,63.41,63.63,1539494,,0.0,0.0
23-08-2021,64.52,64.74,61.36,61.54,1570010,,0.0,0.0
24-08-2021,61.98,63.98,61.23,63.36,1934093,,0.0,0.0
25-08-2021,63.94,64.34,63.23,63.58,924675,,0.0,0.0
26-08-2021,63.58,64.29,63.18,63.45,793382,,0.0,0.0
27-08-2021,63.41,65.09,63.23,64.34,2104849,,0.0,0.0
30-08-2021,65.58,65.58,64.74,65.01,945697,,0.0,0.0
31-08-2021,65.09,65.23,64.03,64.16,850730,,0.0,0.0
01-09-2021,64.29,65.9,63.54,64.87,1636789,,0.0,0.0
02-09-2021,64.83,68.25,64.65,67.05,5925655,,0.0,0.0
03-09-2021,67.23,67.85,66.16,66.61,1481828,,0.0,0.0
06-09-2021,66.87,67.32,66.25,66.7,778107,,0.0,0.0
07-09-2021,66.7,66.87,65.41,65.58,861744,,0.0,0.0
08-09-2021,65.63,66.12,65.01,65.45,684167,,0.0,0.0
09-09-2021,66.21,66.78,65.72,65.9,1146096,,0.0,0.0
13-09-2021,65.67,66.25,64.92,65.54,865444,,0.0,0.0
14-09-2021,65.72,66.78,65.41,66.34,1292915,,0.0,0.0
15-09-2021,66.7,67.5,66.47,67.01,965709,,0.0,0.0
16-09-2021,67.05,68.65,67.05,67.23,1506926,,0.0,0.0
17-09-2021,67.45,67.72,64.74,65.85,1652546,,0.0,0.0
20-09-2021,64.21,67.23,64.21,65.05,1503711,,0.0,0.0
21-09-2021,64.92,66.12,64.47,65.49,1171538,,0.0,0.0
22-09-2021,65.98,66.96,65.58,65.9,958295,,0.0,0.0
23-09-2021,66.47,66.87,65.63,65.94,908362,,0.0,0.0
24-09-2021,66.21,77.37,65.9,73.36,42494244,,0.0,0.0
27-09-2021,73.41,79.06,71.28,76.12,33040900,,0.0,0.0
28-09-2021,76.7,78.08,74.03,74.97,6927100,,0.0,0.0
29-09-2021,74.52,76.43,73.85,74.34,4329673,,0.0,0.0
30-09-2021,74.74,75.05,73.19,73.54,2598805,,0.0,0.0
01-10-2021,73.01,73.32,71.05,71.76,4306521,,0.0,0.0
04-10-2021,72.39,75.32,72.12,73.45,4500253,,0.0,0.0
05-10-2021,73.63,75.37,73.32,74.34,4170170,,0.0,0.0
06-10-2021,74.57,75.14,72.83,73.23,2873704,,0.0,0.0
07-10-2021,73.99,74.61,73.28,73.5,2380702,,0.0,0.0
08-10-2021,74.17,76.97,71.59,74.97,7917447,,0.0,0.0
11-10-2021,74.57,74.7,72.96,73.19,2253541,,0.0,0.0
12-10-2021,73.36,76.66,72.3,73.72,5693096,,0.0,0.0
13-10-2021,74.61,75.14,73.45,73.85,2750921,,0.0,0.0
14-10-2021,74.17,75.41,73.54,73.72,2199196,,0.0,0.0
18-10-2021,74.52,74.92,73.85,74.21,2023947,,0.0,0.0
19-10-2021,74.65,76.21,73.32,73.63,4957157,,0.0,0.0
20-10-2021,74.48,74.93,72.75,73.16,2315140,,1.78,0.0
21-10-2021,73.16,75.52,72.75,75.02,2644988,,0.0,0.0
22-10-2021,75.39,75.39,72.7,72.93,1740024,,0.0,0.0
25-10-2021,73.48,73.48,70.07,70.89,2087742,,0.0,0.0
26-10-2021,71.07,72.89,71.02,71.39,2008365,,0.0,0.0
27-10-2021,71.57,72.39,70.71,70.98,1472353,,0.0,0.0
28-10-2021,71.02,71.07,69.52,69.8,1228902,,0.0,0.0
29-10-2021,69.61,70.34,68.62,69.66,1391783,,0.0,0.0
01-11-2021,69.89,70.8,69.66,70.43,890640,,0.0,0.0
02-11-2021,70.8,73.8,70.43,72.3,3148989,,0.0,0.0
03-11-2021,72.7,72.89,70.43,70.98,1170647,,0.0,0.0
04-11-2021,71.43,71.75,71.21,71.48,198324,,0.0,0.0
08-11-2021,71.84,73.61,71.39,72.66,1963417,,0.0,0.0
09-11-2021,72.34,73.61,72.34,73.07,1040572,,0.0,0.0
10-11-2021,72.7,74.84,72.2,73.66,1764140,,0.0,0.0
11-11-2021,72.89,72.98,71.8,72.11,1501931,,0.0,0.0
12-11-2021,72.66,73.25,71.89,72.7,1101821,,0.0,0.0
15-11-2021,72.8,72.8,71.52,71.66,746829,,0.0,0.0
16-11-2021,71.61,72.8,71.39,71.8,1116165,,0.0,0.0
17-11-2021,71.25,72.02,70.71,70.84,993069,,0.0,0.0
18-11-2021,70.8,71.11,68.02,68.98,1444692,,0.0,0.0
22-11-2021,69.16,69.48,65.03,66.8,1842683,,0.0,0.0
23-11-2021,66.43,68.39,65.93,68.16,1010164,,0.0,0.0
24-11-2021,68.95,70.66,68.72,69.18,1022829,,1.35,0.0
25-11-2021,69.04,71.03,68.85,70.15,1389948,,0.0,0.0
26-11-2021,69.22,69.69,67.1,67.37,1241006,,0.0,0.0
29-11-2021,66.4,66.91,61.08,64.27,1640822,,0.0,0.0
30-11-2021,65.34,66.54,64.18,64.64,1320782,,0.0,0.0
01-12-2021,68.48,68.85,67.14,67.84,3615677,,0.0,0.0
02-12-2021,67.84,68.16,67.05,67.74,849493,,0.0,0.0
03-12-2021,67.56,69.22,67.56,68.02,1454825,,0.0,0.0
06-12-2021,67.93,68.3,66.49,66.63,790192,,0.0,0.0
07-12-2021,67.1,68.39,66.87,67.98,1067308,,0.0,0.0
08-12-2021,68.39,69.18,68.21,68.35,932946,,0.0,0.0
09-12-2021,68.44,69.13,68.16,68.53,896247,,0.0,0.0
10-12-2021,68.53,69.87,68.35,69.04,1008163,,0.0,0.0
13-12-2021,69.22,70.57,68.85,69.32,1276197,,0.0,0.0
14-12-2021,68.9,70.34,68.58,69.73,1109170,,0.0,0.0
15-12-2021,69.64,73.76,69.41,71.82,5074440,,0.0,0.0
16-12-2021,72.23,75.52,70.38,73.85,11144913,,0.0,0.0
17-12-2021,72.7,73.48,70.61,71.08,4469980,,0.0,0.0
20-12-2021,70.1,70.1,65.01,66.49,3698642,,0.0,0.0
21-12-2021,66.77,68.16,66.68,67.0,1632059,,0.0,0.0
22-12-2021,67.47,68.3,67.33,67.84,1239166,,0.0,0.0
23-12-2021,68.44,69.78,67.98,68.67,1582291,,0.0,0.0
24-12-2021,68.9,69.09,66.77,67.24,1583204,,0.0,0.0
27-12-2021,67.0,67.79,66.4,67.14,1215416,,0.0,0.0
28-12-2021,67.56,68.67,67.56,68.16,1332345,,0.0,0.0
29-12-2021,68.11,69.09,68.07,68.53,1084718,,0.0,0.0
30-12-2021,68.48,71.49,68.35,70.1,4482330,,0.0,0.0
31-12-2021,70.15,71.77,70.15,70.52,1510851,,0.0,0.0
03-01-2022,70.29,72.83,70.2,71.45,1669171,,0.0,0.0
04-01-2022,71.49,73.3,70.66,72.14,3137615,,0.0,0.0
05-01-2022,71.82,75.06,71.63,72.97,5446285,,0.0,0.0
06-01-2022,72.23,73.07,71.68,72.56,1903428,,0.0,0.0
07-01-2022,72.33,73.07,71.17,71.63,1708697,,0.0,0.0
10-01-2022,71.77,73.9,71.77,73.25,1730635,,0.0,0.0
11-01-2022,73.2,75.89,72.65,74.78,5764500,,0.0,0.0
12-01-2022,75.33,76.35,74.69,75.19,4330395,,0.0,0.0
13-01-2022,75.61,77.65,74.64,76.63,7263906,,0.0,0.0
14-01-2022,76.44,77.65,75.75,77.0,3995132,,0.0,0.0
17-01-2022,77.18,79.08,76.91,77.69,7062579,,0.0,0.0
18-01-2022,78.02,82.04,77.55,78.11,23452883,,0.0,0.0
19-01-2022,78.39,79.59,77.65,78.9,5945959,,0.0,0.0
20-01-2022,79.36,79.78,77.79,78.34,3289875,,0.0,0.0
21-01-2022,78.2,78.39,74.04,75.1,3525043,,0.0,0.0
24-01-2022,75.43,75.8,70.15,70.89,3495452,,0.0,0.0
25-01-2022,69.69,73.02,68.62,72.6,2660280,,0.0,0.0
27-01-2022,71.63,73.11,70.98,72.37,1833589,,0.0,0.0
28-01-2022,73.02,74.45,72.42,72.7,2186914,,0.0,0.0
31-01-2022,73.76,74.55,73.39,73.71,1460347,,0.0,0.0
01-02-2022,74.32,75.66,70.71,71.72,4635360,,0.0,0.0
02-02-2022,72.33,72.65,71.58,71.82,1068201,,0.0,0.0
03-02-2022,72.14,72.74,71.54,71.68,1139121,,0.0,0.0
04-02-2022,72.88,73.02,71.17,71.35,2122935,,0.0,0.0
07-02-2022,71.49,73.57,71.49,72.05,2669419,,0.0,0.0
08-02-2022,72.37,72.74,69.78,71.17,3063834,,0.0,0.0
09-02-2022,71.72,72.33,71.26,71.58,951619,,0.0,0.0
10-02-2022,71.63,72.6,70.98,71.96,1193927,,0.0,0.0
11-02-2022,72.19,76.77,72.19,74.55,9673245,,0.0,0.0
14-02-2022,72.19,72.97,68.53,69.18,3095692,,0.0,0.0
15-02-2022,69.41,70.34,67.1,70.06,2508301,,0.0,0.0
16-02-2022,70.61,71.72,68.02,70.01,1823384,,0.0,0.0
17-02-2022,70.24,71.08,68.72,68.99,1459792,,0.0,0.0
18-02-2022,68.02,69.09,67.93,68.21,936317,,0.0,0.0
21-02-2022,68.07,68.16,65.71,66.08,1454254,,0.0,0.0
22-02-2022,64.78,65.38,62.01,64.78,1998659,,0.0,0.0
23-02-2022,65.25,67.98,64.92,67.56,1441010,,0.0,0.0
24-02-2022,64.78,65.11,61.64,62.01,2478330,,0.0,0.0
25-02-2022,63.3,65.29,63.3,64.74,1596966,,0.0,0.0
28-02-2022,62.93,66.08,62.93,65.75,1464439,,0.0,0.0
02-03-2022,65.15,67.28,64.74,66.96,1419181,,0.0,0.0
03-03-2022,67.24,69.73,67.19,68.99,1948675,,0.0,0.0
04-03-2022,68.48,68.9,66.63,66.91,1206071,,0.0,0.0
07-03-2022,65.66,66.45,64.37,65.2,1302841,,0.0,0.0
08-03-2022,65.2,67.79,65.06,67.61,1557394,,0.0,0.0
09-03-2022,67.98,70.89,67.37,70.2,2540531,,0.0,0.0
10-03-2022,71.12,71.54,69.41,69.97,2077160,,0.0,0.0
11-03-2022,69.92,75.8,69.46,74.59,10102629,,0.0,0.0
14-03-2022,75.52,78.11,74.55,75.19,7461036,,0.0,0.0
15-03-2022,75.61,75.75,72.83,73.76,3015852,,0.0,0.0
16-03-2022,74.32,74.78,72.88,73.16,1560179,,0.0,0.0
17-03-2022,73.57,74.82,72.28,73.81,4809379,,0.0,0.0
21-03-2022,73.99,77.74,73.53,75.66,6918141,,0.0,0.0
22-03-2022,76.17,77.65,75.43,76.26,6123158,,0.0,0.0
23-03-2022,76.67,78.39,75.47,75.98,5161899,,0.0,0.0
24-03-2022,76.81,77.51,75.56,75.93,3886209,,0.0,0.0
25-03-2022,76.21,76.72,74.41,75.33,3219551,,0.0,0.0
28-03-2022,75.61,76.12,72.88,75.1,4207902,,0.0,0.0
29-03-2022,75.24,86.72,75.24,84.87,65306362,,0.0,0.0
30-03-2022,85.61,87.6,82.04,83.48,31317070,,0.0,0.0
31-03-2022,83.2,85.37,82.32,82.78,11505341,,0.0,0.0
01-04-2022,81.9,89.17,81.67,87.55,28348005,,0.0,0.0
04-04-2022,89.22,94.86,88.84,93.7,38960073,,0.0,0.0
05-04-2022,94.63,96.34,91.62,92.22,20676888,,0.0,0.0
06-04-2022,91.62,97.91,90.51,96.67,29016861,,0.0,0.0
07-04-2022,97.08,100.88,95.69,96.57,28499846,,0.0,0.0
08-04-2022,97.08,98.47,95.79,96.53,11701018,,0.0,0.0
11-04-2022,96.9,99.67,96.48,97.36,8483858,,0.0,0.0
12-04-2022,97.78,97.87,90.74,92.08,13122345,,0.0,0.0
13-04-2022,94.35,97.54,94.03,95.28,13955676,,0.0,0.0
18-04-2022,94.4,103.28,93.47,100.14,28539191,,0.0,0.0
19-04-2022,101.25,104.25,94.91,97.13,19663621,,0.0,0.0
20-04-2022,97.91,100.27,97.08,98.84,10657553,,0.0,0.0
21-04-2022,99.67,102.63,97.78,101.52,10505866,,0.0,0.0
22-04-2022,100.6,102.22,98.01,98.61,8168347,,0.0,0.0
25-04-2022,96.43,96.62,91.62,92.22,10559879,,0.0,0.0
26-04-2022,93.33,95.23,92.36,93.61,5756973,,0.0,0.0
27-04-2022,92.96,96.9,91.25,94.49,13651804,,0.0,0.0
28-04-2022,95.32,96.67,93.47,94.58,6714126,,0.0,0.0
29-04-2022,95.14,95.79,92.18,92.73,4928422,,0.0,0.0
02-05-2022,91.16,91.81,87.69,88.52,5957813,,0.0,0.0
04-05-2022,88.84,90.0,83.94,85.24,7697307,,0.0,0.0
05-05-2022,86.02,87.23,84.31,84.73,4127571,,0.0,0.0
06-05-2022,83.2,84.96,81.21,84.03,6999946,,0.0,0.0
09-05-2022,83.29,85.51,81.77,83.01,6596600,,0.0,0.0
10-05-2022,82.92,85.42,78.53,79.78,4531408,,0.0,0.0
11-05-2022,80.75,81.58,75.8,79.73,5122411,,0.0,0.0
12-05-2022,78.48,78.94,75.24,75.89,4128261,,0.0,0.0
13-05-2022,77.6,78.39,75.38,75.93,4074198,,0.0,0.0
16-05-2022,76.35,78.34,74.96,77.55,2799921,,0.0,0.0
17-05-2022,78.16,83.75,77.79,82.88,5033024,,0.0,0.0
18-05-2022,83.52,88.2,81.53,86.76,8005047,,0.0,0.0
19-05-2022,84.68,93.15,84.22,89.49,18326825,,0.0,0.0
20-05-2022,91.62,94.86,90.97,93.84,8107508,,0.0,0.0
23-05-2022,94.35,94.63,90.88,91.9,7077522,,0.0,0.0
24-05-2022,92.08,96.16,91.25,92.36,9131579,,0.0,0.0
25-05-2022,92.73,93.93,83.75,84.12,6258711,,0.0,0.0
26-05-2022,84.87,86.44,80.42,85.79,5121900,,0.0,0.0
27-05-2022,86.53,90.14,85.65,87.32,6551675,,0.0,0.0
30-05-2022,88.34,90.14,87.92,89.4,2748668,,0.0,0.0
31-05-2022,88.94,91.07,87.36,88.57,5345429,,0.0,0.0
01-06-2022,88.34,89.91,86.72,88.2,2432696,,0.0,0.0
02-06-2022,88.34,89.86,87.18,88.24,2428544,,0.0,0.0
03-06-2022,89.22,89.82,85.88,86.16,2537709,,0.0,0.0
06-06-2022,86.02,90.37,85.37,89.72,4843541,,0.0,0.0
07-06-2022,88.8,92.78,87.23,87.78,7447006,,0.0,0.0
08-06-2022,87.83,88.34,86.11,86.3,2861866,,0.0,0.0
09-06-2022,85.74,86.76,84.12,84.26,2276745,,0.0,0.0
10-06-2022,83.2,84.22,82.46,83.34,2060813,,0.0,0.0
13-06-2022,81.26,81.39,77.88,78.48,2386644,,0.0,0.0
14-06-2022,77.55,79.5,76.63,77.09,2482843,,0.0,0.0
15-06-2022,77.65,78.25,76.26,76.63,1809310,,0.0,0.0
16-06-2022,77.55,79.59,73.85,74.59,5132434,,0.0,0.0
17-06-2022,74.41,74.5,72.0,72.37,3080979,,0.0,0.0
20-06-2022,72.37,73.07,65.34,66.49,4268364,,0.0,0.0
21-06-2022,68.95,72.0,68.16,71.03,5242478,,0.0,0.0
22-06-2022,71.26,71.49,69.41,70.01,1865811,,0.0,0.0
23-06-2022,70.34,71.26,69.18,70.1,1868838,,0.0,0.0
24-06-2022,70.75,72.83,70.57,72.37,2141822,,0.0,0.0
27-06-2022,73.85,74.87,72.93,73.94,2492713,,0.0,0.0
28-06-2022,73.99,73.99,72.65,73.16,1661462,,0.0,0.0
29-06-2022,71.82,73.71,71.77,73.07,1296356,,0.0,0.0
30-06-2022,73.11,74.45,72.0,72.33,1413428,,0.0,0.0
01-07-2022,72.14,72.83,70.43,72.42,1110880,,0.0,0.0
04-07-2022,72.83,74.41,72.83,73.99,1529043,,0.0,0.0
05-07-2022,74.36,75.24,72.7,73.16,1366090,,0.0,0.0
06-07-2022,73.39,74.69,72.19,74.22,1735391,,0.0,0.0
07-07-2022,74.59,75.8,74.41,75.43,1758302,,0.0,0.0
08-07-2022,75.93,76.3,74.69,75.19,1486533,,0.0,0.0
11-07-2022,74.78,77.83,74.45,77.37,2089406,,0.0,0.0
12-07-2022,76.81,78.48,76.81,77.23,1723555,,0.0,0.0
13-07-2022,77.55,77.74,76.07,76.77,892194,,0.0,0.0
14-07-2022,77.05,77.09,74.5,75.19,1461393,,0.0,0.0
15-07-2022,75.52,76.58,74.41,76.21,1282670,,0.0,0.0
18-07-2022,76.72,78.02,76.35,77.32,1737165,,0.0,0.0
19-07-2022,76.91,77.88,76.63,77.18,1392498,,0.0,0.0
20-07-2022,77.88,80.7,77.69,79.13,3591828,,0.0,0.0
21-07-2022,79.08,80.28,78.48,79.59,1691484,,0.0,0.0
22-07-2022,80.05,81.86,79.68,80.61,5411913,,0.0,0.0
25-07-2022,80.05,80.42,78.66,79.36,1698464,,0.0,0.0
26-07-2022,79.59,79.59,77.28,77.69,1578835,,0.0,0.0
27-07-2022,78.02,80.19,76.91,79.78,2023103,,0.0,0.0
28-07-2022,80.19,80.38,78.76,79.31,1507900,,0.0,0.0
29-07-2022,79.96,81.67,79.22,81.16,3407572,,0.0,0.0
01-08-2022,81.39,84.31,80.24,83.75,4862874,,0.0,0.0
02-08-2022,83.11,83.43,81.67,82.23,2843568,,0.0,0.0
03-08-2022,82.18,82.55,80.52,80.98,1477141,,0.0,0.0
04-08-2022,81.39,87.64,81.3,87.04,13984568,,0.0,0.0
05-08-2022,87.36,90.05,87.13,88.98,7539586,,0.0,0.0
08-08-2022,89.31,89.4,86.62,87.92,3435491,,0.0,0.0
10-08-2022,87.92,92.18,85.84,86.95,9475151,,0.0,0.0
11-08-2022,86.99,89.03,83.89,86.99,6838636,,0.0,0.0
12-08-2022,86.3,89.96,85.61,87.18,9764539,,0.0,0.0
16-08-2022,87.83,88.29,86.72,87.13,2574290,,0.0,0.0
17-08-2022,87.13,88.2,86.21,86.53,2592251,,0.0,0.0
18-08-2022,86.72,89.26,86.35,86.76,3384369,,0.0,0.0
19-08-2022,87.27,87.92,84.26,84.63,3090215,,0.0,0.0
22-08-2022,84.59,84.68,81.63,82.14,2026495,,0.0,0.0
23-08-2022,81.63,84.12,81.16,83.2,2165648,,0.0,0.0
24-08-2022,83.43,90.6,83.43,89.82,10679995,,0.0,0.0
25-08-2022,90.7,97.17,89.59,93.7,21847402,,0.0,0.0
26-08-2022,94.77,99.95,94.54,97.22,16856977,,0.0,0.0
29-08-2022,93.56,96.62,93.01,93.84,6318289,,0.0,0.0
30-08-2022,95.23,96.25,91.11,91.81,7330137,,0.0,0.0
01-09-2022,91.02,94.31,90.88,92.78,5226494,,0.0,0.0
02-09-2022,93.61,94.12,91.62,91.81,3183446,,0.0,0.0
05-09-2022,92.36,93.66,92.08,92.73,3415080,,0.0,0.0
06-09-2022,93.1,95.97,92.18,93.89,8719689,,0.0,0.0
07-09-2022,95.55,96.25,94.58,95.28,6206027,,0.0,0.0
08-09-2022,95.88,97.78,94.91,95.74,6614179,,0.0,0.0
09-09-2022,96.25,96.48,94.03,94.31,2830764,,0.0,0.0
12-09-2022,94.63,95.97,94.21,95.14,3276372,,0.0,0.0
13-09-2022,95.55,97.36,94.72,95.18,4762741,,0.0,0.0
14-09-2022,94.03,95.51,92.82,95.14,2974627,,0.0,0.0
15-09-2022,95.69,97.54,94.26,94.77,3984143,,0.0,0.0
16-09-2022,95.23,101.29,93.47,96.11,21818533,,0.0,0.0
19-09-2022,96.9,98.24,95.32,96.53,5377678,,0.0,0.0
20-09-2022,97.41,98.84,96.85,97.45,3959655,,0.0,0.0
21-09-2022,97.91,98.79,94.68,95.18,4093954,,0.0,0.0
22-09-2022,95.09,96.9,94.81,96.06,2713983,,0.0,0.0
23-09-2022,96.62,96.9,91.81,92.5,3011280,,0.0,0.0
26-09-2022,92.32,92.32,85.79,86.81,3350773,,0.0,0.0
27-09-2022,87.5,88.98,86.07,87.18,2602449,,0.0,0.0
28-09-2022,86.95,86.95,83.75,84.68,1883520,,0.0,0.0
29-09-2022,85.74,87.36,84.26,85.42,3413950,,0.0,0.0
30-09-2022,85.24,87.55,84.68,86.99,2045863,,0.0,0.0
03-10-2022,86.58,87.64,84.68,85.88,2308609,,0.0,0.0
04-10-2022,87.32,88.15,86.67,87.78,1534096,,0.0,0.0
06-10-2022,88.29,91.53,88.06,90.93,3943392,,0.0,0.0
07-10-2022,91.07,92.27,90.42,91.53,2850465,,0.0,0.0
10-10-2022,90.7,90.97,89.86,90.37,1344472,,0.0,0.0
11-10-2022,91.07,92.45,88.24,88.98,1833660,,0.0,0.0
12-10-2022,89.31,89.96,86.35,87.69,1255537,,0.0,0.0
13-10-2022,87.46,87.92,85.37,85.61,1233985,,0.0,0.0
14-10-2022,86.81,87.6,85.98,86.21,1575438,,0.0,0.0
17-10-2022,85.79,87.87,85.19,85.74,1824537,,0.0,0.0
18-10-2022,86.44,88.29,85.65,87.97,2894438,,0.0,0.0
19-10-2022,87.92,91.34,87.23,90.0,3887107,,0.0,0.0
20-10-2022,88.89,91.95,88.89,91.57,3281539,,0.0,0.0
21-10-2022,92.04,93.24,91.2,91.9,2791453,,0.0,0.0
24-10-2022,92.73,93.24,91.3,91.76,614487,,0.0,0.0
25-10-2022,92.04,95.92,91.39,94.31,4098757,,0.0,0.0
27-10-2022,95.14,97.17,94.77,95.88,4013556,,0.0,0.0
28-10-2022,95.88,97.45,95.23,95.51,3326213,,0.0,0.0
31-10-2022,96.29,96.53,93.66,94.31,1620926,,0.0,0.0
01-11-2022,94.77,94.86,93.01,94.4,1985616,,0.0,0.0
02-11-2022,94.4,96.9,93.89,94.12,3336613,,0.0,0.0
03-11-2022,93.75,94.91,93.24,93.61,1196520,,0.0,0.0
04-11-2022,94.12,95.09,93.33,93.98,1430766,,0.0,0.0
07-11-2022,94.58,95.51,93.06,94.35,2260414,,0.0,0.0
09-11-2022,95.0,98.28,94.77,96.39,4714577,,0.0,0.0
10-11-2022,96.25,97.5,94.12,94.91,1782801,,0.0,0.0
11-11-2022,95.97,96.06,92.78,93.93,1663021,,0.0,0.0
14-11-2022,94.86,96.25,94.49,95.37,3121278,,0.0,0.0
15-11-2022,95.69,95.69,93.84,94.35,1244478,,0.0,0.0
16-11-2022,94.26,94.81,92.18,92.82,1306888,,0.0,0.0
17-11-2022,92.87,93.7,91.2,91.48,1537755,,0.0,0.0
18-11-2022,91.95,92.18,90.23,90.65,1228177,,0.0,0.0
21-11-2022,91.07,96.2,90.7,95.65,4827035,,0.0,0.0
22-11-2022,96.25,97.59,94.77,96.53,4040911,,0.0,0.0
23-11-2022,96.53,110.32,96.43,107.63,57361243,,0.0,0.0
24-11-2022,108.51,115.04,105.69,112.91,32693165,,0.0,0.0
25-11-2022,112.4,112.63,109.71,110.59,8538344,,0.0,0.0
28-11-2022,111.7,118.83,111.52,114.11,19091859,,0.0,0.0
29-11-2022,114.76,116.98,112.12,113.79,8718321,,0.0,0.0
30-11-2022,113.55,113.79,109.58,110.78,4902101,,0.0,0.0
01-12-2022,111.33,113.37,110.41,111.24,4178694,,0.0,0.0
02-12-2022,111.24,116.28,111.1,114.39,6524631,,0.0,0.0
05-12-2022,114.99,116.52,113.28,114.57,3917724,,0.0,0.0
06-12-2022,114.8,122.39,112.17,118.64,16953628,,0.0,0.0
07-12-2022,119.02,127.9,116.84,125.59,28278238,,0.0,0.0
08-12-2022,126.23,129.47,123.55,125.72,12936583,,0.0,0.0
09-12-2022,126.37,127.11,119.48,120.96,6165968,,0.0,0.0
12-12-2022,121.19,126.7,118.23,125.82,9609673,,0.0,0.0
13-12-2022,126.56,127.9,122.67,123.69,8436329,,0.0,0.0
14-12-2022,124.01,127.39,121.98,126.0,8747489,,0.0,0.0
15-12-2022,125.95,138.22,125.76,134.45,29623758,,4.1,0.0
16-12-2022,133.68,137.79,130.25,132.01,19432785,,0.0,0.0
19-12-2022,132.54,133.3,126.29,127.1,7458523,,0.0,0.0
20-12-2022,126.24,128.1,123.47,126.15,8690559,,0.0,0.0
21-12-2022,126.67,129.58,115.74,118.27,13190940,,0.0,0.0
22-12-2022,119.28,120.61,108.49,109.49,11680319,,0.0,0.0
23-12-2022,108.06,111.93,100.91,102.2,9739381,,0.0,0.0
26-12-2022,102.29,109.97,100.0,108.21,11990968,,0.0,0.0
27-12-2022,109.16,113.07,107.49,111.16,9630094,,0.0,0.0
28-12-2022,111.16,130.96,109.73,127.67,47187926,,0.0,0.0
29-12-2022,126.43,130.01,123.24,125.86,31665840,,0.0,0.0
30-12-2022,126.43,135.02,126.34,128.39,25946189,,0.0,0.0
02-01-2023,128.82,129.49,124.62,126.19,9917240,,0.0,0.0
03-01-2023,126.81,128.05,123.19,124.57,6184561,,0.0,0.0
04-01-2023,125.19,133.83,124.95,128.67,40374565,,0.0,0.0
05-01-2023,129.34,131.39,125.57,127.1,12007421,,0.0,0.0
06-01-2023,127.77,128.63,123.33,124.76,8501914,,0.0,0.0
09-01-2023,125.43,127.53,123.38,124.14,4834539,,0.0,0.0
10-01-2023,124.28,124.71,118.42,119.04,6235768,,0.0,0.0
11-01-2023,119.51,122.33,117.37,118.51,5426224,,0.0,0.0
12-01-2023,119.04,121.18,117.13,119.04,6116314,,0.0,0.0
13-01-2023,119.28,120.09,117.65,118.75,3679934,,0.0,0.0
16-01-2023,119.42,119.85,116.7,117.37,3256912,,0.0,0.0
17-01-2023,117.37,121.66,114.6,120.23,13340550,,0.0,0.0
18-01-2023,120.04,123.95,119.7,120.95,7635454,,0.0,0.0
19-01-2023,120.09,122.28,119.04,119.75,4370863,,0.0,0.0
20-01-2023,119.28,121.28,117.37,117.8,3612812,,0.0,0.0
