Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,315.69,319.9,314.98,316.6,99362,,0.0,0.0
09-08-2021,322.39,322.39,303.35,305.6,235642,,0.0,0.0
10-08-2021,306.99,310.91,298.43,300.87,170702,,0.0,0.0
11-08-2021,302.97,304.26,284.17,298.67,171908,,0.0,0.0
12-08-2021,301.63,308.14,299.43,301.44,186041,,0.0,0.0
13-08-2021,304.88,309.0,301.73,305.36,81775,,0.0,0.0
16-08-2021,309.95,311.72,304.65,305.98,90497,,0.0,0.0
17-08-2021,308.62,313.49,298.47,306.65,145633,,0.0,0.0
18-08-2021,307.9,308.66,298.62,299.96,94415,,0.0,0.0
20-08-2021,301.25,301.25,288.57,290.44,83851,,0.0,0.0
23-08-2021,293.69,296.51,277.43,280.39,87568,,0.0,0.0
24-08-2021,273.27,291.78,273.27,290.15,53119,,0.0,0.0
25-08-2021,294.65,295.89,280.78,283.41,77045,,0.0,0.0
26-08-2021,285.75,305.98,283.17,294.41,372982,,0.0,0.0
27-08-2021,296.37,308.04,294.03,299.77,164672,,0.0,0.0
30-08-2021,302.3,311.44,299.57,304.93,104976,,0.0,0.0
31-08-2021,306.41,306.41,299.43,301.92,49350,,0.0,0.0
01-09-2021,301.92,303.74,288.91,291.3,151854,,0.0,0.0
02-09-2021,293.64,298.47,290.49,291.73,88968,,0.0,0.0
03-09-2021,293.4,296.04,290.63,291.68,74104,,0.0,0.0
06-09-2021,296.08,314.64,294.6,310.38,495631,,0.0,0.0
07-09-2021,314.74,320.43,310.43,313.4,322107,,0.0,0.0
08-09-2021,313.78,315.22,308.14,311.34,428115,,0.0,0.0
09-09-2021,311.87,318.56,308.66,314.69,107043,,0.0,0.0
13-09-2021,316.36,317.08,306.32,311.01,67218,,0.0,0.0
14-09-2021,311.05,314.74,310.48,311.44,53450,,0.0,0.0
15-09-2021,315.69,326.7,312.44,323.11,363936,,0.0,0.0
16-09-2021,324.78,324.78,312.87,313.59,107658,,0.0,0.0
17-09-2021,315.65,325.26,307.47,323.44,230715,,0.0,0.0
20-09-2021,325.17,329.47,315.6,316.56,128192,,0.0,0.0
21-09-2021,316.84,318.28,304.84,313.35,440975,,0.0,0.0
22-09-2021,313.78,325.17,313.78,320.05,124530,,0.0,0.0
23-09-2021,323.25,328.99,317.8,318.8,71233,,0.0,0.0
24-09-2021,323.35,323.35,311.1,313.4,71341,,0.0,0.0
27-09-2021,313.83,320.38,311.29,315.12,255616,,0.0,0.0
28-09-2021,316.36,329.47,309.48,315.5,306108,,0.0,0.0
29-09-2021,309.0,319.52,309.0,313.3,41891,,0.0,0.0
30-09-2021,315.17,320.81,312.63,316.27,55781,,0.0,0.0
01-10-2021,314.69,317.13,308.57,310.48,52062,,0.0,0.0
04-10-2021,315.5,324.3,310.91,322.01,131617,,0.0,0.0
05-10-2021,323.3,331.91,319.9,323.78,219357,,0.0,0.0
06-10-2021,324.4,327.17,314.74,316.46,84405,,0.0,0.0
07-10-2021,317.8,319.52,308.62,313.21,91269,,0.0,0.0
08-10-2021,316.36,316.36,309.91,311.77,75404,,0.0,0.0
11-10-2021,311.87,314.88,308.04,308.76,79915,,0.0,0.0
12-10-2021,308.71,308.71,303.64,305.36,76611,,0.0,0.0
13-10-2021,307.37,314.36,304.79,308.38,107357,,0.0,0.0
