Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,927.1,932.19,912.32,922.19,18818,,0.0,0.0
09-08-2021,929.06,942.0,915.45,922.65,38114,,0.0,0.0
10-08-2021,927.1,930.16,845.38,859.29,69259,,0.0,0.0
11-08-2021,871.0,892.84,851.67,886.87,64753,,0.0,0.0
12-08-2021,886.84,929.1,886.8,908.71,92399,,0.0,0.0
13-08-2021,911.03,927.81,909.74,912.84,33063,,0.0,0.0
16-08-2021,913.74,918.77,887.16,896.45,21590,,0.0,0.0
17-08-2021,900.87,900.87,879.58,881.42,16096,,0.0,0.0
18-08-2021,882.09,886.32,841.99,862.0,44675,,0.0,0.0
20-08-2021,826.51,848.16,806.51,813.02,39188,,0.0,0.0
23-08-2021,822.61,825.86,774.93,778.96,48340,,0.0,0.0
24-08-2021,778.96,818.77,771.02,806.6,30324,,0.0,0.0
25-08-2021,810.67,824.57,793.6,799.89,21388,,0.0,0.0
26-08-2021,800.06,819.41,796.99,809.02,22328,,0.0,0.0
27-08-2021,819.28,834.9,800.7,823.15,17504,,0.0,0.0
30-08-2021,854.25,887.22,842.22,872.38,59256,,0.0,0.0
31-08-2021,877.48,900.03,860.19,866.67,25587,,0.0,0.0
01-09-2021,865.87,869.19,848.51,854.03,21514,,0.0,0.0
02-09-2021,854.06,867.83,848.58,856.35,21652,,0.0,0.0
03-09-2021,858.09,863.67,847.16,850.16,15755,,0.0,0.0
06-09-2021,851.67,898.13,851.67,886.55,38947,,0.0,0.0
07-09-2021,892.84,893.74,863.93,870.61,16637,,0.0,0.0
08-09-2021,874.25,897.03,867.42,882.32,19225,,0.0,0.0
09-09-2021,881.16,895.55,874.25,890.13,12720,,0.0,0.0
13-09-2021,874.32,929.03,874.32,909.45,46669,,0.0,0.0
14-09-2021,919.42,932.32,903.93,908.0,21478,,0.0,0.0
15-09-2021,912.55,912.97,894.26,897.58,14963,,0.0,0.0
16-09-2021,902.0,907.1,883.0,886.61,14978,,0.0,0.0
17-09-2021,887.61,890.58,867.12,884.03,17819,,0.0,0.0
20-09-2021,873.93,873.93,854.54,857.12,11349,,0.0,0.0
21-09-2021,849.9,872.32,843.48,863.0,14063,,0.0,0.0
22-09-2021,863.61,892.0,860.87,882.58,16670,,0.0,0.0
23-09-2021,894.26,907.81,875.09,882.71,9644,,0.0,0.0
24-09-2021,893.03,896.77,864.96,868.58,7945,,0.0,0.0
27-09-2021,872.93,913.55,872.93,895.06,33916,,0.0,0.0
28-09-2021,892.32,925.87,886.55,903.03,33110,,0.0,0.0
29-09-2021,902.64,919.45,890.38,895.35,9247,,0.0,0.0
30-09-2021,902.64,912.97,887.97,893.84,12192,,0.0,0.0
01-10-2021,889.09,912.97,883.77,906.39,10400,,0.0,0.0
04-10-2021,905.87,919.16,893.64,903.87,17202,,0.0,0.0
05-10-2021,919.42,972.33,919.42,948.84,167523,,0.0,0.0
06-10-2021,955.55,980.71,932.32,937.03,56577,,0.0,0.0
07-10-2021,945.39,964.58,939.42,945.1,20273,,0.0,0.0
08-10-2021,948.49,957.49,938.78,949.39,15532,,0.0,0.0
11-10-2021,1000.07,1006.52,974.26,998.01,92882,,0.0,0.0
12-10-2021,1000.72,1029.1,982.0,1022.49,86510,,0.0,0.0
13-10-2021,1064.59,1080.08,1032.33,1052.46,129948,,0.0,0.0
14-10-2021,1060.72,1060.72,1009.75,1014.68,69167,,0.0,0.0
18-10-2021,1148.34,1213.63,1129.24,1183.05,503628,,0.0,0.0
19-10-2021,1193.63,1209.12,1158.15,1170.92,171037,,0.0,0.0
20-10-2021,1177.44,1180.53,1145.89,1158.08,108808,,0.0,0.0
21-10-2021,1164.6,1167.53,1143.95,1145.73,97473,,0.0,0.0
22-10-2021,1163.27,1168.33,1096.71,1148.33,67117,,192.0,0.0
25-10-2021,1132.16,1149.92,1037.14,1080.0,43226,,0.0,0.0
26-10-2021,1080.07,1114.04,1079.35,1084.74,20850,,0.0,0.0
27-10-2021,1103.22,1103.22,1075.01,1082.86,14156,,0.0,0.0
28-10-2021,1077.94,1087.02,1048.97,1051.93,21183,,0.0,0.0
29-10-2021,1062.71,1096.13,1030.19,1087.78,26739,,0.0,0.0
01-11-2021,1087.78,1093.82,1061.99,1065.5,12157,,0.0,0.0
02-11-2021,1067.31,1095.99,1058.44,1066.47,19812,,0.0,0.0
03-11-2021,1075.73,1088.39,1063.44,1065.68,6584,,0.0,0.0
04-11-2021,1091.65,1091.65,1077.98,1083.04,4680,,0.0,0.0
08-11-2021,1088.76,1088.76,1063.62,1068.43,13947,,0.0,0.0
09-11-2021,1077.83,1103.22,1063.47,1086.22,17688,,0.0,0.0
10-11-2021,1088.32,1120.59,1076.28,1114.55,19632,,0.0,0.0
11-11-2021,1104.06,1135.78,1099.53,1130.1,19370,,0.0,0.0
12-11-2021,1135.78,1156.76,1099.61,1105.1,65402,,0.0,0.0
15-11-2021,1104.67,1113.28,1070.67,1079.03,21075,,0.0,0.0
16-11-2021,1085.07,1098.05,1067.05,1088.72,60533,,0.0,0.0
17-11-2021,1092.37,1095.41,1064.88,1076.35,11321,,0.0,0.0
18-11-2021,1077.9,1081.74,1052.58,1061.55,18717,,0.0,0.0
22-11-2021,1037.39,1189.31,1012.8,1053.27,24957,,0.0,0.0
23-11-2021,1052.37,1063.44,1012.8,1044.19,16262,,0.0,0.0
24-11-2021,1063.44,1063.44,1037.97,1041.59,11770,,0.0,0.0
25-11-2021,1041.48,1048.97,1033.05,1038.95,9476,,0.0,0.0
26-11-2021,1034.5,1066.33,1020.07,1022.16,20334,,0.0,0.0
29-11-2021,1005.56,1012.8,964.36,981.18,18428,,0.0,0.0
30-11-2021,994.71,1034.5,983.86,1009.61,16015,,0.0,0.0
01-12-2021,1019.99,1032.98,1002.52,1008.96,7096,,0.0,0.0
02-12-2021,1019.13,1019.13,992.54,995.8,10742,,0.0,0.0
03-12-2021,1003.39,1023.68,997.93,1008.78,8229,,0.0,0.0
06-12-2021,1019.6,1022.06,999.12,1005.92,6798,,0.0,0.0
07-12-2021,1003.9,1016.88,1002.67,1005.56,6979,,0.0,0.0
08-12-2021,1012.8,1020.03,1001.94,1009.72,8427,,0.0,0.0
09-12-2021,1019.81,1027.26,1005.56,1009.21,8912,,0.0,0.0
10-12-2021,1004.77,1012.8,1000.46,1003.79,6661,,0.0,0.0
13-12-2021,1004.19,1011.35,996.88,1002.2,8108,,0.0,0.0
14-12-2021,1010.55,1010.55,983.82,989.54,8620,,0.0,0.0
15-12-2021,986.03,1004.84,985.31,990.19,7812,,0.0,0.0
16-12-2021,990.41,1003.32,984.58,989.14,6702,,0.0,0.0
17-12-2021,983.86,983.86,959.26,968.99,7037,,0.0,0.0
20-12-2021,954.92,954.92,911.55,919.51,16359,,0.0,0.0
21-12-2021,910.18,934.7,908.08,918.21,11507,,0.0,0.0
22-12-2021,928.88,951.3,916.58,935.35,8249,,0.0,0.0
23-12-2021,947.69,951.3,929.46,937.92,8365,,0.0,0.0
24-12-2021,944.76,953.95,926.06,937.49,10801,,0.0,0.0
27-12-2021,939.01,965.77,935.64,940.81,9262,,0.0,0.0
28-12-2021,950.58,997.97,943.78,983.46,19992,,0.0,0.0
29-12-2021,999.77,999.77,973.08,983.97,5771,,0.0,0.0
30-12-2021,976.62,996.84,973.01,976.59,8340,,0.0,0.0
31-12-2021,976.62,1004.91,975.07,996.37,12358,,0.0,0.0
03-01-2022,1012.72,1027.26,1004.04,1015.8,12230,,0.0,0.0
04-01-2022,1012.9,1030.16,1009.18,1026.58,14815,,0.0,0.0
05-01-2022,1026.54,1045.17,970.11,1036.78,12184,,0.0,0.0
06-01-2022,1023.65,1051.86,1022.67,1041.05,12466,,0.0,0.0
07-01-2022,1048.24,1048.24,1024.37,1027.37,10229,,0.0,0.0
10-01-2022,1034.46,1040.29,1014.86,1024.41,10360,,0.0,0.0
11-01-2022,1030.88,1030.88,1012.8,1013.84,9261,,0.0,0.0
12-01-2022,1020.03,1048.97,1005.56,1034.79,13870,,0.0,0.0
13-01-2022,1039.53,1045.35,1015.69,1023.43,11535,,0.0,0.0
14-01-2022,1018.08,1031.5,1013.52,1028.82,5752,,0.0,0.0
17-01-2022,1028.82,1033.05,982.41,987.48,30221,,0.0,0.0
18-01-2022,983.86,983.86,944.79,951.09,39532,,0.0,0.0
19-01-2022,942.62,962.01,926.71,938.43,23220,,0.0,0.0
20-01-2022,944.07,962.16,924.86,930.98,18822,,0.0,0.0
21-01-2022,926.71,947.62,925.8,932.06,10966,,0.0,0.0
24-01-2022,929.6,929.6,897.05,900.95,16986,,0.0,0.0
25-01-2022,899.22,911.52,852.52,903.88,13097,,0.0,0.0
27-01-2022,899.94,907.86,876.83,882.47,12452,,0.0,0.0
28-01-2022,884.75,925.98,884.75,922.44,14692,,0.0,0.0
31-01-2022,932.5,932.53,911.88,921.93,9300,,0.0,0.0
01-02-2022,934.01,964.33,919.65,947.76,16013,,0.0,0.0
02-02-2022,966.35,973.01,944.07,956.37,14412,,0.0,0.0
03-02-2022,962.08,968.7,947.69,951.74,9317,,0.0,0.0
04-02-2022,951.3,962.37,931.12,936.84,11931,,0.0,0.0
07-02-2022,930.43,946.57,922.37,922.98,8546,,0.0,0.0
08-02-2022,922.3,923.09,897.88,906.05,6676,,0.0,0.0
09-02-2022,911.66,915.13,821.05,829.08,76408,,0.0,0.0
10-02-2022,810.24,825.21,796.49,805.28,68374,,0.0,0.0
11-02-2022,817.18,860.15,806.62,834.58,40811,,0.0,0.0
14-02-2022,814.29,853.64,813.85,828.43,28367,,0.0,0.0
15-02-2022,828.43,844.24,817.83,838.16,15212,,0.0,0.0
16-02-2022,851.47,851.47,834.11,840.04,13252,,0.0,0.0
17-02-2022,840.04,850.75,824.71,827.49,6980,,0.0,0.0
18-02-2022,831.65,836.28,817.51,820.62,6253,,0.0,0.0
21-02-2022,812.41,820.26,795.77,808.36,11257,,0.0,0.0
22-02-2022,796.49,807.38,789.33,798.08,13958,,0.0,0.0
23-02-2022,798.3,815.23,789.98,796.67,5356,,0.0,0.0
24-02-2022,777.68,788.9,727.26,739.56,23454,,0.0,0.0
25-02-2022,758.87,768.46,750.95,758.62,18542,,0.0,0.0
28-02-2022,759.56,766.83,739.3,758.91,15672,,0.0,0.0
02-03-2022,752.36,770.45,749.47,754.28,18768,,0.0,0.0
03-03-2022,758.08,759.78,739.41,741.98,11786,,0.0,0.0
04-03-2022,739.34,744.77,726.39,727.95,29810,,0.0,0.0
07-03-2022,714.74,726.25,704.36,708.05,17178,,0.0,0.0
08-03-2022,702.16,722.05,690.51,695.43,35100,,0.0,0.0
09-03-2022,698.94,711.13,684.72,688.7,44442,,0.0,0.0
10-03-2022,705.34,709.68,680.02,685.84,48448,,0.0,0.0
11-03-2022,680.02,708.34,680.02,687.29,39452,,0.0,0.0
14-03-2022,688.01,709.64,687.25,703.28,42045,,0.0,0.0
15-03-2022,701.72,706.24,688.85,693.98,28013,,0.0,0.0
16-03-2022,698.07,707.51,695.94,699.34,27771,,0.0,0.0
17-03-2022,707.44,788.35,704.54,776.56,93208,,0.0,0.0
21-03-2022,792.84,819.86,771.86,793.74,40666,,0.0,0.0
22-03-2022,793.74,810.24,766.72,798.63,27220,,0.0,0.0
23-03-2022,799.39,817.04,789.98,795.51,47836,,0.0,0.0
24-03-2022,795.77,805.86,774.07,779.38,20399,,0.0,0.0
25-03-2022,767.7,787.56,755.98,763.32,24700,,0.0,0.0
28-03-2022,750.19,762.16,721.54,725.49,46191,,0.0,0.0
29-03-2022,724.15,737.89,705.52,710.44,33431,,0.0,0.0
30-03-2022,717.64,734.28,716.19,719.34,26664,,0.0,0.0
31-03-2022,719.34,727.04,703.68,705.59,33093,,0.0,0.0
01-04-2022,705.59,772.62,705.59,755.18,39208,,0.0,0.0
04-04-2022,762.42,810.24,762.42,807.09,45863,,0.0,0.0
