Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,740.05,755.57,706.81,722.28,382481,,0.0,0.0
09-08-2021,713.69,717.6,675.08,681.23,463967,,0.0,0.0
10-08-2021,680.5,682.55,621.53,626.94,526372,,0.0,0.0
11-08-2021,633.63,646.23,608.49,629.09,554240,,0.0,0.0
12-08-2021,634.61,656.09,634.61,650.52,352112,,0.0,0.0
13-08-2021,654.57,662.92,623.48,628.6,1208297,,0.0,0.0
16-08-2021,625.82,628.65,611.71,615.62,212126,,0.0,0.0
17-08-2021,610.2,614.11,586.57,592.29,435654,,0.0,0.0
18-08-2021,595.26,613.81,581.4,586.57,403192,,0.0,0.0
20-08-2021,585.79,601.41,578.42,584.23,352004,,0.0,0.0
23-08-2021,585.79,595.31,548.99,558.75,252855,,0.0,0.0
24-08-2021,564.31,573.59,551.62,553.77,422663,,0.0,0.0
25-08-2021,566.75,604.15,563.34,584.82,1139865,,0.0,0.0
26-08-2021,585.79,585.79,573.15,577.98,248063,,0.0,0.0
27-08-2021,578.96,693.58,577.98,690.41,10224550,,0.0,0.0
30-08-2021,690.26,705.29,660.77,667.9,5466284,,0.0,0.0
31-08-2021,665.95,679.52,639.49,643.93,2001546,,0.0,0.0
01-09-2021,650.13,652.67,630.8,633.97,494343,,0.0,0.0
02-09-2021,636.85,672.69,636.56,644.32,1089163,,0.0,0.0
03-09-2021,647.98,655.06,643.15,645.84,276684,,0.0,0.0
06-09-2021,649.25,651.4,642.42,644.18,176012,,0.0,0.0
07-09-2021,645.93,647.54,629.78,635.15,254063,,0.0,0.0
08-09-2021,637.54,667.61,629.82,654.38,1166281,,0.0,0.0
09-09-2021,652.08,667.02,651.21,658.77,360417,,0.0,0.0
13-09-2021,659.6,672.69,649.4,669.02,535156,,0.0,0.0
14-09-2021,673.66,681.47,662.97,673.66,477737,,0.0,0.0
15-09-2021,673.47,675.86,644.37,666.58,682087,,0.0,0.0
16-09-2021,670.29,671.76,659.02,660.97,259636,,0.0,0.0
17-09-2021,661.9,666.83,639.49,642.42,312647,,0.0,0.0
20-09-2021,640.47,644.32,626.8,628.31,186108,,0.0,0.0
21-09-2021,631.14,638.03,615.08,630.46,183890,,0.0,0.0
22-09-2021,635.98,642.37,632.02,635.78,156630,,0.0,0.0
23-09-2021,638.81,651.69,638.81,648.62,212539,,0.0,0.0
