Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
28-11-2025,728.71,793.6,723.72,772.78,39753452,,0.0,0.0
01-12-2025,780.62,785.51,714.49,726.91,9937457,,0.0,0.0
02-12-2025,723.72,742.89,706.8,722.02,4370587,,0.0,0.0
03-12-2025,726.71,730.71,669.32,679.95,3412104,,0.0,0.0
04-12-2025,677.8,713.44,657.04,668.02,5777481,,0.0,0.0
05-12-2025,669.82,674.71,657.94,662.28,1060045,,0.0,0.0
08-12-2025,663.78,666.52,640.02,649.85,1055866,,0.0,0.0
09-12-2025,649.7,677.65,630.34,668.92,1341760,,0.0,0.0
10-12-2025,668.82,686.79,664.57,675.31,626216,,0.0,0.0
11-12-2025,675.8,683.54,660.83,677.9,367599,,0.0,0.0
12-12-2025,678.8,704.25,673.91,697.52,398302,,0.0,0.0
15-12-2025,693.77,700.01,663.83,668.47,250614,,0.0,0.0
16-12-2025,667.92,670.81,653.84,663.48,210462,,0.0,0.0
17-12-2025,665.82,667.52,654.39,657.74,247586,,0.0,0.0
18-12-2025,657.79,683.79,643.86,672.96,288240,,0.0,0.0
19-12-2025,678.8,693.77,664.33,685.99,417332,,0.0,0.0
22-12-2025,660.83,672.51,644.21,663.23,459879,,0.0,0.0
23-12-2025,659.43,666.62,641.87,647.16,217277,,0.0,0.0
24-12-2025,648.75,648.75,618.91,627.64,183173,,0.0,0.0
26-12-2025,630.88,653.29,618.91,621.4,271195,,0.0,0.0
29-12-2025,633.83,634.98,613.96,620.3,375356,,0.0,0.0
30-12-2025,620.3,624.99,600.04,605.58,149244,,0.0,0.0
31-12-2025,610.42,610.72,599.99,601.69,141251,,0.0,0.0
01-01-2026,601.69,609.92,595.6,597.49,75378,,0.0,0.0
02-01-2026,596.94,607.33,585.96,595.75,227116,,0.0,0.0
05-01-2026,595.85,599.04,584.72,596.45,307712,,0.0,0.0
06-01-2026,596.45,596.45,585.07,589.36,176213,,0.0,0.0
07-01-2026,583.97,592.4,583.97,587.31,131037,,0.0,0.0
08-01-2026,589.06,589.06,561.01,567.6,95670,,0.0,0.0
09-01-2026,564.0,569.89,542.94,545.78,217825,,0.0,0.0
12-01-2026,546.63,600.34,546.08,600.34,736895,,0.0,0.0
13-01-2026,622.85,643.86,592.1,620.3,1985288,,0.0,0.0
14-01-2026,609.92,614.91,597.24,610.22,223460,,0.0,0.0
15-01-2026,610.22,610.22,610.22,610.22,0,,0.0,0.0
16-01-2026,601.94,608.67,578.98,585.41,170996,,0.0,0.0
19-01-2026,574.28,577.88,559.01,561.56,110077,,0.0,0.0
20-01-2026,561.46,561.46,526.22,529.06,181517,,0.0,0.0
21-01-2026,529.06,545.74,523.12,537.5,190051,,0.0,0.0
22-01-2026,547.03,547.03,529.06,540.64,93545,,0.0,0.0
23-01-2026,540.64,571.94,540.64,559.91,221224,,0.0,0.0
27-01-2026,559.91,560.41,545.59,557.16,46486,,0.0,0.0
28-01-2026,557.31,588.96,555.27,586.01,119860,,0.0,0.0
29-01-2026,586.01,610.92,575.03,607.23,168197,,0.0,0.0
30-01-2026,604.93,620.05,590.06,608.07,92325,,0.0,0.0
02-02-2026,591.1,600.94,581.97,594.5,46571,,0.0,0.0
03-02-2026,613.91,619.9,601.74,608.42,65710,,0.0,0.0
04-02-2026,607.93,608.92,594.95,597.29,43625,,0.0,0.0
05-02-2026,606.43,623.75,598.59,617.21,68738,,0.0,0.0
06-02-2026,629.64,648.85,620.25,637.97,198705,,0.0,0.0
09-02-2026,657.84,665.72,636.87,658.79,228607,,0.0,0.0
10-02-2026,660.73,672.81,643.86,661.18,52939,,0.0,0.0
11-02-2026,662.08,664.48,649.85,659.88,34677,,0.0,0.0
12-02-2026,653.84,677.8,651.45,671.01,76059,,0.0,0.0
13-02-2026,663.78,673.31,651.95,667.22,47925,,0.0,0.0
16-02-2026,653.89,664.87,653.89,658.39,25512,,0.0,0.0
17-02-2026,657.84,672.81,654.44,665.22,50659,,0.0,0.0
18-02-2026,661.43,683.79,661.43,674.41,76964,,0.0,0.0
19-02-2026,678.8,686.79,663.88,669.82,88984,,0.0,0.0
20-02-2026,659.83,669.37,646.81,663.68,52458,,0.0,0.0
23-02-2026,663.83,664.43,623.9,630.49,79985,,0.0,0.0
24-02-2026,612.17,661.58,604.43,643.06,279133,,0.0,0.0
25-02-2026,638.97,652.8,634.43,647.36,45577,,0.0,0.0
26-02-2026,643.86,676.8,643.86,656.09,94153,,0.0,0.0
27-02-2026,648.85,660.08,628.89,637.82,72759,,0.0,0.0
02-03-2026,606.33,628.89,581.57,595.45,155407,,0.0,0.0
04-03-2026,594.35,594.35,578.03,582.97,66216,,0.0,0.0
05-03-2026,579.97,588.86,579.03,583.62,63283,,0.0,0.0
06-03-2026,581.27,595.45,579.97,582.22,18364,,0.0,0.0
09-03-2026,577.78,577.78,551.08,556.82,54264,,0.0,0.0
10-03-2026,563.95,598.74,559.96,593.1,212680,,0.0,0.0
11-03-2026,593.95,652.4,586.11,617.81,199118,,0.0,0.0
12-03-2026,599.34,612.47,592.35,607.03,63821,,0.0,0.0
13-03-2026,606.68,623.9,588.96,592.55,98253,,0.0,0.0
16-03-2026,616.71,616.71,573.64,595.85,83451,,0.0,0.0
17-03-2026,622.9,622.9,592.35,603.13,150578,,0.0,0.0
18-03-2026,603.13,623.9,603.13,620.9,58476,,0.0,0.0
19-03-2026,610.52,612.92,594.0,597.09,40872,,0.0,0.0
20-03-2026,602.29,619.9,602.29,612.77,247121,,0.0,0.0
23-03-2026,598.94,608.12,589.96,596.35,44313,,0.0,0.0
24-03-2026,607.88,631.78,603.93,621.8,77413,,0.0,0.0
25-03-2026,628.89,630.88,613.91,626.24,54235,,0.0,0.0
27-03-2026,622.7,643.76,592.7,605.88,264173,,0.0,0.0
30-03-2026,602.93,608.92,584.17,591.5,118669,,0.0,0.0
01-04-2026,602.93,628.34,597.89,612.92,71025,,0.0,0.0
02-04-2026,608.92,617.91,597.44,614.01,21964,,0.0,0.0
06-04-2026,600.94,613.91,600.94,602.63,47147,,0.0,0.0
07-04-2026,608.92,613.86,598.94,601.24,26558,,0.0,0.0
08-04-2026,618.81,661.33,608.92,614.96,604877,,0.0,0.0
09-04-2026,613.91,621.95,609.02,612.22,38527,,0.0,0.0
10-04-2026,617.91,626.04,607.03,608.77,35316,,0.0,0.0
13-04-2026,598.94,623.9,594.95,620.15,63132,,0.0,0.0
15-04-2026,628.79,633.88,619.9,627.54,51175,,0.0,0.0
16-04-2026,640.67,644.86,621.4,629.99,63398,,0.0,0.0
17-04-2026,637.87,648.85,629.69,644.31,80085,,0.0,0.0
20-04-2026,647.51,668.72,639.92,663.38,71310,,0.0,0.0
21-04-2026,673.81,676.8,653.0,657.04,43991,,0.0,0.0
22-04-2026,668.82,678.4,655.84,673.81,43958,,0.0,0.0
23-04-2026,672.61,693.62,664.13,686.74,78892,,0.0,0.0
24-04-2026,698.76,705.75,676.8,680.6,196766,,0.0,0.0
27-04-2026,688.78,697.27,670.16,677.85,79840,,0.0,0.0
28-04-2026,681.1,693.22,678.8,682.59,37425,,0.0,0.0
29-04-2026,692.77,693.72,683.89,691.58,57241,,0.0,0.0
30-04-2026,685.39,726.72,680.85,706.3,127770,,0.0,0.0
01-05-2026,706.3,706.3,706.3,706.3,0,,0.0,0.0
04-05-2026,708.75,710.24,686.09,688.73,83306,,0.0,0.0
05-05-2026,688.73,692.33,680.9,685.14,32956,,0.0,0.0
06-05-2026,685.89,695.57,659.93,673.46,75285,,0.0,0.0
07-05-2026,683.69,683.69,664.43,671.11,60831,,0.0,0.0
08-05-2026,675.76,678.6,653.94,656.84,80018,,0.0,0.0
11-05-2026,656.74,656.74,643.86,648.65,196583,,0.0,0.0
12-05-2026,648.85,651.2,624.9,629.89,50628,,0.0,0.0
13-05-2026,632.88,649.3,623.6,633.23,46817,,0.0,0.0
14-05-2026,636.92,678.8,633.83,671.31,107145,,0.0,0.0
15-05-2026,668.82,669.67,645.01,647.8,52188,,0.0,0.0
18-05-2026,640.82,648.85,631.88,648.1,50807,,0.0,0.0
19-05-2026,646.86,653.29,641.96,647.65,58247,,0.0,0.0
20-05-2026,647.65,649.85,644.46,648.95,54310,,0.0,0.0
21-05-2026,656.64,678.8,654.84,667.02,118876,,0.0,0.0
22-05-2026,654.84,733.7,638.87,672.16,396644,,0.0,0.0
25-05-2026,697.77,728.71,688.78,695.57,424660,,0.0,0.0
26-05-2026,706.35,720.93,689.03,695.87,248034,,0.0,0.0
27-05-2026,691.83,703.71,671.81,673.51,148075,,0.0,0.0
28-05-2026,673.51,673.51,673.51,673.51,0,,0.0,0.0
29-05-2026,695.77,740.84,679.7,740.84,853050,,0.0,0.0
01-06-2026,771.49,814.91,753.77,779.12,1795562,,0.0,0.0
02-06-2026,780.57,809.02,763.4,775.53,556059,,0.0,0.0
03-06-2026,776.23,788.61,759.36,763.25,237771,,0.0,0.0
04-06-2026,759.66,775.53,752.87,757.26,175680,,0.0,0.0
05-06-2026,754.67,784.36,741.19,753.17,194981,,0.0,0.0
08-06-2026,751.62,757.66,719.83,728.61,227362,,0.0,0.0
09-06-2026,733.75,749.77,726.02,740.29,198700,,0.0,0.0
10-06-2026,743.68,773.48,723.72,730.11,289057,,0.0,0.0
11-06-2026,730.11,738.19,721.22,728.51,191983,,0.0,0.0
12-06-2026,745.28,763.1,736.05,748.18,294718,,0.0,0.0
