Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,102.5,103.7,102.35,103.0,632527,,0.0,0.0
09-08-2021,103.7,103.7,101.7,102.6,568195,,0.0,0.0
10-08-2021,102.05,102.85,96.1,99.6,2159395,,0.0,0.0
11-08-2021,98.0,99.65,94.5,97.5,1712766,,0.0,0.0
12-08-2021,98.3,101.5,98.2,100.7,796560,,0.0,0.0
13-08-2021,102.0,105.9,102.0,104.9,2836759,,0.0,0.0
16-08-2021,105.4,107.2,104.25,106.55,1689670,,0.0,0.0
17-08-2021,106.8,106.8,101.9,102.55,1219914,,0.0,0.0
18-08-2021,103.5,103.5,100.7,101.55,1074635,,0.0,0.0
20-08-2021,100.0,102.8,98.05,99.35,2177793,,0.0,0.0
23-08-2021,100.7,102.45,95.5,95.95,1347971,,0.0,0.0
24-08-2021,96.45,100.9,96.45,100.25,1244075,,0.0,0.0
25-08-2021,100.45,101.65,98.5,99.1,674370,,0.0,0.0
26-08-2021,98.3,99.9,97.5,98.4,515441,,0.0,0.0
27-08-2021,98.4,99.6,97.55,98.7,599055,,0.0,0.0
30-08-2021,99.75,100.75,99.15,99.6,542392,,0.0,0.0
31-08-2021,100.1,101.45,99.7,99.95,817273,,0.0,0.0
01-09-2021,99.95,101.1,98.8,100.0,811642,,0.0,0.0
02-09-2021,100.0,102.95,99.85,101.4,1250056,,0.0,0.0
03-09-2021,100.25,102.5,100.05,100.4,831762,,0.0,0.0
06-09-2021,107.0,107.3,101.15,101.65,4459336,,0.0,0.0
07-09-2021,102.0,104.85,101.75,103.0,2044332,,0.0,0.0
08-09-2021,103.5,103.7,102.15,102.45,770785,,0.0,0.0
09-09-2021,101.0,105.35,101.0,102.5,1934175,,0.0,0.0
13-09-2021,102.0,104.9,101.5,103.5,1821990,,0.0,0.0
14-09-2021,104.45,105.0,102.0,102.25,1130549,,0.0,0.0
15-09-2021,102.3,104.8,101.4,101.85,1000578,,0.0,0.0
16-09-2021,101.65,102.4,100.8,100.9,963087,,0.0,0.0
17-09-2021,101.2,101.8,98.4,99.3,997889,,0.0,0.0
20-09-2021,97.5,100.75,97.0,97.15,896071,,0.0,0.0
21-09-2021,97.8,97.85,95.5,96.05,931648,,0.0,0.0
22-09-2021,96.7,98.5,94.65,94.9,1811016,,0.0,0.0
23-09-2021,96.5,100.0,96.0,99.35,2760733,,0.0,0.0
24-09-2021,100.4,101.4,96.75,97.15,1644115,,0.0,0.0
27-09-2021,97.9,98.8,96.6,97.95,896855,,0.0,0.0
28-09-2021,97.95,98.8,97.1,97.8,652235,,0.0,0.0
29-09-2021,97.25,98.0,96.65,97.4,603320,,0.0,0.0
30-09-2021,97.9,101.0,97.75,98.45,1153683,,0.0,0.0
01-10-2021,96.65,99.25,96.65,97.95,654943,,0.0,0.0
04-10-2021,98.65,99.55,98.0,99.05,1296970,,0.0,0.0
05-10-2021,98.8,101.5,98.4,101.0,1539281,,0.0,0.0
06-10-2021,102.0,103.7,99.0,99.25,1837709,,0.0,0.0
07-10-2021,100.5,103.5,99.5,103.1,4723448,,0.0,0.0
08-10-2021,103.8,118.25,103.5,116.1,23242492,,0.0,0.0
11-10-2021,117.65,124.1,116.1,119.6,10874456,,0.0,0.0
12-10-2021,120.0,123.2,117.75,121.5,6549157,,0.0,0.0
13-10-2021,122.3,125.0,117.1,118.1,4745240,,0.0,0.0
14-10-2021,119.4,122.65,115.85,116.95,3043007,,0.0,0.0
18-10-2021,124.0,124.05,118.2,120.45,3648341,,0.0,0.0
19-10-2021,121.0,121.45,111.25,113.05,2525509,,0.0,0.0
20-10-2021,113.05,115.4,108.1,112.95,2408180,,0.0,0.0
21-10-2021,113.2,115.65,112.15,114.15,1503923,,0.0,0.0
22-10-2021,114.05,116.45,111.95,112.7,1335098,,0.0,0.0
25-10-2021,112.0,112.7,104.85,105.9,1639436,,0.0,0.0
26-10-2021,106.0,110.85,106.0,109.95,1110770,,0.0,0.0
27-10-2021,110.0,113.4,107.0,108.3,1308878,,0.0,0.0
28-10-2021,107.0,108.45,103.2,105.35,847816,,0.0,0.0
29-10-2021,104.1,106.5,102.0,104.7,926421,,0.0,0.0
01-11-2021,105.5,106.85,102.3,103.6,969202,,0.0,0.0
02-11-2021,104.0,108.35,104.0,107.55,1249710,,0.0,0.0
03-11-2021,106.55,108.9,104.3,105.7,844560,,0.0,0.0
04-11-2021,106.55,108.2,106.0,107.75,284181,,0.0,0.0
08-11-2021,108.5,109.65,106.45,108.35,766501,,0.0,0.0
09-11-2021,108.35,112.5,107.9,110.55,1107324,,0.0,0.0
10-11-2021,109.0,112.8,108.85,110.75,857204,,0.0,0.0
11-11-2021,111.25,111.7,109.5,110.25,635739,,0.0,0.0
12-11-2021,110.9,111.3,108.0,108.45,600690,,0.0,0.0
15-11-2021,107.0,107.4,102.75,103.4,940011,,0.0,0.0
16-11-2021,106.4,107.1,101.5,101.7,2338881,,0.0,0.0
17-11-2021,102.95,105.45,102.2,104.55,1275000,,0.0,0.0
18-11-2021,105.85,105.95,102.6,103.8,1003877,,0.0,0.0
22-11-2021,105.9,105.95,98.45,99.4,1599794,,0.0,0.0
23-11-2021,99.2,103.15,97.1,100.3,1357866,,0.0,0.0
24-11-2021,101.0,102.85,99.0,99.2,1552656,,0.0,0.0
25-11-2021,100.0,101.85,99.35,99.9,1347573,,0.0,0.0
26-11-2021,99.5,100.85,97.45,98.15,1273318,,0.0,0.0
29-11-2021,98.35,98.55,92.25,94.55,1469047,,0.0,0.0
30-11-2021,96.55,97.5,95.1,96.2,1115262,,0.0,0.0
01-12-2021,96.2,97.85,95.75,96.15,823972,,0.0,0.0
02-12-2021,96.9,97.6,95.7,96.55,806494,,0.0,0.0
03-12-2021,97.15,104.45,96.85,100.4,5866647,,0.0,0.0
06-12-2021,101.0,101.4,96.5,97.05,1079689,,0.0,0.0
07-12-2021,97.95,98.4,96.25,96.45,1559142,,0.0,0.0
08-12-2021,97.05,98.55,96.85,97.15,931451,,0.0,0.0
09-12-2021,97.75,98.25,96.8,97.1,846913,,0.0,0.0
10-12-2021,97.15,98.8,96.75,97.15,1355852,,0.0,0.0
13-12-2021,98.0,99.2,95.85,96.45,1413553,,0.0,0.0
14-12-2021,95.95,97.1,95.5,95.95,936599,,0.0,0.0
15-12-2021,96.3,99.6,96.0,96.35,3753446,,0.0,0.0
16-12-2021,97.4,97.8,94.4,94.95,1784753,,0.0,0.0
17-12-2021,95.3,95.75,93.0,93.25,1082609,,0.0,0.0
20-12-2021,92.5,92.5,87.55,89.0,1606257,,0.0,0.0
21-12-2021,90.1,91.95,88.35,88.8,1388267,,0.0,0.0
22-12-2021,89.5,90.9,89.05,90.45,953607,,0.0,0.0
23-12-2021,91.05,94.45,90.85,94.05,1771426,,0.0,0.0
24-12-2021,94.3,94.3,91.55,92.3,840390,,0.0,0.0
27-12-2021,98.05,103.3,94.95,101.55,11075838,,0.0,0.0
28-12-2021,101.4,102.5,98.0,98.65,3703759,,0.0,0.0
29-12-2021,99.4,100.95,98.65,99.55,2525118,,0.0,0.0
30-12-2021,100.0,100.0,97.55,99.05,1099879,,0.0,0.0
31-12-2021,99.3,100.85,98.65,100.55,1768362,,0.0,0.0
03-01-2022,100.85,103.85,100.65,102.7,2729802,,0.0,0.0
04-01-2022,103.3,105.4,101.5,104.9,2723054,,0.0,0.0
05-01-2022,105.0,108.6,103.35,107.9,3010416,,0.0,0.0
