Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,556.3,561.27,553.97,556.3,158633,,0.0,0.0
09-08-2021,558.79,560.77,552.33,553.97,109963,,0.0,0.0
10-08-2021,556.8,558.94,535.44,538.92,176328,,0.0,0.0
11-08-2021,538.92,551.88,515.57,544.04,355542,,0.0,0.0
12-08-2021,543.39,549.7,528.74,535.89,298727,,0.0,0.0
13-08-2021,537.38,545.82,526.7,531.42,182549,,0.0,0.0
16-08-2021,518.55,518.55,502.66,506.53,424012,,0.0,0.0
17-08-2021,502.66,510.61,497.05,508.07,171034,,0.0,0.0
18-08-2021,520.54,520.54,509.61,518.65,229428,,0.0,0.0
20-08-2021,512.59,512.94,496.7,501.62,137584,,0.0,0.0
23-08-2021,506.34,506.58,479.37,490.79,297828,,0.0,0.0
24-08-2021,487.26,504.99,483.24,499.58,233236,,0.0,0.0
25-08-2021,497.84,511.6,497.84,508.37,194316,,0.0,0.0
26-08-2021,510.61,513.39,502.91,511.35,138098,,0.0,0.0
27-08-2021,509.61,517.56,505.64,513.39,112637,,0.0,0.0
30-08-2021,517.56,520.89,508.52,514.53,152921,,0.0,0.0
31-08-2021,513.59,515.57,500.97,505.14,161500,,0.0,0.0
01-09-2021,505.14,519.95,497.69,506.58,308814,,0.0,0.0
02-09-2021,505.14,515.28,503.65,511.15,208558,,0.0,0.0
03-09-2021,512.3,524.52,509.07,517.76,405257,,0.0,0.0
06-09-2021,521.49,524.52,517.56,520.84,238066,,0.0,0.0
07-09-2021,520.64,523.52,517.01,520.0,259345,,0.0,0.0
08-09-2021,521.49,522.43,501.77,511.35,176161,,0.0,0.0
09-09-2021,508.12,512.74,503.65,508.32,262604,,0.0,0.0
13-09-2021,509.61,517.56,508.67,511.25,144800,,0.0,0.0
14-09-2021,516.42,519.55,511.1,514.13,194336,,0.0,0.0
15-09-2021,516.72,531.32,514.73,522.93,259662,,0.0,0.0
16-09-2021,524.42,546.27,520.89,524.47,551276,,0.0,0.0
17-09-2021,526.5,530.92,510.61,513.09,249301,,0.0,0.0
20-09-2021,505.64,513.44,504.15,510.56,252144,,0.0,0.0
21-09-2021,507.23,517.86,505.94,510.96,226752,,0.0,0.0
22-09-2021,516.03,526.53,510.61,516.53,208435,,1.0,0.0
23-09-2021,519.61,557.39,518.87,551.47,979579,,0.0,0.0
24-09-2021,599.19,599.19,563.46,569.48,2482200,,0.0,0.0
27-09-2021,569.48,573.81,552.51,557.49,346165,,0.0,0.0
