Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,10.1,10.5,9.85,10.1,7592985,,0.0,0.0
09-08-2021,10.2,10.35,9.8,9.85,3696366,,0.0,0.0
10-08-2021,9.8,10.0,9.4,9.4,3642374,,0.0,0.0
11-08-2021,9.35,9.45,8.95,9.25,7654553,,0.0,0.0
12-08-2021,9.3,9.7,9.3,9.7,2140870,,0.0,0.0
13-08-2021,10.15,10.15,9.8,10.15,10629968,,0.0,0.0
16-08-2021,10.4,10.4,9.7,9.75,5645928,,0.0,0.0
17-08-2021,9.8,10.15,9.5,9.65,4754570,,0.0,0.0
18-08-2021,9.7,9.75,9.2,9.2,4636908,,0.0,0.0
20-08-2021,9.1,9.65,9.1,9.65,3705091,,0.0,0.0
23-08-2021,10.0,10.1,9.25,9.3,5056662,,0.0,0.0
24-08-2021,9.4,9.75,9.25,9.65,3067690,,0.0,0.0
25-08-2021,9.75,9.95,9.55,9.65,2094628,,0.0,0.0
26-08-2021,9.7,9.75,9.5,9.6,1198950,,0.0,0.0
27-08-2021,9.5,9.7,9.5,9.55,1685294,,0.0,0.0
30-08-2021,9.65,10.0,9.55,10.0,2993459,,0.0,0.0
31-08-2021,10.0,10.25,9.55,9.95,4307818,,0.0,0.0
01-09-2021,10.05,10.1,9.75,9.95,1744777,,0.0,0.0
02-09-2021,10.1,10.15,9.95,10.0,1709989,,0.0,0.0
03-09-2021,10.05,10.15,9.85,9.9,1621153,,0.0,0.0
06-09-2021,9.95,10.0,9.7,9.75,1704073,,0.0,0.0
07-09-2021,9.8,9.95,9.6,9.65,1109071,,0.0,0.0
08-09-2021,9.7,9.8,9.55,9.6,2199561,,0.0,0.0
09-09-2021,9.6,9.7,9.4,9.5,4302746,,0.0,0.0
13-09-2021,9.55,9.95,9.3,9.95,4320442,,0.0,0.0
14-09-2021,10.1,10.4,10.05,10.25,6542408,,0.0,0.0
15-09-2021,10.45,10.45,10.1,10.2,2794496,,0.0,0.0
16-09-2021,10.25,10.35,9.9,10.05,3869542,,0.0,0.0
17-09-2021,10.15,10.25,9.65,10.15,5673699,,0.0,0.0
20-09-2021,10.05,10.15,9.8,9.85,2197496,,0.0,0.0
21-09-2021,9.95,10.0,9.6,9.75,1649314,,0.0,0.0
22-09-2021,9.8,10.0,9.65,9.7,3237306,,0.0,0.0
23-09-2021,9.8,9.9,9.45,9.6,3475704,,0.0,0.0
24-09-2021,9.7,9.8,9.6,9.65,2263746,,0.0,0.0
27-09-2021,9.75,9.95,9.7,9.75,1977604,,0.0,0.0
28-09-2021,9.8,9.8,9.4,9.5,3144823,,0.0,0.0
29-09-2021,9.4,9.95,9.4,9.7,4872373,,0.0,0.0
30-09-2021,9.65,9.8,9.6,9.65,1998564,,0.0,0.0
01-10-2021,9.6,9.7,9.5,9.55,2164813,,0.0,0.0
04-10-2021,9.6,10.0,9.55,9.8,9262950,,0.0,0.0
05-10-2021,9.75,9.9,9.6,9.65,3777494,,0.0,0.0
06-10-2021,9.65,9.8,9.55,9.6,3215684,,0.0,0.0
07-10-2021,9.7,10.35,9.65,9.9,18061579,,0.0,0.0
08-10-2021,10.05,10.85,9.8,10.85,37353827,,0.0,0.0
11-10-2021,11.25,11.35,10.45,10.55,18267240,,0.0,0.0
12-10-2021,10.5,10.85,10.15,10.35,7429110,,0.0,0.0
13-10-2021,10.45,11.0,10.4,10.6,9434937,,0.0,0.0
14-10-2021,10.7,10.85,10.55,10.65,5387648,,0.0,0.0
18-10-2021,10.7,11.7,10.6,11.6,25857037,,0.0,0.0
19-10-2021,11.7,12.25,10.9,10.95,14054997,,0.0,0.0
20-10-2021,11.0,11.1,10.35,10.4,6661623,,0.0,0.0
21-10-2021,10.55,11.4,10.45,10.8,11396909,,0.0,0.0
22-10-2021,10.9,11.1,10.25,10.35,5296111,,0.0,0.0
25-10-2021,10.5,10.55,9.75,9.8,7101125,,0.0,0.0
26-10-2021,9.75,10.3,9.7,9.8,5325000,,0.0,0.0
27-10-2021,9.85,9.9,9.7,9.75,2923153,,0.0,0.0
28-10-2021,9.75,9.75,9.3,9.4,4752990,,0.0,0.0
29-10-2021,9.4,9.5,9.15,9.4,2115197,,0.0,0.0
01-11-2021,9.55,9.75,9.4,9.5,2986285,,0.0,0.0
02-11-2021,9.6,9.75,9.35,9.4,4582608,,0.0,0.0
03-11-2021,9.45,9.55,9.0,9.2,4146801,,0.0,0.0
04-11-2021,9.3,9.5,9.25,9.5,1120053,,0.0,0.0
08-11-2021,9.6,9.7,9.45,9.55,2758566,,0.0,0.0
