Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,283.04,288.06,275.92,278.61,724246,,0.0,0.0
09-08-2021,280.15,283.14,276.57,281.49,398773,,0.0,0.0
10-08-2021,279.01,285.97,268.95,282.14,882556,,0.0,0.0
11-08-2021,285.62,288.06,263.38,282.59,2343861,,0.0,0.0
12-08-2021,283.63,285.52,273.73,278.81,663082,,0.0,0.0
13-08-2021,283.04,292.39,280.4,284.43,1558126,,0.0,0.0
16-08-2021,285.67,301.35,284.93,295.88,5670538,,0.0,0.0
17-08-2021,295.58,306.42,289.11,301.3,2482739,,0.0,0.0
18-08-2021,303.34,304.88,293.59,300.55,865765,,0.0,0.0
20-08-2021,300.55,300.55,279.65,286.07,766426,,0.0,0.0
23-08-2021,296.57,301.3,281.64,286.72,823760,,0.0,0.0
24-08-2021,286.72,297.52,284.88,293.39,330153,,0.0,0.0
25-08-2021,299.56,302.94,292.64,297.37,897178,,0.0,0.0
26-08-2021,298.36,317.12,292.59,305.43,2423575,,0.0,0.0
27-08-2021,307.42,322.05,300.55,316.92,2256983,,0.0,0.0
30-08-2021,317.47,328.22,314.09,319.66,1146589,,0.0,0.0
31-08-2021,323.44,333.25,319.01,330.81,1258725,,0.0,0.0
01-09-2021,330.96,342.25,325.53,330.86,932072,,0.0,0.0
02-09-2021,328.42,334.39,326.68,328.52,1782338,,0.0,0.0
03-09-2021,331.11,333.29,319.86,324.34,651613,,0.0,0.0
06-09-2021,324.54,329.81,315.58,318.62,540258,,0.0,0.0
07-09-2021,321.85,327.32,318.47,320.76,636452,,0.0,0.0
08-09-2021,323.14,323.14,314.54,315.58,396307,,0.0,0.0
09-09-2021,313.59,319.46,310.01,311.55,1698677,,0.0,0.0
13-09-2021,312.5,316.18,299.56,302.59,597439,,0.0,0.0
14-09-2021,322.45,322.45,305.53,310.85,2056473,,0.0,0.0
15-09-2021,313.14,320.46,306.08,311.45,2179473,,0.0,0.0
16-09-2021,314.29,316.08,306.42,307.62,1130157,,0.0,0.0
17-09-2021,309.51,310.45,294.58,300.1,1328969,,0.0,0.0
20-09-2021,299.56,309.16,287.76,290.8,1597632,,0.0,0.0
21-09-2021,291.15,300.31,288.06,288.81,882897,,0.25,0.0
22-09-2021,289.55,297.82,286.57,287.46,849600,,0.0,0.0
23-09-2021,289.85,295.73,289.85,292.69,707316,,0.0,0.0
24-09-2021,294.49,295.83,288.86,290.95,345560,,0.0,0.0
27-09-2021,293.54,294.83,289.11,290.0,354160,,0.0,0.0
28-09-2021,291.65,292.84,285.32,286.72,387180,,0.0,0.0
29-09-2021,285.87,288.36,283.88,286.82,310102,,0.0,0.0
30-09-2021,286.87,291.0,284.92,285.62,366895,,0.0,0.0
01-10-2021,284.87,292.59,283.13,288.76,702433,,0.0,0.0
04-10-2021,290.75,293.09,288.01,289.01,380746,,0.0,0.0
05-10-2021,290.45,293.69,286.72,287.36,465036,,0.0,0.0
06-10-2021,290.2,290.2,285.87,286.57,276634,,0.0,0.0
07-10-2021,287.01,289.7,282.63,284.42,500200,,0.0,0.0
08-10-2021,284.57,292.49,284.57,287.61,684291,,0.0,0.0
11-10-2021,287.61,302.4,286.82,297.17,1297868,,0.0,0.0
12-10-2021,298.82,300.66,290.85,296.68,707236,,0.0,0.0
13-10-2021,297.52,312.56,295.68,311.22,1562901,,0.0,0.0
14-10-2021,313.66,314.11,303.15,305.24,1026788,,0.0,0.0
18-10-2021,306.79,310.62,304.79,306.44,463084,,0.0,0.0
19-10-2021,306.44,311.27,296.53,300.71,607054,,0.0,0.0
20-10-2021,299.52,304.79,286.87,301.36,743819,,0.0,0.0
21-10-2021,298.62,305.69,296.88,304.55,640791,,0.0,0.0
22-10-2021,305.69,306.44,285.97,291.3,591334,,0.0,0.0
25-10-2021,287.76,291.8,273.62,280.59,446904,,0.0,0.0
26-10-2021,280.89,286.77,279.0,281.39,359315,,0.0,0.0
27-10-2021,281.88,285.92,280.94,281.74,188621,,0.0,0.0
28-10-2021,281.74,284.77,280.09,282.28,153466,,0.0,0.0
29-10-2021,282.88,283.83,277.1,278.7,307659,,0.0,0.0
01-11-2021,276.9,285.92,276.9,283.53,293496,,0.0,0.0
02-11-2021,284.28,290.55,282.43,288.91,505772,,0.0,0.0
03-11-2021,290.55,293.49,286.32,290.3,398374,,0.0,0.0
04-11-2021,293.04,294.83,291.6,293.79,91867,,0.0,0.0
08-11-2021,294.44,296.48,289.31,295.58,321465,,0.0,0.0
09-11-2021,296.43,304.1,293.34,300.26,1360366,,0.0,0.0
10-11-2021,298.82,301.81,293.99,296.03,179562,,0.0,0.0
11-11-2021,297.22,298.72,289.06,290.4,151723,,0.0,0.0
12-11-2021,292.64,300.86,265.3,283.63,1542692,,0.0,0.0
15-11-2021,283.88,286.22,278.8,280.99,355356,,0.0,0.0
16-11-2021,283.83,301.11,281.49,295.93,1446887,,0.0,0.0
17-11-2021,298.32,301.31,287.36,290.55,465598,,0.0,0.0
18-11-2021,287.01,290.5,282.88,285.92,362818,,0.0,0.0
22-11-2021,285.92,288.01,269.93,272.27,368620,,0.0,0.0
23-11-2021,268.94,273.72,265.15,268.89,340892,,0.0,0.0
24-11-2021,270.63,273.87,264.65,267.19,254707,,0.0,0.0
25-11-2021,267.94,270.48,263.76,269.04,282594,,0.0,0.0
26-11-2021,267.94,268.64,257.63,261.81,315241,,0.0,0.0
29-11-2021,254.34,268.19,241.4,263.51,414042,,0.0,0.0
30-11-2021,263.51,282.33,259.57,280.09,583954,,0.0,0.0
01-12-2021,280.89,282.73,269.14,272.22,438220,,0.0,0.0
02-12-2021,273.42,275.46,270.98,273.72,129356,,0.0,0.0
03-12-2021,273.72,283.18,273.72,279.79,282873,,0.0,0.0
06-12-2021,280.89,281.39,269.14,271.92,118300,,0.0,0.0
07-12-2021,273.92,278.45,270.18,274.02,151989,,0.0,0.0
08-12-2021,275.31,291.75,275.26,288.71,562578,,0.0,0.0
09-12-2021,289.85,293.74,284.23,289.55,268606,,0.0,0.0
10-12-2021,289.65,290.5,286.02,287.96,143299,,0.0,0.0
13-12-2021,290.85,295.83,285.87,287.91,380174,,0.0,0.0
14-12-2021,287.56,295.63,284.72,291.95,216387,,0.0,0.0
15-12-2021,293.34,297.82,286.47,289.45,390405,,0.0,0.0
16-12-2021,290.05,291.95,279.15,287.91,425553,,0.0,0.0
17-12-2021,289.26,291.5,280.99,288.51,269890,,0.0,0.0
20-12-2021,283.88,286.67,271.82,275.06,386888,,0.0,0.0
21-12-2021,275.81,279.39,273.92,276.41,150833,,0.0,0.0
22-12-2021,276.9,286.87,275.91,285.42,168222,,0.0,0.0
23-12-2021,286.87,287.86,281.98,284.13,131421,,0.0,0.0
24-12-2021,284.92,286.87,281.49,284.82,114363,,0.0,0.0
27-12-2021,285.87,285.87,280.99,282.93,97499,,0.0,0.0
28-12-2021,284.77,292.29,282.98,287.61,216317,,0.0,0.0
29-12-2021,288.86,301.71,288.86,298.52,1472877,,0.0,0.0
30-12-2021,299.02,301.46,291.35,293.84,269444,,0.0,0.0
31-12-2021,294.34,301.51,293.44,298.67,506499,,0.0,0.0
03-01-2022,302.6,307.28,295.68,299.32,807311,,0.0,0.0
04-01-2022,299.66,302.01,292.19,295.13,333418,,0.0,0.0
05-01-2022,295.53,297.57,291.4,293.49,667048,,0.0,0.0
06-01-2022,289.85,295.08,287.66,292.89,507037,,0.0,0.0
07-01-2022,292.04,300.56,290.25,291.8,404741,,0.0,0.0
10-01-2022,292.54,316.75,292.49,314.31,1988654,,0.0,0.0
11-01-2022,314.31,315.75,306.24,310.12,791195,,0.0,0.0
12-01-2022,312.76,320.18,308.83,316.65,938296,,0.0,0.0
13-01-2022,321.23,323.72,315.25,316.35,1008469,,0.0,0.0
14-01-2022,315.75,320.38,310.37,313.61,913019,,0.0,0.0
17-01-2022,314.56,317.74,311.97,313.06,404601,,0.0,0.0
18-01-2022,314.66,317.24,309.28,310.87,393269,,0.0,0.0
19-01-2022,309.77,314.61,306.84,308.63,366453,,0.0,0.0
20-01-2022,309.38,316.5,307.78,309.63,393528,,0.0,0.0
21-01-2022,312.07,319.74,311.82,313.81,1195049,,0.0,0.0
24-01-2022,314.31,318.29,289.85,295.53,717456,,0.0,0.0
25-01-2022,295.83,300.01,278.9,296.78,407906,,0.0,0.0
27-01-2022,296.83,304.89,287.21,296.93,811500,,0.0,0.0
28-01-2022,300.51,306.54,299.86,300.86,417982,,0.0,0.0
31-01-2022,304.79,316.75,303.3,314.11,537160,,0.0,0.0
01-02-2022,321.73,328.55,305.79,309.77,2436521,,0.0,0.0
02-02-2022,313.26,321.73,312.76,318.79,874536,,0.0,0.0
03-02-2022,320.98,320.98,308.78,310.57,446040,,0.0,0.0
04-02-2022,312.76,317.74,308.78,310.22,661632,,0.0,0.0
07-02-2022,311.57,315.15,307.43,309.87,304591,,0.0,0.0
08-02-2022,309.87,313.11,305.34,308.78,277546,,0.0,0.0
09-02-2022,311.47,314.26,308.78,310.12,263724,,0.0,0.0
10-02-2022,311.47,315.75,306.04,314.75,222376,,0.0,0.0
11-02-2022,311.77,313.76,308.88,310.47,174694,,0.0,0.0
14-02-2022,310.77,311.22,293.84,302.65,939512,,0.0,0.0
15-02-2022,296.98,308.78,290.95,307.73,527707,,0.0,0.0
16-02-2022,310.77,311.22,302.9,305.84,443826,,0.0,0.0
17-02-2022,308.73,310.67,305.14,309.63,463294,,0.0,0.0
18-02-2022,306.34,313.76,306.34,311.92,454959,,0.0,0.0
21-02-2022,311.77,317.94,304.64,314.71,761027,,0.0,0.0
22-02-2022,304.0,310.42,295.93,299.52,574629,,0.0,0.0
23-02-2022,301.81,312.41,301.81,304.5,446314,,0.0,0.0
24-02-2022,294.83,304.15,291.45,294.73,488214,,0.0,0.0
25-02-2022,301.81,314.16,297.82,313.11,423660,,0.0,0.0
28-02-2022,313.11,313.11,303.3,308.38,352792,,0.0,0.0
02-03-2022,307.78,317.24,305.64,308.13,564290,,0.0,0.0
03-03-2022,312.76,322.72,309.67,312.31,662192,,0.0,0.0
04-03-2022,309.77,313.76,299.07,305.34,554117,,0.0,0.0
07-03-2022,301.81,306.59,281.09,284.92,717358,,0.0,0.0
08-03-2022,288.56,293.84,280.59,288.21,482442,,0.0,0.0
09-03-2022,293.64,298.12,288.36,293.54,389386,,0.0,0.0
10-03-2022,305.79,307.68,298.87,300.81,515046,,0.0,0.0
11-03-2022,302.5,307.73,300.31,305.69,365762,,0.0,0.0
14-03-2022,307.18,309.77,301.16,303.1,384850,,0.0,0.0
15-03-2022,305.49,307.58,283.18,286.47,509793,,0.0,0.0
16-03-2022,289.8,293.34,283.48,284.92,863470,,0.0,0.0
17-03-2022,289.36,290.35,266.55,282.08,3685319,,0.0,0.0
21-03-2022,275.91,281.88,273.02,278.0,512438,,0.0,0.0
22-03-2022,278.7,282.03,277.55,280.64,242944,,0.0,0.0
23-03-2022,281.59,287.66,280.94,282.93,246172,,0.0,0.0
24-03-2022,282.93,284.18,277.15,279.1,368857,,0.0,0.0
25-03-2022,280.59,282.43,278.05,278.9,174289,,0.0,0.0
28-03-2022,278.9,278.9,269.93,270.78,236710,,0.0,0.0
29-03-2022,272.62,273.67,267.24,271.03,443367,,0.0,0.0
30-03-2022,272.82,278.9,268.99,275.61,1331356,,0.0,0.0
31-03-2022,280.89,283.88,277.4,283.03,287790,,0.0,0.0
01-04-2022,285.67,292.84,283.88,291.55,289124,,0.0,0.0
04-04-2022,294.44,295.83,290.45,291.15,191349,,0.0,0.0
05-04-2022,291.85,295.23,286.47,289.5,250436,,0.0,0.0
06-04-2022,288.01,290.5,282.13,286.02,351402,,0.0,0.0
07-04-2022,287.56,288.46,282.88,284.52,242321,,0.0,0.0
08-04-2022,284.52,287.86,284.52,286.27,129551,,0.0,0.0
11-04-2022,287.86,291.65,286.22,288.51,201101,,0.0,0.0
12-04-2022,289.55,289.75,277.9,281.64,299315,,0.0,0.0
13-04-2022,282.68,288.11,282.43,285.42,124961,,0.0,0.0
18-04-2022,282.58,282.58,275.91,276.61,183809,,0.0,0.0
19-04-2022,277.55,279.64,273.92,276.01,213750,,0.0,0.0
20-04-2022,277.3,278.85,270.98,272.77,95898,,0.0,0.0
21-04-2022,274.41,277.7,272.82,276.85,138939,,0.0,0.0
22-04-2022,275.41,281.29,273.92,276.66,162859,,0.0,0.0
25-04-2022,276.85,277.55,270.93,272.12,141339,,0.0,0.0
26-04-2022,275.76,276.36,271.18,271.68,98929,,0.0,0.0
27-04-2022,270.43,280.79,268.49,278.75,287165,,0.0,0.0
28-04-2022,280.59,280.59,272.17,275.91,199671,,0.0,0.0
29-04-2022,275.86,275.86,266.94,269.28,280027,,0.0,0.0
02-05-2022,266.94,276.9,259.97,271.73,239983,,0.0,0.0
04-05-2022,268.94,273.12,262.96,264.16,104151,,0.0,0.0
05-05-2022,265.65,270.93,253.0,256.54,146608,,0.0,0.0
06-05-2022,250.36,266.94,249.46,262.61,342469,,0.0,0.0
09-05-2022,262.36,263.11,254.0,258.28,137164,,0.0,0.0
10-05-2022,255.59,260.77,246.92,249.51,164147,,0.0,0.0
11-05-2022,249.51,250.81,234.07,237.71,387608,,0.0,0.0
12-05-2022,234.07,235.67,224.56,233.58,434199,,0.0,0.0
13-05-2022,235.12,242.44,224.91,229.19,426770,,0.0,0.0
16-05-2022,229.09,242.69,228.94,236.27,163348,,0.0,0.0
17-05-2022,236.27,241.2,235.57,237.26,125967,,0.0,0.0
18-05-2022,238.76,239.6,234.77,236.02,164719,,0.0,0.0
19-05-2022,233.33,234.52,228.0,229.44,81994,,0.0,0.0
20-05-2022,231.93,237.01,230.64,232.53,124160,,0.0,0.0
23-05-2022,236.07,238.56,225.11,228.05,282520,,0.0,0.0
24-05-2022,231.04,233.08,227.1,229.74,124753,,0.0,0.0
25-05-2022,230.84,231.88,219.93,229.84,485703,,0.0,0.0
26-05-2022,229.84,247.02,224.01,242.54,310571,,0.0,0.0
27-05-2022,244.03,244.88,233.78,241.05,144823,,0.0,0.0
30-05-2022,241.05,244.98,235.52,243.09,135224,,0.0,0.0
31-05-2022,268.94,268.94,254.0,258.98,2564666,,0.0,0.0
01-06-2022,256.19,261.96,249.06,253.85,460048,,0.0,0.0
02-06-2022,258.98,258.98,249.01,250.71,224792,,0.0,0.0
03-06-2022,253.8,253.95,247.02,249.01,193249,,0.0,0.0
06-06-2022,249.01,256.98,244.08,255.24,421288,,0.0,0.0
07-06-2022,255.24,257.98,251.21,256.54,309660,,0.0,0.0
08-06-2022,255.99,261.52,250.21,253.45,191582,,0.0,0.0
09-06-2022,253.45,253.85,247.67,249.76,206771,,0.0,0.0
10-06-2022,248.42,252.0,246.43,249.56,98196,,0.0,0.0
13-06-2022,247.02,247.72,236.71,238.06,177667,,0.0,0.0
14-06-2022,238.06,242.04,236.07,238.71,100470,,0.0,0.0
15-06-2022,238.26,238.81,236.07,237.31,110765,,0.0,0.0
16-06-2022,240.35,240.45,224.81,230.49,315969,,0.0,0.0
17-06-2022,228.1,229.04,222.42,224.91,156692,,0.0,0.0
20-06-2022,225.11,226.35,214.15,214.95,296975,,0.0,0.0
21-06-2022,216.05,217.74,206.68,216.1,827863,,0.0,0.0
22-06-2022,216.69,225.81,216.69,219.08,684508,,0.0,0.0
23-06-2022,221.62,221.97,216.24,219.68,431808,,0.0,0.0
24-06-2022,222.97,229.84,219.38,225.46,422002,,0.0,0.0
27-06-2022,229.09,234.02,229.09,232.48,365302,,0.0,0.0
28-06-2022,229.14,235.57,227.2,234.22,220419,,0.0,0.0
29-06-2022,231.29,234.57,224.51,230.04,168270,,0.0,0.0
30-06-2022,230.09,233.87,227.3,232.13,129604,,0.0,0.0
01-07-2022,229.59,235.22,227.85,234.72,58500,,0.0,0.0
04-07-2022,235.32,236.81,227.8,229.14,121449,,0.0,0.0
05-07-2022,232.63,236.96,229.89,235.27,133605,,0.0,0.0
06-07-2022,235.07,247.02,233.18,245.18,601790,,0.0,0.0
07-07-2022,246.72,247.17,237.56,238.56,290745,,0.0,0.0
