Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,408.66,421.61,404.52,413.95,69486,,0.0,0.0
09-08-2021,421.66,435.93,415.72,420.74,261204,,0.0,0.0
10-08-2021,424.66,425.6,395.11,402.03,129482,,0.0,0.0
11-08-2021,404.2,409.04,383.24,401.33,173814,,0.0,0.0
12-08-2021,401.2,410.98,397.73,406.82,243930,,0.0,0.0
13-08-2021,409.19,412.11,399.26,402.5,72216,,0.0,0.0
16-08-2021,402.2,424.16,402.2,418.84,124860,,0.0,0.0
17-08-2021,416.17,430.64,411.78,425.13,202950,,0.0,0.0
18-08-2021,430.12,433.64,420.31,425.43,143360,,0.0,0.0
20-08-2021,417.07,435.63,416.67,423.01,158932,,0.0,0.0
23-08-2021,433.09,433.09,408.14,418.62,244638,,0.0,0.0
24-08-2021,421.11,423.66,409.84,421.59,106802,,0.0,0.0
25-08-2021,420.54,428.62,411.68,413.8,72862,,0.0,0.0
26-08-2021,411.18,419.94,409.19,412.83,46822,,0.0,0.0
27-08-2021,418.67,418.67,408.36,412.65,24036,,0.0,0.0
30-08-2021,412.93,419.17,409.26,413.28,47152,,0.0,0.0
31-08-2021,413.3,415.45,396.16,404.89,58010,,0.0,0.0
01-09-2021,406.67,441.87,402.03,422.39,845068,,0.0,0.0
02-09-2021,425.55,426.68,414.2,416.5,87852,,0.0,0.0
03-09-2021,423.66,434.09,420.91,422.19,82908,,0.0,0.0
06-09-2021,425.65,428.15,417.17,419.07,59630,,0.0,0.0
07-09-2021,419.91,421.31,407.69,409.41,72574,,0.0,0.0
08-09-2021,411.68,418.67,407.69,413.35,45450,,0.0,0.0
09-09-2021,413.35,422.61,412.16,415.22,69242,,0.0,0.0
13-09-2021,420.66,429.15,414.18,419.37,144652,,0.0,0.0
14-09-2021,420.51,426.6,410.08,416.47,173484,,0.0,0.0
15-09-2021,416.17,431.24,413.5,428.92,297664,,0.0,0.0
16-09-2021,429.2,456.59,429.2,439.13,743170,,0.0,0.0
17-09-2021,443.12,448.33,425.65,431.39,185718,,0.0,0.0
20-09-2021,424.71,436.83,424.71,426.75,62930,,0.0,0.0
21-09-2021,427.15,434.11,422.16,428.22,98444,,0.0,0.0
22-09-2021,429.7,438.38,427.75,431.47,62852,,0.0,0.0
23-09-2021,438.13,469.07,429.65,453.1,605186,,0.0,0.0
24-09-2021,460.09,473.01,444.22,452.18,232820,,0.0,0.0
27-09-2021,455.59,463.58,445.54,451.0,130138,,0.0,0.0
28-09-2021,454.1,455.12,436.66,441.7,83720,,0.0,0.0
29-09-2021,444.12,475.06,435.16,465.55,337812,,0.0,0.0
30-09-2021,471.51,482.99,464.08,465.57,303172,,0.0,0.0
01-10-2021,464.08,489.03,461.63,483.41,218738,,0.0,0.0
04-10-2021,498.51,507.99,486.53,504.2,348394,,0.0,0.0
05-10-2021,498.51,513.1,497.01,506.64,179940,,0.0,0.0
06-10-2021,506.74,513.98,491.12,494.92,121970,,0.0,0.0
07-10-2021,498.91,511.18,494.62,502.25,92788,,0.0,0.0
08-10-2021,506.99,510.88,500.21,502.78,91956,,0.0,0.0
11-10-2021,506.24,537.43,506.24,533.76,289490,,0.0,0.0
12-10-2021,533.94,540.43,520.39,534.24,98340,,0.0,0.0
13-10-2021,529.2,542.85,514.58,517.2,114532,,0.0,0.0
14-10-2021,518.97,522.69,508.01,517.99,86174,,0.0,0.0
18-10-2021,522.91,546.41,517.92,542.32,158588,,0.0,0.0
19-10-2021,536.43,541.3,525.95,530.99,79726,,0.0,0.0
20-10-2021,521.46,524.48,505.2,519.54,99626,,0.0,0.0
21-10-2021,536.43,536.43,503.05,515.67,79202,,0.0,0.0
22-10-2021,515.67,523.96,494.57,503.62,75912,,0.0,0.0
25-10-2021,503.37,508.94,486.08,499.16,68376,,0.0,0.0
26-10-2021,494.54,515.1,494.54,503.67,81304,,0.0,0.0
27-10-2021,512.95,512.95,500.26,503.17,20902,,0.0,0.0
28-10-2021,504.12,507.02,489.13,495.02,92594,,0.0,0.0
29-10-2021,503.5,504.0,489.08,491.27,36432,,0.0,0.0
01-11-2021,484.59,502.88,484.59,492.52,20456,,0.0,0.0
02-11-2021,499.01,499.01,492.62,495.99,14642,,0.0,0.0
03-11-2021,498.98,498.98,489.48,491.92,11808,,0.0,0.0
04-11-2021,496.54,508.44,492.27,504.15,9078,,0.0,0.0
08-11-2021,494.27,508.91,494.27,505.1,45714,,0.0,0.0
09-11-2021,505.87,513.98,499.56,510.93,16982,,0.0,0.0
10-11-2021,505.67,516.47,505.17,508.99,38574,,0.0,0.0
11-11-2021,511.31,513.98,489.38,497.69,125772,,0.0,0.0
12-11-2021,494.52,520.96,487.08,494.92,49508,,0.0,0.0
15-11-2021,494.52,512.98,489.03,491.9,127250,,0.0,0.0
16-11-2021,496.51,497.76,485.56,489.48,42970,,0.0,0.0
17-11-2021,490.03,494.44,477.55,485.98,36292,,0.0,0.0
18-11-2021,489.05,491.25,474.61,481.42,61382,,0.0,0.0
22-11-2021,490.52,490.52,461.58,464.6,57898,,0.0,0.0
23-11-2021,453.65,472.11,453.65,466.95,22556,,0.0,0.0
24-11-2021,479.02,479.02,461.56,467.1,27878,,0.0,0.0
25-11-2021,468.89,480.54,461.68,475.3,31954,,0.0,0.0
26-11-2021,477.55,482.02,459.64,461.91,83482,,0.0,0.0
29-11-2021,459.09,466.52,441.2,444.94,60632,,0.0,0.0
30-11-2021,445.11,461.11,445.11,453.62,29676,,0.0,0.0
01-12-2021,455.1,473.81,450.8,470.19,52306,,0.0,0.0
02-12-2021,461.58,482.54,461.58,478.47,45756,,0.0,0.0
03-12-2021,479.05,488.23,478.27,486.46,32364,,0.0,0.0
06-12-2021,488.98,511.48,480.62,495.99,121496,,0.0,0.0
07-12-2021,508.99,513.48,497.49,510.34,92528,,0.0,0.0
08-12-2021,513.98,516.4,492.35,508.71,175568,,0.0,0.0
09-12-2021,514.48,514.48,496.06,498.58,60502,,0.0,0.0
10-12-2021,506.49,508.41,496.06,498.81,22466,,0.0,0.0
13-12-2021,507.47,507.47,485.09,489.75,22358,,0.0,0.0
14-12-2021,489.53,504.0,489.53,500.33,24086,,0.0,0.0
15-12-2021,501.0,504.1,495.22,499.48,20440,,0.0,0.0
16-12-2021,512.98,512.98,485.53,488.75,33644,,0.0,0.0
17-12-2021,484.04,484.61,469.17,474.88,28768,,0.0,0.0
