Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,286.5,295.9,283.05,284.9,1035581,,0.0,0.0
09-08-2021,286.0,289.7,278.0,280.95,650698,,0.0,0.0
10-08-2021,281.05,283.15,256.25,267.45,1110774,,0.0,0.0
11-08-2021,269.0,271.65,256.25,267.85,1003065,,0.0,0.0
12-08-2021,269.05,280.0,269.05,278.2,1102735,,0.0,0.0
13-08-2021,279.45,280.1,269.05,270.55,576102,,0.0,0.0
16-08-2021,265.25,271.7,264.1,265.35,822119,,0.0,0.0
17-08-2021,265.9,275.9,261.2,263.5,1026577,,0.0,0.0
18-08-2021,265.6,282.3,263.6,276.45,1938545,,0.0,0.0
20-08-2021,273.55,282.0,264.05,266.65,1201193,,0.0,0.0
23-08-2021,270.5,271.45,248.5,259.75,990271,,0.0,0.0
24-08-2021,260.3,277.8,258.05,275.85,985835,,0.0,0.0
25-08-2021,274.6,291.25,272.75,284.05,1990173,,0.0,0.0
26-08-2021,285.0,314.9,282.35,311.45,6918286,,0.0,0.0
27-08-2021,311.9,318.8,303.2,314.9,3365185,,0.0,0.0
30-08-2021,314.5,324.4,306.35,321.6,2375338,,0.0,0.0
31-08-2021,321.5,321.5,307.75,311.75,1191032,,0.0,0.0
01-09-2021,314.85,323.8,308.05,314.6,1746477,,0.0,0.0
02-09-2021,317.4,346.9,314.85,331.55,5001734,,0.0,0.0
03-09-2021,332.0,335.1,318.45,325.15,1632904,,0.0,0.0
06-09-2021,326.7,330.65,319.15,326.55,1377180,,0.0,0.0
07-09-2021,327.9,366.95,316.6,348.25,9324312,,0.0,0.0
08-09-2021,355.7,364.4,341.6,348.65,4322819,,0.0,0.0
09-09-2021,345.1,357.6,344.6,350.3,1547586,,0.0,0.0
13-09-2021,352.8,383.8,350.75,358.95,6563314,,0.0,0.0
14-09-2021,360.0,369.0,353.55,361.3,1876940,,0.0,0.0
15-09-2021,363.95,368.5,356.2,360.75,1032920,,0.0,0.0
16-09-2021,363.0,366.7,350.15,351.45,1170640,,0.0,0.0
17-09-2021,353.9,369.5,345.5,363.55,3515034,,0.0,0.0
20-09-2021,367.0,375.4,352.25,356.5,2278713,,0.0,0.0
21-09-2021,359.55,365.1,352.55,362.7,1155019,,0.0,0.0
22-09-2021,364.05,375.0,361.05,370.55,1848145,,0.0,0.0
23-09-2021,374.0,376.7,365.1,368.1,1229857,,0.0,0.0
24-09-2021,368.05,371.7,353.55,355.25,1134395,,0.0,0.0
27-09-2021,357.95,397.15,356.05,387.35,6576508,,0.0,0.0
28-09-2021,389.5,397.8,382.0,387.4,2833045,,0.0,0.0
29-09-2021,384.0,426.3,381.05,414.35,8123628,,0.0,0.0
30-09-2021,424.8,426.95,394.05,400.0,6845675,,0.0,0.0
01-10-2021,397.1,442.3,395.75,403.95,11964577,,0.0,0.0
04-10-2021,408.0,409.7,397.3,402.95,2138893,,0.0,0.0
05-10-2021,404.8,416.55,400.0,411.25,2193878,,0.0,0.0
06-10-2021,413.85,413.85,387.9,391.15,1788525,,0.0,0.0
07-10-2021,399.0,419.9,397.45,404.85,2972838,,0.0,0.0
08-10-2021,408.0,444.25,405.2,435.05,5678632,,0.0,0.0
11-10-2021,445.0,509.1,444.0,459.9,18571379,,0.0,0.0
12-10-2021,463.0,478.8,461.65,469.5,4584220,,0.0,0.0
13-10-2021,473.7,473.7,454.0,461.4,2382807,,0.0,0.0
14-10-2021,462.0,464.6,435.1,438.55,2584026,,0.0,0.0
18-10-2021,443.85,454.55,428.65,444.9,2872064,,0.0,0.0
19-10-2021,445.05,447.6,422.0,428.05,1419825,,0.0,0.0
20-10-2021,428.7,434.15,411.15,418.0,1223914,,0.0,0.0
21-10-2021,420.0,430.75,402.05,405.35,1453614,,0.0,0.0
22-10-2021,408.8,418.0,401.1,405.35,1062150,,0.0,0.0
25-10-2021,408.75,410.65,392.1,400.15,861452,,0.0,0.0
26-10-2021,404.0,429.0,403.4,420.95,1834302,,0.0,0.0
27-10-2021,422.4,428.5,404.2,409.2,1441040,,0.0,0.0
28-10-2021,413.0,419.9,406.9,415.55,1102247,,0.0,0.0
29-10-2021,417.0,440.9,405.55,434.45,2317864,,0.0,0.0
01-11-2021,439.7,451.75,436.7,443.8,1488837,,0.0,0.0
02-11-2021,446.9,451.7,440.1,444.35,886486,,0.0,0.0
03-11-2021,447.0,447.9,432.55,438.15,617304,,0.0,0.0
04-11-2021,443.85,453.0,442.15,448.95,791535,,0.0,0.0
08-11-2021,453.15,458.7,444.9,453.7,953069,,0.0,0.0
09-11-2021,453.5,455.95,439.5,443.2,801685,,0.0,0.0
10-11-2021,443.0,449.2,436.55,438.7,519597,,0.0,0.0
11-11-2021,439.6,443.6,429.0,437.85,580204,,0.0,0.0
12-11-2021,440.0,442.25,428.0,433.45,512039,,0.0,0.0
15-11-2021,420.0,428.75,413.0,414.35,1196050,,0.0,0.0
16-11-2021,418.0,424.7,408.5,409.7,778247,,0.0,0.0
17-11-2021,411.0,418.0,408.95,410.8,560645,,0.0,0.0
18-11-2021,412.95,414.95,398.0,399.05,976778,,0.0,0.0
22-11-2021,402.65,409.5,394.0,401.05,759983,,0.0,0.0
23-11-2021,401.75,417.0,398.2,412.45,704316,,0.0,0.0
24-11-2021,415.6,417.3,402.25,403.3,552612,,0.0,0.0
25-11-2021,406.0,409.85,398.2,400.55,718619,,0.0,0.0
26-11-2021,397.8,416.7,395.35,401.65,1237586,,0.0,0.0
29-11-2021,403.0,404.0,380.0,382.6,1083060,,0.0,0.0
30-11-2021,383.0,409.8,383.0,399.7,2166355,,0.0,0.0
01-12-2021,404.5,407.9,394.65,396.6,444260,,0.0,0.0
02-12-2021,398.55,401.9,393.1,396.35,541751,,0.0,0.0
03-12-2021,398.7,407.45,395.1,396.95,716070,,0.0,0.0
06-12-2021,399.5,402.15,389.45,391.55,462816,,0.0,0.0
07-12-2021,394.75,396.4,385.5,386.65,466751,,0.0,0.0
08-12-2021,391.0,393.5,386.55,388.05,371901,,0.0,0.0
09-12-2021,391.0,406.95,389.65,398.55,914041,,0.0,0.0
10-12-2021,398.0,401.05,388.35,391.85,685016,,0.0,0.0
13-12-2021,393.55,401.9,386.7,389.45,1051783,,0.0,0.0
14-12-2021,386.7,393.0,383.35,384.45,666603,,0.0,0.0
15-12-2021,385.95,397.0,385.25,386.95,740571,,0.0,0.0
16-12-2021,395.0,399.0,387.05,389.45,697408,,0.0,0.0
