Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,94.23,95.13,93.32,93.77,226419,,0.0,0.0
09-08-2021,93.77,94.68,91.56,92.19,174455,,0.0,0.0
10-08-2021,92.46,93.37,88.17,89.12,186413,,0.0,0.0
11-08-2021,90.43,90.43,83.19,87.4,282399,,0.0,0.0
12-08-2021,86.81,89.79,86.81,89.21,119527,,0.0,0.0
13-08-2021,91.29,91.33,87.71,88.26,136658,,0.0,0.0
16-08-2021,88.62,89.98,86.81,87.17,83496,,0.0,0.0
17-08-2021,87.71,88.62,77.41,84.6,161890,,0.0,0.0
18-08-2021,86.34,87.21,84.0,84.69,140398,,1.5,0.0
20-08-2021,83.95,85.15,81.79,82.44,129042,,0.0,0.0
23-08-2021,83.22,84.55,78.16,79.68,271957,,0.0,0.0
24-08-2021,81.52,84.37,79.95,84.0,123578,,0.0,0.0
25-08-2021,85.38,88.23,84.46,87.21,115828,,0.0,0.0
26-08-2021,88.96,88.96,85.51,85.97,71325,,0.0,0.0
27-08-2021,85.84,94.66,83.63,92.5,272014,,0.0,0.0
30-08-2021,93.74,94.93,90.75,91.53,171099,,0.0,0.0
31-08-2021,91.9,92.59,89.19,90.52,105877,,0.0,0.0
01-09-2021,90.61,91.95,88.36,88.96,74220,,0.0,0.0
02-09-2021,88.96,94.66,88.82,90.06,280561,,0.0,0.0
03-09-2021,89.37,91.58,86.34,87.4,315745,,0.0,0.0
06-09-2021,88.23,89.97,87.81,88.78,157352,,0.0,0.0
07-09-2021,89.14,91.44,88.23,88.59,308205,,0.0,0.0
08-09-2021,88.68,92.82,88.59,89.51,198798,,0.0,0.0
09-09-2021,90.94,90.94,88.23,88.55,183822,,0.0,0.0
13-09-2021,89.56,89.93,87.77,88.23,107158,,0.0,0.0
14-09-2021,89.51,90.98,88.32,88.87,150776,,0.0,0.0
15-09-2021,90.06,91.53,89.19,89.79,179304,,0.0,0.0
16-09-2021,90.06,90.98,88.27,88.82,129380,,0.0,0.0
17-09-2021,89.88,94.2,88.23,93.56,775116,,0.0,0.0
20-09-2021,93.23,97.05,91.21,91.53,511234,,0.0,0.0
21-09-2021,91.03,98.33,89.88,95.53,1262253,,0.0,0.0
