Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,1278.31,1326.95,1278.31,1315.11,232833,,0.0,0.0
09-08-2021,1317.36,1319.36,1296.45,1308.91,89678,,0.0,0.0
10-08-2021,1308.91,1314.44,1279.26,1286.9,190633,,0.0,0.0
11-08-2021,1286.9,1286.9,1221.98,1261.65,219945,,0.0,0.0
12-08-2021,1269.62,1314.11,1242.03,1307.67,178917,,0.0,0.0
13-08-2021,1317.07,1322.23,1292.58,1316.26,110478,,0.0,0.0
16-08-2021,1322.89,1330.77,1279.26,1283.61,44514,,0.0,0.0
17-08-2021,1298.36,1306.38,1279.55,1293.92,89127,,0.0,0.0
18-08-2021,1303.13,1303.13,1267.38,1296.16,90874,,0.0,0.0
20-08-2021,1288.81,1288.81,1209.86,1253.01,146056,,0.0,0.0
23-08-2021,1262.08,1264.94,1199.55,1248.67,180235,,0.0,0.0
24-08-2021,1264.94,1264.94,1218.21,1230.58,88907,,0.0,0.0
25-08-2021,1236.3,1249.43,1203.89,1212.96,136460,,0.0,0.0
26-08-2021,1218.64,1235.35,1202.89,1224.61,85292,,0.0,0.0
27-08-2021,1212.44,1255.4,1211.48,1241.65,108577,,0.0,0.0
30-08-2021,1249.48,1266.66,1246.81,1264.9,77230,,0.0,0.0
31-08-2021,1269.72,1298.36,1251.58,1292.73,169401,,0.0,0.0
01-09-2021,1302.08,1305.52,1255.97,1262.03,133791,,0.0,0.0
02-09-2021,1271.63,1292.58,1265.9,1274.78,95928,,0.0,0.0
03-09-2021,1283.08,1293.58,1267.57,1288.53,139595,,0.0,0.0
06-09-2021,1288.81,1294.54,1240.98,1258.36,90848,,0.0,0.0
07-09-2021,1251.1,1266.81,1245.37,1257.59,73848,,0.0,0.0
08-09-2021,1260.17,1279.22,1225.8,1246.14,107732,,0.0,0.0
09-09-2021,1250.62,1257.31,1233.49,1242.41,210845,,0.0,0.0
13-09-2021,1269.72,1284.99,1248.72,1268.48,112560,,0.0,0.0
14-09-2021,1276.11,1286.9,1247.76,1263.75,70248,,0.0,0.0
15-09-2021,1272.96,1284.99,1250.62,1281.03,78424,,0.0,0.0
16-09-2021,1284.04,1317.26,1260.17,1264.66,268320,,0.0,0.0
17-09-2021,1270.67,1276.31,1238.31,1244.51,77170,,0.0,0.0
20-09-2021,1244.51,1266.81,1238.31,1257.83,90668,,0.0,0.0
21-09-2021,1274.96,1274.96,1227.63,1259.85,85128,,10.0,0.0
22-09-2021,1255.52,1287.12,1254.61,1271.25,182691,,0.0,0.0
23-09-2021,1284.24,1284.24,1246.72,1254.66,165369,,0.0,0.0
24-09-2021,1260.19,1265.96,1244.61,1255.96,125917,,0.0,0.0
27-09-2021,1260.19,1264.04,1243.35,1249.08,148845,,0.0,0.0
28-09-2021,1232.29,1274.04,1231.33,1266.49,218778,,0.0,0.0
29-09-2021,1256.87,1325.6,1239.84,1311.08,323551,,0.0,0.0
30-09-2021,1321.76,1392.75,1317.91,1381.11,640464,,0.0,0.0
01-10-2021,1384.28,1384.28,1327.53,1334.79,165941,,0.0,0.0
04-10-2021,1345.61,1365.43,1337.15,1344.65,97770,,0.0,0.0
05-10-2021,1344.55,1350.95,1322.72,1342.01,85876,,0.0,0.0
06-10-2021,1341.48,1341.48,1281.35,1296.55,161740,,0.0,0.0
07-10-2021,1305.4,1322.67,1295.64,1315.5,82056,,0.0,0.0
08-10-2021,1325.22,1339.07,1303.96,1329.6,83097,,0.0,0.0
11-10-2021,1346.77,1358.31,1332.34,1338.93,72173,,0.0,0.0
12-10-2021,1337.15,1361.15,1326.37,1347.01,110378,,0.0,0.0
13-10-2021,1360.91,1373.7,1337.15,1350.23,89492,,0.0,0.0
14-10-2021,1363.79,1385.25,1346.77,1372.45,111534,,0.0,0.0
18-10-2021,1386.02,1400.06,1353.5,1390.2,120879,,0.0,0.0
19-10-2021,1395.64,1408.33,1346.77,1369.33,178372,,0.0,0.0
20-10-2021,1369.47,1375.77,1319.88,1353.84,97386,,0.0,0.0
21-10-2021,1351.58,1368.89,1327.53,1351.87,132331,,0.0,0.0
22-10-2021,1358.65,1359.75,1312.14,1335.37,55876,,0.0,0.0
25-10-2021,1328.25,1341.33,1263.08,1277.36,109218,,0.0,0.0
26-10-2021,1265.96,1319.83,1265.96,1314.59,52259,,0.0,0.0
27-10-2021,1315.69,1389.57,1310.21,1363.02,119276,,0.0,0.0
28-10-2021,1354.41,1394.87,1328.73,1385.87,99588,,0.0,0.0
29-10-2021,1381.21,1542.0,1338.3,1470.19,373745,,0.0,0.0
01-11-2021,1479.62,1538.3,1428.53,1438.2,315136,,0.0,0.0
02-11-2021,1450.52,1494.09,1447.2,1468.84,110330,,0.0,0.0
03-11-2021,1475.67,1491.06,1446.86,1477.84,103304,,0.0,0.0
04-11-2021,1491.06,1496.45,1472.98,1483.94,22459,,0.0,0.0
08-11-2021,1464.13,1544.93,1463.17,1513.43,270887,,0.0,0.0
09-11-2021,1510.3,1587.26,1493.18,1549.17,232324,,0.0,0.0
10-11-2021,1546.86,1577.64,1511.75,1533.68,118358,,0.0,0.0
11-11-2021,1435.27,1518.67,1427.14,1463.6,306283,,0.0,0.0
12-11-2021,1463.6,1476.83,1421.8,1433.68,146836,,0.0,0.0
15-11-2021,1440.75,1440.75,1361.2,1368.7,115318,,0.0,0.0
16-11-2021,1370.72,1384.67,1334.41,1344.7,116601,,0.0,0.0
17-11-2021,1348.69,1383.56,1343.83,1374.42,164106,,0.0,0.0
18-11-2021,1366.01,1392.12,1338.11,1365.72,90670,,0.0,0.0
22-11-2021,1365.72,1378.13,1279.0,1298.43,129852,,0.0,0.0
23-11-2021,1299.53,1393.76,1299.53,1354.41,164951,,0.0,0.0
24-11-2021,1358.7,1361.2,1340.27,1351.19,53031,,0.0,0.0
25-11-2021,1329.45,1352.54,1329.45,1346.09,52747,,0.0,0.0
26-11-2021,1335.22,1343.88,1291.07,1301.02,70613,,0.0,0.0
29-11-2021,1234.22,1288.09,1165.0,1252.25,236380,,0.0,0.0
30-11-2021,1239.03,1356.39,1228.01,1297.8,188678,,0.0,0.0
01-12-2021,1297.8,1334.79,1253.5,1261.05,127855,,0.0,0.0
02-12-2021,1266.59,1291.93,1246.72,1284.67,69943,,0.0,0.0
03-12-2021,1284.67,1308.29,1283.32,1296.79,51626,,0.0,0.0
06-12-2021,1289.05,1291.93,1254.42,1261.73,83491,,0.0,0.0
07-12-2021,1268.37,1292.22,1264.81,1283.85,35903,,0.0,0.0
08-12-2021,1289.05,1303.81,1271.73,1278.32,53419,,0.0,0.0
09-12-2021,1282.8,1340.99,1280.39,1318.68,96772,,0.0,0.0
10-12-2021,1314.06,1342.92,1310.84,1335.56,42224,,0.0,0.0
13-12-2021,1344.84,1457.39,1344.65,1437.39,322085,,0.0,0.0
14-12-2021,1428.53,1454.51,1396.79,1434.02,108392,,0.0,0.0
15-12-2021,1423.73,1447.87,1387.27,1402.99,79472,,0.0,0.0
16-12-2021,1403.52,1424.06,1356.39,1364.9,155055,,0.0,0.0
17-12-2021,1364.08,1372.6,1326.9,1334.36,72699,,0.0,0.0
20-12-2021,1334.36,1334.36,1290.59,1297.03,88600,,0.0,0.0
21-12-2021,1298.67,1349.32,1298.67,1325.65,50564,,0.0,0.0
22-12-2021,1319.83,1364.08,1319.83,1331.33,31908,,0.0,0.0
23-12-2021,1334.89,1375.58,1330.65,1371.35,71539,,0.0,0.0
24-12-2021,1349.17,1372.55,1322.96,1330.41,40759,,0.0,0.0
27-12-2021,1330.41,1372.6,1315.07,1366.1,43214,,0.0,0.0
28-12-2021,1367.88,1434.64,1366.2,1415.55,77136,,0.0,0.0
29-12-2021,1415.55,1431.42,1390.1,1418.24,58026,,0.0,0.0
30-12-2021,1403.52,1423.73,1356.15,1370.34,50064,,0.0,0.0
31-12-2021,1385.2,1395.88,1356.39,1367.59,47402,,0.0,0.0
03-01-2022,1367.93,1394.77,1363.12,1373.56,67870,,0.0,0.0
04-01-2022,1373.56,1444.89,1373.56,1423.05,274301,,0.0,0.0
05-01-2022,1420.5,1432.62,1383.51,1402.47,54979,,0.0,0.0
06-01-2022,1382.84,1423.63,1364.08,1371.49,53340,,0.0,0.0
07-01-2022,1357.35,1431.23,1357.35,1397.37,140325,,0.0,0.0
10-01-2022,1402.47,1416.99,1382.89,1402.51,79161,,0.0,0.0
11-01-2022,1416.99,1428.53,1385.25,1390.97,48932,,0.0,0.0
12-01-2022,1395.68,1479.52,1395.68,1445.95,413664,,0.0,0.0
13-01-2022,1453.35,1475.24,1443.97,1466.15,135791,,0.0,0.0
14-01-2022,1466.15,1547.63,1451.67,1528.92,339602,,0.0,0.0
17-01-2022,1555.52,1566.58,1505.83,1527.57,221927,,0.0,0.0
18-01-2022,1538.59,1541.57,1432.33,1470.77,81414,,0.0,0.0
19-01-2022,1467.01,1509.29,1454.36,1483.18,76772,,0.0,0.0
20-01-2022,1481.4,1490.05,1425.26,1441.09,58168,,0.0,0.0
