Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,650.46,653.17,637.99,640.75,283814,,0.0,0.0
09-08-2021,646.46,648.41,635.13,640.46,471364,,0.0,0.0
10-08-2021,643.65,644.18,601.8,609.75,443924,,0.0,0.0
11-08-2021,609.42,649.37,606.8,643.65,995206,,0.0,0.0
12-08-2021,652.94,655.53,641.88,649.06,719240,,3.75,0.0
13-08-2021,653.42,653.95,636.18,638.24,233853,,0.0,0.0
16-08-2021,643.17,650.93,637.28,645.62,278366,,0.0,0.0
17-08-2021,647.29,679.85,644.37,671.95,799904,,0.0,0.0
18-08-2021,682.24,691.24,675.3,679.37,1377570,,0.0,0.0
20-08-2021,675.92,677.93,656.34,667.45,395870,,0.0,0.0
23-08-2021,669.31,680.8,647.53,666.25,528866,,0.0,0.0
24-08-2021,665.58,682.05,665.58,673.34,398624,,0.0,0.0
25-08-2021,674.58,680.42,667.06,672.47,215102,,0.0,0.0
26-08-2021,678.79,685.16,667.45,671.95,329943,,0.0,0.0
27-08-2021,675.06,684.63,668.98,682.15,427785,,0.0,0.0
30-08-2021,688.46,697.94,671.47,676.97,360342,,0.0,0.0
31-08-2021,681.67,687.51,672.04,678.94,288855,,0.0,0.0
01-09-2021,684.35,684.35,669.31,673.53,245097,,0.0,0.0
02-09-2021,672.43,683.2,668.6,673.0,307566,,0.0,0.0
03-09-2021,673.14,680.09,673.14,677.79,366000,,0.0,0.0
06-09-2021,683.77,684.06,670.56,682.58,314133,,0.0,0.0
07-09-2021,678.03,708.24,678.03,701.49,1009426,,0.0,0.0
08-09-2021,706.75,715.85,694.59,700.1,557830,,0.0,0.0
09-09-2021,702.25,704.74,666.54,684.06,399044,,0.0,0.0
13-09-2021,684.63,701.39,684.63,698.85,300245,,0.0,0.0
14-09-2021,699.38,715.28,691.19,705.03,379780,,0.0,0.0
15-09-2021,705.03,707.62,692.68,697.42,213801,,0.0,0.0
16-09-2021,702.83,702.83,675.59,679.85,532115,,0.0,0.0
17-09-2021,685.11,686.55,651.65,659.4,1826398,,0.0,0.0
20-09-2021,655.86,658.93,647.34,652.41,164962,,0.0,0.0
21-09-2021,651.07,655.05,625.89,647.05,244196,,0.0,0.0
22-09-2021,642.6,660.22,642.6,645.47,171010,,0.0,0.0
23-09-2021,646.33,646.72,620.48,622.97,748724,,0.0,0.0
24-09-2021,630.06,637.67,609.13,614.5,405150,,0.0,0.0
27-09-2021,605.16,611.77,593.33,599.61,533501,,0.0,0.0
28-09-2021,599.8,619.47,595.2,598.7,486021,,0.0,0.0
29-09-2021,600.04,604.2,587.73,592.47,300057,,0.0,0.0
30-09-2021,597.5,603.01,586.49,591.66,302194,,0.0,0.0
01-10-2021,598.12,607.6,593.29,600.37,346846,,0.0,0.0
04-10-2021,605.16,616.65,601.43,614.5,387568,,0.0,0.0
05-10-2021,616.6,627.18,610.52,625.65,431652,,0.0,0.0
06-10-2021,625.27,631.97,611.19,615.07,434469,,0.0,0.0
07-10-2021,621.44,627.18,619.47,622.97,231212,,0.0,0.0
08-10-2021,627.18,627.18,618.57,623.21,101210,,0.0,0.0
11-10-2021,623.21,628.81,615.93,619.24,108999,,0.0,0.0
12-10-2021,624.41,624.41,612.92,614.35,112561,,0.0,0.0
13-10-2021,617.61,619.43,603.24,604.68,251842,,0.0,0.0
14-10-2021,609.95,612.82,600.66,604.44,246350,,0.0,0.0
18-10-2021,605.16,607.79,592.71,594.34,263224,,0.0,0.0
19-10-2021,594.63,600.99,571.65,577.01,239157,,0.0,0.0
20-10-2021,582.18,583.14,555.37,564.51,281970,,0.0,0.0
21-10-2021,563.75,583.95,552.97,574.95,347630,,0.0,0.0
22-10-2021,574.95,574.95,554.17,560.25,165605,,0.0,0.0
