Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,140.95,143.2,139.0,139.8,529171,,0.0,0.0
09-08-2021,141.5,141.5,138.1,139.4,356766,,0.0,0.0
10-08-2021,140.65,140.65,133.4,134.85,356780,,0.0,0.0
11-08-2021,134.7,136.55,131.1,133.9,660618,,0.0,0.0
12-08-2021,135.0,138.25,133.4,136.7,527748,,0.0,0.0
13-08-2021,137.7,137.7,132.35,133.75,208015,,0.0,0.0
16-08-2021,133.75,136.35,130.0,130.15,169928,,0.0,0.0
17-08-2021,132.5,133.95,131.45,132.55,206716,,0.0,0.0
18-08-2021,133.0,134.95,131.0,132.35,153390,,0.0,0.0
20-08-2021,132.5,132.75,124.5,125.1,308940,,0.0,0.0
23-08-2021,126.0,129.65,123.65,128.2,255257,,0.0,0.0
24-08-2021,128.2,128.85,125.0,125.5,150256,,0.0,0.0
25-08-2021,125.95,128.0,125.5,125.9,123140,,0.0,0.0
26-08-2021,125.9,126.95,125.0,125.1,92741,,0.0,0.0
27-08-2021,125.0,126.7,125.0,125.4,118566,,0.0,0.0
30-08-2021,126.5,126.9,125.35,126.0,196233,,0.0,0.0
31-08-2021,126.3,131.3,125.95,129.25,325685,,0.0,0.0
01-09-2021,130.0,132.5,126.0,127.4,227223,,0.0,0.0
02-09-2021,127.5,131.65,127.45,130.4,512739,,0.0,0.0
03-09-2021,131.0,131.55,127.1,128.05,216368,,0.0,0.0
06-09-2021,129.75,129.75,126.05,126.9,163736,,0.0,0.0
07-09-2021,126.7,129.0,125.9,126.3,194338,,0.0,0.0
08-09-2021,126.4,128.7,125.0,126.2,197332,,0.0,0.0
09-09-2021,126.0,127.1,123.4,125.05,164180,,0.0,0.0
13-09-2021,126.45,126.5,125.0,125.15,183376,,0.0,0.0
14-09-2021,126.95,127.6,123.8,124.15,969498,,0.0,0.0
15-09-2021,124.95,125.35,123.55,123.9,294207,,0.0,0.0
16-09-2021,124.3,126.7,122.45,123.05,329029,,0.0,0.0
17-09-2021,123.6,124.9,122.9,123.05,1402175,,0.0,0.0
20-09-2021,124.0,124.5,121.0,121.15,186468,,0.0,0.0
21-09-2021,121.1,123.5,120.0,122.4,236038,,0.0,0.0
22-09-2021,123.4,124.0,121.05,122.9,133876,,0.0,0.0
23-09-2021,123.9,124.1,122.0,122.6,193766,,0.0,0.0
24-09-2021,123.5,125.1,121.3,121.9,105050,,0.0,0.0
27-09-2021,122.9,123.75,120.85,121.65,208023,,0.0,0.0
28-09-2021,121.5,122.7,120.95,122.0,158668,,0.0,0.0
29-09-2021,121.6,128.0,121.25,124.55,860107,,0.0,0.0
30-09-2021,125.0,126.75,124.0,124.85,186837,,0.0,0.0
01-10-2021,126.8,126.8,124.1,124.65,168184,,0.0,0.0
04-10-2021,125.1,126.65,123.5,123.95,208907,,0.0,0.0
05-10-2021,124.9,130.0,122.6,124.4,696939,,0.0,0.0
06-10-2021,125.8,126.0,121.4,122.0,375804,,0.0,0.0
07-10-2021,123.4,124.45,121.5,122.5,199389,,0.0,0.0
08-10-2021,123.0,123.85,122.6,122.75,83733,,0.0,0.0
11-10-2021,123.9,124.4,122.4,122.6,154205,,0.0,0.0
12-10-2021,123.35,126.5,122.35,124.35,353440,,0.0,0.0
13-10-2021,125.35,126.5,121.8,122.15,302191,,0.0,0.0
14-10-2021,123.2,125.95,122.3,123.9,507552,,0.0,0.0
18-10-2021,124.9,126.0,122.75,123.1,270201,,0.0,0.0
19-10-2021,123.6,124.75,121.0,121.3,305729,,0.0,0.0
20-10-2021,122.5,122.8,120.2,121.15,419872,,0.0,0.0
21-10-2021,122.0,124.1,120.75,123.5,658812,,0.0,0.0
22-10-2021,123.8,123.8,121.0,121.15,169242,,0.0,0.0
25-10-2021,121.15,123.05,118.0,118.1,293153,,0.0,0.0
26-10-2021,118.9,120.2,118.05,119.25,118406,,0.0,0.0
27-10-2021,119.9,120.45,118.0,118.95,213117,,0.0,0.0
28-10-2021,119.7,125.45,118.75,122.5,933135,,0.0,0.0
29-10-2021,123.25,124.2,118.0,119.2,208640,,0.0,0.0
01-11-2021,121.0,122.35,119.2,121.35,246730,,0.0,0.0
02-11-2021,122.3,122.5,121.0,121.15,144367,,0.0,0.0
03-11-2021,121.5,122.7,121.0,121.65,144290,,0.0,0.0
04-11-2021,122.4,124.3,122.0,123.75,80502,,0.0,0.0
08-11-2021,125.95,132.0,121.8,130.7,1754359,,0.0,0.0
09-11-2021,131.5,138.8,131.0,136.4,1655720,,0.0,0.0
10-11-2021,135.0,138.45,134.25,138.05,589560,,0.0,0.0
11-11-2021,138.1,139.9,136.3,137.95,560215,,0.0,0.0
12-11-2021,139.85,139.85,136.1,136.6,306335,,0.0,0.0
15-11-2021,137.7,138.4,132.2,132.7,280203,,0.0,0.0
16-11-2021,133.45,135.9,131.75,134.8,290200,,0.0,0.0
17-11-2021,132.35,135.1,130.15,131.1,175895,,0.0,0.0
18-11-2021,131.2,132.15,126.7,128.45,180091,,0.0,0.0
