Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,107.98,112.49,107.63,110.61,1264196,,0.0,0.0
09-08-2021,113.09,113.43,110.31,110.9,469211,,0.0,0.0
10-08-2021,111.5,116.06,107.13,109.27,3197895,,0.0,0.0
11-08-2021,111.0,111.55,104.75,108.03,765897,,0.0,0.0
12-08-2021,108.03,112.09,106.94,107.83,1143275,,0.0,0.0
13-08-2021,109.12,117.45,109.12,115.12,9354868,,0.0,0.0
16-08-2021,116.06,119.04,115.17,115.76,2368487,,0.0,0.0
17-08-2021,116.06,116.06,113.78,114.67,868852,,0.0,0.0
18-08-2021,115.76,117.0,114.18,114.87,1619825,,0.0,0.0
20-08-2021,114.77,116.26,114.03,114.72,1116860,,0.0,0.0
23-08-2021,116.01,117.05,110.06,112.99,1174055,,0.0,0.0
24-08-2021,114.67,115.76,112.24,115.27,1397536,,0.0,0.0
25-08-2021,111.6,111.6,108.22,108.72,1385955,,0.0,0.0
26-08-2021,108.82,111.3,106.64,107.43,676902,,0.0,0.0
27-08-2021,106.94,107.53,104.7,105.89,550607,,0.0,0.0
30-08-2021,107.53,107.93,106.14,106.64,218376,,0.0,0.0
31-08-2021,106.84,107.18,105.15,105.4,254676,,0.0,0.0
01-09-2021,105.55,106.44,104.85,105.1,259490,,0.0,0.0
02-09-2021,105.1,107.68,105.1,106.69,503946,,0.0,0.0
03-09-2021,107.43,107.43,106.14,106.34,142994,,0.0,0.0
06-09-2021,106.54,106.98,105.84,106.14,149737,,0.0,0.0
07-09-2021,106.44,106.98,105.45,105.89,125942,,0.0,0.0
08-09-2021,105.7,106.54,105.6,105.79,91817,,0.0,0.0
09-09-2021,105.45,107.23,105.45,106.44,289811,,0.0,0.0
13-09-2021,106.44,107.03,104.36,105.4,174505,,0.0,0.0
14-09-2021,104.75,106.54,104.75,106.14,160370,,0.0,0.0
15-09-2021,107.13,109.76,106.24,106.44,460243,,0.0,0.0
16-09-2021,108.13,108.18,106.54,106.94,294000,,0.0,0.0
17-09-2021,107.63,108.92,106.29,107.78,669119,,0.0,0.0
