Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
06-08-2021,1046.92,1070.24,1039.97,1043.84,34753,,0.0,0.0
09-08-2021,1043.98,1054.28,1026.73,1037.86,35181,,0.0,0.0
10-08-2021,1035.1,1074.52,1002.76,1011.36,86154,,0.0,0.0
11-08-2021,1011.36,1054.0,932.48,974.89,558054,,0.0,0.0
12-08-2021,966.88,997.93,957.91,966.42,275760,,0.0,0.0
13-08-2021,975.07,993.56,964.12,969.04,170215,,0.0,0.0
16-08-2021,969.04,988.96,951.34,963.06,62909,,0.0,0.0
17-08-2021,963.07,977.46,947.66,956.12,152027,,0.0,0.0
18-08-2021,974.24,984.22,952.16,955.57,101206,,0.0,0.0
20-08-2021,951.24,970.75,943.15,953.87,131452,,0.0,0.0
23-08-2021,970.7,1015.92,965.87,989.51,460644,,0.0,0.0
24-08-2021,1010.12,1055.2,1001.84,1047.47,350947,,0.0,0.0
25-08-2021,1061.64,1138.92,1055.34,1080.18,2158218,,0.0,0.0
26-08-2021,1085.56,1092.92,1048.39,1081.65,403735,,0.0,0.0
27-08-2021,1083.72,1113.16,1057.96,1085.65,387187,,0.0,0.0
30-08-2021,1085.56,1145.36,1072.49,1115.32,538458,,0.0,0.0
31-08-2021,1116.38,1133.4,1095.68,1117.16,207156,,0.0,0.0
01-09-2021,1125.12,1126.96,1078.66,1088.13,133289,,0.0,0.0
02-09-2021,1093.65,1108.56,1081.6,1088.73,134016,,0.0,0.0
03-09-2021,1093.56,1111.73,1090.16,1107.41,102364,,0.0,0.0
06-09-2021,1112.05,1213.8,1111.96,1199.86,1275480,,0.0,0.0
07-09-2021,1200.09,1250.23,1182.15,1234.09,817887,,0.0,0.0
08-09-2021,1242.87,1259.43,1223.64,1244.39,323607,,0.0,0.0
09-09-2021,1244.39,1251.11,1207.04,1218.45,220597,,0.0,0.0
13-09-2021,1226.08,1240.66,1210.86,1217.94,265949,,0.0,0.0
14-09-2021,1228.15,1278.57,1219.37,1270.47,348372,,0.0,0.0
15-09-2021,1280.59,1320.15,1269.55,1303.64,295822,,0.0,0.0
16-09-2021,1315.41,1341.31,1278.38,1327.23,310268,,0.0,0.0
17-09-2021,1333.9,1461.78,1308.37,1371.48,2064330,,0.0,0.0
20-09-2021,1350.97,1433.3,1322.96,1397.38,617648,,0.0,0.0
21-09-2021,1408.47,1416.56,1371.81,1397.52,209239,,0.0,0.0
22-09-2021,1406.07,1436.98,1380.31,1392.32,191529,,0.0,0.0
23-09-2021,1398.3,1429.53,1397.43,1409.2,215252,,0.0,0.0
24-09-2021,1421.12,1424.66,1338.55,1353.87,287541,,0.0,0.0
27-09-2021,1361.55,1378.11,1297.06,1299.96,212410,,0.0,0.0
28-09-2021,1311.32,1311.32,1242.0,1261.73,204169,,0.0,0.0
29-09-2021,1261.27,1277.05,1232.75,1236.16,145871,,0.0,0.0
30-09-2021,1244.71,1264.95,1190.11,1201.15,623580,,0.0,0.0
01-10-2021,1202.03,1228.98,1196.05,1202.3,118561,,0.0,0.0
04-10-2021,1210.31,1246.55,1205.15,1215.14,104043,,0.0,0.0
05-10-2021,1209.75,1221.58,1177.55,1180.96,173886,,0.0,0.0
06-10-2021,1186.66,1193.79,1154.56,1161.23,167422,,0.0,0.0
07-10-2021,1163.2,1171.71,1144.39,1152.53,105239,,0.0,0.0
08-10-2021,1156.4,1176.63,1119.0,1133.03,379500,,0.0,0.0
11-10-2021,1140.76,1154.56,1134.32,1139.28,107056,,0.0,0.0
12-10-2021,1144.44,1146.87,1133.03,1134.64,81257,,0.0,0.0
13-10-2021,1138.92,1143.93,1122.36,1133.07,123780,,0.0,0.0
14-10-2021,1138.78,1183.07,1133.26,1172.91,307552,,0.0,0.0
18-10-2021,1172.95,1207.91,1171.11,1188.55,383928,,0.0,0.0
19-10-2021,1208.83,1208.83,1159.39,1171.81,148505,,0.0,0.0
20-10-2021,1177.46,1177.51,1057.96,1093.06,346187,,0.0,0.0
21-10-2021,1106.53,1122.36,1040.71,1071.44,182507,,0.0,0.0
22-10-2021,1081.88,1090.11,1058.01,1066.1,94832,,0.0,0.0
25-10-2021,1066.1,1079.12,1022.08,1063.25,146667,,0.0,0.0
26-10-2021,1062.56,1071.76,1048.94,1055.89,63248,,0.0,0.0
27-10-2021,1066.88,1086.2,1034.96,1039.28,253677,,0.0,0.0
28-10-2021,1044.11,1052.39,1027.0,1034.41,91877,,0.0,0.0
29-10-2021,1041.68,1057.96,995.13,1017.21,245866,,0.0,0.0
01-11-2021,1025.76,1029.3,1001.11,1006.95,103922,,0.0,0.0
02-11-2021,1011.96,1023.78,995.59,1011.59,130553,,0.0,0.0
03-11-2021,1011.59,1019.09,1003.68,1009.8,68345,,0.0,0.0
04-11-2021,1021.16,1048.76,1014.31,1021.99,36867,,0.0,0.0
08-11-2021,1033.95,1033.95,1005.52,1010.35,93895,,0.0,0.0
09-11-2021,1002.76,1017.8,1002.76,1005.2,115573,,0.0,0.0
10-11-2021,1005.29,1030.36,998.16,1021.25,171175,,0.0,0.0
11-11-2021,1025.62,1029.44,1005.89,1020.19,129397,,0.0,0.0
12-11-2021,1022.72,1024.33,982.52,1003.04,763431,,0.0,0.0
15-11-2021,1011.96,1062.88,1004.6,1054.65,582074,,0.0,0.0
16-11-2021,1055.94,1066.24,1021.25,1053.31,271412,,0.0,0.0
17-11-2021,1052.44,1062.37,1014.08,1030.54,257254,,0.0,0.0
18-11-2021,1031.23,1034.91,975.67,987.44,283655,,0.0,0.0
22-11-2021,988.41,996.83,946.14,974.01,128543,,0.0,0.0
23-11-2021,964.12,993.38,952.67,987.31,100809,,0.0,0.0
24-11-2021,1000.92,1007.18,965.96,972.49,73916,,0.0,0.0
25-11-2021,979.53,987.12,952.16,975.71,135587,,0.0,0.0
26-11-2021,976.08,976.08,944.07,946.97,96231,,0.0,0.0
29-11-2021,942.96,956.76,858.01,941.22,345448,,0.0,0.0
30-11-2021,929.16,998.76,929.16,988.27,353509,,0.0,0.0
01-12-2021,977.46,989.33,947.61,959.75,194703,,0.0,0.0
02-12-2021,965.41,966.56,938.82,952.49,113217,,0.0,0.0
03-12-2021,954.92,963.25,947.66,952.81,93148,,0.0,0.0
06-12-2021,965.96,970.56,935.6,939.38,93000,,0.0,0.0
07-12-2021,958.19,958.19,934.27,940.3,98349,,0.0,0.0
08-12-2021,955.75,983.67,944.21,971.53,160241,,0.0,0.0
09-12-2021,978.84,978.84,956.76,962.74,61273,,0.0,0.0
10-12-2021,1058.88,1075.58,1009.06,1034.68,2330197,,0.0,0.0
13-12-2021,1043.24,1079.12,1021.25,1058.6,601955,,0.0,0.0
14-12-2021,1058.6,1066.24,1040.53,1054.74,183391,,0.0,0.0
15-12-2021,1050.6,1195.95,1047.1,1176.13,2769781,,0.0,0.0
16-12-2021,1165.6,1183.63,1121.34,1158.65,1137422,,0.0,0.0
17-12-2021,1142.0,1227.05,1121.85,1207.04,1942546,,0.0,0.0
20-12-2021,1159.16,1218.72,1159.16,1185.93,903581,,0.0,0.0
21-12-2021,1199.45,1234.59,1133.26,1159.2,556597,,0.0,0.0
22-12-2021,1158.97,1269.55,1154.83,1247.01,1381399,,0.0,0.0
23-12-2021,1241.95,1269.55,1200.55,1225.48,800037,,0.0,0.0
24-12-2021,1216.29,1243.93,1162.84,1183.95,421837,,0.0,0.0
27-12-2021,1176.54,1214.22,1148.67,1201.93,372552,,0.0,0.0
28-12-2021,1202.39,1232.06,1202.39,1212.51,240095,,0.0,0.0
29-12-2021,1217.94,1230.59,1177.55,1187.81,217561,,0.0,0.0
30-12-2021,1193.24,1204.92,1154.56,1169.46,182487,,0.0,0.0
31-12-2021,1177.55,1193.98,1160.58,1181.46,134505,,0.0,0.0
03-01-2022,1190.89,1212.24,1173.92,1185.05,124741,,0.0,0.0
04-01-2022,1195.95,1205.15,1170.79,1187.77,164143,,0.0,0.0
05-01-2022,1187.77,1211.96,1152.72,1161.64,160214,,0.0,0.0
06-01-2022,1158.14,1158.14,1116.74,1125.16,138898,,0.0,0.0
07-01-2022,1128.75,1182.15,1128.7,1172.4,368999,,0.0,0.0
10-01-2022,1182.15,1211.59,1145.77,1155.66,177790,,0.0,0.0
11-01-2022,1155.66,1159.06,1124.24,1135.28,176129,,0.0,0.0
12-01-2022,1140.76,1148.76,1126.96,1134.32,90861,,0.0,0.0
13-01-2022,1136.25,1152.35,1121.07,1133.72,103277,,0.0,0.0
14-01-2022,1141.22,1149.77,1124.29,1128.01,114278,,0.0,0.0
17-01-2022,1130.54,1148.12,1128.11,1143.06,110636,,0.0,0.0
18-01-2022,1148.99,1148.99,1107.04,1110.35,82750,,0.0,0.0
19-01-2022,1116.7,1146.18,1095.82,1139.7,133832,,0.0,0.0
20-01-2022,1143.52,1153.64,1119.6,1122.17,161036,,0.0,0.0
21-01-2022,1121.44,1133.53,1096.28,1101.93,70565,,0.0,0.0
24-01-2022,1101.93,1102.9,1053.45,1064.35,99053,,0.0,0.0
25-01-2022,1048.76,1076.82,1018.4,1063.94,143971,,0.0,0.0
27-01-2022,1061.59,1068.72,1022.08,1029.12,78043,,0.0,0.0
28-01-2022,1030.04,1074.61,1030.04,1053.31,139012,,0.0,0.0
31-01-2022,1071.71,1114.35,1058.1,1100.55,163568,,0.0,0.0
01-02-2022,1107.64,1122.95,1094.62,1116.84,120103,,0.0,0.0
02-02-2022,1126.86,1141.68,1113.02,1119.23,160751,,0.0,0.0
03-02-2022,1126.73,1145.36,1113.16,1120.15,247250,,0.0,0.0
04-02-2022,1125.76,1134.32,1115.92,1124.15,65217,,0.0,0.0
07-02-2022,1140.76,1140.76,1116.93,1122.68,76645,,0.0,0.0
08-02-2022,1136.06,1157.55,1105.94,1123.0,504992,,0.0,0.0
09-02-2022,1113.16,1126.68,1080.59,1091.72,210328,,0.0,0.0
10-02-2022,1097.29,1098.16,1082.34,1092.41,95827,,0.0,0.0
11-02-2022,1071.85,1080.96,1065.32,1072.36,65545,,0.0,0.0
14-02-2022,1031.37,1068.63,1025.07,1055.75,61150,,0.0,0.0
15-02-2022,1067.16,1086.48,1056.12,1081.14,58780,,0.0,0.0
16-02-2022,1086.85,1105.98,1080.96,1082.34,40959,,0.0,0.0
17-02-2022,1085.56,1108.56,1078.2,1092.09,178722,,0.0,0.0
18-02-2022,1103.96,1106.67,1079.67,1089.65,54747,,0.0,0.0
21-02-2022,1074.52,1085.56,1068.77,1080.5,34386,,0.0,0.0
22-02-2022,1048.76,1062.51,1032.2,1038.36,89607,,0.0,0.0
23-02-2022,1039.56,1076.36,993.56,997.56,265870,,0.0,0.0
24-02-2022,986.2,1011.92,948.02,989.24,133047,,0.0,0.0
25-02-2022,993.56,1057.96,993.56,1033.21,99801,,0.0,0.0
28-02-2022,1002.76,1065.69,993.56,1055.02,70391,,0.0,0.0
02-03-2022,1047.84,1072.68,1038.87,1055.02,35220,,0.0,0.0
03-03-2022,1054.28,1075.9,1013.34,1021.34,53866,,0.0,0.0
04-03-2022,1021.34,1024.06,980.68,985.97,54186,,0.0,0.0
07-03-2022,976.08,1048.76,949.13,1030.08,97680,,0.0,0.0
08-03-2022,1012.88,1050.6,1003.36,1022.17,73739,,0.0,0.0
09-03-2022,1018.4,1018.4,961.36,966.97,645965,,0.0,0.0
10-03-2022,1000.0,1000.0,919.96,927.37,690976,,0.0,0.0
11-03-2022,927.37,953.5,912.14,943.98,164203,,0.0,0.0
14-03-2022,952.16,952.16,917.2,921.94,183698,,0.0,0.0
15-03-2022,929.16,932.06,916.28,920.29,256040,,0.0,0.0
16-03-2022,924.93,950.83,920.61,940.85,360223,,0.0,0.0
17-03-2022,946.55,980.68,942.96,977.28,180919,,0.0,0.0
21-03-2022,986.94,998.76,958.24,964.54,96532,,0.0,0.0
22-03-2022,970.56,972.59,946.64,954.97,61282,,0.0,0.0
23-03-2022,959.98,990.8,952.16,977.92,201882,,0.0,0.0
24-03-2022,981.42,996.64,965.96,975.67,163818,,0.0,0.0
25-03-2022,978.8,978.8,949.73,956.4,69616,,0.0,0.0
28-03-2022,961.46,971.48,943.88,963.25,84169,,0.0,0.0
29-03-2022,967.8,993.52,961.46,985.14,103627,,0.0,0.0
30-03-2022,998.16,1016.56,977.92,986.52,255962,,0.0,0.0
31-03-2022,976.08,1014.12,965.96,988.69,80802,,0.0,0.0
01-04-2022,999.08,999.86,982.52,992.5,56647,,0.0,0.0
04-04-2022,998.16,1021.16,993.56,1012.47,124859,,0.0,0.0
05-04-2022,1017.48,1042.5,1014.86,1025.53,134589,,0.0,0.0
06-04-2022,1021.16,1039.47,1007.55,1015.87,117438,,0.0,0.0
07-04-2022,1011.96,1033.95,990.8,1003.5,112314,,0.0,0.0
08-04-2022,1008.74,1016.56,993.56,1004.92,53860,,0.0,0.0
11-04-2022,1004.6,1055.84,1004.37,1049.96,476535,,0.0,0.0
12-04-2022,1048.76,1062.56,1028.52,1049.77,167062,,0.0,0.0
13-04-2022,1056.17,1059.85,1041.35,1048.3,78611,,0.0,0.0
18-04-2022,1047.84,1054.33,1016.06,1027.42,134262,,0.0,0.0
