Date,Open,High,Low,Close,Volume,Avg_Volume,Dividends,Stock Splits
09-05-2022,356.22,413.62,333.47,374.93,58753140,,0.0,0.0
10-05-2022,368.64,404.51,356.27,363.79,22231974,,0.0,0.0
11-05-2022,365.87,377.99,324.71,344.8,11420193,,0.0,0.0
12-05-2022,342.22,342.22,319.91,336.43,6133738,,0.0,0.0
13-05-2022,345.39,353.26,326.54,329.11,3239264,,0.0,0.0
16-05-2022,321.64,332.18,320.6,323.08,2197235,,0.0,0.0
17-05-2022,325.55,330.89,311.2,326.69,2530474,,0.0,0.0
18-05-2022,329.51,344.25,322.14,338.61,3453151,,0.0,0.0
19-05-2022,326.54,334.21,321.64,330.7,1301807,,0.0,0.0
20-05-2022,335.44,341.83,331.49,339.35,1332175,,0.0,0.0
23-05-2022,341.38,341.38,332.48,336.58,826780,,0.0,0.0
24-05-2022,337.42,338.27,326.54,327.28,568765,,0.0,0.0
25-05-2022,327.97,340.54,315.16,336.09,1228169,,0.0,0.0
26-05-2022,335.44,337.42,321.64,333.71,688738,,0.0,0.0
27-05-2022,335.44,355.14,331.64,352.12,1620311,,0.0,0.0
30-05-2022,352.27,360.58,343.46,355.43,1449532,,0.0,0.0
31-05-2022,356.18,368.99,350.29,364.19,2264079,,0.0,0.0
01-06-2022,366.12,370.47,356.32,359.04,1020390,,0.0,0.0
02-06-2022,355.24,358.6,350.78,354.2,566469,,0.0,0.0
03-06-2022,356.22,358.6,332.77,337.03,549386,,0.0,0.0
06-06-2022,331.59,336.14,327.73,331.29,670599,,0.0,0.0
07-06-2022,331.44,336.24,321.69,323.37,502582,,0.0,0.0
08-06-2022,326.34,331.44,321.74,325.15,384976,,0.0,0.0
09-06-2022,325.35,329.51,318.72,321.05,650457,,0.0,0.0
10-06-2022,317.14,323.52,315.16,321.64,865972,,0.0,0.0
13-06-2022,316.64,318.82,312.93,316.74,310223,,0.0,0.0
14-06-2022,314.67,322.33,310.36,312.09,343917,,0.0,0.0
15-06-2022,316.35,318.77,312.79,314.62,247429,,0.0,0.0
16-06-2022,317.68,324.51,309.72,311.35,514648,,0.0,0.0
17-06-2022,308.93,310.41,302.69,306.45,415048,,0.0,0.0
20-06-2022,305.66,321.59,293.98,315.36,876505,,0.0,0.0
21-06-2022,317.63,323.52,315.65,318.82,222721,,0.0,0.0
22-06-2022,316.45,329.51,311.8,326.64,258532,,0.0,0.0
23-06-2022,324.56,332.43,319.61,322.14,251233,,0.0,0.0
24-06-2022,324.07,327.53,321.69,324.76,150213,,0.0,0.0
27-06-2022,327.63,330.5,324.61,326.49,214763,,0.0,0.0
28-06-2022,330.5,336.24,328.96,332.67,456151,,0.0,0.0
29-06-2022,331.39,338.71,326.79,328.96,259923,,0.0,0.0
30-06-2022,331.39,331.49,320.6,322.43,136411,,0.0,0.0
01-07-2022,321.49,336.43,316.25,333.47,242804,,0.0,0.0
04-07-2022,332.48,342.67,328.47,341.09,327004,,0.0,0.0
05-07-2022,339.95,347.37,337.52,344.55,402889,,0.0,0.0
06-07-2022,344.35,355.24,339.65,351.18,550915,,0.0,0.0
07-07-2022,352.37,360.48,348.65,356.03,518368,,0.0,0.0
08-07-2022,358.3,364.24,348.06,352.22,432834,,0.0,0.0
11-07-2022,347.91,369.09,347.67,366.32,603141,,0.0,0.0
12-07-2022,361.17,385.91,361.17,375.97,1129412,,0.0,0.0
13-07-2022,377.99,384.87,357.51,360.28,588753,,0.0,0.0
14-07-2022,363.15,370.97,354.25,366.22,339565,,0.0,0.0
15-07-2022,367.11,369.48,359.19,364.24,250910,,0.0,0.0
18-07-2022,366.12,377.0,366.12,374.33,349525,,0.0,0.0
19-07-2022,371.76,379.08,368.64,373.89,296224,,0.0,0.0
20-07-2022,376.01,382.94,365.13,370.37,504774,,0.0,0.0
21-07-2022,368.59,374.83,367.11,372.16,208394,,0.0,0.0
22-07-2022,373.84,377.35,367.41,375.77,247293,,0.0,0.0
25-07-2022,378.44,410.55,377.55,396.45,3053978,,0.0,0.0
26-07-2022,396.79,418.07,390.12,409.51,1862172,,0.0,0.0
27-07-2022,408.67,412.82,403.47,406.05,916509,,0.0,0.0
28-07-2022,410.15,444.29,407.78,440.63,3761426,,0.0,0.0
29-07-2022,444.98,455.13,427.02,435.68,2291090,,0.0,0.0
01-08-2022,435.34,445.28,426.73,431.87,1024275,,0.0,0.0
02-08-2022,430.34,444.98,423.51,431.77,988177,,0.0,0.0
03-08-2022,431.82,431.82,417.62,424.65,743288,,0.0,0.0
04-08-2022,426.97,430.39,411.79,421.04,685107,,0.0,0.0
05-08-2022,419.55,421.53,404.22,409.46,574119,,0.0,0.0
08-08-2022,406.94,417.52,400.06,411.04,865410,,0.0,0.0
10-08-2022,414.56,419.41,405.75,416.09,817311,,0.0,0.0
11-08-2022,419.55,421.38,408.67,414.61,739916,,0.0,0.0
12-08-2022,417.08,434.3,415.64,430.78,1640165,,0.0,0.0
16-08-2022,427.47,430.34,409.81,418.37,1499263,,0.0,0.0
17-08-2022,420.0,444.39,418.91,429.25,1625625,,0.0,0.0
18-08-2022,431.77,462.0,428.95,454.43,2384186,,0.0,0.0
19-08-2022,455.52,496.24,455.18,485.5,5746239,,0.0,0.0
22-08-2022,484.61,512.02,476.45,501.29,3174562,,0.0,0.0
23-08-2022,501.29,512.47,479.07,485.7,1758814,,0.0,0.0
24-08-2022,487.78,493.67,470.27,475.16,859582,,0.0,0.0
25-08-2022,479.91,489.51,476.2,481.35,672163,,0.0,0.0
